,note,step,duration,channel,velocity
0,64.0,0,512,2.0,96.0
1,67.0,0,1024,1.0,96.0
2,62.0,512,512,2.0,96.0
3,71.0,0,1024,0.0,96.0
4,52.0,0,1024,3.0,96.0
5,54.0,0,512,3.0,96.0
6,70.0,0,1024,0.0,96.0
7,61.0,0,1024,2.0,96.0
8,52.0,512,512,3.0,96.0
9,66.0,0,0,1.0,96.0
10,62.0,0,512,2.0,96.0
11,50.0,0,512,3.0,96.0
12,71.0,512,512,0.0,96.0
13,73.0,0,512,0.0,96.0
14,49.0,0,512,3.0,96.0
15,70.0,512,512,1.0,96.0
16,64.0,0,512,2.0,96.0
17,71.0,0,1024,1.0,96.0
18,47.0,0,1024,3.0,96.0
19,66.0,0,0,2.0,96.0
20,74.0,512,1024,0.0,96.0
21,76.0,0,1024,0.0,96.0
22,73.0,1024,1024,1.0,96.0
23,46.0,0,1024,3.0,96.0
24,66.0,0,0,2.0,96.0
25,66.0,1024,0,2.0,96.0
26,47.0,0,1024,3.0,96.0
27,71.0,0,1024,1.0,96.0
28,74.0,1024,1024,0.0,96.0
29,42.0,0,1024,3.0,96.0
30,64.0,512,512,2.0,96.0
31,70.0,0,1024,1.0,96.0
32,73.0,0,1024,0.0,96.0
33,71.0,512,1024,0.0,96.0
34,63.0,0,1024,2.0,96.0
35,47.0,0,1024,3.0,96.0
36,66.0,0,0,1.0,96.0
37,51.0,0,1024,3.0,96.0
38,59.0,0,0,2.0,96.0
39,71.0,1024,1024,0.0,96.0
40,67.0,0,1024,0.0,96.0
41,64.0,0,1024,1.0,96.0
42,52.0,1024,1024,3.0,96.0
43,69.0,0,1024,0.0,96.0
44,62.0,1024,0,1.0,96.0
45,54.0,0,1024,3.0,96.0
46,57.0,1024,1024,2.0,96.0
47,55.0,0,512,2.0,96.0
48,57.0,512,512,2.0,96.0
49,71.0,0,1024,0.0,96.0
50,55.0,0,1024,3.0,96.0
51,69.0,0,512,0.0,96.0
52,67.0,512,512,0.0,96.0
53,52.0,0,1024,3.0,96.0
54,64.0,0,0,1.0,96.0
55,59.0,0,1024,2.0,96.0
56,60.0,0,1024,2.0,96.0
57,45.0,0,1024,3.0,96.0
58,59.0,1024,512,2.0,96.0
59,57.0,512,512,2.0,96.0
60,63.0,0,1024,1.0,96.0
61,66.0,512,2048,0.0,96.0
62,47.0,0,1024,3.0,96.0
63,59.0,0,1024,1.0,96.0
64,64.0,0,1024,0.0,96.0
65,55.0,0,1024,2.0,96.0
66,40.0,512,1024,3.0,96.0
67,64.0,0,512,2.0,96.0
68,67.0,1024,1024,1.0,96.0
69,71.0,0,1024,0.0,96.0
70,52.0,0,1024,3.0,96.0
71,62.0,512,512,2.0,96.0
72,54.0,0,512,3.0,96.0
73,52.0,512,512,3.0,96.0
74,61.0,0,1024,2.0,96.0
75,70.0,0,1024,0.0,96.0
76,66.0,0,0,1.0,96.0
77,71.0,0,512,0.0,96.0
78,62.0,0,512,2.0,96.0
79,50.0,512,512,3.0,96.0
80,64.0,0,512,2.0,96.0
81,70.0,512,512,1.0,96.0
82,49.0,0,512,3.0,96.0
83,73.0,0,512,0.0,96.0
84,71.0,0,1024,1.0,96.0
85,74.0,0,1024,0.0,96.0
86,47.0,0,1024,3.0,96.0
87,66.0,0,0,2.0,96.0
88,46.0,1024,1024,3.0,96.0
89,76.0,0,1024,0.0,96.0
90,66.0,0,0,2.0,96.0
91,73.0,0,1024,1.0,96.0
92,74.0,0,1024,0.0,96.0
93,47.0,1024,1024,3.0,96.0
94,71.0,0,1024,1.0,96.0
95,66.0,0,512,2.0,96.0
96,64.0,512,512,2.0,96.0
97,70.0,0,1024,1.0,96.0
98,42.0,1024,1024,3.0,96.0
99,73.0,0,1024,0.0,96.0
100,63.0,512,1024,2.0,96.0
101,47.0,0,1024,3.0,96.0
102,71.0,0,1024,0.0,96.0
103,66.0,0,1024,1.0,96.0
104,71.0,0,1024,0.0,96.0
105,51.0,0,1024,3.0,96.0
106,66.0,0,1024,1.0,96.0
107,59.0,1024,1024,2.0,96.0
108,64.0,0,1024,1.0,96.0
109,59.0,0,1024,2.0,96.0
110,67.0,1024,1024,0.0,96.0
111,52.0,0,1024,3.0,96.0
112,54.0,0,1024,3.0,96.0
113,57.0,1024,1024,2.0,96.0
114,69.0,0,1024,0.0,96.0
115,62.0,0,0,1.0,96.0
116,55.0,0,512,2.0,96.0
117,57.0,512,512,2.0,96.0
118,55.0,1024,1024,3.0,96.0
119,71.0,0,1024,0.0,96.0
120,69.0,0,512,0.0,96.0
121,64.0,512,0,1.0,96.0
122,67.0,512,512,0.0,96.0
123,52.0,0,1024,3.0,96.0
124,59.0,512,1024,2.0,96.0
125,45.0,0,1024,3.0,96.0
126,60.0,0,1024,2.0,96.0
127,59.0,0,512,2.0,96.0
128,47.0,1024,1024,3.0,96.0
129,66.0,0,2048,0.0,96.0
130,57.0,512,512,2.0,96.0
131,63.0,0,1024,1.0,96.0
132,59.0,0,1024,1.0,96.0
133,55.0,512,1024,2.0,96.0
134,64.0,0,1024,0.0,96.0
135,40.0,0,1024,3.0,96.0
136,52.0,0,512,3.0,96.0
137,64.0,0,1024,0.0,96.0
138,59.0,0,1024,1.0,96.0
139,55.0,2048,1024,2.0,96.0
140,50.0,512,512,3.0,96.0
141,48.0,0,512,3.0,96.0
142,64.0,0,512,1.0,96.0
143,47.0,512,512,3.0,96.0
144,62.0,0,512,1.0,96.0
145,55.0,512,1024,2.0,96.0
146,67.0,0,1024,0.0,96.0
147,45.0,0,512,3.0,96.0
148,69.0,0,1024,0.0,96.0
149,47.0,512,512,3.0,96.0
150,60.0,0,1024,2.0,96.0
151,64.0,512,1024,1.0,96.0
152,48.0,0,512,3.0,96.0
153,50.0,512,512,3.0,96.0
154,64.0,512,1024,0.0,96.0
155,60.0,0,1024,1.0,96.0
156,57.0,0,1024,2.0,96.0
157,55.0,0,1024,2.0,96.0
158,67.0,0,1024,0.0,96.0
159,52.0,512,1024,3.0,96.0
160,59.0,0,1024,1.0,96.0
161,62.0,0,1024,2.0,96.0
162,57.0,0,1024,1.0,96.0
163,69.0,0,1024,0.0,96.0
164,54.0,1024,1024,3.0,96.0
165,55.0,0,1024,3.0,96.0
166,62.0,1024,1024,2.0,96.0
167,71.0,0,0,0.0,96.0
168,55.0,0,1024,1.0,96.0
169,62.0,0,1024,1.0,96.0
170,55.0,1024,1024,3.0,96.0
171,59.0,0,0,2.0,96.0
172,67.0,1024,1024,1.0,96.0
173,76.0,0,1024,0.0,96.0
174,52.0,0,1024,3.0,96.0
175,57.0,0,1024,2.0,96.0
176,66.0,0,1024,1.0,96.0
177,75.0,0,1024,0.0,96.0
178,54.0,1024,1024,3.0,96.0
179,76.0,1024,1024,0.0,96.0
180,55.0,0,1024,3.0,96.0
181,64.0,0,1024,1.0,96.0
182,59.0,0,0,2.0,96.0
183,50.0,1024,512,3.0,96.0
184,78.0,0,1024,0.0,96.0
185,71.0,0,1024,1.0,96.0
186,52.0,512,512,3.0,96.0
187,54.0,0,1024,3.0,96.0
188,66.0,512,1024,2.0,96.0
189,71.0,0,1024,1.0,96.0
190,74.0,0,1024,0.0,96.0
191,66.0,0,512,2.0,96.0
192,64.0,512,512,2.0,96.0
193,42.0,1024,1024,3.0,96.0
194,73.0,0,1024,0.0,96.0
195,70.0,0,1024,1.0,96.0
196,66.0,0,1024,1.0,96.0
197,71.0,0,0,0.0,96.0
198,62.0,512,1024,2.0,96.0
199,47.0,0,1024,3.0,96.0
200,67.0,0,1024,1.0,96.0
201,73.0,512,512,0.0,96.0
202,59.0,0,1024,2.0,96.0
203,52.0,1024,1024,3.0,96.0
204,54.0,0,1024,3.0,96.0
205,57.0,0,1024,2.0,96.0
206,74.0,512,1024,0.0,96.0
207,69.0,0,1024,1.0,96.0
208,55.0,1024,1024,3.0,96.0
209,55.0,0,1024,2.0,96.0
210,71.0,0,1024,0.0,96.0
211,62.0,0,1024,1.0,96.0
212,47.0,0,512,3.0,96.0
213,62.0,0,1024,1.0,96.0
214,48.0,512,512,3.0,96.0
215,55.0,1024,1024,2.0,96.0
216,74.0,0,1024,0.0,96.0
217,60.0,0,1024,1.0,96.0
218,50.0,0,1024,3.0,96.0
219,69.0,0,1024,0.0,96.0
220,54.0,512,1024,2.0,96.0
