,note,step,duration,channel,velocity
0,74.0,0,25,0.0,100.0
1,43.0,60,25,1.0,100.0
2,67.0,0,25,0.0,100.0
3,43.0,60,25,1.0,100.0
4,67.0,0,25,0.0,100.0
5,43.0,60,25,1.0,100.0
6,67.0,0,25,0.0,100.0
7,43.0,0,25,1.0,100.0
8,67.0,60,25,0.0,100.0
9,69.0,0,59,0.0,100.0
10,78.0,60,59,0.0,100.0
11,71.0,60,59,0.0,100.0
12,79.0,0,59,0.0,100.0
13,76.0,0,59,0.0,100.0
14,72.0,60,59,0.0,100.0
15,71.0,60,25,0.0,100.0
16,74.0,0,25,0.0,100.0
17,67.0,0,25,0.0,100.0
18,43.0,60,25,1.0,100.0
19,43.0,60,25,1.0,100.0
20,67.0,0,25,0.0,100.0
21,43.0,60,25,1.0,100.0
22,67.0,0,25,0.0,100.0
23,43.0,60,25,1.0,100.0
24,67.0,0,25,0.0,100.0
25,74.0,60,59,0.0,100.0
26,71.0,0,59,0.0,100.0
27,72.0,0,59,0.0,100.0
28,76.0,60,59,0.0,100.0
29,69.0,0,59,0.0,100.0
30,72.0,60,59,0.0,100.0
31,67.0,0,25,0.0,100.0
32,71.0,60,25,0.0,100.0
33,67.0,60,25,0.0,100.0
34,71.0,60,25,0.0,100.0
35,74.0,60,25,0.0,100.0
36,43.0,0,119,1.0,100.0
37,79.0,0,25,0.0,100.0
38,74.0,60,25,0.0,100.0
39,47.0,60,119,1.0,100.0
40,79.0,60,59,0.0,100.0
41,81.0,60,29,0.0,100.0
42,83.0,30,29,0.0,100.0
43,43.0,0,119,1.0,100.0
44,81.0,0,25,0.0,100.0
45,79.0,60,25,0.0,100.0
46,50.0,30,119,1.0,100.0
47,78.0,60,25,0.0,100.0
48,76.0,60,25,0.0,100.0
49,52.0,0,119,1.0,100.0
50,54.0,60,119,1.0,100.0
51,74.0,0,119,0.0,100.0
52,50.0,120,119,1.0,100.0
53,72.0,0,119,0.0,100.0
54,50.0,120,50,1.0,100.0
55,71.0,0,59,0.0,100.0
56,67.0,60,25,0.0,100.0
57,67.0,0,25,0.0,100.0
58,79.0,60,25,0.0,100.0
59,79.0,60,59,0.0,100.0
60,67.0,60,25,0.0,100.0
61,43.0,60,239,1.0,100.0
62,67.0,60,25,0.0,100.0
63,50.0,0,50,1.0,100.0
64,79.0,60,25,0.0,100.0
65,52.0,60,50,1.0,100.0
66,79.0,0,59,0.0,100.0
67,72.0,60,25,0.0,100.0
68,72.0,60,25,0.0,100.0
69,79.0,60,59,0.0,100.0
70,79.0,60,59,0.0,100.0
71,69.0,60,25,0.0,100.0
72,45.0,0,239,1.0,100.0
