,note,step,duration,channel,velocity
0,57.0,0,30,2.0,39.0
1,57.0,10,20,4.0,33.0
2,56.0,0,30,2.0,39.0
3,56.0,10,30,4.0,33.0
4,57.0,30,35,2.0,39.0
5,57.0,0,35,4.0,33.0
6,52.0,0,35,4.0,33.0
7,52.0,60,35,2.0,39.0
8,64.0,0,0,4.0,33.0
9,61.0,10,160,4.0,33.0
10,69.0,0,120,4.0,33.0
11,64.0,0,120,1.0,40.0
12,49.0,60,120,2.0,39.0
13,49.0,0,120,4.0,33.0
14,69.0,0,120,0.0,40.0
15,71.0,0,35,0.0,46.0
16,68.0,0,35,1.0,46.0
17,47.0,0,35,2.0,39.0
18,47.0,0,35,4.0,33.0
19,71.0,0,60,4.0,33.0
20,68.0,0,60,4.0,33.0
21,62.0,120,60,4.0,33.0
22,73.0,0,60,0.0,49.0
23,69.0,0,60,1.0,49.0
24,45.0,0,120,4.0,33.0
25,71.0,0,60,1.0,49.0
26,74.0,60,60,0.0,49.0
27,45.0,60,120,2.0,39.0
28,57.0,0,35,4.0,34.0
29,76.0,60,35,0.0,52.0
30,73.0,0,35,1.0,52.0
31,57.0,0,35,2.0,40.0
32,73.0,0,180,4.0,33.0
33,69.0,0,180,4.0,33.0
34,64.0,0,180,4.0,33.0
35,71.0,0,60,1.0,56.0
36,74.0,0,60,0.0,56.0
37,69.0,60,60,1.0,52.0
38,50.0,60,120,2.0,40.0
39,73.0,0,60,0.0,52.0
40,66.0,0,120,4.0,34.0
41,71.0,0,120,4.0,34.0
42,74.0,0,120,4.0,34.0
43,50.0,0,120,4.0,34.0
44,68.0,0,35,1.0,45.0
45,71.0,60,35,0.0,45.0
46,52.0,0,35,2.0,40.0
47,52.0,0,35,4.0,34.0
48,71.0,0,60,4.0,34.0
49,68.0,0,60,4.0,34.0
50,73.0,60,60,0.0,39.0
51,69.0,0,60,1.0,39.0
52,71.0,60,60,1.0,44.0
53,45.0,0,120,2.0,39.0
54,45.0,0,120,4.0,33.0
55,74.0,0,60,0.0,44.0
56,73.0,60,35,1.0,49.0
57,57.0,0,35,4.0,33.0
58,57.0,0,35,2.0,39.0
59,76.0,0,35,0.0,49.0
60,64.0,0,180,4.0,33.0
61,69.0,0,180,4.0,33.0
62,73.0,0,180,4.0,33.0
63,71.0,60,60,1.0,54.0
64,74.0,0,60,0.0,54.0
65,69.0,60,60,1.0,51.0
66,50.0,0,120,2.0,39.0
67,71.0,0,120,4.0,33.0
68,74.0,0,120,4.0,33.0
69,66.0,0,120,4.0,33.0
70,73.0,0,60,0.0,51.0
71,50.0,0,120,4.0,33.0
72,52.0,60,35,2.0,39.0
73,71.0,0,35,0.0,44.0
74,52.0,0,35,4.0,33.0
75,68.0,0,35,1.0,44.0
76,68.0,0,60,4.0,33.0
77,71.0,0,60,4.0,33.0
78,45.0,0,35,2.0,34.0
79,45.0,0,35,4.0,29.0
80,69.0,60,60,1.0,46.0
81,73.0,0,60,0.0,46.0
82,57.0,0,35,4.0,31.0
83,57.0,60,35,2.0,37.0
84,73.0,0,35,1.0,54.0
85,76.0,0,35,0.0,54.0
86,61.0,60,35,4.0,33.0
87,81.0,0,35,0.0,61.0
88,64.0,0,35,1.0,61.0
89,61.0,0,35,2.0,39.0
90,69.0,0,180,4.0,29.0
91,73.0,0,180,4.0,29.0
92,74.0,0,60,4.0,36.0
93,68.0,0,60,4.0,36.0
94,74.0,0,60,0.0,58.0
95,73.0,60,30,4.0,38.0
96,73.0,0,30,0.0,56.0
97,71.0,0,30,0.0,55.0
98,68.0,60,120,1.0,58.0
99,59.0,0,120,4.0,36.0
100,71.0,30,30,4.0,39.0
101,59.0,0,120,2.0,42.0
102,69.0,30,35,1.0,54.0
103,73.0,0,35,0.0,54.0
104,57.0,0,35,4.0,40.0
105,57.0,0,35,2.0,47.0
106,69.0,0,60,4.0,40.0
107,73.0,0,60,4.0,40.0
108,64.0,0,30,2.0,50.0
109,64.0,0,30,4.0,42.0
110,63.0,30,30,4.0,44.0
111,63.0,0,30,2.0,52.0
112,64.0,30,35,4.0,44.0
113,64.0,0,35,2.0,52.0
114,59.0,60,35,4.0,45.0
115,59.0,0,35,2.0,53.0
116,71.0,0,240,0.0,52.0
117,52.0,0,120,2.0,54.0
118,73.0,60,60,0.0,48.0
119,52.0,60,120,4.0,46.0
120,71.0,0,300,4.0,42.0
121,68.0,60,300,4.0,42.0
122,51.0,0,35,2.0,56.0
123,51.0,0,35,4.0,48.0
124,68.0,0,60,4.0,48.0
125,71.0,0,60,4.0,48.0
126,75.0,0,60,4.0,48.0
127,75.0,60,60,0.0,57.0
128,76.0,0,35,0.0,66.0
