,note,step,duration,channel,velocity
0,64.0,0,180,0.0,93.0
1,69.0,240,96,0.0,93.0
2,68.0,120,96,0.0,93.0
3,71.0,120,96,0.0,93.0
4,69.0,120,96,0.0,93.0
5,73.0,120,96,0.0,93.0
6,71.0,120,96,0.0,93.0
7,69.0,120,96,0.0,93.0
8,68.0,120,113,0.0,93.0
9,69.0,120,192,0.0,93.0
10,64.0,240,192,0.0,93.0
11,61.0,240,96,0.0,93.0
12,64.0,120,96,0.0,93.0
13,69.0,120,96,0.0,93.0
14,52.0,0,180,1.0,93.0
15,71.0,120,96,0.0,93.0
16,57.0,0,96,1.0,93.0
17,73.0,120,96,0.0,93.0
18,71.0,120,96,0.0,93.0
19,56.0,0,96,1.0,93.0
20,74.0,0,96,0.0,93.0
21,59.0,120,96,1.0,93.0
22,57.0,120,96,1.0,93.0
23,73.0,0,96,0.0,93.0
24,76.0,120,96,0.0,93.0
25,61.0,0,96,1.0,93.0
26,59.0,0,96,1.0,93.0
27,74.0,120,96,0.0,93.0
28,73.0,0,96,0.0,93.0
29,57.0,120,96,1.0,93.0
30,56.0,0,96,1.0,93.0
31,71.0,120,96,0.0,93.0
32,74.0,0,96,0.0,93.0
33,57.0,120,192,1.0,93.0
34,73.0,120,96,0.0,93.0
35,71.0,0,96,0.0,93.0
36,52.0,120,192,1.0,93.0
37,73.0,120,96,0.0,93.0
38,49.0,120,96,1.0,93.0
39,69.0,0,96,0.0,93.0
40,52.0,120,96,1.0,93.0
41,71.0,0,96,0.0,93.0
42,73.0,0,96,0.0,93.0
43,57.0,120,96,1.0,93.0
44,74.0,120,96,0.0,93.0
45,59.0,0,96,1.0,93.0
46,61.0,0,96,1.0,93.0
47,76.0,120,192,0.0,93.0
48,59.0,120,96,1.0,93.0
49,79.0,90,30,0.0,92.0
50,62.0,30,96,1.0,93.0
51,61.0,120,96,1.0,93.0
52,78.0,0,225,0.0,93.0
53,79.0,0,24,0.0,93.0
54,78.0,30,24,0.0,93.0
55,64.0,120,96,1.0,93.0
56,62.0,60,96,1.0,93.0
57,79.0,30,252,0.0,93.0
58,61.0,120,96,1.0,93.0
59,57.0,0,96,1.0,93.0
60,81.0,120,96,0.0,93.0
61,62.0,120,96,1.0,93.0
62,78.0,0,192,0.0,93.0
63,61.0,120,96,1.0,93.0
64,81.0,90,30,0.0,92.0
65,64.0,0,96,1.0,93.0
