,note,step,duration,channel,velocity
0,82.0,192,62,0.0,127.0
1,79.0,0,312,0.0,127.0
2,81.0,64,62,0.0,127.0
3,79.0,64,62,0.0,127.0
4,78.0,64,62,0.0,127.0
5,81.0,64,62,0.0,127.0
6,74.0,64,62,0.0,127.0
7,72.0,64,62,0.0,127.0
8,74.0,64,62,0.0,127.0
9,69.0,64,62,0.0,127.0
10,70.0,64,62,0.0,127.0
11,74.0,64,62,0.0,127.0
12,70.0,256,62,0.0,127.0
13,67.0,64,376,0.0,127.0
14,69.0,64,62,0.0,127.0
15,67.0,64,62,0.0,127.0
16,66.0,64,62,0.0,127.0
17,69.0,64,62,0.0,127.0
18,62.0,64,62,0.0,127.0
19,60.0,64,62,0.0,127.0
20,62.0,64,62,0.0,127.0
21,57.0,64,62,0.0,127.0
22,58.0,64,62,0.0,127.0
23,62.0,64,62,0.0,127.0
24,58.0,192,62,0.0,127.0
25,55.0,64,312,0.0,127.0
26,57.0,64,62,0.0,127.0
27,55.0,64,62,0.0,127.0
28,54.0,64,62,0.0,127.0
29,57.0,64,62,0.0,127.0
30,50.0,64,62,0.0,127.0
31,48.0,64,62,0.0,127.0
32,50.0,64,62,0.0,127.0
33,45.0,64,62,0.0,127.0
34,46.0,64,62,0.0,127.0
35,50.0,64,62,0.0,127.0
36,43.0,64,284,0.0,127.0
37,46.0,350,94,0.0,127.0
38,45.0,96,94,0.0,127.0
39,43.0,96,94,0.0,127.0
40,42.0,96,94,0.0,127.0
41,45.0,96,94,0.0,127.0
42,38.0,96,144,0.0,127.0
43,51.0,112,94,0.0,127.0
44,50.0,96,94,0.0,127.0
45,48.0,96,94,0.0,127.0
46,46.0,96,94,0.0,127.0
47,50.0,96,94,0.0,127.0
48,43.0,96,144,0.0,127.0
49,58.0,128,94,0.0,127.0
50,57.0,96,94,0.0,127.0
51,55.0,96,94,0.0,127.0
52,54.0,96,94,0.0,127.0
53,57.0,96,94,0.0,127.0
54,50.0,96,144,0.0,127.0
55,63.0,96,94,0.0,127.0
56,62.0,96,94,0.0,127.0
57,60.0,96,94,0.0,127.0
58,59.0,96,94,0.0,127.0
59,62.0,96,124,0.0,127.0
60,55.0,96,120,0.0,127.0
61,56.0,128,94,0.0,127.0
62,55.0,96,94,0.0,127.0
63,53.0,96,94,0.0,127.0
64,51.0,96,94,0.0,127.0
65,55.0,96,94,0.0,127.0
66,48.0,96,144,0.0,127.0
67,58.0,112,94,0.0,127.0
68,57.0,96,94,0.0,127.0
69,55.0,96,94,0.0,127.0
70,54.0,96,94,0.0,127.0
71,57.0,96,94,0.0,127.0
72,50.0,96,94,0.0,127.0
73,51.0,112,94,0.0,127.0
74,50.0,96,94,0.0,127.0
75,48.0,96,94,0.0,127.0
76,46.0,96,94,0.0,127.0
77,50.0,96,94,0.0,127.0
78,43.0,96,123,0.0,127.0
79,51.0,139,99,0.0,127.0
80,50.0,101,94,0.0,127.0
81,48.0,96,94,0.0,127.0
82,46.0,96,94,0.0,127.0
83,50.0,96,94,0.0,127.0
84,43.0,96,119,0.0,127.0
85,51.0,135,103,0.0,127.0
86,50.0,109,103,0.0,127.0
87,48.0,109,103,0.0,127.0
88,46.0,109,103,0.0,127.0
89,50.0,109,97,0.0,127.0
90,43.0,111,141,0.0,127.0
91,45.0,170,157,0.0,127.0
92,48.0,181,157,0.0,127.0
93,42.0,175,157,0.0,127.0
94,72.0,3,575,0.0,127.0
95,67.0,3,582,0.0,127.0
96,60.0,60,700,0.0,127.0
97,63.0,3,700,0.0,127.0
98,66.0,571,125,0.0,127.0
99,67.0,0,320,0.0,127.0
100,60.0,0,382,0.0,127.0
101,66.0,320,64,0.0,127.0
102,67.0,64,64,0.0,127.0
103,66.0,64,64,0.0,127.0
104,67.0,64,64,0.0,127.0
105,66.0,64,64,0.0,127.0
106,67.0,64,55,0.0,127.0
107,63.0,0,382,0.0,127.0
108,66.0,44,455,0.0,127.0
109,57.0,128,1150,0.0,127.0
110,62.0,84,382,0.0,127.0
111,43.0,170,2300,0.0,127.0
112,55.0,0,1532,0.0,127.0
113,57.0,384,382,0.0,127.0
114,66.0,1,380,0.0,127.0
115,60.0,1,381,0.0,127.0
116,67.0,1,1150,0.0,127.0
117,43.0,382,1532,0.0,127.0
118,58.0,1,1532,0.0,127.0
119,55.0,0,1532,0.0,127.0
120,62.0,0,1532,0.0,127.0
121,65.0,1150,382,0.0,127.0
122,64.0,384,190,0.0,127.0
123,67.0,192,190,0.0,127.0
124,66.0,192,190,0.0,127.0
125,69.0,192,94,0.0,127.0
126,67.0,96,94,0.0,127.0
127,67.0,0,48,0.0,127.0
128,66.0,48,48,0.0,127.0
129,67.0,48,575,0.0,127.0
130,65.0,576,90,0.0,127.0
131,52.0,0,766,0.0,127.0
132,65.0,96,144,0.0,127.0
133,64.0,144,48,0.0,127.0
134,65.0,48,48,0.0,127.0
135,64.0,48,48,0.0,127.0
136,65.0,48,48,0.0,127.0
137,55.0,0,766,0.0,127.0
138,64.0,48,812,0.0,127.0
139,58.0,0,1920,0.0,127.0
140,43.0,96,2300,0.0,127.0
141,62.0,384,382,0.0,127.0
142,53.0,432,767,0.0,127.0
143,61.0,384,48,0.0,127.0
144,59.0,54,48,0.0,127.0
145,61.0,54,840,0.0,127.0
