,note,step,duration,channel,velocity
0,69.0,0,84,8.0,75.0
1,53.0,0,84,0.0,127.0
2,72.0,0,84,13.0,96.0
3,65.0,0,84,13.0,96.0
4,72.0,0,84,2.0,62.0
5,69.0,0,84,3.0,62.0
6,72.0,0,84,7.0,75.0
7,72.0,0,84,6.0,75.0
8,53.0,0,42,0.0,127.0
9,57.0,0,180,5.0,49.0
10,72.0,0,84,3.0,62.0
11,75.0,0,84,7.0,75.0
12,45.0,0,180,12.0,98.0
13,72.0,96,84,8.0,75.0
14,65.0,0,180,4.0,62.0
15,75.0,0,84,2.0,62.0
16,57.0,0,180,13.0,96.0
17,75.0,0,84,6.0,75.0
18,72.0,0,84,13.0,96.0
19,65.0,0,180,10.0,75.0
20,63.0,0,84,13.0,96.0
21,57.0,0,180,11.0,98.0
22,53.0,48,42,0.0,127.0
23,53.0,0,42,0.0,127.0
24,65.0,0,84,13.0,96.0
25,74.0,0,84,13.0,96.0
26,58.0,0,84,13.0,96.0
27,70.0,0,84,8.0,75.0
28,46.0,0,84,12.0,98.0
29,74.0,0,84,6.0,75.0
30,65.0,0,84,4.0,62.0
31,58.0,48,84,11.0,98.0
32,70.0,0,84,3.0,62.0
33,65.0,0,84,10.0,75.0
34,58.0,0,84,5.0,49.0
35,74.0,0,84,2.0,62.0
36,74.0,0,84,7.0,75.0
37,53.0,48,42,0.0,127.0
38,65.0,0,10,10.0,75.0
39,63.0,12,10,10.0,75.0
40,65.0,12,10,10.0,75.0
41,63.0,12,10,10.0,75.0
42,65.0,12,10,10.0,75.0
43,63.0,12,10,10.0,75.0
44,65.0,12,10,10.0,75.0
45,60.0,0,84,5.0,49.0
46,60.0,0,84,13.0,96.0
47,75.0,0,84,13.0,96.0
48,72.0,0,84,2.0,62.0
49,69.0,0,84,13.0,96.0
50,72.0,0,84,7.0,75.0
51,48.0,0,84,12.0,98.0
52,72.0,0,84,6.0,75.0
53,53.0,0,84,1.0,127.0
54,53.0,0,84,0.0,127.0
55,69.0,0,84,3.0,62.0
56,63.0,48,84,4.0,62.0
57,60.0,0,84,11.0,98.0
58,69.0,0,84,8.0,75.0
59,63.0,12,10,10.0,75.0
60,70.0,0,42,2.0,62.0
61,70.0,0,42,6.0,75.0
62,62.0,0,42,10.0,75.0
63,53.0,0,42,1.0,127.0
64,70.0,12,42,7.0,75.0
65,62.0,0,42,4.0,62.0
66,63.0,0,84,5.0,49.0
67,51.0,0,84,12.0,98.0
68,65.0,0,84,3.0,62.0
69,63.0,0,84,11.0,98.0
70,70.0,0,84,13.0,96.0
71,75.0,0,84,13.0,96.0
72,63.0,0,84,13.0,96.0
73,65.0,0,84,8.0,75.0
74,69.0,0,42,7.0,75.0
75,69.0,48,42,6.0,75.0
76,53.0,0,42,1.0,127.0
77,60.0,0,42,4.0,62.0
78,60.0,0,42,10.0,75.0
79,69.0,0,42,2.0,62.0
80,53.0,0,42,1.0,127.0
81,70.0,0,84,7.0,75.0
82,65.0,0,84,8.0,75.0
83,62.0,0,84,11.0,98.0
84,62.0,0,84,13.0,96.0
85,70.0,0,84,13.0,96.0
86,70.0,0,84,2.0,62.0
87,65.0,0,84,3.0,62.0
88,62.0,0,84,10.0,75.0
89,62.0,48,84,5.0,49.0
90,62.0,0,84,4.0,62.0
91,70.0,0,84,6.0,75.0
92,50.0,0,84,12.0,98.0
93,53.0,48,42,1.0,127.0
94,69.0,0,84,8.0,75.0
95,63.0,0,84,4.0,62.0
96,72.0,0,84,2.0,62.0
97,63.0,0,84,10.0,75.0
98,72.0,0,84,6.0,75.0
99,53.0,0,84,1.0,127.0
