,note,step,duration,channel,velocity
0,50.0,0,24,3.0,107.0
1,74.0,1,30,2.0,122.0
2,81.0,3,27,0.0,116.0
3,50.0,3,30,7.0,107.0
4,78.0,3,25,1.0,113.0
5,50.0,3,29,12.0,122.0
6,50.0,27,22,3.0,122.0
7,50.0,5,27,3.0,119.0
8,74.0,164,38,5.0,82.0
9,69.0,4,37,6.0,87.0
10,74.0,24,258,2.0,107.0
11,81.0,2,261,0.0,100.0
12,78.0,1,265,1.0,105.0
13,74.0,57,70,5.0,95.0
14,69.0,3,77,6.0,87.0
15,64.0,67,38,4.0,85.0
16,66.0,54,37,4.0,91.0
17,66.0,42,40,6.0,70.0
18,69.0,1,37,5.0,80.0
19,62.0,12,47,4.0,89.0
20,74.0,175,39,10.0,93.0
21,69.0,8,39,11.0,91.0
22,74.0,46,70,10.0,89.0
23,69.0,9,64,11.0,91.0
24,64.0,50,37,8.0,89.0
25,50.0,3,807,7.0,102.0
26,50.0,3,818,12.0,107.0
27,66.0,55,38,8.0,102.0
28,50.0,56,24,3.0,102.0
29,86.0,1,26,0.0,113.0
30,50.0,16,29,12.0,113.0
31,81.0,1,30,1.0,113.0
32,62.0,0,50,8.0,102.0
33,50.0,0,32,7.0,100.0
34,78.0,2,30,2.0,110.0
35,69.0,0,38,10.0,85.0
36,50.0,12,26,3.0,119.0
37,66.0,3,39,11.0,80.0
38,66.0,5,503,5.0,87.0
39,62.0,53,509,6.0,70.0
40,50.0,3,35,3.0,113.0
41,74.0,164,36,5.0,82.0
42,66.0,9,41,6.0,82.0
43,81.0,0,259,1.0,113.0
44,69.0,9,744,4.0,89.0
45,86.0,1,271,0.0,105.0
46,78.0,4,270,2.0,107.0
47,74.0,57,75,5.0,98.0
48,66.0,9,70,6.0,82.0
49,67.0,52,31,4.0,76.0
50,69.0,58,38,4.0,80.0
51,66.0,56,35,4.0,85.0
52,62.0,7,36,6.0,74.0
53,69.0,6,39,5.0,80.0
54,62.0,0,506,11.0,80.0
55,66.0,3,515,10.0,91.0
56,74.0,1,37,10.0,93.0
57,67.0,170,39,11.0,89.0
58,71.0,29,761,8.0,98.0
59,50.0,1,778,7.0,98.0
60,67.0,55,71,11.0,87.0
61,74.0,3,72,10.0,100.0
62,69.0,52,33,8.0,87.0
63,50.0,7,814,12.0,105.0
64,71.0,61,34,8.0,89.0
65,67.0,52,39,8.0,95.0
66,50.0,0,19,3.0,116.0
67,62.0,8,35,11.0,80.0
68,62.0,3,29,2.0,113.0
69,50.0,2,30,12.0,105.0
70,71.0,6,35,10.0,87.0
71,50.0,0,30,7.0,100.0
72,79.0,3,37,1.0,113.0
73,74.0,5,35,0.0,102.0
74,50.0,22,21,3.0,127.0
75,71.0,1,493,5.0,82.0
76,62.0,5,495,6.0,82.0
77,50.0,3,24,3.0,113.0
78,74.0,159,39,5.0,82.0
79,69.0,9,34,6.0,82.0
80,67.0,56,734,4.0,91.0
81,81.0,3,253,0.0,98.0
82,62.0,5,269,2.0,107.0
83,81.0,8,259,1.0,100.0
84,66.0,47,36,4.0,82.0
85,69.0,1,84,6.0,87.0
86,74.0,58,86,5.0,95.0
87,67.0,57,43,4.0,85.0
88,64.0,60,46,4.0,82.0
89,73.0,13,35,6.0,87.0
90,67.0,1,39,5.0,82.0
91,62.0,0,508,11.0,82.0
92,69.0,3,509,10.0,89.0
93,66.0,47,52,4.0,70.0
94,69.0,21,537,8.0,98.0
95,67.0,45,51,4.0,76.0
96,67.0,11,43,8.0,85.0
97,69.0,48,41,4.0,68.0
98,69.0,7,44,8.0,76.0
99,74.0,48,44,11.0,91.0
100,78.0,8,35,10.0,93.0
101,71.0,4,40,8.0,89.0
102,71.0,1,53,4.0,89.0
103,69.0,8,230,5.0,85.0
104,74.0,9,257,6.0,91.0
105,73.0,3,44,4.0,74.0
106,73.0,4,42,8.0,72.0
107,50.0,0,766,7.0,100.0
108,78.0,4,73,10.0,100.0
109,69.0,48,81,11.0,82.0
110,74.0,50,52,4.0,82.0
111,74.0,6,46,8.0,87.0
112,50.0,2,823,12.0,107.0
113,76.0,7,40,8.0,95.0
114,76.0,53,49,4.0,100.0
115,78.0,47,42,4.0,91.0
116,50.0,3,23,3.0,116.0
117,74.0,0,31,1.0,102.0
118,74.0,6,33,5.0,87.0
119,69.0,0,34,6.0,89.0
120,78.0,4,43,8.0,98.0
121,74.0,3,42,10.0,76.0
122,50.0,3,34,12.0,102.0
123,78.0,0,30,0.0,89.0
124,69.0,0,40,11.0,70.0
125,69.0,4,33,2.0,93.0
126,50.0,2,33,7.0,100.0
127,50.0,18,30,3.0,113.0
128,50.0,3,37,3.0,113.0
129,50.0,0,283,12.0,98.0
130,50.0,2,282,7.0,100.0
131,76.0,2,316,5.0,89.0
132,71.0,0,316,11.0,82.0
133,50.0,285,27,3.0,105.0
134,79.0,3,328,0.0,102.0
135,71.0,2,347,6.0,91.0
136,76.0,2,335,2.0,93.0
137,76.0,2,346,1.0,98.0
138,79.0,19,359,4.0,87.0
139,49.0,16,37,12.0,93.0
140,79.0,5,363,8.0,85.0
141,49.0,11,35,7.0,100.0
142,76.0,3,361,10.0,98.0
143,50.0,29,30,3.0,95.0
144,50.0,12,36,12.0,89.0
145,50.0,15,43,7.0,98.0
146,50.0,29,31,3.0,102.0
147,79.0,10,35,8.0,100.0
148,47.0,8,46,12.0,98.0
149,71.0,4,33,6.0,80.0
150,47.0,4,41,7.0,91.0
151,79.0,2,32,0.0,89.0
152,76.0,1,34,1.0,95.0
153,76.0,4,31,10.0,102.0
154,79.0,2,37,4.0,87.0
155,76.0,0,33,5.0,95.0
156,76.0,3,43,2.0,95.0
157,71.0,0,54,11.0,85.0
158,45.0,33,54,3.0,122.0
159,79.0,0,81,8.0,100.0
160,79.0,4,69,0.0,100.0
161,76.0,0,90,10.0,91.0
162,69.0,2,82,11.0,85.0
163,76.0,1,94,5.0,93.0
164,69.0,0,102,6.0,89.0
165,49.0,4,117,12.0,100.0
166,79.0,4,105,4.0,85.0
167,76.0,1,97,1.0,102.0
168,69.0,0,104,2.0,93.0
169,49.0,10,114,7.0,98.0
170,76.0,146,53,8.0,82.0
171,76.0,23,46,4.0,82.0
172,76.0,8,45,0.0,85.0
173,45.0,1,51,3.0,122.0
174,81.0,35,79,8.0,100.0
175,64.0,2,79,11.0,87.0
176,73.0,5,84,10.0,91.0
177,81.0,1,68,0.0,102.0
178,69.0,2,81,6.0,87.0
179,73.0,3,93,5.0,85.0
180,81.0,1,85,4.0,100.0
181,45.0,4,102,12.0,89.0
182,45.0,1,104,7.0,89.0
183,69.0,6,93,2.0,107.0
184,76.0,2,104,1.0,95.0
185,76.0,146,46,8.0,85.0
186,76.0,13,46,4.0,80.0
187,76.0,16,34,0.0,91.0
188,50.0,18,46,3.0,127.0
189,62.0,1,84,11.0,91.0
190,74.0,1,83,10.0,98.0
191,69.0,1,102,6.0,89.0
192,69.0,3,106,2.0,102.0
193,78.0,35,123,8.0,95.0
194,74.0,2,113,1.0,98.0
195,74.0,0,110,5.0,91.0
196,78.0,0,120,4.0,95.0
197,78.0,7,110,0.0,98.0
198,69.0,147,39,10.0,85.0
199,66.0,3,37,11.0,82.0
200,50.0,4,262,12.0,98.0
201,50.0,5,263,7.0,95.0
202,66.0,0,80,11.0,80.0
203,69.0,6,77,10.0,100.0
204,49.0,37,42,7.0,72.0
205,49.0,3,43,12.0,93.0
206,74.0,51,110,8.0,85.0
207,74.0,1,108,4.0,87.0
208,66.0,3,113,6.0,95.0
209,69.0,2,114,5.0,87.0
210,66.0,7,106,2.0,105.0
211,69.0,1,127,1.0,100.0
212,74.0,4,140,0.0,100.0
213,50.0,56,46,12.0,82.0
214,50.0,6,45,7.0,85.0
215,52.0,47,43,12.0,87.0
216,66.0,1,33,10.0,93.0
217,52.0,6,46,7.0,76.0
218,62.0,6,45,11.0,74.0
219,54.0,54,47,7.0,85.0
220,54.0,0,48,12.0,100.0
221,55.0,53,41,7.0,87.0
222,55.0,1,47,12.0,100.0
223,57.0,57,45,12.0,82.0
224,57.0,0,45,7.0,78.0
225,59.0,60,37,12.0,98.0
226,59.0,0,39,7.0,89.0
227,74.0,5,40,6.0,85.0
228,78.0,8,33,5.0,85.0
229,60.0,45,39,12.0,98.0
230,60.0,3,44,7.0,91.0
231,78.0,3,65,5.0,93.0
232,74.0,8,69,6.0,93.0
233,59.0,44,36,12.0,102.0
234,59.0,5,35,7.0,102.0
235,60.0,54,38,12.0,100.0
236,60.0,5,40,7.0,87.0
237,57.0,49,31,12.0,102.0
238,66.0,2,38,6.0,60.0
239,57.0,1,44,7.0,76.0
240,72.0,12,46,5.0,89.0
241,81.0,1,505,4.0,95.0
242,62.0,2,498,10.0,89.0
243,57.0,4,506,11.0,74.0
244,81.0,1,507,8.0,98.0
245,79.0,44,38,4.0,76.0
246,79.0,6,37,8.0,100.0
247,81.0,54,37,8.0,82.0
248,81.0,1,40,4.0,85.0
249,66.0,1,41,11.0,87.0
250,78.0,0,47,8.0,87.0
251,78.0,54,48,4.0,82.0
252,81.0,19,35,10.0,95.0
253,51.0,4,250,7.0,91.0
254,51.0,0,268,12.0,100.0
255,81.0,5,65,10.0,102.0
256,66.0,35,88,11.0,85.0
257,71.0,2,302,5.0,82.0
258,83.0,15,82,8.0,100.0
259,66.0,61,317,6.0,87.0
260,49.0,51,35,7.0,95.0
261,83.0,1,97,4.0,87.0
262,49.0,8,35,12.0,102.0
263,51.0,54,30,7.0,98.0
264,51.0,2,33,12.0,95.0
265,47.0,45,44,7.0,95.0
266,47.0,5,46,12.0,98.0
267,81.0,2,37,8.0,85.0
268,78.0,9,44,10.0,72.0
269,81.0,3,42,4.0,87.0
270,71.0,4,45,5.0,82.0
271,66.0,6,42,6.0,72.0
272,63.0,1,46,11.0,64.0
273,75.0,44,73,10.0,100.0
274,75.0,1,84,5.0,93.0
275,71.0,1,79,6.0,89.0
276,59.0,0,92,12.0,100.0
277,59.0,4,86,11.0,87.0
278,59.0,2,98,7.0,93.0
279,78.0,169,44,10.0,70.0
280,78.0,6,47,5.0,85.0
281,66.0,3,45,6.0,64.0
282,61.0,1,49,11.0,82.0
283,63.0,5,53,11.0,91.0
284,63.0,2,65,6.0,78.0
285,71.0,9,77,10.0,87.0
286,71.0,2,85,5.0,82.0
287,47.0,40,104,12.0,91.0
288,47.0,3,104,7.0,89.0
289,79.0,2,357,8.0,98.0
290,79.0,4,352,4.0,89.0
291,75.0,170,37,10.0,89.0
292,78.0,0,34,4.0,95.0
293,78.0,8,36,8.0,100.0
294,75.0,4,44,5.0,61.0
295,59.0,1,49,11.0,76.0
296,71.0,3,43,6.0,82.0
297,71.0,3,64,6.0,89.0
298,76.0,4,80,5.0,80.0
299,76.0,0,35,5.0,95.0
300,71.0,177,42,6.0,100.0
301,79.0,0,275,8.0,91.0
302,79.0,3,283,4.0,87.0
303,76.0,59,82,5.0,100.0
304,78.0,47,34,8.0,93.0
305,71.0,5,85,6.0,93.0
306,78.0,12,37,4.0,95.0
307,79.0,46,34,8.0,102.0
308,79.0,13,34,4.0,91.0
309,76.0,46,33,8.0,91.0
310,67.0,2,39,6.0,78.0
311,71.0,3,37,5.0,80.0
