,note,step,duration,channel,velocity
0,62.0,0,120,0.0,100.0
1,67.0,120,120,0.0,100.0
2,55.0,0,240,1.0,100.0
3,71.0,0,120,0.0,100.0
4,69.0,120,120,0.0,100.0
5,50.0,120,240,1.0,100.0
6,67.0,0,120,0.0,100.0
7,47.0,120,240,1.0,100.0
8,71.0,120,120,0.0,100.0
9,74.0,120,120,0.0,100.0
10,72.0,120,120,0.0,100.0
11,43.0,0,240,1.0,100.0
12,71.0,120,120,0.0,100.0
13,55.0,120,120,1.0,100.0
14,74.0,0,120,0.0,100.0
15,54.0,0,120,1.0,100.0
16,79.0,120,120,0.0,100.0
17,52.0,120,120,1.0,100.0
18,62.0,0,120,0.0,100.0
19,54.0,120,240,1.0,100.0
20,66.0,120,120,0.0,100.0
21,69.0,0,120,0.0,100.0
22,67.0,120,120,0.0,100.0
23,50.0,120,240,1.0,100.0
24,66.0,0,120,0.0,100.0
25,69.0,120,120,0.0,100.0
26,45.0,120,240,1.0,100.0
27,72.0,120,120,0.0,100.0
28,42.0,0,240,1.0,100.0
29,71.0,120,120,0.0,100.0
30,69.0,120,120,0.0,100.0
31,54.0,120,120,1.0,100.0
32,74.0,0,120,0.0,100.0
33,52.0,120,120,1.0,100.0
34,78.0,0,120,0.0,100.0
35,50.0,120,120,1.0,100.0
36,59.0,0,120,0.0,100.0
37,64.0,120,120,0.0,100.0
38,52.0,120,240,1.0,100.0
39,67.0,120,120,0.0,100.0
40,66.0,120,120,0.0,100.0
41,47.0,0,240,1.0,100.0
42,64.0,120,120,0.0,100.0
43,43.0,0,240,1.0,100.0
44,67.0,120,120,0.0,100.0
45,71.0,120,120,0.0,100.0
46,69.0,120,120,0.0,100.0
47,40.0,0,240,1.0,100.0
48,67.0,120,120,0.0,100.0
49,52.0,120,120,1.0,100.0
50,73.0,0,120,0.0,100.0
51,50.0,120,120,1.0,100.0
52,76.0,0,120,0.0,100.0
53,49.0,120,120,1.0,100.0
54,57.0,0,120,0.0,100.0
55,50.0,120,240,1.0,100.0
56,62.0,120,120,0.0,100.0
57,66.0,0,120,0.0,100.0
58,45.0,120,240,1.0,100.0
59,64.0,120,120,0.0,100.0
60,62.0,0,120,0.0,100.0
61,66.0,120,120,0.0,100.0
62,42.0,120,240,1.0,100.0
63,69.0,120,120,0.0,100.0
64,67.0,120,120,0.0,100.0
65,38.0,0,240,1.0,100.0
66,66.0,120,120,0.0,100.0
67,48.0,120,120,1.0,100.0
68,69.0,0,120,0.0,100.0
69,47.0,120,120,1.0,100.0
70,45.0,120,120,1.0,100.0
71,74.0,0,360,0.0,100.0
72,71.0,120,120,0.0,100.0
73,47.0,120,240,1.0,100.0
74,67.0,0,120,0.0,100.0
75,69.0,120,120,0.0,100.0
76,50.0,120,240,1.0,100.0
77,71.0,0,120,0.0,100.0
78,55.0,120,240,1.0,100.0
79,67.0,120,120,0.0,100.0
80,62.0,0,120,0.0,100.0
81,64.0,120,120,0.0,100.0
82,59.0,120,240,1.0,100.0
83,65.0,120,120,0.0,100.0
84,55.0,0,120,1.0,100.0
85,62.0,120,120,0.0,100.0
86,59.0,0,120,0.0,100.0
87,53.0,120,120,1.0,100.0
88,55.0,120,120,1.0,100.0
89,76.0,120,120,0.0,100.0
90,72.0,120,120,0.0,100.0
91,48.0,0,240,1.0,100.0
92,69.0,120,120,0.0,100.0
93,52.0,0,240,1.0,100.0
94,71.0,120,120,0.0,100.0
95,72.0,120,120,0.0,100.0
96,57.0,0,240,1.0,100.0
97,69.0,120,120,0.0,100.0
98,64.0,0,120,0.0,100.0
99,66.0,120,120,0.0,100.0
100,60.0,120,240,1.0,100.0
101,67.0,120,120,0.0,100.0
102,57.0,120,120,1.0,100.0
103,64.0,0,120,0.0,100.0
104,60.0,0,120,0.0,100.0
105,55.0,120,120,1.0,100.0
106,57.0,120,120,1.0,100.0
107,81.0,0,120,0.0,100.0
108,50.0,120,240,1.0,100.0
109,78.0,120,120,0.0,100.0
110,74.0,0,120,0.0,100.0
111,54.0,120,240,1.0,100.0
112,76.0,120,120,0.0,100.0
113,78.0,0,120,0.0,100.0
114,74.0,120,120,0.0,100.0
115,57.0,120,240,1.0,100.0
116,69.0,0,120,0.0,100.0
117,62.0,120,240,1.0,100.0
118,71.0,120,120,0.0,100.0
119,72.0,120,120,0.0,100.0
120,69.0,0,120,0.0,100.0
121,50.0,120,120,1.0,100.0
122,66.0,120,120,0.0,100.0
123,48.0,0,120,1.0,100.0
124,72.0,120,120,0.0,100.0
125,50.0,0,120,1.0,100.0
126,71.0,0,120,0.0,100.0
127,67.0,120,120,0.0,100.0
128,43.0,120,240,1.0,100.0
129,62.0,0,120,0.0,100.0
130,55.0,120,240,1.0,100.0
131,66.0,120,120,0.0,100.0
132,67.0,0,120,0.0,100.0
133,62.0,120,120,0.0,100.0
134,47.0,120,240,1.0,100.0
135,59.0,0,120,0.0,100.0
