,note,step,duration,channel,velocity
0,56.0,0,87,0.0,120.0
1,65.0,60,60,0.0,120.0
2,68.0,60,60,0.0,120.0
3,56.0,0,91,0.0,120.0
4,49.0,0,240,0.0,120.0
5,68.0,60,60,0.0,120.0
6,61.0,0,95,0.0,120.0
7,66.0,60,60,0.0,120.0
8,68.0,60,60,0.0,120.0
9,61.0,0,91,0.0,120.0
10,73.0,60,300,0.0,120.0
11,65.0,60,60,0.0,120.0
12,59.0,0,99,0.0,120.0
13,65.0,60,60,0.0,120.0
14,68.0,60,60,0.0,120.0
15,59.0,0,95,0.0,120.0
16,49.0,60,240,0.0,120.0
17,68.0,60,60,0.0,120.0
18,59.0,0,99,0.0,120.0
19,66.0,60,60,0.0,120.0
20,68.0,0,60,0.0,120.0
21,59.0,60,103,0.0,120.0
22,73.0,60,300,0.0,120.0
23,65.0,60,60,0.0,120.0
24,58.0,60,0,0.0,120.0
25,66.0,60,60,0.0,120.0
26,70.0,0,60,0.0,120.0
27,49.0,0,240,0.0,120.0
28,70.0,60,60,0.0,120.0
29,54.0,60,0,0.0,120.0
30,68.0,60,60,0.0,120.0
31,70.0,0,60,0.0,120.0
32,66.0,60,60,0.0,120.0
33,73.0,60,300,0.0,120.0
34,66.0,60,60,0.0,120.0
35,60.0,0,120,0.0,120.0
36,68.0,60,60,0.0,120.0
37,60.0,0,120,0.0,120.0
38,49.0,60,240,0.0,120.0
39,68.0,60,60,0.0,120.0
40,60.0,0,120,0.0,120.0
41,66.0,60,60,0.0,120.0
42,68.0,0,60,0.0,120.0
43,66.0,60,60,0.0,120.0
44,60.0,60,120,0.0,120.0
45,75.0,60,300,0.0,120.0
46,65.0,60,60,0.0,120.0
47,61.0,60,120,0.0,120.0
48,68.0,60,60,0.0,120.0
49,61.0,0,120,0.0,120.0
50,49.0,0,240,0.0,120.0
51,68.0,60,60,0.0,120.0
52,66.0,60,60,0.0,120.0
53,61.0,0,120,0.0,120.0
54,68.0,60,60,0.0,120.0
55,75.0,60,300,0.0,120.0
56,61.0,0,120,0.0,120.0
57,66.0,60,60,0.0,120.0
58,65.0,60,60,0.0,120.0
59,56.0,0,120,0.0,120.0
60,68.0,60,60,0.0,120.0
61,49.0,60,240,0.0,120.0
62,56.0,0,120,0.0,120.0
63,68.0,0,60,0.0,120.0
64,53.0,60,120,0.0,120.0
65,66.0,60,60,0.0,120.0
66,68.0,60,60,0.0,120.0
67,65.0,60,60,0.0,120.0
68,53.0,0,120,0.0,120.0
69,73.0,60,300,0.0,120.0
70,63.0,60,60,0.0,120.0
71,58.0,60,0,0.0,120.0
72,67.0,0,60,0.0,120.0
73,49.0,0,240,0.0,120.0
74,58.0,60,0,0.0,120.0
75,67.0,0,60,0.0,120.0
76,65.0,60,60,0.0,120.0
77,58.0,0,0,0.0,120.0
78,67.0,60,60,0.0,120.0
79,63.0,60,60,0.0,120.0
80,70.0,60,300,0.0,120.0
81,56.0,60,0,0.0,120.0
82,63.0,60,60,0.0,120.0
83,68.0,0,60,0.0,120.0
84,48.0,0,240,0.0,120.0
85,68.0,60,60,0.0,120.0
86,51.0,0,120,0.0,120.0
87,67.0,60,60,0.0,120.0
88,68.0,60,60,0.0,120.0
89,63.0,60,60,0.0,120.0
90,56.0,0,120,0.0,120.0
91,72.0,60,300,0.0,120.0
92,65.0,60,60,0.0,120.0
93,56.0,60,120,0.0,120.0
94,70.0,60,60,0.0,120.0
95,46.0,0,240,0.0,120.0
96,56.0,60,0,0.0,120.0
97,70.0,0,60,0.0,120.0
98,68.0,60,60,0.0,120.0
99,70.0,60,60,0.0,120.0
100,65.0,60,60,0.0,120.0
101,73.0,60,300,0.0,120.0
102,56.0,0,120,0.0,120.0
