,note,step,duration,channel,velocity
0,72.0,0,79,0.0,64.0
1,65.0,120,39,0.0,64.0
2,64.0,24,31,0.0,64.0
3,65.0,16,71,0.0,64.0
4,65.0,80,111,0.0,64.0
5,65.0,120,87,0.0,64.0
6,73.0,120,60,0.0,64.0
7,70.0,60,60,0.0,64.0
8,64.0,60,120,0.0,64.0
9,64.0,120,120,0.0,64.0
10,64.0,120,60,0.0,64.0
11,65.0,60,60,0.0,64.0
12,67.0,60,60,0.0,64.0
13,68.0,60,60,0.0,64.0
14,70.0,60,60,0.0,64.0
15,68.0,60,60,0.0,64.0
16,67.0,60,60,0.0,64.0
17,68.0,60,60,0.0,64.0
18,70.0,60,60,0.0,64.0
19,73.0,60,60,0.0,64.0
20,72.0,60,60,0.0,64.0
21,70.0,60,60,0.0,64.0
22,68.0,60,60,0.0,64.0
23,67.0,60,60,0.0,64.0
24,65.0,60,60,0.0,64.0
25,67.0,60,60,0.0,64.0
26,68.0,60,60,0.0,64.0
27,70.0,60,60,0.0,64.0
28,72.0,0,60,0.0,64.0
29,65.0,60,120,0.0,64.0
30,74.0,60,60,0.0,64.0
31,75.0,0,60,0.0,64.0
32,74.0,60,60,0.0,64.0
33,60.0,60,120,0.0,64.0
34,72.0,60,60,0.0,64.0
35,74.0,60,60,0.0,64.0
36,60.0,0,120,0.0,64.0
37,75.0,60,60,0.0,64.0
38,79.0,60,60,0.0,64.0
39,60.0,0,120,0.0,64.0
40,68.0,0,60,0.0,64.0
41,77.0,60,60,0.0,64.0
42,75.0,60,60,0.0,64.0
43,65.0,0,60,0.0,64.0
44,74.0,60,60,0.0,64.0
45,59.0,0,120,0.0,64.0
46,72.0,60,60,0.0,64.0
47,71.0,60,60,0.0,64.0
48,59.0,0,120,0.0,64.0
49,69.0,60,60,0.0,64.0
50,59.0,0,60,0.0,64.0
51,67.0,60,60,0.0,64.0
52,69.0,0,60,0.0,64.0
53,60.0,60,60,0.0,64.0
54,62.0,0,60,0.0,64.0
55,71.0,60,60,0.0,64.0
56,63.0,60,60,0.0,64.0
57,72.0,0,60,0.0,64.0
58,65.0,60,60,0.0,64.0
59,74.0,0,120,0.0,64.0
60,63.0,60,60,0.0,64.0
61,62.0,0,60,0.0,64.0
62,63.0,60,60,0.0,64.0
63,77.0,60,120,0.0,64.0
64,65.0,60,60,0.0,64.0
65,80.0,0,120,0.0,64.0
66,68.0,60,60,0.0,64.0
67,67.0,0,60,0.0,64.0
68,65.0,60,60,0.0,64.0
69,71.0,60,120,0.0,64.0
70,63.0,60,60,0.0,64.0
71,62.0,60,60,0.0,64.0
72,72.0,0,120,0.0,64.0
73,60.0,0,60,0.0,64.0
74,62.0,60,60,0.0,64.0
75,75.0,60,120,0.0,64.0
76,63.0,0,60,0.0,64.0
77,65.0,60,60,0.0,64.0
78,79.0,60,120,0.0,64.0
79,67.0,0,60,0.0,64.0
80,84.0,60,120,0.0,64.0
81,69.0,60,60,0.0,64.0
82,70.0,60,60,0.0,64.0
83,68.0,60,60,0.0,64.0
84,73.0,0,120,0.0,64.0
85,67.0,0,60,0.0,64.0
86,65.0,60,60,0.0,64.0
87,84.0,60,120,0.0,64.0
88,67.0,0,60,0.0,64.0
89,82.0,60,120,0.0,64.0
90,70.0,60,60,0.0,64.0
91,68.0,0,60,0.0,64.0
92,67.0,60,60,0.0,64.0
93,73.0,60,120,0.0,64.0
94,68.0,60,60,0.0,64.0
95,70.0,60,60,0.0,64.0
96,72.0,0,120,0.0,64.0
97,72.0,0,60,0.0,64.0
98,70.0,60,60,0.0,64.0
99,75.0,60,120,0.0,64.0
100,68.0,0,60,0.0,64.0
101,67.0,60,60,0.0,64.0
102,80.0,60,120,0.0,64.0
103,65.0,60,60,0.0,64.0
104,63.0,60,60,0.0,64.0
105,72.0,0,120,0.0,64.0
106,62.0,0,60,0.0,64.0
107,65.0,60,60,0.0,64.0
108,70.0,60,120,0.0,64.0
109,64.0,0,60,0.0,64.0
110,62.0,60,60,0.0,64.0
111,80.0,60,120,0.0,64.0
112,64.0,60,60,0.0,64.0
113,67.0,60,60,0.0,64.0
114,79.0,0,120,0.0,64.0
115,65.0,0,60,0.0,64.0
116,70.0,0,120,0.0,64.0
117,60.0,60,120,0.0,64.0
118,64.0,60,60,0.0,64.0
119,68.0,0,60,0.0,64.0
120,53.0,60,103,0.0,64.0
121,65.0,0,120,0.0,64.0
122,72.0,60,60,0.0,64.0
123,77.0,0,60,0.0,64.0
124,53.0,60,103,0.0,64.0
125,75.0,60,60,0.0,64.0
126,72.0,60,60,0.0,64.0
127,53.0,0,120,0.0,64.0
128,61.0,0,60,0.0,64.0
129,70.0,60,60,0.0,64.0
130,58.0,0,60,0.0,64.0
131,68.0,60,60,0.0,64.0
132,73.0,60,300,0.0,64.0
133,52.0,0,103,0.0,64.0
134,72.0,60,60,0.0,64.0
135,70.0,0,60,0.0,64.0
136,52.0,60,103,0.0,64.0
137,68.0,60,60,0.0,64.0
138,67.0,60,240,0.0,64.0
139,52.0,60,60,0.0,64.0
140,53.0,0,60,0.0,64.0
141,65.0,60,60,0.0,64.0
142,55.0,0,60,0.0,64.0
143,64.0,60,60,0.0,64.0
144,56.0,0,60,0.0,64.0
145,62.0,60,60,0.0,64.0
146,58.0,60,60,0.0,64.0
147,56.0,60,60,0.0,64.0
148,67.0,0,360,0.0,64.0
149,55.0,0,60,0.0,64.0
150,56.0,60,60,0.0,64.0
151,73.0,60,120,0.0,64.0
152,58.0,60,60,0.0,64.0
153,64.0,0,360,0.0,64.0
154,61.0,60,60,0.0,64.0
155,60.0,0,60,0.0,64.0
156,58.0,60,60,0.0,64.0
157,64.0,60,120,0.0,64.0
158,56.0,0,60,0.0,64.0
159,55.0,60,60,0.0,64.0
160,72.0,0,360,0.0,64.0
161,53.0,0,60,0.0,64.0
162,73.0,60,120,0.0,64.0
163,55.0,60,60,0.0,64.0
164,56.0,60,60,0.0,64.0
165,65.0,60,300,0.0,64.0
166,60.0,0,60,0.0,64.0
167,68.0,60,60,0.0,64.0
168,58.0,60,60,0.0,64.0
169,67.0,0,60,0.0,64.0
170,65.0,0,60,0.0,64.0
171,56.0,60,60,0.0,64.0
172,64.0,0,60,0.0,64.0
173,55.0,60,60,0.0,64.0
174,53.0,0,60,0.0,64.0
175,67.0,60,60,0.0,64.0
176,72.0,0,360,0.0,64.0
177,52.0,0,60,0.0,64.0
178,53.0,60,60,0.0,64.0
179,73.0,0,120,0.0,64.0
180,55.0,0,60,0.0,64.0
181,70.0,60,180,0.0,64.0
182,58.0,60,60,0.0,64.0
183,67.0,0,60,0.0,64.0
184,65.0,60,60,0.0,64.0
185,56.0,0,60,0.0,64.0
186,64.0,60,60,0.0,64.0
187,55.0,0,60,0.0,64.0
188,53.0,0,60,0.0,64.0
189,56.0,60,60,0.0,64.0
190,68.0,60,120,0.0,64.0
191,72.0,60,360,0.0,64.0
192,60.0,0,60,0.0,64.0
193,65.0,60,60,0.0,64.0
194,68.0,0,120,0.0,64.0
195,72.0,60,120,0.0,64.0
196,60.0,0,60,0.0,64.0
197,56.0,60,60,0.0,64.0
198,72.0,0,120,0.0,64.0
199,53.0,0,60,0.0,64.0
200,56.0,60,60,0.0,64.0
201,80.0,60,120,0.0,64.0
202,70.0,0,60,0.0,64.0
203,72.0,60,60,0.0,64.0
204,49.0,60,120,0.0,64.0
205,73.0,60,60,0.0,64.0
206,72.0,60,60,0.0,64.0
207,53.0,0,120,0.0,64.0
208,70.0,0,60,0.0,64.0
209,49.0,60,120,0.0,64.0
210,72.0,60,60,0.0,64.0
211,73.0,0,60,0.0,64.0
212,72.0,60,60,0.0,64.0
213,46.0,60,120,0.0,64.0
214,68.0,60,720,0.0,64.0
215,51.0,0,60,0.0,64.0
216,67.0,0,120,0.0,64.0
217,70.0,60,120,0.0,64.0
218,55.0,60,60,0.0,64.0
219,58.0,0,60,0.0,64.0
220,63.0,60,60,0.0,64.0
221,67.0,0,120,0.0,64.0
222,70.0,60,120,0.0,64.0
223,58.0,0,60,0.0,64.0
224,55.0,60,60,0.0,64.0
225,70.0,0,120,0.0,64.0
226,51.0,0,60,0.0,64.0
227,55.0,60,60,0.0,64.0
228,79.0,60,120,0.0,64.0
229,68.0,60,60,0.0,64.0
230,70.0,60,60,0.0,64.0
231,48.0,0,120,0.0,64.0
232,72.0,0,60,0.0,64.0
233,70.0,60,60,0.0,64.0
234,51.0,60,120,0.0,64.0
235,68.0,60,60,0.0,64.0
236,70.0,60,60,0.0,64.0
237,48.0,0,120,0.0,64.0
238,72.0,0,60,0.0,64.0
239,67.0,60,720,0.0,64.0
240,44.0,60,120,0.0,64.0
241,70.0,60,60,0.0,64.0
242,49.0,60,60,0.0,64.0
243,51.0,60,60,0.0,64.0
244,65.0,0,120,0.0,64.0
245,68.0,0,120,0.0,64.0
246,53.0,0,60,0.0,64.0
247,68.0,0,0,0.0,64.0
248,65.0,0,120,0.0,64.0
249,51.0,60,60,0.0,64.0
250,49.0,60,60,0.0,64.0
251,48.0,60,60,0.0,64.0
252,46.0,0,60,0.0,64.0
253,65.0,0,240,0.0,64.0
254,44.0,60,60,0.0,64.0
255,73.0,60,180,0.0,64.0
256,63.0,60,120,0.0,64.0
257,65.0,60,60,0.0,64.0
258,43.0,0,120,0.0,64.0
259,67.0,60,60,0.0,64.0
260,68.0,60,60,0.0,64.0
261,46.0,0,120,0.0,64.0
262,70.0,60,60,0.0,64.0
263,72.0,60,60,0.0,64.0
264,43.0,0,120,0.0,64.0
265,73.0,60,60,0.0,64.0
266,70.0,60,60,0.0,64.0
267,39.0,0,120,0.0,64.0
268,72.0,60,60,0.0,64.0
269,44.0,0,120,0.0,64.0
270,73.0,60,60,0.0,64.0
271,70.0,60,60,0.0,64.0
272,72.0,60,60,0.0,64.0
273,43.0,0,120,0.0,64.0
274,73.0,0,60,0.0,64.0
275,72.0,60,60,0.0,64.0
276,41.0,60,120,0.0,64.0
277,70.0,0,60,0.0,64.0
278,68.0,60,60,0.0,64.0
279,50.0,60,120,0.0,64.0
280,67.0,0,60,0.0,64.0
281,68.0,60,60,0.0,64.0
282,51.0,60,120,0.0,64.0
283,70.0,60,60,0.0,64.0
284,67.0,60,60,0.0,64.0
285,39.0,0,120,0.0,64.0
286,61.0,60,60,0.0,64.0
287,63.0,60,120,0.0,64.0
288,60.0,60,60,0.0,64.0
289,58.0,60,60,0.0,64.0
290,75.0,0,120,0.0,64.0
291,68.0,60,47,0.0,64.0
292,60.0,0,60,0.0,64.0
293,67.0,24,47,0.0,64.0
294,68.0,24,71,0.0,64.0
295,63.0,12,60,0.0,64.0
296,60.0,0,60,0.0,64.0
297,56.0,60,60,0.0,64.0
298,68.0,60,120,0.0,64.0
299,53.0,0,60,0.0,64.0
300,63.0,60,60,0.0,64.0
301,68.0,60,120,0.0,64.0
302,61.0,60,60,0.0,64.0
303,77.0,0,60,0.0,64.0
304,73.0,60,60,0.0,64.0
305,60.0,0,60,0.0,64.0
306,58.0,0,60,0.0,64.0
307,67.0,0,0,0.0,64.0
308,61.0,60,60,0.0,64.0
309,58.0,60,60,0.0,64.0
310,55.0,60,60,0.0,64.0
311,51.0,0,60,0.0,64.0
312,67.0,60,60,0.0,64.0
313,68.0,60,60,0.0,64.0
314,60.0,0,60,0.0,64.0
315,58.0,0,60,0.0,64.0
316,70.0,60,60,0.0,64.0
317,72.0,60,60,0.0,64.0
318,56.0,0,60,0.0,64.0
319,55.0,0,60,0.0,64.0
320,73.0,60,60,0.0,64.0
321,72.0,60,60,0.0,64.0
322,56.0,0,60,0.0,64.0
323,55.0,60,60,0.0,64.0
324,70.0,0,60,0.0,64.0
325,53.0,0,60,0.0,64.0
326,72.0,60,60,0.0,64.0
327,73.0,60,60,0.0,64.0
328,51.0,0,60,0.0,64.0
329,49.0,0,60,0.0,64.0
330,77.0,60,60,0.0,64.0
331,48.0,0,60,0.0,64.0
332,75.0,60,60,0.0,64.0
333,73.0,0,60,0.0,64.0
334,46.0,60,60,0.0,64.0
335,72.0,60,60,0.0,64.0
336,70.0,60,60,0.0,64.0
337,44.0,0,120,0.0,64.0
338,68.0,0,60,0.0,64.0
339,67.0,60,60,0.0,64.0
340,56.0,60,120,0.0,64.0
341,68.0,60,60,0.0,64.0
342,55.0,0,120,0.0,64.0
343,70.0,60,60,0.0,64.0
344,72.0,60,60,0.0,64.0
345,74.0,60,60,0.0,64.0
346,68.0,0,120,0.0,64.0
347,53.0,0,120,0.0,64.0
348,60.0,60,60,0.0,64.0
349,58.0,60,60,0.0,64.0
350,63.0,0,120,0.0,64.0
351,60.0,0,60,0.0,64.0
352,63.0,60,120,0.0,64.0
353,61.0,60,60,0.0,64.0
354,60.0,0,60,0.0,64.0
355,58.0,60,60,0.0,64.0
356,63.0,60,120,0.0,64.0
357,75.0,0,360,0.0,64.0
358,56.0,0,60,0.0,64.0
359,72.0,0,60,0.0,64.0
360,75.0,60,120,0.0,64.0
361,68.0,0,60,0.0,64.0
362,55.0,60,60,0.0,64.0
363,80.0,0,60,0.0,64.0
364,79.0,60,60,0.0,64.0
365,62.0,0,120,0.0,64.0
366,80.0,60,60,0.0,64.0
367,62.0,0,120,0.0,64.0
368,82.0,60,60,0.0,64.0
369,53.0,60,240,0.0,64.0
370,62.0,0,60,0.0,64.0
371,80.0,0,60,0.0,64.0
372,63.0,60,60,0.0,64.0
373,79.0,0,60,0.0,64.0
374,65.0,60,60,0.0,64.0
375,77.0,0,60,0.0,64.0
376,75.0,0,60,0.0,64.0
377,67.0,60,60,0.0,64.0
378,68.0,0,60,0.0,64.0
379,67.0,60,60,0.0,64.0
380,58.0,60,360,0.0,64.0
381,65.0,60,60,0.0,64.0
382,56.0,0,60,0.0,64.0
383,55.0,0,60,0.0,64.0
384,67.0,60,60,0.0,64.0
385,53.0,0,60,0.0,64.0
386,68.0,60,60,0.0,64.0
387,51.0,0,60,0.0,64.0
388,72.0,60,60,0.0,64.0
389,50.0,0,60,0.0,64.0
390,70.0,60,60,0.0,64.0
391,68.0,0,60,0.0,64.0
392,48.0,60,60,0.0,64.0
393,74.0,60,540,0.0,64.0
394,72.0,60,60,0.0,64.0
395,47.0,0,120,0.0,64.0
396,71.0,0,60,0.0,64.0
397,72.0,60,60,0.0,64.0
398,50.0,60,120,0.0,64.0
399,74.0,0,60,0.0,64.0
400,77.0,60,60,0.0,64.0
401,47.0,60,120,0.0,64.0
402,75.0,0,60,0.0,64.0
403,74.0,60,60,0.0,64.0
404,43.0,60,120,0.0,64.0
405,48.0,60,60,0.0,64.0
406,51.0,60,60,0.0,64.0
407,75.0,0,120,0.0,64.0
408,67.0,60,600,0.0,64.0
409,55.0,0,60,0.0,64.0
410,75.0,60,120,0.0,64.0
411,60.0,60,60,0.0,64.0
412,67.0,0,0,0.0,64.0
413,55.0,0,60,0.0,64.0
414,51.0,60,60,0.0,64.0
415,75.0,60,120,0.0,64.0
416,48.0,0,60,0.0,64.0
417,51.0,60,60,0.0,64.0
418,65.0,60,60,0.0,64.0
419,44.0,0,120,0.0,64.0
420,67.0,60,60,0.0,64.0
421,68.0,0,60,0.0,64.0
422,67.0,60,60,0.0,64.0
423,48.0,60,120,0.0,64.0
424,65.0,60,60,0.0,64.0
425,44.0,0,120,0.0,64.0
426,67.0,60,60,0.0,64.0
427,68.0,0,60,0.0,64.0
428,41.0,60,120,0.0,64.0
429,67.0,60,60,0.0,64.0
430,75.0,60,600,0.0,64.0
431,46.0,60,60,0.0,64.0
432,50.0,60,60,0.0,64.0
433,65.0,0,0,0.0,64.0
434,74.0,60,0,0.0,64.0
435,53.0,0,60,0.0,64.0
436,58.0,60,60,0.0,64.0
437,53.0,60,60,0.0,64.0
438,74.0,0,120,0.0,64.0
439,50.0,60,60,0.0,64.0
440,65.0,0,120,0.0,64.0
441,46.0,0,60,0.0,64.0
442,50.0,60,60,0.0,64.0
443,63.0,60,60,0.0,64.0
444,43.0,0,120,0.0,64.0
445,65.0,60,60,0.0,64.0
446,67.0,0,60,0.0,64.0
447,46.0,60,120,0.0,64.0
448,65.0,60,60,0.0,64.0
449,63.0,60,60,0.0,64.0
450,65.0,60,60,0.0,64.0
451,43.0,0,120,0.0,64.0
452,67.0,0,60,0.0,64.0
453,74.0,60,600,0.0,64.0
454,39.0,60,120,0.0,64.0
455,65.0,60,60,0.0,64.0
456,44.0,60,60,0.0,64.0
457,46.0,60,60,0.0,64.0
458,63.0,0,120,0.0,64.0
459,72.0,0,120,0.0,64.0
460,48.0,0,60,0.0,64.0
461,46.0,60,60,0.0,64.0
462,63.0,0,120,0.0,64.0
463,72.0,60,120,0.0,64.0
464,44.0,0,60,0.0,64.0
465,43.0,60,60,0.0,64.0
466,63.0,0,120,0.0,64.0
467,72.0,60,120,0.0,64.0
468,41.0,0,60,0.0,64.0
469,39.0,60,60,0.0,64.0
470,77.0,0,120,0.0,64.0
471,71.0,60,60,0.0,64.0
472,72.0,60,60,0.0,64.0
473,38.0,0,120,0.0,64.0
474,68.0,60,300,0.0,64.0
475,68.0,60,60,0.0,64.0
476,48.0,0,120,0.0,64.0
477,67.0,60,60,0.0,64.0
478,65.0,60,60,0.0,64.0
479,47.0,0,120,0.0,64.0
480,63.0,0,60,0.0,64.0
481,62.0,60,60,0.0,64.0
482,74.0,60,360,0.0,64.0
