,note,step,duration,channel,velocity
0,55.0,0,330,10.0,120.0
1,55.0,3,330,11.0,120.0
2,31.0,4,320,14.0,117.0
3,43.0,4,325,13.0,118.0
4,55.0,3,330,12.0,120.0
5,67.0,346,120,10.0,100.0
6,69.0,120,120,10.0,100.0
7,71.0,120,120,10.0,100.0
8,72.0,120,120,10.0,100.0
9,74.0,120,60,10.0,100.0
10,72.0,60,55,10.0,100.0
11,71.0,60,340,10.0,100.0
12,72.0,360,120,10.0,90.0
13,74.0,120,120,10.0,94.0
14,76.0,120,120,10.0,98.0
15,77.0,120,120,10.0,102.0
16,79.0,120,120,10.0,106.0
17,80.0,120,111,10.0,110.0
18,81.0,120,240,10.0,100.0
19,79.0,240,60,10.0,100.0
20,77.0,60,50,10.0,100.0
21,76.0,60,120,10.0,100.0
22,74.0,120,60,10.0,100.0
23,76.0,60,60,10.0,100.0
24,79.0,60,120,10.0,100.0
25,77.0,120,60,10.0,100.0
26,76.0,60,55,10.0,100.0
27,74.0,60,60,10.0,100.0
28,72.0,60,60,10.0,100.0
29,71.0,60,60,10.0,100.0
30,72.0,60,55,10.0,100.0
31,76.0,60,60,10.0,100.0
32,74.0,60,50,10.0,100.0
33,72.0,60,30,10.0,100.0
34,69.0,60,30,10.0,100.0
35,67.0,60,330,10.0,100.0
36,55.0,0,330,10.0,100.0
37,67.0,2,330,4.0,90.0
38,55.0,0,330,4.0,90.0
39,67.0,1,330,11.0,100.0
40,55.0,0,330,11.0,100.0
41,55.0,3,330,12.0,100.0
42,43.0,3,330,3.0,90.0
43,43.0,1,330,13.0,98.0
44,31.0,4,330,14.0,97.0
45,67.0,346,120,10.0,80.0
46,59.0,3,120,11.0,80.0
47,55.0,3,0,12.0,90.0
48,53.0,4,120,13.0,78.0
49,69.0,110,120,10.0,90.0
50,60.0,3,120,11.0,90.0
51,52.0,4,120,13.0,88.0
52,71.0,110,120,10.0,100.0
53,62.0,3,120,11.0,100.0
54,50.0,7,120,13.0,98.0
55,72.0,110,120,10.0,100.0
56,64.0,3,120,11.0,100.0
57,48.0,7,120,13.0,98.0
58,74.0,110,60,10.0,100.0
59,65.0,3,60,11.0,100.0
60,55.0,3,0,12.0,100.0
61,47.0,4,60,13.0,98.0
62,72.0,50,60,10.0,100.0
63,64.0,3,60,11.0,100.0
64,55.0,3,0,12.0,100.0
65,48.0,4,60,13.0,98.0
66,71.0,50,340,10.0,100.0
67,65.0,3,340,11.0,100.0
68,50.0,4,340,13.0,98.0
69,76.0,352,120,1.0,90.0
70,67.0,2,120,2.0,91.0
71,58.0,5,120,3.0,90.0
72,77.0,113,120,1.0,90.0
73,69.0,2,120,2.0,91.0
74,57.0,5,120,3.0,90.0
75,79.0,0,120,1.0,90.0
76,76.0,113,120,1.0,90.0
77,70.0,2,120,2.0,91.0
78,55.0,5,120,3.0,90.0
79,77.0,0,120,1.0,95.0
80,60.0,0,480,4.0,90.0
81,81.0,113,120,1.0,95.0
82,69.0,2,120,2.0,96.0
83,53.0,5,120,3.0,95.0
84,82.0,0,60,1.0,113.0
85,79.0,113,60,1.0,113.0
86,60.0,0,60,4.0,113.0
87,67.0,2,60,2.0,114.0
88,52.0,5,60,3.0,113.0
89,77.0,0,60,1.0,106.0
90,60.0,0,60,4.0,106.0
91,81.0,53,60,1.0,106.0
92,69.0,2,60,2.0,107.0
93,53.0,5,60,3.0,106.0
94,64.0,1,30,11.0,100.0
95,82.0,0,150,10.0,100.0
96,70.0,51,150,10.0,100.0
97,82.0,106,15,10.0,100.0
98,67.0,0,180,4.0,110.0
99,82.0,0,180,1.0,110.0
100,79.0,2,180,1.0,110.0
101,70.0,0,150,11.0,100.0
102,79.0,24,150,11.0,100.0
