,note,step,duration,channel,velocity
0,79.0,0,60,7.0,82.0
1,43.0,0,30,7.0,80.0
2,80.0,60,60,7.0,81.0
3,55.0,30,30,7.0,73.0
4,50.0,0,30,7.0,89.0
5,71.0,30,60,7.0,89.0
6,55.0,30,30,7.0,76.0
7,71.0,0,30,7.0,89.0
8,53.0,30,30,7.0,84.0
9,55.0,30,30,7.0,74.0
10,50.0,0,30,7.0,90.0
11,71.0,30,30,7.0,94.0
12,55.0,30,30,7.0,80.0
13,51.0,0,30,7.0,84.0
14,55.0,30,30,7.0,74.0
15,50.0,30,30,7.0,93.0
16,55.0,30,30,7.0,76.0
17,72.0,30,120,7.0,84.0
18,51.0,0,30,7.0,89.0
19,74.0,30,30,7.0,98.0
20,55.0,0,30,7.0,77.0
21,72.0,30,30,7.0,74.0
22,48.0,30,30,7.0,84.0
23,71.0,0,30,7.0,99.0
24,55.0,0,30,7.0,76.0
25,72.0,30,30,7.0,89.0
26,47.0,0,30,7.0,89.0
27,74.0,30,30,7.0,99.0
28,55.0,30,30,7.0,107.0
29,74.0,0,30,7.0,112.0
30,43.0,30,30,7.0,80.0
31,55.0,30,30,7.0,82.0
32,75.0,0,30,7.0,95.0
33,48.0,30,30,7.0,89.0
34,55.0,30,30,7.0,107.0
35,43.0,0,30,7.0,76.0
36,75.0,30,30,7.0,117.0
37,55.0,30,30,7.0,84.0
38,47.0,0,30,7.0,93.0
39,55.0,30,30,7.0,81.0
40,43.0,30,30,7.0,89.0
41,74.0,30,90,7.0,104.0
42,55.0,30,30,7.0,81.0
43,75.0,0,30,7.0,95.0
44,47.0,0,30,7.0,90.0
45,76.0,30,30,7.0,98.0
46,77.0,30,30,7.0,76.0
47,55.0,0,30,7.0,84.0
48,43.0,0,30,7.0,85.0
49,78.0,30,30,7.0,89.0
50,55.0,0,30,7.0,80.0
51,79.0,30,30,7.0,95.0
52,47.0,0,30,7.0,90.0
53,80.0,30,60,7.0,94.0
54,55.0,30,30,7.0,81.0
55,50.0,0,30,7.0,95.0
56,55.0,30,30,7.0,81.0
57,71.0,30,60,7.0,95.0
58,71.0,30,30,7.0,95.0
59,53.0,0,30,7.0,81.0
60,55.0,30,30,7.0,81.0
61,50.0,0,30,7.0,104.0
62,71.0,30,30,7.0,94.0
63,55.0,30,30,7.0,80.0
64,51.0,0,30,7.0,86.0
65,55.0,30,30,7.0,81.0
66,50.0,30,30,7.0,95.0
67,72.0,30,120,7.0,90.0
68,55.0,30,30,7.0,76.0
69,74.0,0,30,7.0,95.0
70,51.0,30,30,7.0,89.0
71,72.0,30,30,7.0,80.0
72,55.0,0,30,7.0,80.0
