,note,step,duration,channel,velocity
0,64.0,0,480,1.0,58.0
1,48.0,0,480,2.0,57.0
2,72.0,0,480,0.0,57.0
3,52.0,0,480,2.0,60.0
4,67.0,480,480,1.0,61.0
5,72.0,0,480,0.0,60.0
6,53.0,0,480,2.0,64.0
7,69.0,480,480,1.0,64.0
8,74.0,0,480,0.0,65.0
9,55.0,0,720,2.0,69.0
10,71.0,480,720,0.0,71.0
11,62.0,0,720,1.0,67.0
12,57.0,0,240,2.0,61.0
13,72.0,720,240,0.0,60.0
14,67.0,240,0,1.0,53.0
15,59.0,0,420,2.0,57.0
16,74.0,0,420,0.0,57.0
17,76.0,0,480,0.0,61.0
18,72.0,0,0,1.0,62.0
19,67.0,0,480,1.0,58.0
20,60.0,480,480,2.0,58.0
21,69.0,480,0,1.0,65.0
22,57.0,0,480,2.0,61.0
23,76.0,480,480,0.0,65.0
24,74.0,0,480,1.0,65.0
25,77.0,0,480,0.0,66.0
26,53.0,0,480,2.0,62.0
27,55.0,0,480,2.0,69.0
28,67.0,0,480,1.0,68.0
29,72.0,0,480,1.0,68.0
30,76.0,480,720,0.0,71.0
31,71.0,0,480,1.0,58.0
32,74.0,240,240,0.0,64.0
33,56.0,480,480,2.0,61.0
34,65.0,0,480,2.0,61.0
35,69.0,0,420,1.0,55.0
36,64.0,0,427,2.0,57.0
37,72.0,240,427,0.0,61.0
38,57.0,0,435,2.0,57.0
39,76.0,0,240,0.0,67.0
40,69.0,0,480,1.0,65.0
41,74.0,240,240,0.0,65.0
42,65.0,0,480,1.0,65.0
43,53.0,480,480,2.0,65.0
44,64.0,0,480,1.0,62.0
45,67.0,240,480,1.0,62.0
46,72.0,0,480,0.0,63.0
47,55.0,0,480,2.0,64.0
48,62.0,480,480,1.0,59.0
49,67.0,0,0,1.0,57.0
50,43.0,0,480,2.0,62.0
51,71.0,0,480,0.0,60.0
52,48.0,0,310,2.0,61.0
53,64.0,480,575,1.0,57.0
54,72.0,0,575,0.0,56.0
55,43.0,480,322,2.0,55.0
56,36.0,480,194,2.0,47.0
57,48.0,0,480,2.0,57.0
58,72.0,0,480,0.0,57.0
59,64.0,480,480,1.0,58.0
60,52.0,0,480,2.0,60.0
61,67.0,480,480,1.0,61.0
62,72.0,0,480,0.0,60.0
63,69.0,0,480,1.0,64.0
64,53.0,480,480,2.0,64.0
65,74.0,0,480,0.0,65.0
66,71.0,480,720,0.0,71.0
67,55.0,0,720,2.0,69.0
68,62.0,0,720,1.0,67.0
69,57.0,720,240,2.0,61.0
70,67.0,0,240,1.0,57.0
71,72.0,0,240,0.0,60.0
72,59.0,240,420,2.0,57.0
73,74.0,0,420,0.0,58.0
74,67.0,0,427,1.0,53.0
75,60.0,0,480,2.0,58.0
76,76.0,0,480,0.0,61.0
77,72.0,0,480,1.0,58.0
78,67.0,480,480,1.0,58.0
79,76.0,480,480,0.0,65.0
80,57.0,0,480,2.0,61.0
81,72.0,0,480,1.0,62.0
82,69.0,0,480,1.0,62.0
83,53.0,480,480,2.0,62.0
84,69.0,0,480,1.0,65.0
