,note,step,duration,channel,velocity
0,84.0,0,480,1.0,83.0
1,72.0,0,480,1.0,83.0
2,36.0,0,240,5.0,87.0
3,40.0,240,240,3.0,86.0
4,48.0,240,240,3.0,85.0
5,52.0,240,240,3.0,84.0
6,60.0,240,240,3.0,83.0
7,52.0,240,240,3.0,83.0
8,82.0,0,1440,1.0,87.0
9,70.0,480,1440,1.0,87.0
10,48.0,240,240,3.0,82.0
11,81.0,0,480,1.0,82.0
12,69.0,0,480,1.0,82.0
13,76.0,0,1920,2.0,87.0
14,60.0,0,240,3.0,80.0
15,69.0,240,240,3.0,78.0
16,72.0,240,240,3.0,77.0
17,76.0,240,240,3.0,75.0
18,84.0,240,240,3.0,73.0
19,57.0,240,1680,3.0,81.0
20,52.0,240,1440,1.0,90.0
21,64.0,0,1440,1.0,90.0
22,81.0,0,480,1.0,83.0
23,69.0,480,480,1.0,83.0
24,33.0,480,240,5.0,86.0
25,36.0,240,240,3.0,84.0
26,45.0,240,240,3.0,84.0
27,48.0,240,240,3.0,83.0
28,57.0,240,240,3.0,82.0
29,48.0,240,240,3.0,81.0
30,79.0,0,1440,1.0,86.0
31,67.0,0,1440,1.0,86.0
32,45.0,240,240,3.0,80.0
33,77.0,0,480,1.0,80.0
34,65.0,0,480,1.0,80.0
35,72.0,0,1920,2.0,86.0
36,57.0,0,240,3.0,79.0
37,65.0,240,240,3.0,77.0
38,69.0,240,240,3.0,75.0
39,72.0,240,240,3.0,74.0
40,81.0,240,240,3.0,72.0
41,48.0,240,1440,1.0,89.0
42,53.0,240,1680,3.0,79.0
43,60.0,0,1440,1.0,89.0
44,77.0,480,480,1.0,79.0
45,65.0,0,480,1.0,79.0
46,29.0,480,240,5.0,83.0
47,41.0,240,240,3.0,80.0
48,48.0,240,240,3.0,79.0
49,69.0,0,960,2.0,83.0
50,76.0,0,960,1.0,83.0
51,64.0,0,960,1.0,83.0
52,53.0,240,240,3.0,78.0
53,69.0,0,480,2.0,77.0
54,75.0,0,480,1.0,77.0
55,53.0,240,240,3.0,76.0
56,63.0,0,480,1.0,77.0
57,57.0,240,480,5.0,77.0
58,53.0,240,240,3.0,74.0
59,59.0,0,480,5.0,75.0
60,71.0,240,480,2.0,75.0
61,30.0,0,240,5.0,79.0
62,42.0,240,240,3.0,78.0
63,51.0,240,240,3.0,77.0
64,62.0,0,960,1.0,79.0
65,57.0,240,240,3.0,76.0
66,69.0,240,960,2.0,79.0
67,74.0,0,960,1.0,79.0
68,53.0,0,480,5.0,75.0
69,65.0,0,480,2.0,75.0
70,60.0,0,480,1.0,75.0
71,45.0,240,240,3.0,74.0
72,72.0,240,480,1.0,75.0
73,45.0,240,240,3.0,72.0
74,54.0,0,480,5.0,73.0
75,66.0,240,480,2.0,73.0
76,31.0,0,240,5.0,72.0
77,43.0,240,240,3.0,73.0
78,47.0,240,240,3.0,74.0
79,57.0,0,960,1.0,72.0
80,69.0,0,960,1.0,72.0
81,53.0,240,240,3.0,75.0
82,62.0,240,960,2.0,72.0
83,65.0,0,960,2.0,72.0
84,59.0,0,960,2.0,72.0
85,62.0,0,480,2.0,75.0
86,43.0,240,240,3.0,76.0
87,50.0,240,480,5.0,75.0
88,68.0,0,960,1.0,75.0
89,43.0,240,240,3.0,78.0
90,56.0,0,960,1.0,75.0
91,52.0,0,480,5.0,77.0
92,59.0,0,960,2.0,75.0
93,64.0,240,480,2.0,77.0
94,36.0,0,240,5.0,84.0
95,65.0,0,480,2.0,84.0
96,43.0,240,240,3.0,79.0
97,50.0,0,240,3.0,78.0
98,55.0,240,960,1.0,84.0
99,43.0,240,240,3.0,78.0
100,53.0,0,960,2.0,84.0
101,67.0,0,960,1.0,84.0
102,59.0,0,0,2.0,77.0
103,62.0,240,480,2.0,78.0
104,36.0,240,240,5.0,77.0
105,43.0,240,240,3.0,76.0
106,52.0,0,240,3.0,75.0
107,67.0,0,960,1.0,77.0
108,55.0,0,960,1.0,77.0
109,64.0,0,960,2.0,77.0
110,60.0,240,480,2.0,75.0
111,43.0,240,240,3.0,74.0
112,36.0,240,240,5.0,81.0
113,43.0,240,240,3.0,75.0
114,50.0,240,240,3.0,74.0
115,43.0,240,240,3.0,73.0
116,36.0,240,240,5.0,71.0
117,55.0,0,1440,1.0,81.0
118,53.0,0,1440,2.0,81.0
119,59.0,0,1440,2.0,81.0
120,65.0,0,1440,2.0,81.0
121,43.0,240,240,3.0,70.0
122,53.0,0,240,3.0,69.0
123,67.0,0,1920,1.0,81.0
124,43.0,240,240,3.0,68.0
125,62.0,240,480,2.0,69.0
126,36.0,0,240,5.0,67.0
127,43.0,240,240,3.0,66.0
128,52.0,240,240,3.0,64.0
129,43.0,240,240,3.0,63.0
130,59.0,0,960,2.0,67.0
131,52.0,240,360,3.0,62.0
132,60.0,0,360,2.0,62.0
133,64.0,0,1440,2.0,67.0
134,55.0,240,1440,1.0,67.0
135,67.0,0,1440,1.0,67.0
136,79.0,0,480,1.0,76.0
137,67.0,0,480,1.0,76.0
138,52.0,0,480,5.0,76.0
139,60.0,0,480,3.0,76.0
140,64.0,480,480,3.0,76.0
141,40.0,0,240,5.0,80.0
142,50.0,240,240,3.0,78.0
143,52.0,240,240,3.0,79.0
144,59.0,240,240,3.0,79.0
145,62.0,240,480,5.0,80.0
146,68.0,480,1440,1.0,80.0
147,80.0,0,1440,1.0,80.0
148,52.0,240,240,3.0,81.0
149,77.0,0,1440,2.0,80.0
150,69.0,0,480,1.0,81.0
151,81.0,0,480,1.0,81.0
152,60.0,240,480,5.0,81.0
153,76.0,0,480,2.0,81.0
154,52.0,240,240,3.0,82.0
155,66.0,240,240,3.0,83.0
156,63.0,240,240,3.0,83.0
157,72.0,0,960,1.0,86.0
158,69.0,0,960,5.0,86.0
159,75.0,0,960,2.0,86.0
160,60.0,240,240,3.0,82.0
161,78.0,0,960,2.0,86.0
162,57.0,0,960,5.0,86.0
163,57.0,240,240,3.0,82.0
164,84.0,240,1200,1.0,86.0
165,81.0,240,240,1.0,81.0
166,78.0,240,240,1.0,81.0
167,28.0,240,240,5.0,80.0
168,75.0,0,240,1.0,80.0
169,40.0,240,240,5.0,80.0
170,72.0,0,240,1.0,80.0
171,71.0,240,240,1.0,79.0
172,44.0,0,240,3.0,79.0
173,47.0,0,240,3.0,78.0
174,68.0,240,240,1.0,78.0
175,65.0,240,240,1.0,78.0
176,50.0,0,240,3.0,78.0
177,62.0,240,240,1.0,77.0
178,40.0,0,240,5.0,77.0
179,45.0,0,240,3.0,77.0
180,60.0,240,240,1.0,77.0
181,48.0,240,240,3.0,76.0
182,57.0,0,240,1.0,76.0
183,54.0,0,240,1.0,76.0
184,51.0,240,240,3.0,76.0
185,40.0,0,240,5.0,75.0
186,45.0,240,240,3.0,75.0
187,48.0,240,240,3.0,74.0
188,51.0,240,960,1.0,75.0
189,40.0,240,240,5.0,74.0
190,44.0,0,240,5.0,75.0
191,52.0,240,480,1.0,75.0
192,47.0,240,240,3.0,78.0
193,45.0,240,240,5.0,80.0
194,60.0,0,480,1.0,80.0
195,72.0,0,480,1.0,80.0
196,52.0,240,240,3.0,83.0
197,52.0,240,240,3.0,83.0
198,45.0,240,240,3.0,84.0
199,33.0,240,240,3.0,86.0
200,45.0,240,240,3.0,88.0
201,70.0,0,1440,2.0,86.0
202,73.0,0,1440,1.0,86.0
203,61.0,0,1440,1.0,86.0
204,55.0,240,1440,5.0,86.0
205,52.0,240,240,3.0,89.0
206,62.0,0,480,1.0,91.0
207,53.0,240,480,5.0,91.0
208,45.0,240,240,3.0,93.0
209,69.0,0,480,2.0,91.0
210,74.0,0,480,1.0,91.0
211,59.0,240,240,3.0,93.0
212,56.0,240,240,3.0,92.0
213,71.0,0,960,2.0,97.0
214,50.0,0,960,5.0,97.0
215,65.0,240,960,1.0,97.0
216,53.0,240,240,3.0,90.0
217,68.0,0,960,2.0,97.0
218,62.0,0,960,5.0,97.0
219,50.0,240,240,3.0,89.0
220,77.0,0,1207,1.0,97.0
221,74.0,240,240,1.0,87.0
222,71.0,240,240,1.0,85.0
