,note,step,duration,channel,velocity
0,62.0,240,228,0.0,100.0
1,59.0,0,708,0.0,100.0
2,67.0,240,228,0.0,100.0
3,66.0,240,228,0.0,100.0
4,57.0,0,228,0.0,100.0
5,69.0,0,228,0.0,100.0
6,60.0,240,228,0.0,100.0
7,67.0,240,228,0.0,100.0
8,59.0,0,228,0.0,100.0
9,72.0,240,228,0.0,100.0
10,64.0,0,228,0.0,100.0
11,43.0,0,1896,0.0,100.0
12,50.0,0,1896,0.0,100.0
13,71.0,240,228,0.0,100.0
14,62.0,0,228,0.0,100.0
15,50.0,0,936,0.0,100.0
16,57.0,0,936,0.0,100.0
17,69.0,0,936,0.0,100.0
18,38.0,240,936,0.0,100.0
19,66.0,0,1416,0.0,100.0
20,65.0,1440,456,0.0,100.0
21,60.0,240,228,0.0,100.0
22,65.0,240,228,0.0,100.0
23,57.0,0,708,0.0,100.0
24,64.0,0,228,0.0,100.0
25,55.0,240,228,0.0,100.0
26,67.0,0,228,0.0,100.0
27,58.0,240,228,0.0,100.0
28,65.0,240,228,0.0,100.0
29,57.0,0,228,0.0,100.0
30,70.0,240,228,0.0,100.0
31,62.0,0,228,0.0,100.0
32,48.0,0,1896,0.0,100.0
33,41.0,480,1896,0.0,100.0
34,69.0,240,228,0.0,100.0
35,60.0,0,228,0.0,100.0
36,55.0,0,1416,0.0,100.0
37,64.0,0,1416,0.0,100.0
38,67.0,0,1416,0.0,100.0
39,66.0,0,456,0.0,100.0
40,64.0,0,456,0.0,100.0
41,48.0,0,1896,0.0,100.0
42,36.0,240,1896,0.0,100.0
43,57.0,1440,456,0.0,100.0
44,35.0,0,456,0.0,100.0
45,57.0,0,456,0.0,100.0
46,63.0,0,456,0.0,100.0
47,69.0,0,456,0.0,100.0
48,47.0,480,456,0.0,100.0
49,72.0,0,936,1.0,100.0
50,71.0,960,456,1.0,100.0
51,70.0,480,456,1.0,100.0
52,71.0,480,1416,1.0,100.0
53,66.0,1440,456,1.0,100.0
54,67.0,0,456,1.0,100.0
55,69.0,480,456,1.0,100.0
56,71.0,480,456,1.0,100.0
57,73.0,480,456,1.0,100.0
58,59.0,0,1896,0.0,100.0
59,67.0,0,1896,0.0,100.0
60,64.0,0,1896,0.0,100.0
61,35.0,480,1896,0.0,100.0
62,47.0,0,1896,0.0,100.0
63,75.0,0,65,1.0,100.0
64,76.0,67,65,1.0,100.0
65,75.0,70,65,1.0,100.0
66,76.0,67,65,1.0,100.0
67,75.0,70,64,1.0,100.0
68,76.0,67,65,1.0,100.0
69,75.0,69,65,1.0,100.0
70,76.0,70,65,1.0,100.0
71,75.0,67,65,1.0,100.0
72,76.0,70,65,1.0,100.0
73,75.0,67,65,1.0,100.0
74,76.0,70,64,1.0,100.0
75,75.0,67,65,1.0,100.0
76,35.0,0,936,0.0,100.0
77,47.0,0,936,0.0,100.0
78,66.0,480,936,0.0,100.0
79,57.0,0,936,0.0,100.0
80,76.0,69,65,1.0,100.0
81,75.0,70,65,1.0,100.0
82,76.0,67,65,1.0,100.0
83,75.0,70,65,1.0,100.0
84,76.0,67,65,1.0,100.0
85,75.0,70,64,1.0,100.0
86,76.0,67,65,1.0,100.0
87,75.0,69,65,1.0,100.0
88,73.0,70,228,1.0,100.0
89,75.0,240,228,1.0,100.0
90,76.0,240,936,1.0,100.0
91,48.0,0,936,0.0,100.0
92,55.0,0,936,0.0,100.0
93,64.0,0,936,0.0,100.0
94,36.0,0,936,0.0,100.0
95,74.0,960,708,1.0,100.0
96,72.0,720,228,1.0,100.0
97,71.0,240,456,1.0,100.0
98,72.0,480,410,1.0,100.0
99,67.0,480,456,1.0,100.0
100,54.0,0,456,0.0,100.0
101,64.0,0,456,0.0,100.0
102,48.0,0,456,0.0,100.0
103,69.0,480,456,1.0,100.0
104,68.0,0,456,0.0,100.0
105,64.0,0,456,0.0,100.0
106,47.0,480,456,0.0,100.0
107,59.0,0,456,0.0,100.0
108,71.0,0,456,1.0,100.0
109,70.0,480,410,1.0,100.0
110,69.0,480,456,1.0,100.0
111,68.0,480,456,1.0,100.0
112,63.0,0,456,0.0,100.0
113,47.0,0,456,0.0,100.0
114,59.0,0,456,0.0,100.0
115,57.0,0,456,0.0,100.0
116,68.0,480,1416,1.0,100.0
117,66.0,1440,456,1.0,100.0
118,59.0,0,304,0.0,100.0
119,56.0,480,304,0.0,100.0
120,64.0,0,456,1.0,100.0
121,59.0,0,304,0.0,100.0
122,56.0,319,304,0.0,100.0
123,40.0,0,936,0.0,100.0
124,59.0,0,304,0.0,100.0
125,56.0,320,304,0.0,100.0
126,59.0,0,304,0.0,100.0
127,56.0,0,304,0.0,100.0
128,47.0,321,456,0.0,100.0
129,56.0,319,304,0.0,100.0
130,59.0,0,304,0.0,100.0
131,40.0,161,456,0.0,100.0
132,56.0,159,304,0.0,100.0
133,59.0,0,304,0.0,100.0
134,56.0,0,304,0.0,100.0
135,59.0,321,304,0.0,100.0
136,59.0,319,304,0.0,100.0
137,56.0,0,304,0.0,100.0
138,47.0,0,936,0.0,100.0
139,59.0,0,304,0.0,100.0
140,56.0,320,304,0.0,100.0
141,59.0,0,304,0.0,100.0
142,56.0,0,304,0.0,100.0
143,40.0,321,456,0.0,100.0
144,59.0,319,304,0.0,100.0
145,56.0,0,304,0.0,100.0
146,47.0,161,456,0.0,100.0
147,59.0,0,304,0.0,100.0
148,56.0,159,304,0.0,100.0
149,59.0,0,304,0.0,100.0
150,56.0,321,304,0.0,100.0
151,59.0,319,304,0.0,100.0
152,56.0,0,304,0.0,100.0
153,39.0,0,936,0.0,100.0
154,56.0,320,304,0.0,100.0
155,59.0,0,304,0.0,100.0
156,59.0,321,304,0.0,100.0
157,56.0,0,304,0.0,100.0
158,47.0,0,456,0.0,100.0
159,56.0,319,304,0.0,100.0
160,59.0,0,304,0.0,100.0
161,39.0,161,456,0.0,100.0
162,68.0,0,456,1.0,100.0
163,59.0,0,304,0.0,100.0
164,56.0,159,304,0.0,100.0
165,59.0,0,304,0.0,100.0
166,56.0,0,304,0.0,100.0
167,59.0,0,304,0.0,100.0
168,56.0,319,304,0.0,100.0
169,47.0,0,936,0.0,100.0
170,59.0,0,304,0.0,100.0
171,56.0,320,304,0.0,100.0
172,59.0,0,304,0.0,100.0
173,56.0,0,304,0.0,100.0
174,68.0,321,1416,1.0,100.0
175,38.0,321,456,0.0,100.0
176,56.0,319,304,0.0,100.0
177,59.0,0,304,0.0,100.0
178,70.0,161,456,1.0,100.0
179,50.0,0,456,0.0,100.0
180,59.0,0,304,0.0,100.0
181,56.0,159,304,0.0,100.0
182,56.0,0,304,0.0,100.0
183,60.0,0,304,0.0,100.0
184,63.0,0,304,0.0,100.0
185,60.0,319,304,0.0,100.0
186,63.0,0,304,0.0,100.0
187,56.0,0,304,0.0,100.0
188,51.0,321,936,0.0,100.0
189,63.0,0,304,0.0,100.0
190,56.0,320,304,0.0,100.0
191,60.0,0,304,0.0,100.0
192,56.0,0,304,0.0,100.0
193,63.0,0,304,0.0,100.0
194,60.0,0,304,0.0,100.0
195,51.0,321,456,0.0,100.0
196,72.0,0,1416,1.0,100.0
197,56.0,0,304,0.0,100.0
