,note,step,duration,channel,velocity
0,72.0,0,34,0.0,48.0
1,60.0,2,33,0.0,29.0
2,60.0,3,52,0.0,38.0
3,72.0,97,57,0.0,62.0
4,60.0,1,25,0.0,36.0
5,72.0,152,32,0.0,62.0
6,60.0,6,30,0.0,50.0
7,72.0,86,40,0.0,64.0
8,60.0,152,23,0.0,41.0
9,72.0,0,30,0.0,67.0
10,60.0,0,31,0.0,38.0
11,72.0,91,40,0.0,66.0
12,60.0,0,25,0.0,35.0
13,72.0,186,34,0.0,56.0
14,60.0,0,69,0.0,24.0
15,53.0,0,70,0.0,24.0
16,69.0,126,70,0.0,44.0
17,72.0,0,72,0.0,60.0
18,53.0,0,21,0.0,36.0
19,69.0,168,30,0.0,43.0
20,60.0,0,32,0.0,28.0
21,72.0,0,40,0.0,67.0
22,53.0,0,77,0.0,44.0
23,60.0,0,86,0.0,39.0
24,70.0,0,105,0.0,54.0
25,72.0,104,110,0.0,68.0
26,53.0,168,23,0.0,40.0
27,60.0,0,27,0.0,44.0
28,70.0,0,30,0.0,50.0
29,72.0,0,50,0.0,73.0
30,53.0,0,71,0.0,36.0
31,60.0,0,76,0.0,33.0
32,76.0,99,100,0.0,72.0
33,70.0,0,100,0.0,43.0
34,74.0,134,24,0.0,68.0
35,53.0,0,32,0.0,39.0
36,60.0,0,34,0.0,33.0
37,70.0,32,39,0.0,54.0
38,72.0,0,45,0.0,69.0
39,77.0,0,61,0.0,70.0
40,53.0,0,62,0.0,44.0
41,69.0,0,63,0.0,52.0
42,60.0,102,75,0.0,43.0
43,74.0,170,41,0.0,72.0
44,65.0,0,46,0.0,45.0
45,58.0,0,50,0.0,39.0
46,57.0,0,70,0.0,28.0
47,72.0,105,83,0.0,68.0
48,65.0,0,88,0.0,45.0
49,57.0,0,43,0.0,42.0
50,48.0,0,54,0.0,40.0
51,64.0,177,64,0.0,57.0
52,69.0,0,66,0.0,68.0
53,57.0,109,74,0.0,41.0
54,50.0,0,76,0.0,43.0
55,60.0,0,86,0.0,44.0
56,65.0,0,95,0.0,62.0
57,50.0,0,43,0.0,43.0
58,65.0,0,50,0.0,50.0
59,43.0,0,57,0.0,48.0
60,58.0,0,65,0.0,42.0
61,67.0,179,108,0.0,60.0
62,48.0,0,89,0.0,44.0
63,58.0,0,109,0.0,43.0
64,64.0,116,111,0.0,55.0
65,67.0,0,229,0.0,63.0
66,48.0,0,48,0.0,39.0
67,58.0,0,50,0.0,42.0
68,62.0,186,65,0.0,41.0
69,41.0,0,67,0.0,45.0
70,53.0,109,85,0.0,28.0
71,69.0,0,99,0.0,63.0
72,60.0,0,110,0.0,44.0
73,53.0,0,31,0.0,34.0
74,46.0,0,38,0.0,36.0
75,62.0,181,49,0.0,53.0
76,70.0,0,58,0.0,65.0
77,48.0,101,64,0.0,38.0
78,53.0,0,84,0.0,42.0
79,60.0,0,133,0.0,52.0
80,69.0,0,142,0.0,63.0
81,53.0,0,38,0.0,31.0
82,62.0,0,39,0.0,40.0
83,46.0,0,44,0.0,33.0
84,65.0,169,69,0.0,58.0
85,60.0,0,75,0.0,46.0
86,53.0,105,76,0.0,31.0
87,48.0,0,83,0.0,44.0
88,69.0,0,89,0.0,69.0
89,58.0,158,27,0.0,40.0
90,53.0,0,32,0.0,35.0
91,50.0,0,37,0.0,38.0
92,70.0,0,63,0.0,68.0
93,53.0,107,81,0.0,31.0
94,69.0,0,91,0.0,70.0
95,48.0,0,96,0.0,47.0
96,60.0,0,106,0.0,41.0
97,67.0,131,25,0.0,60.0
98,46.0,38,37,0.0,35.0
99,62.0,0,37,0.0,52.0
100,53.0,10,30,0.0,33.0
101,65.0,0,57,0.0,60.0
102,60.0,0,82,0.0,43.0
103,53.0,0,84,0.0,34.0
104,48.0,0,86,0.0,34.0
105,69.0,95,96,0.0,63.0
106,53.0,0,31,0.0,37.0
107,50.0,0,38,0.0,44.0
108,58.0,0,39,0.0,47.0
109,70.0,161,53,0.0,65.0
110,48.0,0,59,0.0,53.0
111,53.0,106,74,0.0,43.0
112,69.0,0,98,0.0,67.0
113,60.0,0,110,0.0,55.0
114,67.0,135,25,0.0,63.0
115,48.0,0,37,0.0,47.0
116,57.0,0,40,0.0,36.0
117,65.0,38,57,0.0,66.0
118,60.0,0,71,0.0,49.0
119,48.0,0,84,0.0,46.0
120,58.0,0,98,0.0,49.0
121,62.0,112,115,0.0,56.0
122,48.0,0,33,0.0,51.0
123,58.0,0,42,0.0,26.0
124,60.0,0,55,0.0,27.0
125,64.0,172,56,0.0,43.0
126,67.0,0,247,0.0,68.0
127,57.0,0,75,0.0,43.0
128,53.0,0,83,0.0,39.0
129,60.0,113,95,0.0,43.0
130,53.0,174,24,0.0,42.0
131,57.0,13,17,0.0,34.0
132,60.0,0,30,0.0,37.0
133,65.0,0,217,0.0,54.0
134,53.0,0,65,0.0,33.0
135,60.0,0,69,0.0,25.0
136,65.0,0,74,0.0,44.0
137,69.0,0,77,0.0,53.0
138,53.0,0,25,0.0,24.0
139,60.0,0,31,0.0,30.0
140,65.0,0,37,0.0,39.0
141,69.0,158,42,0.0,42.0
142,65.0,101,71,0.0,29.0
143,53.0,0,84,0.0,35.0
144,69.0,0,94,0.0,38.0
145,60.0,0,94,0.0,34.0
146,72.0,113,354,0.0,74.0
147,69.0,0,20,0.0,54.0
148,65.0,0,20,0.0,48.0
149,60.0,0,29,0.0,32.0
150,53.0,166,34,0.0,41.0
151,72.0,0,42,0.0,74.0
152,53.0,0,96,0.0,36.0
153,60.0,10,91,0.0,27.0
154,67.0,104,105,0.0,46.0
155,72.0,0,119,0.0,74.0
156,70.0,0,120,0.0,53.0
157,53.0,0,34,0.0,49.0
158,60.0,8,32,0.0,38.0
159,67.0,0,42,0.0,54.0
160,70.0,156,49,0.0,56.0
161,72.0,0,55,0.0,82.0
162,53.0,0,73,0.0,36.0
163,60.0,0,83,0.0,36.0
164,76.0,94,88,0.0,86.0
165,67.0,0,92,0.0,55.0
166,70.0,0,98,0.0,56.0
167,74.0,121,21,0.0,63.0
168,70.0,35,25,0.0,50.0
169,53.0,0,26,0.0,45.0
170,67.0,0,35,0.0,47.0
171,60.0,10,30,0.0,40.0
172,72.0,0,45,0.0,80.0
173,53.0,0,87,0.0,39.0
174,77.0,0,88,0.0,80.0
175,60.0,0,99,0.0,30.0
176,69.0,92,104,0.0,55.0
177,65.0,0,107,0.0,44.0
178,65.0,0,50,0.0,48.0
179,58.0,173,51,0.0,28.0
180,74.0,0,52,0.0,73.0
181,57.0,0,66,0.0,38.0
182,72.0,101,83,0.0,69.0
183,65.0,0,89,0.0,41.0
184,57.0,0,39,0.0,46.0
185,48.0,170,55,0.0,52.0
186,64.0,0,61,0.0,52.0
187,69.0,0,70,0.0,69.0
188,50.0,0,74,0.0,40.0
189,57.0,0,74,0.0,45.0
190,60.0,0,89,0.0,38.0
191,65.0,104,102,0.0,64.0
192,50.0,0,42,0.0,45.0
193,65.0,0,52,0.0,55.0
194,43.0,177,59,0.0,44.0
195,58.0,0,62,0.0,44.0
196,67.0,0,64,0.0,70.0
197,48.0,0,103,0.0,59.0
198,58.0,0,107,0.0,34.0
199,64.0,0,115,0.0,58.0
200,67.0,117,231,0.0,63.0
201,48.0,186,51,0.0,48.0
202,58.0,0,57,0.0,27.0
203,62.0,0,70,0.0,39.0
204,41.0,0,66,0.0,39.0
205,53.0,111,89,0.0,37.0
206,69.0,0,96,0.0,65.0
207,60.0,0,115,0.0,44.0
208,53.0,0,35,0.0,40.0
209,46.0,170,40,0.0,39.0
210,62.0,0,49,0.0,43.0
211,70.0,0,58,0.0,62.0
212,53.0,0,76,0.0,33.0
213,48.0,0,82,0.0,41.0
214,60.0,0,113,0.0,45.0
215,69.0,103,117,0.0,63.0
216,53.0,0,30,0.0,33.0
217,62.0,0,39,0.0,41.0
218,46.0,162,43,0.0,39.0
219,65.0,0,66,0.0,61.0
220,60.0,0,72,0.0,45.0
221,69.0,0,80,0.0,60.0
222,48.0,0,83,0.0,37.0
223,53.0,103,92,0.0,33.0
224,53.0,0,36,0.0,29.0
225,50.0,0,39,0.0,43.0
226,58.0,167,41,0.0,34.0
227,70.0,0,59,0.0,59.0
228,48.0,108,102,0.0,33.0
229,53.0,0,106,0.0,29.0
230,69.0,0,127,0.0,59.0
231,60.0,0,136,0.0,41.0
232,67.0,143,34,0.0,54.0
233,53.0,0,41,0.0,24.0
234,46.0,0,55,0.0,35.0
235,62.0,33,70,0.0,44.0
236,65.0,0,72,0.0,57.0
237,60.0,97,74,0.0,49.0
238,69.0,0,90,0.0,67.0
239,48.0,0,95,0.0,55.0
240,53.0,0,97,0.0,35.0
241,58.0,3,35,0.0,40.0
242,53.0,8,32,0.0,41.0
243,50.0,1,35,0.0,42.0
244,70.0,162,58,0.0,67.0
245,48.0,95,59,0.0,51.0
246,53.0,0,71,0.0,37.0
247,69.0,0,98,0.0,72.0
248,60.0,0,111,0.0,51.0
249,67.0,126,28,0.0,60.0
250,57.0,0,41,0.0,42.0
251,48.0,0,42,0.0,47.0
252,65.0,37,57,0.0,72.0
253,60.0,0,72,0.0,53.0
254,48.0,107,81,0.0,49.0
255,58.0,0,95,0.0,34.0
256,62.0,0,119,0.0,60.0
257,48.0,0,44,0.0,53.0
258,58.0,0,59,0.0,27.0
259,64.0,181,63,0.0,41.0
260,60.0,0,64,0.0,36.0
261,67.0,0,251,0.0,70.0
262,53.0,120,85,0.0,39.0
263,57.0,0,88,0.0,28.0
264,60.0,0,98,0.0,36.0
265,53.0,188,35,0.0,24.0
266,60.0,0,36,0.0,26.0
267,57.0,0,36,0.0,22.0
268,65.0,0,234,0.0,52.0
269,48.0,152,60,0.0,40.0
270,57.0,0,65,0.0,31.0
271,64.0,0,75,0.0,56.0
272,57.0,167,26,0.0,26.0
273,48.0,0,30,0.0,46.0
274,64.0,0,37,0.0,54.0
275,64.0,98,90,0.0,47.0
276,72.0,0,357,0.0,82.0
277,57.0,0,118,0.0,35.0
278,48.0,0,123,0.0,37.0
279,62.0,0,31,0.0,40.0
280,50.0,0,41,0.0,44.0
281,65.0,154,48,0.0,47.0
282,71.0,0,66,0.0,70.0
283,71.0,17,30,0.0,64.0
284,52.0,3,146,0.0,42.0
285,60.0,85,155,0.0,58.0
286,64.0,23,155,0.0,58.0
287,69.0,30,121,0.0,79.0
288,59.0,165,40,0.0,52.0
289,40.0,0,46,0.0,41.0
290,52.0,12,39,0.0,39.0
291,64.0,0,56,0.0,53.0
292,68.0,0,78,0.0,65.0
293,45.0,0,70,0.0,41.0
294,60.0,0,76,0.0,47.0
295,52.0,8,72,0.0,33.0
296,64.0,100,80,0.0,51.0
297,69.0,0,89,0.0,71.0
298,45.0,0,12,0.0,45.0
299,60.0,0,12,0.0,60.0
300,64.0,166,12,0.0,64.0
301,57.0,0,29,0.0,47.0
302,72.0,0,34,0.0,89.0
303,48.0,0,65,0.0,50.0
304,55.0,0,75,0.0,47.0
305,64.0,0,88,0.0,58.0
306,67.0,104,106,0.0,63.0
307,76.0,0,108,0.0,87.0
308,48.0,0,21,0.0,46.0
309,64.0,161,25,0.0,58.0
310,55.0,0,26,0.0,30.0
311,60.0,0,32,0.0,29.0
312,67.0,0,34,0.0,64.0
313,76.0,0,60,0.0,89.0
314,67.0,0,76,0.0,69.0
315,52.0,0,90,0.0,47.0
316,60.0,0,96,0.0,40.0
317,76.0,101,101,0.0,89.0
318,65.0,150,38,0.0,47.0
319,69.0,0,54,0.0,62.0
320,53.0,0,55,0.0,53.0
321,74.0,0,71,0.0,79.0
322,74.0,16,31,0.0,72.0
323,64.0,78,152,0.0,66.0
324,55.0,0,167,0.0,52.0
325,67.0,30,150,0.0,66.0
326,72.0,30,132,0.0,81.0
327,62.0,165,41,0.0,39.0
328,43.0,0,42,0.0,47.0
329,67.0,0,47,0.0,41.0
330,55.0,12,40,0.0,39.0
331,71.0,0,89,0.0,69.0
332,48.0,100,69,0.0,40.0
333,64.0,0,88,0.0,44.0
334,55.0,0,90,0.0,30.0
335,67.0,0,109,0.0,41.0
336,64.0,179,26,0.0,36.0
337,48.0,0,30,0.0,32.0
338,55.0,0,34,0.0,34.0
339,72.0,0,220,0.0,64.0
340,60.0,138,27,0.0,1.0
341,48.0,0,57,0.0,38.0
342,76.0,0,72,0.0,55.0
343,67.0,0,81,0.0,32.0
344,53.0,0,32,0.0,35.0
345,60.0,0,37,0.0,31.0
346,77.0,163,40,0.0,70.0
347,69.0,0,64,0.0,51.0
348,60.0,0,85,0.0,36.0
349,55.0,102,88,0.0,36.0
350,67.0,0,110,0.0,36.0
351,76.0,0,120,0.0,62.0
352,53.0,0,34,0.0,44.0
