,note,step,duration,channel,velocity
0,71.0,0,158,0.0,35.0
1,72.0,165,48,0.0,66.0
2,43.0,197,50,0.0,18.0
3,74.0,10,45,0.0,71.0
4,76.0,93,53,0.0,69.0
5,74.0,77,67,0.0,62.0
6,83.0,2,36,0.0,71.0
7,59.0,55,211,0.0,48.0
8,50.0,15,232,0.0,42.0
9,72.0,197,45,0.0,83.0
10,74.0,34,50,0.0,60.0
11,72.0,79,57,0.0,65.0
12,81.0,74,39,0.0,77.0
13,60.0,24,65,0.0,22.0
14,54.0,5,125,0.0,47.0
15,51.0,31,379,0.0,58.0
16,71.0,163,36,0.0,75.0
17,72.0,41,43,0.0,75.0
18,71.0,96,60,0.0,47.0
19,79.0,15,36,0.0,80.0
20,59.0,52,70,0.0,47.0
21,55.0,5,112,0.0,57.0
22,52.0,10,353,0.0,71.0
23,48.0,5,43,0.0,73.0
24,69.0,182,79,0.0,79.0
25,76.0,98,58,0.0,81.0
26,81.0,84,39,0.0,85.0
27,64.0,27,43,0.0,59.0
28,57.0,12,57,0.0,49.0
29,88.0,84,33,0.0,85.0
30,50.0,7,41,0.0,70.0
31,74.0,108,69,0.0,88.0
32,79.0,98,65,0.0,88.0
33,83.0,106,26,0.0,80.0
34,62.0,12,57,0.0,66.0
35,86.0,86,103,0.0,97.0
36,74.0,5,60,0.0,71.0
37,71.0,12,64,0.0,60.0
38,91.0,106,115,0.0,97.0
39,95.0,84,84,0.0,88.0
40,100.0,100,128,0.0,92.0
41,62.0,3,137,0.0,63.0
42,98.0,110,51,0.0,89.0
43,72.0,17,72,0.0,61.0
44,69.0,24,81,0.0,40.0
45,97.0,94,122,0.0,89.0
46,96.0,67,65,0.0,94.0
47,88.0,125,60,0.0,55.0
48,62.0,9,79,0.0,22.0
49,90.0,70,108,0.0,67.0
50,93.0,3,69,0.0,59.0
51,71.0,129,89,0.0,40.0
52,67.0,38,67,0.0,30.0
53,91.0,82,77,0.0,53.0
54,86.0,105,72,0.0,63.0
55,83.0,118,46,0.0,44.0
56,74.0,170,39,0.0,89.0
57,43.0,22,62,0.0,32.0
58,76.0,58,45,0.0,89.0
59,74.0,81,43,0.0,71.0
60,83.0,58,31,0.0,85.0
61,50.0,7,48,0.0,60.0
62,59.0,7,48,0.0,38.0
63,72.0,168,36,0.0,97.0
64,74.0,53,41,0.0,71.0
65,72.0,72,60,0.0,65.0
66,81.0,5,36,0.0,91.0
67,54.0,2,60,0.0,66.0
68,60.0,58,62,0.0,69.0
69,51.0,12,336,0.0,69.0
70,71.0,0,40,0.0,76.0
71,72.0,57,43,0.0,86.0
72,71.0,79,87,0.0,60.0
73,52.0,197,244,0.0,84.0
74,79.0,77,34,0.0,89.0
75,55.0,7,72,0.0,61.0
76,59.0,3,100,0.0,46.0
77,48.0,9,44,0.0,66.0
78,69.0,180,86,0.0,88.0
79,76.0,87,50,0.0,79.0
