,note,step,duration,channel,velocity
0,68.0,231,132,0.0,73.0
1,67.0,126,132,0.0,73.0
2,65.0,116,132,0.0,79.0
3,62.0,126,132,0.0,72.0
4,63.0,118,132,0.0,72.0
5,77.0,0,960,0.0,94.0
6,83.0,0,960,0.0,103.0
7,71.0,0,960,0.0,94.0
8,74.0,0,960,0.0,94.0
9,79.0,0,960,0.0,94.0
10,62.0,119,132,0.0,71.0
11,59.0,118,132,0.0,79.0
12,55.0,126,132,0.0,72.0
13,56.0,120,132,0.0,72.0
14,55.0,119,132,0.0,70.0
15,53.0,113,132,0.0,79.0
16,50.0,128,132,0.0,71.0
17,51.0,118,132,0.0,71.0
18,50.0,118,132,0.0,68.0
19,47.0,118,132,0.0,79.0
20,43.0,117,132,0.0,71.0
21,44.0,121,132,0.0,71.0
22,43.0,123,132,0.0,69.0
23,41.0,117,132,0.0,79.0
24,38.0,120,132,0.0,71.0
25,39.0,129,132,0.0,71.0
26,38.0,114,132,0.0,68.0
27,36.0,117,158,0.0,76.0
28,31.0,119,158,0.0,69.0
29,36.0,120,158,0.0,70.0
30,31.0,124,158,0.0,68.0
31,36.0,0,158,0.0,74.0
32,31.0,121,158,0.0,71.0
33,80.0,0,360,0.0,102.0
34,68.0,121,360,0.0,93.0
35,75.0,0,360,0.0,93.0
36,77.0,0,360,0.0,93.0
37,36.0,120,158,0.0,75.0
38,67.0,0,120,0.0,87.0
39,79.0,0,0,0.0,96.0
40,31.0,1,132,0.0,74.0
41,35.0,115,120,0.0,79.0
42,68.0,242,132,0.0,71.0
43,67.0,117,132,0.0,70.0
44,65.0,119,132,0.0,79.0
45,62.0,117,132,0.0,72.0
46,63.0,126,132,0.0,72.0
47,74.0,0,960,0.0,96.0
48,86.0,4,960,0.0,106.0
49,77.0,0,960,0.0,96.0
50,62.0,122,132,0.0,70.0
51,59.0,120,132,0.0,79.0
52,55.0,117,132,0.0,71.0
53,56.0,118,132,0.0,71.0
54,55.0,126,132,0.0,68.0
