,note,step,duration,channel,velocity
0,39.0,0,13,0.0,69.0
1,27.0,2,15,0.0,68.0
2,51.0,1,17,0.0,85.0
3,63.0,0,27,0.0,90.0
4,49.0,0,25,0.0,71.0
5,52.0,3,22,0.0,67.0
6,57.0,219,33,0.0,80.0
7,53.0,2,16,0.0,80.0
8,58.0,0,22,0.0,81.0
9,50.0,31,26,0.0,82.0
10,59.0,1,18,0.0,82.0
11,51.0,28,23,0.0,80.0
12,54.0,3,20,0.0,78.0
13,60.0,26,16,0.0,84.0
14,52.0,0,21,0.0,79.0
15,55.0,0,22,0.0,86.0
16,56.0,1,23,0.0,75.0
17,61.0,0,28,0.0,82.0
18,53.0,29,35,0.0,79.0
19,62.0,27,20,0.0,85.0
20,57.0,3,21,0.0,86.0
21,54.0,0,26,0.0,75.0
22,55.0,34,60,0.0,80.0
23,58.0,0,63,0.0,72.0
24,63.0,0,72,0.0,89.0
25,55.0,0,10,0.0,72.0
26,46.0,0,15,0.0,60.0
27,39.0,0,17,0.0,67.0
28,58.0,136,32,0.0,82.0
29,59.0,0,47,0.0,57.0
30,64.0,4,61,0.0,73.0
31,56.0,2,70,0.0,74.0
32,68.0,130,96,0.0,95.0
33,50.0,0,103,0.0,66.0
34,58.0,0,73,0.0,61.0
35,51.0,0,78,0.0,60.0
36,63.0,0,80,0.0,61.0
37,67.0,146,81,0.0,79.0
38,55.0,0,85,0.0,34.0
39,44.0,0,21,0.0,66.0
40,59.0,150,22,0.0,72.0
41,43.0,0,26,0.0,68.0
42,58.0,30,33,0.0,68.0
43,52.0,30,22,0.0,76.0
44,38.0,0,25,0.0,62.0
45,51.0,28,35,0.0,75.0
46,39.0,0,35,0.0,59.0
47,44.0,30,25,0.0,55.0
48,59.0,4,21,0.0,77.0
49,58.0,1,30,0.0,71.0
50,43.0,26,36,0.0,68.0
51,52.0,30,26,0.0,82.0
52,38.0,6,25,0.0,66.0
53,51.0,23,28,0.0,84.0
54,39.0,4,33,0.0,67.0
55,59.0,28,23,0.0,83.0
56,44.0,0,28,0.0,60.0
57,58.0,29,31,0.0,75.0
58,43.0,3,35,0.0,73.0
59,52.0,28,26,0.0,90.0
60,38.0,4,26,0.0,71.0
61,51.0,25,27,0.0,91.0
62,39.0,4,36,0.0,70.0
63,59.0,27,22,0.0,88.0
64,44.0,2,32,0.0,67.0
65,58.0,27,33,0.0,82.0
66,43.0,1,36,0.0,76.0
67,52.0,30,31,0.0,95.0
68,38.0,4,30,0.0,81.0
69,51.0,24,26,0.0,98.0
70,39.0,4,31,0.0,81.0
71,59.0,3,20,0.0,95.0
72,44.0,28,25,0.0,82.0
73,58.0,1,36,0.0,85.0
74,43.0,26,38,0.0,85.0
75,52.0,33,28,0.0,99.0
76,38.0,9,35,0.0,84.0
77,51.0,21,22,0.0,107.0
78,39.0,7,21,0.0,81.0
79,39.0,4,7,0.0,49.0
80,51.0,0,13,0.0,95.0
81,52.0,37,20,0.0,98.0
82,46.0,2,17,0.0,93.0
83,56.0,0,26,0.0,84.0
84,59.0,1,26,0.0,89.0
85,64.0,0,28,0.0,109.0
86,50.0,199,18,0.0,66.0
87,58.0,0,18,0.0,62.0
88,53.0,0,18,0.0,70.0
89,54.0,30,16,0.0,67.0
90,59.0,0,22,0.0,76.0
91,51.0,0,33,0.0,74.0
92,52.0,30,20,0.0,78.0
93,55.0,0,20,0.0,78.0
94,60.0,0,20,0.0,87.0
95,56.0,27,22,0.0,83.0
96,61.0,0,30,0.0,83.0
97,53.0,0,33,0.0,83.0
98,62.0,32,21,0.0,86.0
99,57.0,0,22,0.0,89.0
100,54.0,0,26,0.0,81.0
101,63.0,0,23,0.0,92.0
102,58.0,31,26,0.0,88.0
103,55.0,2,32,0.0,91.0
104,59.0,0,37,0.0,96.0
105,56.0,0,43,0.0,81.0
106,64.0,34,45,0.0,97.0
107,52.0,0,8,0.0,74.0
108,56.0,0,16,0.0,68.0
109,39.0,0,16,0.0,68.0
110,47.0,0,17,0.0,78.0
111,59.0,138,30,0.0,92.0
112,70.0,1,68,0.0,75.0
113,61.0,2,75,0.0,79.0
114,73.0,135,80,0.0,98.0
115,58.0,2,77,0.0,63.0
116,55.0,2,103,0.0,65.0
117,64.0,3,108,0.0,76.0
118,71.0,136,63,0.0,81.0
119,64.0,2,63,0.0,65.0
120,59.0,0,61,0.0,66.0
121,68.0,2,63,0.0,55.0
122,56.0,2,68,0.0,55.0
123,61.0,0,23,0.0,70.0
124,46.0,131,23,0.0,67.0
125,44.0,34,30,0.0,61.0
126,59.0,0,30,0.0,72.0
127,54.0,2,23,0.0,75.0
128,39.0,28,37,0.0,62.0
129,44.0,29,27,0.0,62.0
130,52.0,1,37,0.0,78.0
131,46.0,1,25,0.0,60.0
132,61.0,30,27,0.0,72.0
133,59.0,7,25,0.0,72.0
134,44.0,28,36,0.0,59.0
135,54.0,30,25,0.0,69.0
136,39.0,0,36,0.0,62.0
137,44.0,2,28,0.0,63.0
138,52.0,30,32,0.0,77.0
139,61.0,28,25,0.0,74.0
140,46.0,2,27,0.0,68.0
141,59.0,6,25,0.0,76.0
142,44.0,27,33,0.0,66.0
143,54.0,28,25,0.0,80.0
144,39.0,2,36,0.0,66.0
145,44.0,0,27,0.0,71.0
146,52.0,30,31,0.0,90.0
147,61.0,2,25,0.0,83.0
148,46.0,28,27,0.0,78.0
149,44.0,24,35,0.0,74.0
150,59.0,9,32,0.0,83.0
151,54.0,4,26,0.0,89.0
152,39.0,25,38,0.0,79.0
153,44.0,30,23,0.0,79.0
154,52.0,0,33,0.0,93.0
155,61.0,5,23,0.0,88.0
156,46.0,25,33,0.0,86.0
157,44.0,26,22,0.0,79.0
158,59.0,5,40,0.0,89.0
159,39.0,12,20,0.0,78.0
160,54.0,0,26,0.0,94.0
161,44.0,24,26,0.0,73.0
162,52.0,5,25,0.0,100.0
163,51.0,2,13,0.0,96.0
164,45.0,1,13,0.0,91.0
165,39.0,2,12,0.0,74.0
166,53.0,0,21,0.0,103.0
167,57.0,0,25,0.0,90.0
168,60.0,0,30,0.0,89.0
169,65.0,43,33,0.0,104.0
170,57.0,191,8,0.0,58.0
171,62.0,0,20,0.0,86.0
172,54.0,0,28,0.0,72.0
173,58.0,31,16,0.0,82.0
174,63.0,0,21,0.0,87.0
175,55.0,0,23,0.0,81.0
176,59.0,0,15,0.0,78.0
177,64.0,0,18,0.0,90.0
178,56.0,30,25,0.0,75.0
179,60.0,33,10,0.0,88.0
180,65.0,0,17,0.0,81.0
181,57.0,0,37,0.0,87.0
182,61.0,0,15,0.0,90.0
183,67.0,0,16,0.0,81.0
184,58.0,32,27,0.0,84.0
185,62.0,0,15,0.0,82.0
186,68.0,33,27,0.0,74.0
187,59.0,0,31,0.0,93.0
188,63.0,0,21,0.0,85.0
189,60.0,32,23,0.0,99.0
190,69.0,0,27,0.0,93.0
191,45.0,1,7,0.0,80.0
192,53.0,0,13,0.0,88.0
193,51.0,2,13,0.0,81.0
194,39.0,0,13,0.0,66.0
195,57.0,0,17,0.0,82.0
196,60.0,3,21,0.0,84.0
197,65.0,135,31,0.0,98.0
