,note,step,duration,channel,velocity
0,47.0,0,239,0.0,40.0
1,40.0,0,239,0.0,34.0
2,55.0,239,240,0.0,34.0
3,46.0,0,240,0.0,28.0
4,40.0,240,240,0.0,34.0
5,47.0,0,240,0.0,40.0
6,43.0,0,240,0.0,28.0
7,55.0,240,240,0.0,34.0
8,40.0,0,240,0.0,34.0
9,47.0,240,240,0.0,40.0
10,46.0,0,240,0.0,28.0
11,55.0,240,240,0.0,34.0
12,47.0,0,240,0.0,40.0
13,40.0,240,240,0.0,34.0
14,55.0,240,240,0.0,33.0
15,43.0,0,240,0.0,27.0
16,47.0,240,240,0.0,40.0
17,40.0,0,240,0.0,34.0
18,55.0,0,240,0.0,33.0
19,46.0,240,240,0.0,27.0
20,47.0,240,240,0.0,38.0
21,40.0,0,240,0.0,31.0
22,43.0,240,240,0.0,26.0
23,55.0,0,240,0.0,31.0
24,47.0,240,240,0.0,36.0
25,40.0,0,240,0.0,30.0
26,46.0,240,240,0.0,25.0
27,55.0,0,240,0.0,29.0
28,40.0,240,240,0.0,28.0
29,47.0,0,240,0.0,35.0
30,55.0,0,240,0.0,26.0
31,43.0,240,240,0.0,22.0
32,40.0,0,240,0.0,27.0
33,47.0,240,240,0.0,33.0
34,55.0,0,240,0.0,27.0
35,46.0,240,240,0.0,23.0
36,40.0,240,240,0.0,27.0
37,47.0,0,240,0.0,33.0
38,55.0,0,240,0.0,27.0
39,43.0,240,240,0.0,23.0
40,47.0,0,240,0.0,33.0
41,40.0,240,240,0.0,27.0
42,55.0,240,240,0.0,27.0
43,46.0,0,240,0.0,23.0
44,47.0,0,240,0.0,33.0
45,40.0,240,240,0.0,27.0
46,64.0,0,1690,0.0,55.0
47,55.0,0,240,0.0,26.0
48,43.0,240,240,0.0,22.0
49,59.0,10,235,0.0,41.0
50,38.0,0,240,0.0,27.0
51,47.0,230,240,0.0,33.0
52,46.0,235,240,0.0,23.0
53,55.0,0,240,0.0,27.0
54,47.0,0,240,0.0,33.0
55,38.0,240,240,0.0,27.0
56,55.0,0,240,0.0,27.0
57,43.0,240,240,0.0,23.0
58,47.0,240,240,0.0,33.0
59,38.0,0,240,0.0,27.0
60,55.0,0,240,0.0,27.0
61,46.0,240,240,0.0,23.0
62,38.0,0,240,0.0,27.0
63,47.0,240,240,0.0,33.0
64,62.0,5,1915,0.0,55.0
65,55.0,0,240,0.0,26.0
66,43.0,240,240,0.0,22.0
67,45.0,0,240,0.0,33.0
68,38.0,240,240,0.0,27.0
69,55.0,0,240,0.0,27.0
70,44.0,240,240,0.0,23.0
71,62.0,0,660,0.0,55.0
72,38.0,240,240,0.0,27.0
73,45.0,0,240,0.0,33.0
74,66.0,180,60,0.0,44.0
75,55.0,60,240,0.0,27.0
76,43.0,0,240,0.0,23.0
77,64.0,0,240,0.0,51.0
78,38.0,0,240,0.0,27.0
79,45.0,0,240,0.0,33.0
80,54.0,240,240,0.0,27.0
81,44.0,0,240,0.0,23.0
82,62.0,240,720,0.0,53.0
83,38.0,240,240,0.0,27.0
84,45.0,0,240,0.0,33.0
85,54.0,240,240,0.0,26.0
