,note,step,duration,channel,velocity
0,48.0,0,22,0.0,44.0
1,60.0,30,11,0.0,44.0
2,64.0,30,14,0.0,49.0
3,60.0,30,12,0.0,35.0
4,64.0,30,13,0.0,30.0
5,60.0,30,14,0.0,39.0
6,79.0,0,177,0.0,70.0
7,65.0,30,15,0.0,55.0
8,81.0,0,45,0.0,70.0
9,60.0,30,15,0.0,30.0
10,48.0,30,24,0.0,35.0
11,81.0,0,35,0.0,70.0
12,64.0,0,27,0.0,49.0
13,79.0,30,33,0.0,62.0
14,62.0,30,21,0.0,44.0
15,77.0,0,25,0.0,62.0
16,60.0,0,10,0.0,44.0
17,76.0,30,13,0.0,55.0
18,65.0,0,11,0.0,49.0
19,81.0,30,18,0.0,62.0
20,60.0,30,13,0.0,39.0
21,65.0,0,15,0.0,44.0
22,81.0,30,18,0.0,62.0
23,60.0,30,14,0.0,30.0
24,48.0,30,18,0.0,49.0
25,60.0,30,13,0.0,35.0
26,81.0,0,58,0.0,62.0
27,64.0,0,14,0.0,39.0
28,60.0,30,13,0.0,30.0
29,64.0,30,15,0.0,35.0
30,79.0,30,104,0.0,55.0
31,60.0,30,15,0.0,30.0
32,81.0,0,13,0.0,55.0
33,65.0,30,15,0.0,44.0
34,60.0,30,13,0.0,24.0
35,48.0,0,33,0.0,30.0
36,81.0,30,35,0.0,62.0
37,64.0,30,23,0.0,39.0
38,79.0,0,24,0.0,44.0
39,62.0,0,10,0.0,39.0
40,77.0,30,18,0.0,55.0
41,60.0,0,12,0.0,30.0
42,76.0,30,17,0.0,39.0
43,65.0,30,7,0.0,4.0
44,81.0,0,16,0.0,62.0
45,60.0,30,12,0.0,35.0
46,81.0,0,15,0.0,62.0
47,65.0,30,16,0.0,55.0
48,60.0,30,12,0.0,30.0
49,65.0,0,27,0.0,55.0
50,60.0,30,27,0.0,35.0
51,81.0,30,60,0.0,55.0
52,64.0,0,26,0.0,44.0
53,79.0,30,36,0.0,62.0
54,60.0,30,16,0.0,30.0
55,79.0,0,28,0.0,55.0
56,64.0,30,29,0.0,55.0
57,52.0,0,31,0.0,30.0
58,60.0,30,26,0.0,35.0
59,76.0,0,31,0.0,44.0
60,62.0,30,29,0.0,35.0
61,77.0,0,30,0.0,55.0
62,74.0,30,14,0.0,55.0
63,55.0,0,51,0.0,24.0
64,59.0,0,25,0.0,62.0
65,48.0,0,46,0.0,49.0
66,67.0,30,27,0.0,55.0
67,64.0,30,25,0.0,49.0
68,60.0,30,7,0.0,44.0
69,72.0,30,115,0.0,62.0
70,55.0,30,53,0.0,55.0
71,59.0,0,58,0.0,55.0
72,74.0,0,59,0.0,62.0
73,57.0,0,8,0.0,55.0
74,72.0,60,29,0.0,62.0
75,59.0,0,17,0.0,39.0
76,74.0,30,27,0.0,55.0
77,60.0,0,27,0.0,44.0
78,55.0,30,17,0.0,30.0
79,60.0,30,13,0.0,44.0
80,64.0,30,10,0.0,49.0
81,76.0,30,120,0.0,49.0
82,77.0,0,61,0.0,62.0
83,62.0,30,62,0.0,55.0
84,55.0,0,69,0.0,35.0
85,60.0,0,24,0.0,39.0
86,76.0,60,31,0.0,55.0
87,62.0,0,19,0.0,49.0
88,77.0,30,25,0.0,49.0
89,79.0,30,20,0.0,62.0
90,48.0,0,21,0.0,44.0
91,64.0,30,18,0.0,44.0
92,81.0,30,16,0.0,49.0
93,65.0,0,23,0.0,44.0
94,60.0,30,17,0.0,30.0
95,83.0,30,17,0.0,62.0
96,67.0,0,22,0.0,55.0
97,60.0,30,20,0.0,44.0
98,84.0,0,25,0.0,55.0
99,69.0,30,26,0.0,49.0
100,60.0,30,18,0.0,28.0
101,69.0,0,25,0.0,62.0
102,84.0,30,27,0.0,55.0
103,67.0,30,21,0.0,49.0
104,83.0,0,30,0.0,55.0
105,81.0,30,11,0.0,49.0
106,60.0,0,22,0.0,30.0
107,65.0,0,23,0.0,62.0
108,79.0,0,17,0.0,49.0
109,64.0,30,19,0.0,30.0
110,60.0,0,24,0.0,30.0
111,65.0,30,26,0.0,49.0
112,81.0,0,33,0.0,35.0
113,64.0,0,18,0.0,35.0
114,79.0,30,29,0.0,35.0
115,77.0,30,13,0.0,49.0
116,62.0,0,28,0.0,44.0
117,60.0,30,5,0.0,39.0
118,76.0,0,13,0.0,39.0
119,55.0,30,23,0.0,55.0
120,64.0,0,28,0.0,49.0
121,60.0,30,13,0.0,35.0
122,64.0,30,27,0.0,62.0
123,79.0,0,88,0.0,49.0
124,55.0,0,34,0.0,44.0
125,60.0,0,10,0.0,39.0
126,76.0,30,31,0.0,49.0
127,59.0,30,25,0.0,55.0
128,55.0,0,36,0.0,35.0
129,62.0,30,13,0.0,62.0
130,74.0,0,64,0.0,62.0
131,67.0,30,17,0.0,55.0
132,65.0,30,15,0.0,62.0
133,64.0,0,8,0.0,55.0
134,60.0,30,10,0.0,39.0
135,48.0,0,50,0.0,44.0
136,64.0,30,15,0.0,39.0
137,60.0,30,14,0.0,28.0
138,64.0,30,19,0.0,44.0
139,67.0,0,159,0.0,55.0
140,60.0,0,165,2.0,78.0
141,60.0,30,17,0.0,28.0
142,67.0,30,181,2.0,70.0
143,64.0,0,182,2.0,70.0
144,65.0,3,14,0.0,70.0
145,69.0,0,35,0.0,30.0
146,60.0,27,46,2.0,55.0
147,60.0,30,14,0.0,44.0
148,65.0,0,46,2.0,55.0
