,note,step,duration,channel,velocity
0,46.0,0,43,1.0,88.0
1,58.0,48,43,1.0,88.0
2,62.0,48,43,1.0,88.0
3,70.0,0,172,0.0,88.0
4,58.0,48,43,1.0,88.0
5,53.0,48,43,1.0,88.0
6,57.0,48,43,1.0,88.0
7,72.0,48,172,0.0,88.0
8,53.0,48,43,1.0,88.0
9,58.0,48,43,1.0,88.0
10,57.0,48,43,1.0,88.0
11,74.0,48,172,0.0,88.0
12,58.0,48,43,1.0,88.0
13,55.0,0,43,1.0,88.0
14,75.0,48,86,0.0,88.0
15,58.0,48,43,1.0,88.0
16,50.0,48,43,1.0,88.0
17,77.0,0,86,0.0,88.0
18,58.0,48,43,1.0,88.0
19,51.0,0,43,1.0,88.0
20,51.0,48,43,1.0,88.0
21,51.0,48,43,1.0,88.0
22,79.0,48,144,0.0,88.0
23,77.0,48,12,0.0,88.0
24,75.0,12,12,0.0,88.0
25,74.0,12,12,0.0,88.0
26,51.0,0,43,1.0,88.0
27,72.0,12,10,0.0,88.0
28,70.0,12,6,0.0,88.0
29,51.0,0,43,1.0,88.0
30,69.0,6,37,0.0,88.0
31,50.0,0,43,1.0,88.0
32,70.0,42,43,0.0,88.0
33,51.0,0,43,1.0,88.0
34,72.0,48,64,0.0,88.0
35,74.0,24,10,0.0,88.0
36,53.0,48,43,1.0,88.0
37,75.0,12,10,0.0,88.0
38,75.0,12,6,0.0,88.0
39,46.0,0,43,1.0,88.0
40,58.0,42,43,1.0,88.0
41,74.0,6,90,0.0,88.0
42,53.0,48,43,1.0,88.0
43,50.0,48,43,1.0,88.0
44,72.0,0,6,0.0,88.0
45,70.0,6,6,0.0,88.0
46,72.0,6,6,0.0,88.0
47,70.0,6,6,0.0,88.0
48,72.0,6,6,0.0,88.0
49,70.0,6,6,0.0,88.0
50,72.0,6,6,0.0,88.0
51,46.0,48,43,1.0,88.0
52,70.0,6,6,0.0,88.0
53,72.0,0,6,0.0,88.0
54,70.0,6,6,0.0,88.0
55,72.0,6,6,0.0,88.0
56,70.0,6,6,0.0,88.0
57,72.0,6,6,0.0,88.0
58,70.0,6,6,0.0,88.0
59,72.0,6,6,0.0,88.0
60,58.0,6,43,1.0,88.0
61,70.0,6,6,0.0,88.0
62,72.0,0,6,0.0,88.0
63,70.0,6,6,0.0,88.0
64,72.0,6,6,0.0,88.0
65,70.0,6,6,0.0,88.0
66,72.0,6,6,0.0,88.0
67,70.0,6,6,0.0,88.0
68,72.0,6,6,0.0,88.0
69,62.0,6,43,1.0,88.0
70,70.0,6,6,0.0,88.0
71,69.0,0,21,0.0,88.0
72,58.0,6,43,1.0,88.0
73,70.0,24,21,0.0,88.0
74,74.0,24,6,0.0,88.0
75,72.0,6,6,0.0,88.0
76,74.0,6,6,0.0,88.0
77,72.0,6,6,0.0,88.0
78,74.0,6,6,0.0,88.0
79,72.0,6,6,0.0,88.0
80,74.0,6,6,0.0,88.0
81,72.0,6,6,0.0,88.0
82,74.0,6,6,0.0,88.0
83,72.0,6,6,0.0,88.0
84,74.0,6,6,0.0,88.0
85,72.0,6,6,0.0,88.0
86,74.0,6,6,0.0,88.0
87,72.0,6,6,0.0,88.0
88,74.0,6,6,0.0,88.0
89,53.0,0,43,1.0,88.0
90,72.0,6,6,0.0,88.0
91,74.0,0,6,0.0,88.0
92,72.0,6,6,0.0,88.0
93,74.0,6,6,0.0,88.0
94,72.0,6,6,0.0,88.0
