,note,step,duration,channel,velocity
0,36.0,0,625,5.0,87.0
1,60.0,0,625,1.0,87.0
2,48.0,0,625,5.0,87.0
3,39.0,0,240,5.0,81.0
4,51.0,960,240,5.0,81.0
5,63.0,0,240,1.0,81.0
6,55.0,480,240,5.0,77.0
7,67.0,0,240,1.0,77.0
8,43.0,0,240,5.0,77.0
9,60.0,480,240,5.0,74.0
10,48.0,0,240,5.0,74.0
11,72.0,0,240,1.0,74.0
12,51.0,0,240,5.0,71.0
13,63.0,480,240,5.0,71.0
14,75.0,0,240,1.0,71.0
15,75.0,840,80,1.0,53.0
16,75.0,120,80,1.0,55.0
17,77.0,80,80,1.0,57.0
18,75.0,80,80,1.0,58.0
19,74.0,80,120,1.0,59.0
20,75.0,120,96,1.0,61.0
21,79.0,120,480,1.0,62.0
22,63.0,0,156,5.0,59.0
23,72.0,0,156,4.0,59.0
24,67.0,480,156,4.0,59.0
25,67.0,480,156,4.0,54.0
26,72.0,0,156,4.0,54.0
27,63.0,0,156,5.0,54.0
28,63.0,0,156,5.0,49.0
29,72.0,0,156,4.0,49.0
30,67.0,480,156,4.0,49.0
31,80.0,480,480,1.0,54.0
32,71.0,0,156,4.0,48.0
33,65.0,0,156,4.0,48.0
34,68.0,0,156,4.0,48.0
35,62.0,480,156,5.0,48.0
36,62.0,480,156,5.0,41.0
37,68.0,0,156,4.0,41.0
38,71.0,0,156,4.0,41.0
39,65.0,0,156,4.0,41.0
40,55.0,0,625,1.0,85.0
41,31.0,0,625,5.0,85.0
42,43.0,960,625,5.0,85.0
43,35.0,0,240,5.0,78.0
44,59.0,960,240,1.0,78.0
45,47.0,0,240,5.0,78.0
46,38.0,0,240,5.0,74.0
47,50.0,480,240,5.0,74.0
48,62.0,0,240,1.0,74.0
49,67.0,0,240,1.0,70.0
50,43.0,0,240,5.0,70.0
51,55.0,480,240,5.0,70.0
52,71.0,480,240,1.0,67.0
53,47.0,0,240,5.0,67.0
54,59.0,0,240,5.0,67.0
55,74.0,840,95,1.0,48.0
56,74.0,120,80,1.0,49.0
57,75.0,80,80,1.0,51.0
58,74.0,80,80,1.0,52.0
59,72.0,80,120,1.0,53.0
60,74.0,120,96,1.0,55.0
61,77.0,120,480,1.0,58.0
62,65.0,480,156,4.0,54.0
63,68.0,0,156,4.0,54.0
64,62.0,0,156,5.0,54.0
65,71.0,0,156,4.0,54.0
66,62.0,0,156,5.0,49.0
67,65.0,480,156,4.0,49.0
68,68.0,0,156,4.0,49.0
69,71.0,0,156,4.0,49.0
70,62.0,0,156,5.0,45.0
71,65.0,480,156,4.0,45.0
72,68.0,0,156,4.0,45.0
73,71.0,0,156,4.0,45.0
74,79.0,480,480,1.0,50.0
75,67.0,480,156,4.0,43.0
76,63.0,0,156,5.0,43.0
77,72.0,0,156,4.0,43.0
78,67.0,480,156,4.0,37.0
79,63.0,0,156,5.0,37.0
80,72.0,0,156,4.0,37.0
