,note,step,duration,channel,velocity
0,72.0,0,1024,5.0,0.0
1,64.0,0,1024,1.0,0.0
2,72.0,0,1024,0.0,0.0
3,48.0,0,1024,3.0,0.0
4,55.0,512,512,2.0,0.0
5,64.0,512,1024,6.0,0.0
6,57.0,0,512,2.0,0.0
7,55.0,0,1024,3.0,0.0
8,62.0,512,512,1.0,0.0
9,71.0,512,1024,5.0,0.0
10,59.0,0,512,2.0,0.0
11,62.0,0,512,6.0,0.0
12,71.0,0,1024,0.0,0.0
13,60.0,0,512,2.0,0.0
14,64.0,0,512,6.0,0.0
15,64.0,0,512,1.0,0.0
16,62.0,512,512,2.0,0.0
17,65.0,0,1024,1.0,0.0
18,50.0,0,1024,3.0,0.0
19,69.0,0,1024,0.0,0.0
20,65.0,0,1024,6.0,0.0
21,69.0,512,1024,5.0,0.0
22,60.0,0,512,2.0,0.0
23,67.0,0,512,0.0,0.0
24,67.0,0,512,5.0,0.0
25,59.0,0,1024,2.0,0.0
26,64.0,512,512,6.0,0.0
27,64.0,0,512,1.0,0.0
28,52.0,512,1024,3.0,0.0
29,62.0,0,512,6.0,0.0
30,66.0,0,512,5.0,0.0
31,66.0,0,512,0.0,0.0
32,62.0,0,512,1.0,0.0
33,60.0,0,512,2.0,0.0
34,64.0,0,1024,0.0,0.0
35,64.0,0,1024,6.0,0.0
36,57.0,512,512,3.0,0.0
37,64.0,512,1024,5.0,0.0
38,60.0,0,1024,1.0,0.0
39,59.0,0,512,2.0,0.0
40,55.0,0,512,3.0,0.0
41,57.0,0,512,2.0,0.0
42,53.0,512,512,3.0,0.0
43,60.0,512,1024,1.0,0.0
44,59.0,0,512,2.0,0.0
45,55.0,0,512,3.0,0.0
46,65.0,0,0,6.0,0.0
47,69.0,0,0,5.0,0.0
48,57.0,512,512,3.0,0.0
49,69.0,0,0,0.0,0.0
50,60.0,0,1024,2.0,0.0
51,65.0,1024,1024,1.0,0.0
52,59.0,0,512,3.0,0.0
53,64.0,0,1024,6.0,0.0
54,67.0,0,1024,0.0,0.0
55,60.0,0,1024,3.0,0.0
56,67.0,1024,1024,5.0,0.0
57,64.0,0,1024,1.0,0.0
58,60.0,0,1024,2.0,0.0
59,66.0,0,1024,1.0,0.0
60,72.0,0,1024,5.0,0.0
61,72.0,0,1024,0.0,0.0
62,60.0,0,1024,2.0,0.0
63,57.0,0,1024,3.0,0.0
64,66.0,512,1024,6.0,0.0
65,67.0,0,1024,1.0,0.0
66,71.0,0,1024,5.0,0.0
67,55.0,0,1024,3.0,0.0
68,71.0,0,1024,0.0,0.0
69,62.0,512,512,2.0,0.0
70,67.0,1024,1024,6.0,0.0
71,64.0,0,512,2.0,0.0
72,63.0,0,1024,6.0,0.0
73,69.0,0,1024,0.0,0.0
74,63.0,0,1024,1.0,0.0
75,66.0,0,1024,2.0,0.0
76,54.0,0,1024,3.0,0.0
77,69.0,512,1024,5.0,0.0
78,67.0,0,512,0.0,0.0
79,59.0,512,512,2.0,0.0
80,64.0,0,1024,1.0,0.0
81,67.0,0,512,5.0,0.0
82,52.0,512,1536,3.0,0.0
83,66.0,0,512,0.0,0.0
84,66.0,512,512,5.0,0.0
85,57.0,0,512,2.0,0.0
86,59.0,0,1024,1.0,0.0
87,64.0,512,1024,0.0,0.0
88,64.0,0,0,6.0,0.0
89,64.0,0,1024,5.0,0.0
90,50.0,0,512,3.0,0.0
91,64.0,0,0,6.0,0.0
92,55.0,0,0,2.0,0.0
93,69.0,0,1024,5.0,0.0
94,48.0,0,512,3.0,0.0
95,64.0,0,1536,1.0,0.0
96,45.0,0,512,3.0,0.0
97,54.0,256,256,2.0,0.0
98,52.0,0,256,2.0,0.0
99,69.0,0,1024,5.0,0.0
100,42.0,0,512,3.0,0.0
101,60.0,0,512,2.0,0.0
102,69.0,512,0,0.0,0.0
103,63.0,0,512,1.0,0.0
104,63.0,0,512,6.0,0.0
105,47.0,0,512,3.0,0.0
106,64.0,0,1024,6.0,0.0
107,59.0,1024,0,2.0,0.0
108,67.0,0,0,5.0,0.0
109,67.0,0,0,0.0,0.0
110,64.0,0,0,1.0,0.0
111,64.0,512,1024,6.0,0.0
112,52.0,0,0,3.0,0.0
113,60.0,512,512,2.0,0.0
114,59.0,0,512,2.0,0.0
115,69.0,0,1024,5.0,0.0
116,54.0,0,1024,3.0,0.0
117,57.0,0,1024,2.0,0.0
118,69.0,512,1024,0.0,0.0
119,64.0,0,512,6.0,0.0
120,64.0,512,512,1.0,0.0
121,62.0,0,512,1.0,0.0
122,62.0,0,512,6.0,0.0
123,64.0,0,1024,6.0,0.0
124,71.0,0,1024,5.0,0.0
125,64.0,0,1024,2.0,0.0
126,71.0,0,1024,0.0,0.0
127,60.0,512,512,1.0,0.0
128,56.0,512,1024,3.0,0.0
129,59.0,0,512,1.0,0.0
130,64.0,0,512,2.0,0.0
131,72.0,0,512,0.0,0.0
132,57.0,512,1536,3.0,0.0
133,64.0,0,1024,6.0,0.0
134,72.0,512,512,5.0,0.0
135,57.0,512,1024,1.0,0.0
136,74.0,0,512,0.0,0.0
137,74.0,0,512,5.0,0.0
138,62.0,0,512,2.0,0.0
139,69.0,0,1024,6.0,0.0
140,60.0,0,1024,2.0,0.0
141,76.0,0,1024,0.0,0.0
142,76.0,0,1024,5.0,0.0
143,55.0,0,512,3.0,0.0
144,74.0,0,2048,0.0,0.0
145,53.0,512,512,3.0,0.0
146,74.0,0,2048,5.0,0.0
147,69.0,512,0,1.0,0.0
148,69.0,0,1024,6.0,0.0
149,60.0,512,1024,2.0,0.0
150,50.0,0,512,3.0,0.0
151,67.0,512,512,6.0,0.0
152,67.0,0,512,1.0,0.0
153,59.0,0,1024,2.0,0.0
154,55.0,0,1024,3.0,0.0
155,65.0,0,512,6.0,0.0
156,65.0,1024,512,1.0,0.0
157,64.0,0,1024,1.0,0.0
158,72.0,0,1024,0.0,0.0
159,72.0,0,1024,5.0,0.0
160,48.0,0,0,3.0,0.0
161,64.0,0,0,6.0,0.0
162,72.0,0,1024,0.0,0.0
163,64.0,0,1024,1.0,0.0
164,72.0,0,1024,5.0,0.0
165,55.0,512,0,2.0,0.0
166,57.0,512,512,2.0,0.0
167,62.0,512,512,1.0,0.0
168,71.0,0,1024,5.0,0.0
169,55.0,512,1024,3.0,0.0
170,71.0,0,1024,0.0,0.0
171,59.0,0,512,2.0,0.0
172,62.0,0,512,6.0,0.0
173,60.0,0,512,2.0,0.0
174,64.0,0,512,6.0,0.0
175,64.0,0,512,1.0,0.0
176,62.0,512,512,2.0,0.0
177,65.0,0,1024,6.0,0.0
178,69.0,512,1024,0.0,0.0
179,69.0,0,1024,5.0,0.0
180,65.0,0,1024,1.0,0.0
181,50.0,0,1024,3.0,0.0
182,60.0,0,512,2.0,0.0
183,64.0,0,512,6.0,0.0
184,67.0,0,512,5.0,0.0
185,59.0,0,1024,2.0,0.0
186,52.0,0,1024,3.0,0.0
187,67.0,512,512,0.0,0.0
188,64.0,0,512,1.0,0.0
189,62.0,0,512,6.0,0.0
190,62.0,512,512,1.0,0.0
191,66.0,0,512,0.0,0.0
192,66.0,0,512,5.0,0.0
193,64.0,0,1024,0.0,0.0
194,60.0,0,512,2.0,0.0
195,64.0,0,1024,6.0,0.0
196,64.0,0,1024,5.0,0.0
197,57.0,512,512,3.0,0.0
198,59.0,0,512,2.0,0.0
199,55.0,0,512,3.0,0.0
200,53.0,512,512,3.0,0.0
201,57.0,0,512,2.0,0.0
202,60.0,512,0,1.0,0.0
203,69.0,512,1024,5.0,0.0
204,55.0,0,512,3.0,0.0
205,59.0,0,512,2.0,0.0
206,69.0,0,0,0.0,0.0
207,65.0,0,1024,1.0,0.0
208,57.0,512,512,3.0,0.0
209,65.0,0,0,6.0,0.0
210,60.0,0,1024,2.0,0.0
211,69.0,0,1024,5.0,0.0
212,59.0,0,512,3.0,0.0
213,67.0,0,1024,5.0,0.0
214,60.0,1024,1024,3.0,0.0
215,64.0,0,1024,6.0,0.0
216,64.0,0,1024,1.0,0.0
217,67.0,0,1024,0.0,0.0
218,72.0,0,1024,5.0,0.0
219,60.0,0,0,2.0,0.0
220,66.0,0,1024,6.0,0.0
221,57.0,0,1024,3.0,0.0
222,66.0,0,1024,1.0,0.0
223,72.0,0,1024,0.0,0.0
224,55.0,0,1024,3.0,0.0
225,71.0,0,1024,5.0,0.0
226,67.0,0,1024,1.0,0.0
227,62.0,512,512,2.0,0.0
228,67.0,1024,1024,6.0,0.0
229,71.0,0,1024,0.0,0.0
230,64.0,0,512,2.0,0.0
231,63.0,0,1024,1.0,0.0
232,63.0,0,1024,6.0,0.0
233,69.0,512,1024,5.0,0.0
234,69.0,0,1024,0.0,0.0
235,66.0,0,1024,2.0,0.0
236,54.0,0,1024,3.0,0.0
237,64.0,0,1024,1.0,0.0
238,59.0,0,512,2.0,0.0
239,67.0,0,512,0.0,0.0
240,52.0,512,1536,3.0,0.0
241,67.0,512,512,5.0,0.0
242,57.0,0,512,2.0,0.0
243,66.0,0,512,5.0,0.0
244,66.0,512,512,0.0,0.0
245,64.0,0,0,6.0,0.0
246,59.0,512,1024,1.0,0.0
247,64.0,0,1024,5.0,0.0
248,64.0,0,1024,0.0,0.0
249,50.0,0,512,3.0,0.0
250,48.0,0,512,3.0,0.0
251,64.0,0,0,6.0,0.0
252,55.0,0,0,2.0,0.0
253,64.0,0,1536,1.0,0.0
254,45.0,0,512,3.0,0.0
255,54.0,256,256,2.0,0.0
256,52.0,0,256,2.0,0.0
257,69.0,0,0,0.0,0.0
258,69.0,512,0,5.0,0.0
259,42.0,0,512,3.0,0.0
260,60.0,0,512,2.0,0.0
261,63.0,1024,512,1.0,0.0
262,47.0,0,512,3.0,0.0
263,63.0,0,512,6.0,0.0
264,59.0,0,0,2.0,0.0
265,67.0,0,1024,0.0,0.0
266,64.0,0,0,1.0,0.0
267,52.0,0,0,3.0,0.0
268,64.0,512,0,6.0,0.0
269,60.0,512,512,2.0,0.0
270,67.0,0,0,5.0,0.0
271,67.0,0,1024,0.0,0.0
272,59.0,512,512,2.0,0.0
273,54.0,0,1024,3.0,0.0
274,69.0,0,1024,0.0,0.0
275,69.0,0,1024,5.0,0.0
276,57.0,512,1024,2.0,0.0
277,64.0,0,512,1.0,0.0
278,64.0,512,512,6.0,0.0
279,62.0,0,512,1.0,0.0
280,62.0,0,512,6.0,0.0
281,60.0,512,512,1.0,0.0
282,71.0,0,1024,5.0,0.0
283,71.0,0,1024,0.0,0.0
284,56.0,0,1024,3.0,0.0
285,59.0,0,512,1.0,0.0
286,64.0,0,0,6.0,0.0
287,57.0,512,1536,3.0,0.0
288,57.0,0,1024,1.0,0.0
289,72.0,512,512,5.0,0.0
290,72.0,0,512,0.0,0.0
291,64.0,512,0,2.0,0.0
292,74.0,512,512,5.0,0.0
293,62.0,0,512,2.0,0.0
294,74.0,0,512,0.0,0.0
295,60.0,0,1024,2.0,0.0
296,69.0,0,1024,1.0,0.0
297,76.0,0,1024,0.0,0.0
298,76.0,0,1024,5.0,0.0
299,69.0,512,1024,6.0,0.0
300,55.0,0,512,3.0,0.0
301,53.0,512,512,3.0,0.0
302,69.0,0,1024,1.0,0.0
303,74.0,1024,2048,0.0,0.0
304,69.0,0,1024,6.0,0.0
305,74.0,0,2048,5.0,0.0
306,60.0,0,1024,2.0,0.0
307,50.0,512,512,3.0,0.0
308,67.0,512,512,6.0,0.0
