,note,step,duration,channel,velocity
0,67.0,0,1024,1.0,96.0
1,55.0,0,1024,3.0,96.0
2,74.0,0,1024,0.0,96.0
3,59.0,0,1024,2.0,96.0
4,60.0,0,512,2.0,96.0
5,76.0,0,1024,0.0,96.0
6,48.0,0,1024,3.0,96.0
7,67.0,1024,1024,1.0,96.0
8,59.0,512,512,2.0,96.0
9,74.0,0,512,0.0,96.0
10,72.0,512,512,0.0,96.0
11,66.0,0,1024,1.0,96.0
12,57.0,512,1024,2.0,96.0
13,50.0,0,1024,3.0,96.0
14,71.0,512,512,0.0,96.0
15,72.0,512,512,0.0,96.0
16,52.0,0,1024,3.0,96.0
17,64.0,0,1024,2.0,96.0
18,47.0,512,512,3.0,96.0
19,62.0,0,1024,2.0,96.0
20,48.0,512,512,3.0,96.0
21,74.0,0,1024,0.0,96.0
22,67.0,0,2048,1.0,96.0
23,62.0,2048,0,2.0,96.0
24,66.0,0,2048,1.0,96.0
25,69.0,512,2048,0.0,96.0
26,50.0,0,2048,3.0,96.0
27,67.0,1024,0,1.0,96.0
28,71.0,0,1024,0.0,96.0
29,55.0,0,1024,3.0,96.0
30,64.0,0,1024,2.0,96.0
31,52.0,0,1024,3.0,96.0
32,73.0,0,1024,0.0,96.0
33,74.0,0,3072,0.0,96.0
34,50.0,0,3072,3.0,96.0
35,66.0,0,3072,1.0,96.0
36,57.0,1024,3072,2.0,96.0
37,55.0,0,1024,3.0,96.0
38,59.0,3072,1024,2.0,96.0
39,67.0,0,0,1.0,96.0
40,74.0,0,1024,0.0,96.0
41,60.0,0,1024,2.0,96.0
42,48.0,1024,1024,3.0,96.0
43,76.0,0,1024,0.0,96.0
44,47.0,0,512,3.0,96.0
45,48.0,512,512,3.0,96.0
46,67.0,1024,1024,1.0,96.0
47,74.0,0,1024,0.0,96.0
48,62.0,512,0,2.0,96.0
49,66.0,0,512,1.0,96.0
50,69.0,0,512,0.0,96.0
51,71.0,512,512,0.0,96.0
52,67.0,0,512,1.0,96.0
53,50.0,0,1024,3.0,96.0
54,64.0,0,512,2.0,96.0
55,62.0,512,256,2.0,96.0
56,69.0,0,1024,1.0,96.0
57,72.0,512,1024,0.0,96.0
58,45.0,0,1024,3.0,96.0
59,60.0,256,256,2.0,96.0
60,47.0,0,512,3.0,96.0
61,62.0,0,1024,2.0,96.0
62,71.0,256,1024,0.0,96.0
63,67.0,0,1024,1.0,96.0
64,48.0,512,512,3.0,96.0
65,62.0,0,512,2.0,96.0
66,69.0,0,1024,0.0,96.0
67,66.0,0,1024,1.0,96.0
68,50.0,512,1024,3.0,96.0
69,60.0,512,512,2.0,96.0
70,43.0,0,2048,3.0,96.0
71,62.0,0,2048,1.0,96.0
72,67.0,0,2048,0.0,96.0
73,59.0,512,2048,2.0,96.0
74,59.0,0,1024,2.0,96.0
75,62.0,0,1024,1.0,96.0
76,55.0,3072,1024,3.0,96.0
77,67.0,0,1024,0.0,96.0
78,69.0,0,512,0.0,96.0
79,57.0,0,1024,2.0,96.0
80,54.0,1024,1024,3.0,96.0
81,71.0,512,512,0.0,96.0
82,62.0,0,1024,1.0,96.0
83,52.0,0,512,3.0,96.0
84,64.0,0,1024,2.0,96.0
85,72.0,0,1024,0.0,96.0
86,54.0,512,512,3.0,96.0
87,71.0,0,512,0.0,96.0
88,62.0,0,512,2.0,96.0
89,60.0,0,512,2.0,96.0
90,55.0,512,1024,3.0,96.0
91,72.0,512,512,0.0,96.0
92,43.0,0,512,3.0,96.0
93,67.0,512,2560,1.0,96.0
94,59.0,512,512,2.0,96.0
95,45.0,512,512,3.0,96.0
96,66.0,0,512,1.0,96.0
97,57.0,0,512,2.0,96.0
98,47.0,0,512,3.0,96.0
99,48.0,512,512,3.0,96.0
100,74.0,0,2048,0.0,96.0
101,67.0,512,1024,1.0,96.0
102,55.0,0,1024,2.0,96.0
103,62.0,0,512,2.0,96.0
104,60.0,512,512,2.0,96.0
105,50.0,0,1024,3.0,96.0
106,69.0,0,1024,0.0,96.0
107,66.0,512,1024,1.0,96.0
108,59.0,512,512,2.0,96.0
109,57.0,512,256,2.0,96.0
110,55.0,256,256,2.0,96.0
111,64.0,0,1024,1.0,96.0
112,52.0,0,1024,3.0,96.0
113,67.0,0,1024,0.0,96.0
114,54.0,0,512,3.0,96.0
115,66.0,256,1024,0.0,96.0
116,57.0,0,1024,2.0,96.0
117,55.0,512,512,3.0,96.0
118,57.0,0,1024,3.0,96.0
119,62.0,0,2048,1.0,96.0
120,64.0,512,2048,0.0,96.0
121,61.0,0,1024,1.0,96.0
122,45.0,1024,1024,3.0,96.0
123,57.0,0,2048,2.0,96.0
124,50.0,0,3072,3.0,96.0
125,54.0,3072,0,2.0,96.0
126,62.0,0,3072,0.0,96.0
127,62.0,0,3072,1.0,96.0
128,62.0,0,1024,1.0,96.0
129,62.0,0,1024,0.0,96.0
130,47.0,0,1024,3.0,96.0
131,52.0,0,1024,3.0,96.0
132,67.0,0,1024,0.0,96.0
133,64.0,0,1024,1.0,96.0
134,55.0,1024,1024,2.0,96.0
135,69.0,0,1024,0.0,96.0
136,66.0,0,1024,1.0,96.0
137,50.0,1024,1024,3.0,96.0
138,62.0,1024,0,2.0,96.0
