,note,step,duration,channel,velocity
0,67.0,512,1024,0.0,0.0
1,58.0,0,1024,2.0,0.0
2,55.0,0,1024,3.0,0.0
3,62.0,0,1024,1.0,0.0
4,63.0,0,1024,1.0,0.0
5,60.0,512,512,3.0,0.0
6,67.0,512,1024,0.0,0.0
7,58.0,0,512,3.0,0.0
8,57.0,512,1024,3.0,0.0
9,64.0,512,512,1.0,0.0
10,60.0,0,0,2.0,0.0
11,69.0,0,1024,0.0,0.0
12,66.0,0,512,1.0,0.0
13,70.0,1024,1024,0.0,0.0
14,62.0,0,1024,2.0,0.0
15,55.0,512,512,3.0,0.0
16,53.0,0,512,3.0,0.0
17,67.0,0,0,1.0,0.0
18,51.0,3072,1024,3.0,0.0
19,63.0,0,1024,2.0,0.0
20,72.0,0,1024,0.0,0.0
21,66.0,0,3072,1.0,0.0
22,50.0,0,3072,3.0,0.0
23,74.0,0,0,0.0,0.0
24,48.0,1024,1024,3.0,0.0
25,57.0,1024,0,2.0,0.0
26,66.0,0,1024,1.0,0.0
27,58.0,512,1024,2.0,0.0
28,74.0,0,1024,0.0,0.0
29,67.0,0,1024,1.0,0.0
30,46.0,0,1024,3.0,0.0
31,60.0,0,1024,2.0,0.0
32,67.0,512,512,1.0,0.0
33,45.0,0,1024,3.0,0.0
34,72.0,1024,1024,0.0,0.0
35,66.0,0,512,1.0,0.0
36,43.0,0,1024,3.0,0.0
37,62.0,1024,1024,2.0,0.0
38,70.0,0,1024,0.0,0.0
39,67.0,0,1024,1.0,0.0
40,72.0,0,1024,0.0,0.0
41,69.0,0,1024,1.0,0.0
42,63.0,0,1024,2.0,0.0
43,48.0,3072,1024,3.0,0.0
44,66.0,1024,0,1.0,0.0
45,69.0,0,0,0.0,0.0
46,50.0,0,0,3.0,0.0
47,62.0,0,0,2.0,0.0
48,62.0,1024,0,2.0,0.0
49,70.0,0,1024,0.0,0.0
50,55.0,0,1024,3.0,0.0
51,67.0,0,1024,1.0,0.0
52,53.0,512,512,3.0,0.0
