,note,step,duration,channel,velocity
0,36.0,0,59,3.0,95.0
1,24.0,0,59,6.0,95.0
2,48.0,0,59,2.0,127.0
3,26.0,54,59,6.0,95.0
4,38.0,0,59,3.0,95.0
5,50.0,0,59,2.0,127.0
6,52.0,0,59,2.0,127.0
7,28.0,3,59,6.0,95.0
8,40.0,0,59,3.0,95.0
9,36.0,0,59,3.0,95.0
10,64.0,0,239,5.0,120.0
11,24.0,60,59,6.0,95.0
12,48.0,0,59,2.0,127.0
13,64.0,0,239,1.0,127.0
14,67.0,6,241,0.0,127.0
15,67.0,0,241,4.0,120.0
16,72.0,57,180,4.0,120.0
17,72.0,0,180,0.0,127.0
18,74.0,61,60,4.0,120.0
19,74.0,0,60,0.0,127.0
20,71.0,59,119,0.0,127.0
21,71.0,0,119,4.0,120.0
22,67.0,60,59,4.0,120.0
23,62.0,0,359,1.0,127.0
24,62.0,0,359,5.0,120.0
25,67.0,0,59,0.0,127.0
26,76.0,120,179,4.0,120.0
27,76.0,0,179,0.0,127.0
28,77.0,60,59,4.0,120.0
29,60.0,0,119,1.0,127.0
30,77.0,0,59,0.0,127.0
31,60.0,0,119,5.0,120.0
32,72.0,0,180,4.0,120.0
33,72.0,60,180,0.0,127.0
34,62.0,0,119,5.0,120.0
35,62.0,60,119,1.0,127.0
36,72.0,61,60,4.0,127.0
37,72.0,0,60,0.0,127.0
38,74.0,0,179,0.0,127.0
39,74.0,0,179,4.0,120.0
40,71.0,57,120,4.0,127.0
41,71.0,0,120,0.0,127.0
42,55.0,0,719,2.0,127.0
43,31.0,60,719,6.0,95.0
44,67.0,2,119,5.0,120.0
45,43.0,0,719,3.0,95.0
46,67.0,0,119,1.0,127.0
47,76.0,0,60,0.0,127.0
48,76.0,60,60,4.0,127.0
49,71.0,6,60,4.0,127.0
50,71.0,0,0,0.0,127.0
51,71.0,60,60,4.0,127.0
52,57.0,0,179,2.0,127.0
53,33.0,0,179,6.0,95.0
54,45.0,0,179,3.0,95.0
55,64.0,60,239,1.0,127.0
56,64.0,0,239,5.0,120.0
57,43.0,0,59,3.0,95.0
58,31.0,0,59,6.0,95.0
59,55.0,63,59,2.0,127.0
60,72.0,0,300,0.0,127.0
61,72.0,0,300,4.0,120.0
62,76.0,60,60,0.0,127.0
63,76.0,0,60,4.0,127.0
64,74.0,54,60,0.0,127.0
65,74.0,0,60,4.0,127.0
66,69.0,6,117,0.0,127.0
67,69.0,0,117,4.0,120.0
68,30.0,0,239,6.0,95.0
69,42.0,0,239,3.0,95.0
70,54.0,60,239,2.0,127.0
71,72.0,0,60,4.0,127.0
72,72.0,60,60,0.0,127.0
73,71.0,60,59,0.0,127.0
74,71.0,0,59,4.0,120.0
75,69.0,60,59,4.0,120.0
76,69.0,0,59,0.0,127.0
77,31.0,0,179,6.0,95.0
78,55.0,0,179,2.0,127.0
79,43.0,0,179,3.0,95.0
80,67.0,0,119,4.0,120.0
81,53.0,60,59,2.0,127.0
82,62.0,0,479,5.0,120.0
83,71.0,60,119,4.0,120.0
84,62.0,0,479,1.0,127.0
85,29.0,0,59,6.0,95.0
86,41.0,0,59,3.0,95.0
87,67.0,0,119,0.0,127.0
88,71.0,0,119,0.0,127.0
89,76.0,60,59,4.0,120.0
90,76.0,0,59,0.0,127.0
91,79.0,60,59,0.0,127.0
92,79.0,0,59,4.0,120.0
93,76.0,0,59,4.0,120.0
94,76.0,60,59,0.0,127.0
95,72.0,0,59,4.0,120.0
96,72.0,60,59,0.0,127.0
97,76.0,0,59,0.0,127.0
98,76.0,60,59,4.0,120.0
99,67.0,0,59,0.0,127.0
100,67.0,60,59,4.0,120.0
101,28.0,0,479,6.0,95.0
102,60.0,0,479,5.0,120.0
103,60.0,60,479,1.0,127.0
104,72.0,60,59,0.0,127.0
105,52.0,0,479,2.0,127.0
106,40.0,0,479,3.0,95.0
107,72.0,0,59,4.0,120.0
108,69.0,0,59,0.0,127.0
109,69.0,0,59,4.0,120.0
110,72.0,60,59,4.0,120.0
111,72.0,0,59,0.0,127.0
112,74.0,60,59,0.0,127.0
113,74.0,0,59,4.0,120.0
114,76.0,60,59,0.0,127.0
115,60.0,1,239,1.0,127.0
116,60.0,0,239,5.0,120.0
117,76.0,0,59,4.0,120.0
118,77.0,60,59,0.0,127.0
119,77.0,0,59,4.0,120.0
120,41.0,0,359,3.0,95.0
121,29.0,59,359,6.0,95.0
122,53.0,0,359,2.0,127.0
123,76.0,60,59,0.0,127.0
124,76.0,0,59,4.0,120.0
125,74.0,0,59,4.0,120.0
126,74.0,60,59,0.0,127.0
127,72.0,60,59,4.0,120.0
