,note,step,duration,channel,velocity
0,50.0,0,120,0.0,64.0
1,74.0,60,60,0.0,64.0
2,52.0,120,120,0.0,64.0
3,73.0,60,60,0.0,64.0
4,74.0,0,60,0.0,64.0
5,69.0,120,120,0.0,64.0
6,53.0,0,120,0.0,64.0
7,77.0,60,180,0.0,64.0
8,50.0,60,120,0.0,64.0
9,57.0,60,120,0.0,64.0
10,76.0,0,60,0.0,64.0
11,59.0,120,120,0.0,64.0
12,74.0,60,60,0.0,64.0
13,76.0,0,60,0.0,64.0
14,69.0,0,120,0.0,64.0
15,61.0,120,120,0.0,64.0
16,57.0,60,120,0.0,64.0
17,79.0,60,180,0.0,64.0
18,62.0,0,240,0.0,64.0
19,69.0,0,60,0.0,64.0
20,77.0,60,60,0.0,64.0
21,68.0,60,60,0.0,64.0
22,76.0,0,60,0.0,64.0
23,74.0,0,60,0.0,64.0
24,69.0,120,60,0.0,64.0
25,64.0,0,120,0.0,64.0
26,81.0,10,290,0.0,64.0
27,60.0,60,60,0.0,64.0
28,72.0,60,180,0.0,64.0
29,59.0,60,60,0.0,64.0
30,57.0,50,60,0.0,64.0
31,71.0,0,60,0.0,64.0
32,80.0,60,60,0.0,64.0
33,69.0,0,60,0.0,64.0
34,78.0,60,60,0.0,64.0
35,80.0,0,60,0.0,64.0
36,71.0,0,60,0.0,64.0
37,80.0,60,180,0.0,64.0
38,64.0,120,0,0.0,64.0
39,52.0,60,240,0.0,64.0
40,74.0,60,180,0.0,64.0
41,81.0,0,60,0.0,64.0
42,81.0,70,290,0.0,64.0
43,45.0,50,240,0.0,64.0
44,72.0,60,60,0.0,64.0
45,71.0,60,60,0.0,64.0
46,72.0,0,60,0.0,64.0
47,77.0,70,290,0.0,64.0
48,74.0,60,60,0.0,64.0
49,73.0,60,60,0.0,64.0
50,74.0,50,60,0.0,64.0
51,79.0,70,290,0.0,64.0
52,70.0,60,60,0.0,64.0
53,69.0,60,60,0.0,64.0
54,70.0,50,60,0.0,64.0
55,76.0,60,360,0.0,64.0
56,73.0,60,60,0.0,64.0
57,71.0,60,60,0.0,64.0
58,73.0,120,60,0.0,64.0
59,77.0,0,360,0.0,64.0
60,50.0,0,60,0.0,64.0
61,49.0,60,60,0.0,64.0
62,69.0,0,120,0.0,64.0
63,50.0,60,60,0.0,64.0
64,74.0,60,60,0.0,64.0
65,45.0,0,120,0.0,64.0
66,76.0,60,60,0.0,64.0
67,81.0,0,120,0.0,64.0
68,74.0,60,60,0.0,64.0
69,53.0,60,180,0.0,64.0
70,72.0,60,60,0.0,64.0
71,71.0,60,180,0.0,64.0
72,79.0,10,290,0.0,64.0
73,52.0,60,60,0.0,64.0
74,50.0,0,60,0.0,64.0
75,52.0,20,60,0.0,64.0
76,73.0,0,60,0.0,64.0
77,74.0,20,20,0.0,64.0
78,45.0,0,120,0.0,64.0
79,73.0,10,20,0.0,64.0
80,74.0,20,20,0.0,64.0
81,77.0,60,60,0.0,64.0
82,73.0,20,20,0.0,64.0
83,74.0,20,20,0.0,64.0
84,73.0,60,140,0.0,64.0
85,55.0,0,180,0.0,64.0
86,76.0,60,60,0.0,64.0
87,77.0,0,60,0.0,64.0
88,53.0,60,60,0.0,64.0
89,74.0,60,0,0.0,64.0
90,73.0,0,60,0.0,64.0
91,52.0,60,60,0.0,64.0
92,50.0,120,60,0.0,64.0
93,74.0,0,60,0.0,64.0
94,58.0,0,290,0.0,64.0
95,67.0,70,290,0.0,64.0
96,82.0,60,60,0.0,64.0
97,81.0,60,60,0.0,64.0
98,82.0,50,60,0.0,64.0
99,76.0,70,290,0.0,64.0
100,52.0,0,60,0.0,64.0
101,72.0,60,60,0.0,64.0
102,70.0,0,60,0.0,64.0
103,50.0,60,60,0.0,64.0
104,72.0,0,60,0.0,64.0
105,48.0,50,60,0.0,64.0
106,57.0,70,290,0.0,64.0
107,65.0,0,290,0.0,64.0
108,81.0,60,60,0.0,64.0
109,79.0,60,60,0.0,64.0
110,81.0,50,60,0.0,64.0
111,74.0,70,290,0.0,64.0
112,70.0,0,60,0.0,64.0
113,50.0,60,60,0.0,64.0
114,69.0,0,60,0.0,64.0
115,48.0,60,60,0.0,64.0
116,72.0,50,60,0.0,64.0
117,50.0,0,60,0.0,64.0
118,43.0,0,120,0.0,64.0
119,70.0,10,290,0.0,64.0
120,74.0,60,60,0.0,64.0
121,53.0,60,180,0.0,64.0
122,76.0,60,60,0.0,64.0
123,77.0,50,60,0.0,64.0
124,79.0,10,290,0.0,64.0
125,72.0,0,60,0.0,64.0
126,52.0,60,60,0.0,64.0
127,70.0,0,60,0.0,64.0
128,50.0,60,60,0.0,64.0
129,69.0,50,60,0.0,64.0
130,52.0,0,60,0.0,64.0
131,48.0,0,120,0.0,64.0
132,70.0,60,60,0.0,64.0
133,69.0,0,60,0.0,64.0
134,77.0,60,60,0.0,64.0
135,67.0,60,60,0.0,64.0
136,58.0,60,180,0.0,64.0
137,76.0,0,60,0.0,64.0
138,65.0,0,60,0.0,64.0
139,74.0,60,60,0.0,64.0
140,64.0,60,120,0.0,64.0
141,72.0,70,530,0.0,64.0
142,57.0,0,60,0.0,64.0
143,55.0,60,60,0.0,64.0
144,70.0,60,180,0.0,64.0
145,57.0,60,60,0.0,64.0
146,53.0,60,120,0.0,64.0
147,69.0,0,60,0.0,64.0
148,67.0,60,60,0.0,64.0
149,63.0,50,120,0.0,64.0
150,69.0,0,60,0.0,64.0
151,65.0,60,720,0.0,64.0
152,62.0,0,120,0.0,64.0
153,70.0,60,60,0.0,64.0
154,60.0,0,120,0.0,64.0
155,69.0,60,60,0.0,64.0
156,70.0,60,60,0.0,64.0
157,58.0,60,120,0.0,64.0
158,67.0,60,60,0.0,64.0
159,74.0,0,60,0.0,64.0
160,72.0,60,60,0.0,64.0
161,57.0,60,120,0.0,64.0
162,74.0,0,60,0.0,64.0
163,67.0,60,60,0.0,64.0
164,58.0,0,120,0.0,64.0
165,70.0,60,60,0.0,64.0
166,55.0,0,120,0.0,64.0
167,69.0,60,60,0.0,64.0
168,70.0,60,120,0.0,64.0
169,60.0,0,120,0.0,64.0
170,64.0,0,240,0.0,64.0
171,72.0,60,60,0.0,64.0
172,48.0,0,120,0.0,64.0
173,70.0,60,60,0.0,64.0
174,72.0,120,60,0.0,64.0
175,41.0,60,120,0.0,64.0
176,69.0,0,240,0.0,64.0
177,65.0,0,60,0.0,64.0
178,64.0,60,60,0.0,64.0
