,note,step,duration,channel,velocity
0,73.0,30,57,0.0,107.0
1,69.0,30,96,0.0,107.0
2,74.0,60,24,0.0,107.0
3,64.0,30,144,0.0,107.0
4,76.0,30,24,0.0,107.0
5,74.0,30,96,0.0,107.0
6,73.0,120,96,0.0,107.0
7,71.0,120,15,0.0,107.0
8,73.0,15,15,0.0,107.0
9,71.0,15,57,0.0,107.0
10,45.0,0,576,1.0,107.0
11,57.0,15,609,1.0,107.0
12,52.0,15,624,1.0,107.0
13,69.0,90,96,0.0,107.0
14,76.0,0,96,0.0,107.0
15,79.0,0,96,0.0,107.0
16,61.0,0,192,1.0,107.0
17,69.0,0,192,0.0,107.0
18,64.0,120,192,1.0,107.0
19,74.0,120,96,0.0,107.0
20,78.0,0,96,0.0,107.0
21,57.0,0,576,1.0,107.0
22,78.0,0,384,0.0,107.0
23,69.0,0,384,0.0,107.0
24,74.0,0,384,0.0,107.0
25,62.0,0,450,1.0,107.0
26,66.0,120,450,1.0,107.0
27,81.0,0,96,0.0,107.0
28,62.0,480,192,1.0,107.0
29,76.0,0,192,0.0,107.0
30,74.0,0,192,0.0,107.0
31,59.0,0,192,1.0,107.0
32,80.0,120,96,0.0,107.0
33,71.0,0,240,0.0,107.0
34,81.0,0,15,0.0,107.0
35,80.0,15,12,0.0,105.0
36,78.0,15,12,0.0,105.0
37,80.0,15,12,0.0,105.0
38,61.0,0,192,1.0,107.0
39,73.0,0,192,0.0,107.0
40,76.0,0,192,0.0,107.0
41,64.0,0,192,1.0,107.0
42,69.0,120,240,0.0,107.0
43,81.0,15,252,0.0,105.0
44,62.0,0,192,1.0,107.0
45,66.0,180,192,1.0,107.0
46,83.0,120,96,0.0,107.0
47,71.0,0,0,0.0,107.0
48,64.0,0,192,1.0,107.0
49,80.0,0,288,0.0,107.0
50,69.0,0,96,0.0,107.0
51,78.0,120,96,0.0,107.0
52,52.0,240,288,1.0,107.0
53,76.0,120,96,0.0,107.0
54,68.0,0,192,0.0,107.0
55,74.0,120,96,0.0,107.0
56,54.0,0,96,1.0,107.0
57,73.0,0,144,0.0,107.0
58,69.0,120,192,0.0,107.0
59,74.0,180,24,0.0,107.0
60,76.0,30,24,0.0,107.0
61,74.0,30,96,0.0,107.0
62,73.0,120,96,0.0,107.0
63,71.0,120,12,0.0,107.0
64,73.0,15,12,0.0,107.0
65,71.0,15,57,0.0,107.0
66,64.0,0,576,0.0,107.0
67,55.0,0,576,1.0,107.0
68,69.0,90,96,0.0,107.0
69,79.0,15,87,0.0,107.0
70,46.0,0,192,1.0,107.0
71,76.0,15,201,0.0,107.0
72,78.0,120,96,0.0,107.0
73,74.0,30,12,0.0,107.0
74,76.0,15,12,0.0,107.0
75,73.0,120,384,0.0,107.0
76,47.0,90,144,1.0,107.0
77,49.0,120,24,1.0,107.0
78,50.0,30,24,1.0,107.0
79,44.0,30,12,1.0,107.0
80,46.0,15,12,1.0,107.0
81,74.0,15,282,0.0,107.0
82,44.0,15,186,1.0,107.0
83,76.0,120,96,0.0,107.0
84,74.0,0,48,0.0,107.0
85,73.0,60,48,0.0,107.0
86,45.0,90,144,1.0,107.0
87,74.0,60,48,0.0,107.0
88,47.0,0,24,1.0,107.0
89,76.0,60,48,0.0,107.0
90,49.0,30,24,1.0,107.0
91,75.0,0,12,0.0,107.0
92,76.0,15,12,0.0,107.0
93,71.0,0,528,0.0,107.0
94,42.0,30,192,1.0,107.0
95,69.0,90,96,0.0,107.0
96,73.0,0,96,0.0,107.0
97,75.0,15,378,0.0,107.0
98,47.0,120,192,1.0,107.0
99,71.0,120,96,0.0,107.0
100,76.0,120,144,0.0,107.0
101,69.0,0,192,0.0,107.0
102,78.0,60,24,0.0,107.0
103,47.0,120,96,1.0,107.0
104,75.0,30,24,0.0,107.0
105,76.0,30,384,0.0,107.0
106,52.0,0,384,1.0,107.0
107,68.0,0,384,0.0,107.0
108,73.0,30,57,0.0,107.0
109,69.0,30,96,0.0,107.0
110,64.0,30,144,0.0,107.0
111,74.0,60,24,0.0,107.0
112,76.0,30,24,0.0,107.0
113,74.0,30,96,0.0,107.0
114,73.0,120,96,0.0,107.0
115,71.0,120,15,0.0,107.0
116,73.0,15,15,0.0,107.0
117,71.0,15,57,0.0,107.0
118,45.0,480,576,1.0,107.0
