,note,step,duration,channel,velocity
0,50.0,2,131,7.0,64.0
1,50.0,1,129,12.0,64.0
2,69.0,29,206,1.0,64.0
3,69.0,6,192,2.0,64.0
4,62.0,68,124,11.0,64.0
5,69.0,4,197,0.0,64.0
6,66.0,0,108,10.0,64.0
7,69.0,11,85,4.0,64.0
8,62.0,0,106,6.0,64.0
9,69.0,11,95,8.0,64.0
10,66.0,12,105,5.0,64.0
11,50.0,1,83,3.0,64.0
12,52.0,10,129,12.0,64.0
13,52.0,91,136,7.0,64.0
14,54.0,9,138,7.0,64.0
15,54.0,4,128,12.0,64.0
16,69.0,4,102,6.0,64.0
17,69.0,12,192,0.0,64.0
18,69.0,11,205,2.0,64.0
19,66.0,12,133,5.0,64.0
20,69.0,0,203,1.0,64.0
21,69.0,18,101,11.0,64.0
22,66.0,43,140,10.0,64.0
23,74.0,118,463,4.0,64.0
24,74.0,7,442,8.0,64.0
25,55.0,4,97,7.0,64.0
26,55.0,122,106,12.0,64.0
27,57.0,0,437,7.0,64.0
28,69.0,12,195,0.0,64.0
29,57.0,16,408,12.0,64.0
30,69.0,0,360,11.0,64.0
31,69.0,15,387,6.0,64.0
32,69.0,10,211,2.0,64.0
33,64.0,7,353,5.0,64.0
34,69.0,6,196,1.0,64.0
35,64.0,23,356,10.0,64.0
36,45.0,98,79,3.0,64.0
37,69.0,5,194,0.0,64.0
38,73.0,5,114,8.0,64.0
39,69.0,2,183,1.0,64.0
40,73.0,10,105,4.0,64.0
41,69.0,118,189,2.0,64.0
42,71.0,13,85,8.0,64.0
43,71.0,4,85,4.0,64.0
44,69.0,5,136,8.0,64.0
45,69.0,7,197,0.0,64.0
46,62.0,0,114,11.0,64.0
47,55.0,4,138,12.0,64.0
48,55.0,41,147,7.0,64.0
49,69.0,4,126,4.0,64.0
50,66.0,12,91,5.0,64.0
51,66.0,17,98,10.0,64.0
52,69.0,0,189,1.0,64.0
53,62.0,11,125,6.0,64.0
54,69.0,3,198,2.0,64.0
55,50.0,4,72,3.0,64.0
56,66.0,4,97,11.0,64.0
57,69.0,10,106,5.0,64.0
58,74.0,3,91,8.0,64.0
59,66.0,1,92,6.0,64.0
60,69.0,23,109,10.0,64.0
61,74.0,6,88,4.0,64.0
62,54.0,78,131,12.0,64.0
63,54.0,5,120,7.0,64.0
64,69.0,23,143,0.0,64.0
65,69.0,17,115,11.0,64.0
66,78.0,15,456,8.0,64.0
67,78.0,33,411,4.0,64.0
68,74.0,12,441,5.0,64.0
69,69.0,7,121,6.0,64.0
70,52.0,8,96,7.0,64.0
71,52.0,6,86,12.0,64.0
72,74.0,111,459,10.0,64.0
73,69.0,35,143,1.0,64.0
74,69.0,33,168,2.0,64.0
75,50.0,3,114,7.0,64.0
76,50.0,107,113,12.0,64.0
77,57.0,10,379,7.0,64.0
78,69.0,5,416,0.0,64.0
79,69.0,3,421,6.0,64.0
80,69.0,99,479,11.0,64.0
81,57.0,18,390,12.0,64.0
82,45.0,78,76,3.0,64.0
83,69.0,1,405,1.0,64.0
84,69.0,4,387,2.0,64.0
85,76.0,46,196,8.0,64.0
86,73.0,8,187,10.0,64.0
87,73.0,9,136,5.0,64.0
88,76.0,36,87,4.0,64.0
89,54.0,8,123,7.0,64.0
90,78.0,1,121,5.0,64.0
91,54.0,3,118,12.0,64.0
92,81.0,6,98,4.0,64.0
93,81.0,8,1027,0.0,64.0
94,74.0,26,1107,2.0,64.0
95,50.0,8,82,3.0,64.0
96,78.0,1,1026,1.0,64.0
97,62.0,54,102,6.0,64.0
98,50.0,6,66,7.0,64.0
99,50.0,28,56,12.0,64.0
100,52.0,26,53,7.0,64.0
101,52.0,91,63,12.0,64.0
102,54.0,21,133,7.0,64.0
103,54.0,25,96,12.0,64.0
104,78.0,9,178,10.0,64.0
105,62.0,5,171,11.0,64.0
106,81.0,31,134,8.0,64.0
107,52.0,4,65,7.0,64.0
108,52.0,30,64,12.0,64.0
109,54.0,5,51,7.0,64.0
110,54.0,141,49,12.0,64.0
111,55.0,0,137,7.0,64.0
112,55.0,15,127,12.0,64.0
113,78.0,43,141,5.0,64.0
114,74.0,1,125,6.0,64.0
115,81.0,2,105,4.0,64.0
116,52.0,11,60,7.0,64.0
117,52.0,24,59,12.0,64.0
118,54.0,14,53,7.0,64.0
119,54.0,126,55,12.0,64.0
120,55.0,6,125,7.0,64.0
121,78.0,8,157,10.0,64.0
122,81.0,5,163,8.0,64.0
123,55.0,32,121,12.0,64.0
124,74.0,11,164,11.0,64.0
125,79.0,12,104,5.0,64.0
126,74.0,25,71,6.0,64.0
127,54.0,11,54,7.0,64.0
128,83.0,3,87,4.0,64.0
129,54.0,0,48,12.0,64.0
130,55.0,4,59,7.0,64.0
131,55.0,85,47,12.0,64.0
132,78.0,20,121,5.0,64.0
133,74.0,1,116,6.0,64.0
134,57.0,4,89,7.0,64.0
135,57.0,16,146,12.0,64.0
136,81.0,16,129,4.0,64.0
137,45.0,18,78,3.0,64.0
138,76.0,10,125,5.0,64.0
139,79.0,13,108,8.0,64.0
140,76.0,60,127,10.0,64.0
141,79.0,2,77,4.0,64.0
142,79.0,3,70,0.0,64.0
143,76.0,18,72,1.0,64.0
144,74.0,0,107,5.0,64.0
145,74.0,2,95,10.0,64.0
146,78.0,4,94,4.0,64.0
147,69.0,5,98,11.0,64.0
148,78.0,1,88,8.0,64.0
