,note,step,duration,channel,velocity
0,72.0,0,240,0.0,64.0
1,74.0,240,240,0.0,64.0
2,75.0,240,480,0.0,64.0
3,48.0,0,240,0.0,64.0
4,50.0,240,240,0.0,64.0
5,72.0,480,480,0.0,64.0
6,51.0,0,240,0.0,64.0
7,48.0,240,240,0.0,64.0
8,50.0,240,240,0.0,64.0
9,79.0,240,720,0.0,64.0
10,77.0,240,120,0.0,64.0
11,79.0,120,120,0.0,64.0
12,51.0,0,240,0.0,64.0
13,53.0,0,240,0.0,64.0
14,55.0,240,240,0.0,64.0
15,80.0,120,480,0.0,64.0
16,56.0,0,240,0.0,64.0
17,72.0,240,480,0.0,64.0
18,53.0,240,240,0.0,64.0
19,71.0,0,240,0.0,64.0
20,55.0,240,240,0.0,64.0
21,69.0,240,240,0.0,64.0
22,54.0,0,240,0.0,64.0
23,79.0,0,240,0.0,64.0
24,55.0,240,240,0.0,64.0
25,77.0,240,240,0.0,64.0
26,57.0,0,240,0.0,64.0
27,67.0,0,480,0.0,64.0
28,58.0,240,240,0.0,64.0
29,57.0,240,240,0.0,64.0
30,76.0,0,480,0.0,64.0
31,58.0,240,240,0.0,64.0
32,55.0,240,240,0.0,64.0
33,79.0,0,480,0.0,64.0
34,57.0,240,480,0.0,64.0
35,72.0,0,720,0.0,64.0
36,74.0,240,120,0.0,64.0
37,50.0,480,480,0.0,64.0
38,78.0,0,480,0.0,64.0
39,72.0,120,120,0.0,64.0
40,55.0,120,240,0.0,64.0
41,57.0,240,240,0.0,64.0
42,71.0,0,480,0.0,64.0
43,59.0,240,240,0.0,64.0
44,55.0,240,240,0.0,64.0
45,79.0,0,480,0.0,64.0
46,80.0,0,240,0.0,64.0
47,60.0,240,480,0.0,64.0
48,82.0,240,240,0.0,64.0
49,77.0,0,1440,0.0,64.0
50,76.0,0,240,0.0,64.0
51,84.0,0,480,0.0,64.0
52,74.0,240,240,0.0,64.0
53,48.0,240,480,0.0,64.0
54,76.0,240,480,0.0,64.0
55,61.0,240,240,0.0,64.0
56,60.0,240,240,0.0,64.0
57,58.0,240,240,0.0,64.0
58,56.0,240,240,0.0,64.0
59,72.0,0,960,0.0,64.0
60,55.0,240,240,0.0,64.0
61,75.0,0,960,0.0,64.0
62,77.0,240,240,0.0,64.0
63,73.0,0,480,0.0,64.0
64,75.0,240,240,0.0,64.0
65,74.0,0,240,0.0,64.0
66,53.0,0,720,0.0,64.0
67,72.0,0,240,0.0,64.0
68,51.0,240,240,0.0,64.0
69,50.0,0,240,0.0,64.0
70,71.0,240,240,0.0,64.0
71,69.0,240,240,0.0,64.0
72,48.0,0,240,0.0,64.0
73,47.0,240,240,0.0,64.0
74,45.0,240,240,0.0,64.0
75,75.0,0,240,0.0,64.0
76,67.0,0,720,0.0,64.0
77,69.0,0,120,0.0,64.0
78,71.0,120,120,0.0,64.0
79,77.0,240,240,0.0,64.0
80,43.0,240,480,0.0,64.0
81,44.0,0,240,0.0,64.0
82,72.0,0,480,0.0,64.0
83,75.0,120,480,0.0,64.0
84,48.0,240,240,0.0,64.0
85,46.0,0,240,0.0,64.0
86,44.0,240,240,0.0,64.0
87,84.0,240,480,0.0,64.0
88,43.0,0,240,0.0,64.0
89,41.0,240,240,0.0,64.0
90,83.0,240,480,0.0,64.0
91,76.0,0,960,0.0,64.0
