,note,step,duration,channel,velocity
0,55.0,480,720,2.0,0.0
1,67.0,240,480,0.0,0.0
2,66.0,0,240,0.0,0.0
3,67.0,240,480,0.0,0.0
4,54.0,240,240,2.0,0.0
5,69.0,0,240,0.0,0.0
6,55.0,240,480,2.0,0.0
7,71.0,240,240,0.0,0.0
8,74.0,0,240,0.0,0.0
9,73.0,0,240,0.0,0.0
10,52.0,480,240,2.0,0.0
11,54.0,480,720,2.0,0.0
12,74.0,240,480,0.0,0.0
13,69.0,0,240,0.0,0.0
14,74.0,240,480,0.0,0.0
15,57.0,0,240,2.0,0.0
16,50.0,0,480,2.0,0.0
17,76.0,30,0,0.0,0.0
18,78.0,120,90,0.0,0.0
19,79.0,120,120,0.0,0.0
20,78.0,120,120,0.0,0.0
21,76.0,240,120,0.0,0.0
22,54.0,0,240,2.0,0.0
23,74.0,240,240,0.0,0.0
24,55.0,240,480,1.0,0.0
25,52.0,240,1920,2.0,0.0
26,79.0,240,240,0.0,0.0
27,83.0,0,240,0.0,0.0
28,81.0,0,240,0.0,0.0
29,54.0,240,240,1.0,0.0
30,83.0,240,240,0.0,0.0
31,55.0,240,480,1.0,0.0
32,79.0,0,240,0.0,0.0
33,78.0,240,240,0.0,0.0
34,57.0,0,240,1.0,0.0
35,59.0,240,240,1.0,0.0
36,79.0,240,960,0.0,0.0
37,62.0,0,240,1.0,0.0
38,61.0,0,240,1.0,0.0
39,57.0,240,240,2.0,0.0
40,62.0,0,480,1.0,0.0
41,50.0,240,720,2.0,0.0
42,78.0,240,240,0.0,0.0
43,57.0,0,240,1.0,0.0
44,76.0,0,240,0.0,0.0
45,62.0,240,480,1.0,0.0
46,78.0,240,240,0.0,0.0
47,79.0,0,240,0.0,0.0
48,81.0,0,240,0.0,0.0
49,64.0,30,0,1.0,0.0
50,74.0,0,960,0.0,0.0
51,66.0,120,90,1.0,0.0
52,67.0,120,120,1.0,0.0
53,66.0,120,120,1.0,0.0
54,64.0,240,120,1.0,0.0
55,62.0,0,240,1.0,0.0
56,60.0,240,240,2.0,0.0
57,59.0,0,720,2.0,0.0
58,67.0,240,240,1.0,0.0
59,79.0,240,240,0.0,0.0
60,71.0,0,240,1.0,0.0
61,69.0,240,240,1.0,0.0
62,78.0,0,240,0.0,0.0
63,79.0,240,240,0.0,0.0
64,71.0,0,240,1.0,0.0
65,67.0,240,240,1.0,0.0
66,83.0,0,240,0.0,0.0
67,66.0,240,240,1.0,0.0
68,62.0,0,240,2.0,0.0
69,81.0,0,240,0.0,0.0
70,83.0,120,240,0.0,0.0
71,67.0,0,960,1.0,0.0
72,55.0,0,480,2.0,0.0
73,86.0,120,120,0.0,0.0
74,84.0,120,120,0.0,0.0
75,59.0,240,240,2.0,0.0
76,83.0,120,120,0.0,0.0
77,81.0,0,120,0.0,0.0
78,83.0,120,240,0.0,0.0
79,64.0,240,720,2.0,0.0
80,66.0,0,240,1.0,0.0
81,84.0,120,120,0.0,0.0
82,83.0,120,120,0.0,0.0
83,64.0,0,240,1.0,0.0
84,81.0,120,120,0.0,0.0
85,79.0,0,120,0.0,0.0
86,81.0,0,240,0.0,0.0
87,66.0,120,240,1.0,0.0
88,83.0,120,120,0.0,0.0
89,67.0,120,240,1.0,0.0
90,81.0,0,120,0.0,0.0
91,57.0,240,240,2.0,0.0
92,79.0,120,120,0.0,0.0
93,69.0,0,240,1.0,0.0
94,78.0,0,120,0.0,0.0
95,59.0,120,240,2.0,0.0
96,79.0,0,240,0.0,0.0
97,62.0,0,960,1.0,0.0
98,57.0,0,240,2.0,0.0
99,81.0,120,120,0.0,0.0
100,79.0,120,120,0.0,0.0
101,78.0,120,120,0.0,0.0
102,59.0,0,240,2.0,0.0
103,76.0,240,120,0.0,0.0
104,74.0,240,240,0.0,0.0
105,60.0,0,240,2.0,0.0
106,67.0,0,240,1.0,0.0
107,59.0,240,240,2.0,0.0
108,66.0,240,240,1.0,0.0
109,57.0,0,240,2.0,0.0
110,59.0,240,240,2.0,0.0
111,67.0,0,240,1.0,0.0
112,79.0,0,240,0.0,0.0
113,62.0,0,240,2.0,0.0
114,71.0,240,240,1.0,0.0
115,60.0,240,240,2.0,0.0
116,69.0,0,240,1.0,0.0
117,78.0,0,240,0.0,0.0
118,62.0,0,480,2.0,0.0
119,71.0,120,240,1.0,0.0
120,74.0,120,120,1.0,0.0
121,72.0,120,120,1.0,0.0
122,50.0,0,240,2.0,0.0
123,71.0,120,120,1.0,0.0
124,69.0,240,120,1.0,0.0
125,79.0,0,240,0.0,0.0
126,71.0,120,240,1.0,0.0
127,55.0,120,480,2.0,0.0
128,72.0,120,120,1.0,0.0
129,71.0,0,120,1.0,0.0
130,69.0,120,120,1.0,0.0
131,43.0,240,240,2.0,0.0
132,67.0,0,120,1.0,0.0
133,72.0,120,240,0.0,0.0
134,69.0,0,240,1.0,0.0
135,43.0,120,480,2.0,0.0
136,71.0,120,120,1.0,0.0
