,note,step,duration,channel,velocity
0,73.0,0,120,0.0,69.0
1,78.0,120,120,0.0,69.0
2,77.0,120,120,0.0,69.0
3,78.0,120,120,0.0,69.0
4,77.0,120,60,0.0,64.0
5,75.0,60,50,0.0,64.0
6,75.0,60,22,0.0,72.0
7,73.0,22,22,0.0,50.0
8,75.0,22,22,0.0,52.0
9,73.0,22,22,0.0,55.0
10,75.0,22,22,0.0,57.0
11,73.0,22,22,0.0,59.0
12,75.0,22,22,0.0,61.0
13,73.0,22,22,0.0,63.0
14,71.0,26,30,0.0,72.0
15,73.0,30,30,0.0,64.0
16,75.0,30,240,0.0,64.0
17,73.0,360,120,0.0,64.0
18,71.0,120,120,0.0,64.0
19,70.0,120,120,0.0,64.0
20,68.0,120,120,0.0,64.0
21,73.0,120,120,0.0,64.0
22,70.0,120,120,0.0,64.0
23,66.0,120,120,1.0,64.0
24,78.0,60,60,0.0,64.0
25,77.0,60,60,0.0,64.0
26,78.0,60,60,0.0,64.0
27,73.0,0,120,1.0,69.0
28,80.0,60,60,0.0,64.0
29,75.0,60,60,0.0,64.0
30,72.0,0,120,1.0,69.0
31,77.0,60,60,0.0,64.0
32,73.0,0,120,1.0,69.0
33,78.0,60,60,0.0,64.0
34,72.0,60,60,1.0,64.0
35,70.0,60,50,1.0,64.0
36,70.0,60,22,1.0,72.0
37,68.0,22,22,1.0,50.0
38,80.0,0,180,0.0,64.0
39,70.0,22,22,1.0,52.0
40,68.0,6,22,1.0,55.0
41,70.0,22,22,1.0,57.0
42,78.0,16,60,0.0,64.0
43,68.0,22,22,1.0,59.0
44,70.0,12,22,1.0,61.0
45,68.0,22,22,1.0,63.0
46,77.0,10,60,0.0,64.0
47,66.0,26,30,1.0,64.0
48,68.0,30,30,1.0,64.0
49,75.0,0,60,0.0,64.0
50,73.0,0,60,0.0,64.0
51,75.0,60,60,0.0,64.0
52,77.0,60,60,0.0,64.0
53,70.0,30,240,1.0,64.0
54,72.0,60,60,0.0,64.0
55,73.0,60,60,0.0,64.0
56,75.0,60,60,0.0,64.0
57,77.0,0,60,0.0,64.0
58,68.0,60,120,1.0,64.0
59,73.0,60,60,0.0,64.0
60,70.0,60,60,0.0,64.0
61,72.0,60,60,0.0,64.0
62,66.0,0,120,1.0,64.0
63,65.0,0,120,1.0,64.0
64,73.0,60,240,0.0,64.0
65,63.0,120,120,1.0,64.0
66,68.0,0,120,1.0,64.0
67,72.0,120,120,0.0,64.0
68,65.0,0,120,1.0,64.0
69,61.0,120,60,1.0,64.0
70,49.0,0,120,2.0,69.0
71,71.0,60,60,1.0,64.0
72,70.0,60,60,1.0,64.0
73,54.0,0,120,2.0,69.0
74,71.0,60,60,1.0,64.0
75,73.0,0,60,1.0,64.0
76,68.0,60,60,1.0,64.0
77,53.0,60,120,2.0,69.0
78,70.0,60,60,1.0,64.0
79,73.0,120,590,0.0,64.0
80,71.0,60,60,1.0,64.0
81,54.0,0,120,2.0,69.0
82,53.0,0,60,2.0,64.0
83,75.0,0,60,0.0,64.0
84,51.0,60,60,2.0,64.0
85,51.0,60,22,2.0,72.0
86,49.0,22,22,2.0,50.0
87,73.0,60,180,1.0,64.0
88,51.0,22,22,2.0,52.0
89,49.0,6,22,2.0,55.0
90,51.0,22,22,2.0,57.0
91,71.0,16,60,1.0,64.0
92,49.0,22,22,2.0,59.0
