,note,step,duration,channel,velocity
0,66.0,60,34,1.0,0.0
1,62.0,60,34,1.0,0.0
2,59.0,60,34,1.0,0.0
3,58.0,85,34,1.0,0.0
4,59.0,35,59,1.0,0.0
5,61.0,30,34,1.0,0.0
6,62.0,30,34,1.0,0.0
7,64.0,30,34,1.0,0.0
8,66.0,30,34,1.0,0.0
9,67.0,60,34,1.0,0.0
10,55.0,60,34,1.0,0.0
11,67.0,60,34,1.0,0.0
12,66.0,60,34,1.0,0.0
13,54.0,60,34,1.0,0.0
14,66.0,85,34,1.0,0.0
15,64.0,27,59,1.0,0.0
16,66.0,30,26,1.0,0.0
17,64.0,33,26,1.0,0.0
18,62.0,27,29,1.0,0.0
19,61.0,30,26,1.0,0.0
20,62.0,30,26,1.0,0.0
21,66.0,30,26,1.0,0.0
22,64.0,30,26,1.0,0.0
23,62.0,30,26,1.0,0.0
24,71.0,22,34,0.0,0.0
25,61.0,8,26,1.0,0.0
26,59.0,30,26,1.0,0.0
27,69.0,30,34,0.0,0.0
28,61.0,8,26,1.0,0.0
29,59.0,30,34,1.0,0.0
30,66.0,0,34,0.0,0.0
31,61.0,30,34,1.0,0.0
32,62.0,25,34,1.0,0.0
33,61.0,10,29,1.0,0.0
34,65.0,17,39,0.0,0.0
35,59.0,38,26,1.0,0.0
36,57.0,30,34,1.0,0.0
37,66.0,30,64,0.0,0.0
38,68.0,30,34,0.0,0.0
39,54.0,0,34,1.0,0.0
40,69.0,30,34,0.0,0.0
41,71.0,5,34,0.0,0.0
42,53.0,17,39,1.0,0.0
43,73.0,33,26,0.0,0.0
44,74.0,22,34,0.0,0.0
45,54.0,5,29,1.0,0.0
46,56.0,33,26,1.0,0.0
47,57.0,5,29,1.0,0.0
48,62.0,5,34,0.0,0.0
49,56.0,10,19,1.0,0.0
50,57.0,10,19,1.0,0.0
51,56.0,10,19,1.0,0.0
52,57.0,10,19,1.0,0.0
53,74.0,5,34,0.0,0.0
54,56.0,10,19,1.0,0.0
55,57.0,5,19,1.0,0.0
56,56.0,4,19,1.0,0.0
57,54.0,15,13,1.0,0.0
58,56.0,28,13,1.0,0.0
59,57.0,8,26,1.0,0.0
60,73.0,22,34,0.0,0.0
61,59.0,30,26,1.0,0.0
62,57.0,8,26,1.0,0.0
63,61.0,22,34,0.0,0.0
64,56.0,30,26,1.0,0.0
65,73.0,22,34,0.0,0.0
66,54.0,8,26,1.0,0.0
67,52.0,30,26,1.0,0.0
68,71.0,25,59,0.0,0.0
69,51.0,30,26,1.0,0.0
70,53.0,3,26,1.0,0.0
71,54.0,10,24,1.0,0.0
72,73.0,10,34,0.0,0.0
73,53.0,0,19,1.0,0.0
74,54.0,10,19,1.0,0.0
75,71.0,10,34,0.0,0.0
76,53.0,10,19,1.0,0.0
77,54.0,0,19,1.0,0.0
78,53.0,10,19,1.0,0.0
79,69.0,8,26,0.0,0.0
