,note,step,duration,channel,velocity
0,44.0,0,480,2.0,0.0
1,60.0,0,480,0.0,0.0
2,56.0,120,120,1.0,0.0
3,51.0,120,120,1.0,0.0
4,56.0,120,120,1.0,0.0
5,51.0,120,120,1.0,0.0
6,49.0,0,480,2.0,0.0
7,58.0,0,480,0.0,0.0
8,55.0,120,120,1.0,0.0
9,51.0,120,120,1.0,0.0
10,55.0,120,120,1.0,0.0
11,51.0,120,120,1.0,0.0
12,48.0,0,480,2.0,0.0
13,63.0,120,720,0.0,0.0
14,56.0,120,120,1.0,0.0
15,51.0,120,120,1.0,0.0
16,56.0,120,120,1.0,0.0
17,51.0,120,120,1.0,0.0
18,43.0,0,480,2.0,0.0
19,58.0,120,120,1.0,0.0
20,51.0,0,120,1.0,0.0
21,61.0,0,240,0.0,0.0
22,58.0,120,120,1.0,0.0
23,51.0,120,120,1.0,0.0
24,60.0,120,240,0.0,0.0
25,44.0,0,240,2.0,0.0
26,56.0,120,120,1.0,0.0
27,51.0,0,120,1.0,0.0
28,43.0,0,240,2.0,0.0
29,63.0,120,240,0.0,0.0
30,58.0,120,120,1.0,0.0
31,51.0,0,120,1.0,0.0
32,41.0,120,240,2.0,0.0
33,60.0,120,120,1.0,0.0
34,68.0,0,240,0.0,0.0
35,56.0,0,120,1.0,0.0
36,62.0,120,120,1.0,0.0
37,70.0,0,240,0.0,0.0
38,53.0,0,240,2.0,0.0
39,56.0,120,120,1.0,0.0
40,63.0,0,720,0.0,0.0
41,51.0,120,480,2.0,0.0
42,55.0,120,120,1.0,0.0
43,58.0,120,120,1.0,0.0
44,55.0,120,120,1.0,0.0
45,58.0,0,120,1.0,0.0
46,39.0,120,480,2.0,0.0
47,55.0,120,120,1.0,0.0
48,58.0,120,120,1.0,0.0
49,64.0,0,240,0.0,0.0
50,55.0,120,120,1.0,0.0
51,58.0,0,120,1.0,0.0
52,37.0,120,480,2.0,0.0
53,65.0,96,384,0.0,0.0
54,55.0,120,120,1.0,0.0
55,58.0,120,120,1.0,0.0
56,55.0,24,120,1.0,0.0
57,58.0,0,120,1.0,0.0
58,49.0,120,480,2.0,0.0
59,58.0,0,360,0.0,0.0
60,55.0,120,120,1.0,0.0
61,51.0,120,120,1.0,0.0
62,55.0,60,120,1.0,0.0
63,60.0,60,60,0.0,0.0
64,51.0,0,120,1.0,0.0
65,61.0,0,60,0.0,0.0
66,56.0,120,120,1.0,0.0
67,63.0,0,480,0.0,0.0
68,48.0,0,480,2.0,0.0
69,51.0,120,120,1.0,0.0
70,56.0,120,120,1.0,0.0
71,51.0,120,120,1.0,0.0
72,41.0,0,480,2.0,0.0
73,57.0,0,480,0.0,0.0
74,51.0,120,120,1.0,0.0
75,48.0,120,120,1.0,0.0
76,51.0,120,120,1.0,0.0
77,48.0,120,120,1.0,0.0
78,34.0,0,480,2.0,0.0
79,61.0,96,384,0.0,0.0
80,53.0,120,120,1.0,0.0
81,49.0,120,120,1.0,0.0
82,53.0,24,120,1.0,0.0
83,49.0,114,120,1.0,0.0
84,60.0,120,114,0.0,0.0
85,49.0,0,114,1.0,0.0
86,39.0,120,480,2.0,0.0
87,49.0,0,114,1.0,0.0
88,58.0,120,114,0.0,0.0
89,49.0,0,114,1.0,0.0
90,56.0,120,114,0.0,0.0
91,55.0,0,114,0.0,0.0
92,49.0,6,114,1.0,0.0
93,58.0,48,480,0.0,0.0
94,49.0,72,120,1.0,0.0
95,32.0,48,192,2.0,0.0
96,51.0,120,120,1.0,0.0
97,44.0,96,144,2.0,0.0
98,49.0,24,120,1.0,0.0
99,51.0,0,120,1.0,0.0
100,32.0,64,144,2.0,0.0
101,48.0,48,48,1.0,0.0
102,56.0,32,96,0.0,0.0
103,51.0,16,48,1.0,0.0
104,56.0,80,48,1.0,0.0
105,60.0,80,48,1.0,0.0
106,63.0,80,48,1.0,0.0
107,68.0,152,48,1.0,0.0
108,60.0,0,120,1.0,0.0
109,56.0,120,120,1.0,0.0
110,44.0,0,480,2.0,0.0
111,72.0,120,480,0.0,0.0
112,63.0,120,120,1.0,0.0
113,51.0,0,120,1.0,0.0
114,60.0,120,120,1.0,0.0
115,56.0,0,120,1.0,0.0
116,63.0,0,120,1.0,0.0
117,51.0,0,120,1.0,0.0
118,55.0,0,120,1.0,0.0
119,58.0,120,120,1.0,0.0
120,70.0,0,480,0.0,0.0
121,49.0,120,480,2.0,0.0
122,63.0,0,120,1.0,0.0
123,51.0,120,120,1.0,0.0
124,58.0,120,120,1.0,0.0
125,55.0,0,120,1.0,0.0
126,63.0,0,120,1.0,0.0
