,note,step,duration,channel,velocity
0,58.0,0,120,3.0,38.0
1,57.0,120,120,3.0,40.0
2,58.0,120,120,3.0,41.0
3,53.0,120,120,3.0,43.0
4,62.0,0,480,1.0,38.0
5,65.0,120,192,1.0,45.0
6,34.0,0,192,5.0,45.0
7,46.0,0,192,5.0,45.0
8,62.0,0,192,3.0,45.0
9,34.0,0,192,5.0,39.0
10,62.0,0,192,1.0,39.0
11,46.0,0,192,5.0,39.0
12,58.0,480,192,3.0,39.0
13,58.0,0,120,3.0,44.0
14,57.0,120,120,3.0,46.0
15,58.0,120,120,3.0,47.0
16,53.0,120,120,3.0,49.0
17,62.0,960,480,1.0,44.0
18,46.0,0,192,5.0,49.0
19,65.0,0,192,1.0,50.0
20,34.0,120,192,5.0,49.0
21,62.0,0,192,3.0,50.0
22,62.0,480,192,1.0,45.0
23,58.0,0,192,3.0,45.0
24,46.0,0,192,5.0,41.0
25,34.0,0,192,5.0,41.0
26,58.0,0,120,3.0,44.0
27,62.0,960,240,1.0,44.0
28,57.0,120,120,3.0,45.0
29,58.0,120,120,3.0,47.0
30,53.0,120,120,3.0,48.0
31,62.0,120,120,3.0,50.0
32,65.0,0,240,1.0,50.0
33,61.0,120,120,3.0,51.0
34,62.0,120,120,3.0,52.0
35,58.0,120,120,3.0,54.0
36,65.0,0,120,3.0,55.0
37,64.0,120,120,3.0,57.0
38,70.0,120,240,1.0,55.0
39,65.0,120,120,3.0,58.0
40,62.0,120,120,3.0,60.0
41,70.0,0,120,3.0,61.0
42,74.0,120,240,1.0,61.0
43,69.0,120,120,3.0,62.0
44,70.0,120,120,3.0,64.0
45,65.0,120,120,3.0,65.0
46,74.0,0,120,3.0,67.0
47,73.0,120,120,3.0,68.0
48,77.0,120,240,1.0,67.0
49,74.0,120,120,3.0,69.0
50,70.0,120,120,3.0,71.0
51,46.0,120,120,5.0,75.0
52,50.0,120,120,3.0,53.0
53,53.0,120,120,3.0,53.0
54,58.0,120,120,3.0,52.0
55,46.0,120,120,5.0,52.0
56,50.0,120,120,3.0,52.0
57,53.0,120,120,3.0,51.0
58,58.0,120,120,3.0,51.0
59,46.0,120,120,5.0,50.0
60,50.0,120,120,3.0,50.0
61,53.0,120,120,3.0,50.0
62,82.0,0,1440,1.0,79.0
63,58.0,120,120,3.0,49.0
64,46.0,0,120,5.0,49.0
65,81.0,120,120,1.0,57.0
66,82.0,120,120,1.0,56.0
67,50.0,0,120,3.0,48.0
68,84.0,120,120,1.0,56.0
69,53.0,0,120,3.0,48.0
70,82.0,120,120,1.0,56.0
71,58.0,0,120,3.0,47.0
72,46.0,0,120,5.0,47.0
73,81.0,120,240,1.0,55.0
74,51.0,120,120,3.0,47.0
75,55.0,120,120,3.0,46.0
76,79.0,0,240,1.0,54.0
77,58.0,120,120,3.0,46.0
78,46.0,0,120,5.0,45.0
79,51.0,120,120,3.0,45.0
80,77.0,120,240,1.0,53.0
81,55.0,0,120,3.0,45.0
82,58.0,120,120,3.0,44.0
83,75.0,120,240,1.0,52.0
84,46.0,0,120,5.0,44.0
85,51.0,120,120,3.0,43.0
86,74.0,120,240,1.0,51.0
87,53.0,0,120,3.0,43.0
88,72.0,120,240,1.0,49.0
89,57.0,120,120,3.0,42.0
90,46.0,120,120,5.0,42.0
91,51.0,120,120,3.0,42.0
92,79.0,0,240,1.0,48.0
93,53.0,120,120,3.0,41.0
94,57.0,120,120,3.0,41.0
95,77.0,0,240,1.0,47.0
96,46.0,120,120,5.0,40.0
97,50.0,120,120,3.0,40.0
98,53.0,120,120,3.0,40.0
99,58.0,120,120,3.0,39.0
100,75.0,0,480,1.0,51.0
101,46.0,120,120,5.0,39.0
102,50.0,120,120,3.0,38.0
103,74.0,0,360,1.0,44.0
104,53.0,120,120,3.0,38.0
105,58.0,120,120,3.0,38.0
106,46.0,120,120,5.0,37.0
107,50.0,120,120,3.0,37.0
108,53.0,120,120,3.0,36.0
109,56.0,120,120,3.0,36.0
110,46.0,120,120,5.0,36.0
111,69.0,0,120,1.0,40.0
112,50.0,120,120,3.0,36.0
113,70.0,0,120,1.0,40.0
114,72.0,120,120,1.0,41.0
115,53.0,0,120,3.0,37.0
116,56.0,0,120,3.0,38.0
117,70.0,120,120,1.0,41.0
118,46.0,120,120,5.0,38.0
119,51.0,120,120,3.0,39.0
120,68.0,0,240,1.0,42.0
121,55.0,0,120,3.0,39.0
122,51.0,120,120,3.0,40.0
123,67.0,120,240,1.0,43.0
124,46.0,0,120,5.0,41.0
125,65.0,120,240,1.0,45.0
126,51.0,120,120,3.0,41.0
127,55.0,0,120,3.0,42.0
128,51.0,120,120,3.0,43.0
129,63.0,120,240,1.0,46.0
130,46.0,0,120,5.0,43.0
131,62.0,120,240,1.0,47.0
132,48.0,120,120,3.0,44.0
133,51.0,0,120,3.0,45.0
134,60.0,120,240,1.0,48.0
135,53.0,120,120,3.0,45.0
136,46.0,0,120,5.0,46.0
137,48.0,120,120,3.0,46.0
138,63.0,120,240,1.0,49.0
139,51.0,120,120,3.0,47.0
140,57.0,0,240,1.0,51.0
141,53.0,120,120,3.0,48.0
142,58.0,120,180,1.0,52.0
143,46.0,0,270,5.0,48.0
144,62.0,240,120,1.0,53.0
145,60.0,120,120,1.0,54.0
146,46.0,0,120,5.0,51.0
147,58.0,120,120,1.0,54.0
148,45.0,120,120,5.0,52.0
149,57.0,0,120,1.0,55.0
150,58.0,0,120,1.0,55.0
151,46.0,120,120,5.0,52.0
152,43.0,0,120,5.0,53.0
153,55.0,120,120,1.0,56.0
154,53.0,120,180,1.0,57.0
155,41.0,0,270,5.0,53.0
156,67.0,240,120,1.0,58.0
157,65.0,120,120,1.0,58.0
158,51.0,120,120,5.0,56.0
159,63.0,0,120,1.0,59.0
160,50.0,120,120,5.0,57.0
161,62.0,0,120,1.0,60.0
162,63.0,0,120,1.0,60.0
163,51.0,120,120,5.0,57.0
164,48.0,0,120,5.0,58.0
165,60.0,120,120,1.0,61.0
166,58.0,120,180,1.0,61.0
167,46.0,0,270,5.0,59.0
168,74.0,240,120,1.0,63.0
169,72.0,120,120,1.0,63.0
170,70.0,120,120,1.0,64.0
171,58.0,0,120,5.0,61.0
172,57.0,0,120,5.0,62.0
173,69.0,120,120,1.0,64.0
174,58.0,120,120,5.0,62.0
175,70.0,0,120,1.0,65.0
176,67.0,120,120,1.0,66.0
177,55.0,0,120,5.0,63.0
178,65.0,120,180,1.0,66.0
179,53.0,0,270,5.0,64.0
180,79.0,240,120,1.0,67.0
181,77.0,120,120,1.0,68.0
182,63.0,120,120,5.0,66.0
183,75.0,0,120,1.0,69.0
184,74.0,120,120,1.0,69.0
185,62.0,0,120,5.0,67.0
186,75.0,120,120,1.0,70.0
187,63.0,0,120,5.0,68.0
188,60.0,0,120,5.0,68.0
189,72.0,120,120,1.0,70.0
190,70.0,120,180,1.0,71.0
191,58.0,0,180,5.0,69.0
192,72.0,240,120,1.0,72.0
193,60.0,0,120,5.0,70.0
194,62.0,120,120,5.0,71.0
195,74.0,0,120,1.0,73.0
196,75.0,0,120,1.0,74.0
197,63.0,120,120,5.0,71.0
198,77.0,0,120,1.0,74.0
199,65.0,120,120,5.0,72.0
200,67.0,120,120,5.0,73.0
201,79.0,0,120,1.0,75.0
202,69.0,120,120,5.0,73.0
203,81.0,0,127,1.0,75.0
204,82.0,0,52,1.0,70.0
205,84.0,40,40,1.0,70.0
206,82.0,40,40,1.0,71.0
207,70.0,120,135,5.0,74.0
208,81.0,0,120,1.0,77.0
209,69.0,40,120,5.0,75.0
210,82.0,120,120,1.0,77.0
211,70.0,0,120,5.0,75.0
212,84.0,0,120,1.0,78.0
