,note,step,duration,channel,velocity
0,67.0,0,960,0.0,0.0
1,63.0,960,960,1.0,0.0
2,65.0,1380,960,0.0,0.0
3,58.0,0,960,1.0,0.0
4,55.0,7,1380,1.0,0.0
5,36.0,0,1387,2.0,0.0
6,48.0,413,1387,2.0,0.0
7,63.0,0,1380,0.0,0.0
8,51.0,0,480,2.0,0.0
9,63.0,120,360,0.0,0.0
10,48.0,427,480,2.0,0.0
11,68.0,0,120,0.0,0.0
12,46.0,0,427,2.0,0.0
13,52.0,0,427,2.0,0.0
14,67.0,413,427,0.0,0.0
15,52.0,0,480,2.0,0.0
16,67.0,120,360,0.0,0.0
17,46.0,420,480,2.0,0.0
18,73.0,0,120,0.0,0.0
19,72.0,140,465,0.0,0.0
20,45.0,38,427,2.0,0.0
21,53.0,7,420,2.0,0.0
22,72.0,45,125,0.0,0.0
23,54.0,0,480,2.0,0.0
24,44.0,0,480,2.0,0.0
25,74.0,40,50,0.0,0.0
26,72.0,45,50,0.0,0.0
27,71.0,110,55,0.0,0.0
28,72.0,115,125,0.0,0.0
29,74.0,480,120,0.0,0.0
30,55.0,0,480,2.0,0.0
31,43.0,0,1387,2.0,0.0
32,75.0,240,720,0.0,0.0
33,57.0,0,480,2.0,0.0
34,63.0,240,0,1.0,0.0
35,66.0,0,480,1.0,0.0
36,72.0,420,240,0.0,0.0
37,59.0,7,420,2.0,0.0
38,71.0,0,420,0.0,0.0
39,67.0,293,427,1.0,0.0
40,62.0,0,420,1.0,0.0
41,79.0,240,240,0.0,0.0
42,87.0,480,240,0.0,0.0
43,55.0,0,1387,2.0,0.0
44,67.0,240,480,2.0,0.0
45,87.0,240,720,0.0,0.0
46,75.0,0,0,1.0,0.0
47,69.0,0,480,2.0,0.0
48,78.0,0,480,1.0,0.0
49,84.0,0,240,0.0,0.0
50,83.0,7,420,0.0,0.0
51,79.0,0,427,1.0,0.0
52,74.0,0,427,1.0,0.0
53,71.0,473,427,2.0,0.0
54,67.0,0,480,2.0,0.0
55,82.0,60,420,0.0,0.0
56,79.0,480,480,1.0,0.0
57,65.0,0,480,2.0,0.0
58,74.0,0,0,1.0,0.0
59,68.0,0,480,2.0,0.0
60,70.0,0,0,2.0,0.0
61,82.0,0,1090,0.0,0.0
62,63.0,0,480,2.0,0.0
63,67.0,130,480,2.0,0.0
64,75.0,0,480,1.0,0.0
65,77.0,190,130,1.0,0.0
66,62.0,0,427,2.0,0.0
67,65.0,0,427,2.0,0.0
68,70.0,107,160,0.0,0.0
69,72.0,180,107,0.0,0.0
70,69.0,135,127,0.0,0.0
71,62.0,960,480,2.0,0.0
72,58.0,0,480,2.0,0.0
73,70.0,182,102,0.0,0.0
