,note,step,duration,channel,velocity
0,56.0,288,288,2.0,45.0
1,53.0,288,0,3.0,45.0
2,53.0,288,0,3.0,60.0
3,56.0,0,288,2.0,45.0
4,61.0,0,0,1.0,60.0
5,65.0,0,256,1.0,60.0
6,56.0,0,256,2.0,60.0
7,49.0,0,256,4.0,60.0
8,37.0,0,256,4.0,60.0
9,61.0,0,96,1.0,45.0
10,60.0,96,96,1.0,45.0
11,53.0,0,288,3.0,45.0
12,58.0,96,96,1.0,45.0
13,37.0,0,288,4.0,45.0
14,56.0,96,96,1.0,45.0
15,58.0,96,96,1.0,45.0
16,44.0,0,528,4.0,45.0
17,39.0,0,256,4.0,45.0
18,60.0,96,94,1.0,45.0
19,54.0,0,288,3.0,45.0
20,56.0,288,576,2.0,45.0
21,61.0,0,96,1.0,45.0
22,63.0,96,96,1.0,45.0
23,65.0,96,94,1.0,45.0
24,53.0,0,288,3.0,45.0
25,37.0,96,288,4.0,45.0
26,44.0,0,528,4.0,45.0
27,56.0,0,528,2.0,45.0
28,63.0,0,256,1.0,45.0
29,54.0,96,256,3.0,45.0
30,36.0,0,256,4.0,45.0
31,61.0,288,96,1.0,45.0
32,60.0,96,96,1.0,45.0
33,53.0,0,288,3.0,45.0
34,58.0,96,96,1.0,45.0
35,37.0,0,288,4.0,45.0
36,56.0,0,96,1.0,45.0
37,58.0,96,96,1.0,45.0
38,44.0,0,528,4.0,45.0
39,39.0,96,256,4.0,45.0
40,54.0,0,256,3.0,45.0
41,60.0,96,94,1.0,45.0
42,56.0,0,0,2.0,45.0
43,61.0,0,96,1.0,45.0
44,53.0,0,192,3.0,45.0
45,63.0,96,96,1.0,45.0
46,37.0,96,256,4.0,45.0
47,44.0,0,256,4.0,45.0
48,65.0,0,94,1.0,45.0
49,49.0,96,96,3.0,45.0
50,65.0,0,96,1.0,45.0
51,56.0,0,96,2.0,45.0
52,44.0,0,192,4.0,45.0
53,48.0,96,192,3.0,45.0
54,60.0,0,96,2.0,45.0
55,63.0,96,160,1.0,45.0
56,42.0,96,94,4.0,45.0
57,58.0,0,94,2.0,45.0
58,65.0,0,160,1.0,45.0
59,51.0,0,288,3.0,45.0
60,41.0,0,256,4.0,45.0
61,65.0,192,94,1.0,65.0
62,48.0,0,96,3.0,65.0
63,57.0,96,288,2.0,45.0
64,65.0,0,96,1.0,45.0
65,61.0,96,96,1.0,45.0
66,49.0,96,256,3.0,45.0
67,46.0,0,256,4.0,45.0
68,58.0,0,256,2.0,45.0
69,58.0,96,94,1.0,45.0
70,70.0,0,160,1.0,45.0
71,50.0,96,192,3.0,45.0
72,65.0,0,192,2.0,45.0
73,38.0,0,256,4.0,45.0
74,70.0,192,94,1.0,65.0
75,53.0,0,96,3.0,65.0
76,58.0,0,0,2.0,45.0
77,70.0,0,96,1.0,45.0
78,66.0,96,96,1.0,45.0
79,54.0,0,256,3.0,45.0
80,39.0,96,256,4.0,45.0
81,63.0,96,94,1.0,45.0
82,68.0,96,160,1.0,45.0
83,54.0,0,192,3.0,45.0
84,63.0,0,192,2.0,45.0
85,68.0,0,94,1.0,55.0
86,36.0,0,288,4.0,45.0
87,63.0,0,96,2.0,55.0
88,56.0,96,0,2.0,60.0
89,51.0,192,96,3.0,55.0
90,68.0,0,96,1.0,60.0
91,37.0,0,192,4.0,60.0
92,65.0,96,96,1.0,65.0
93,53.0,0,256,3.0,60.0
94,41.0,96,94,4.0,70.0
95,61.0,0,94,1.0,70.0
96,56.0,0,96,1.0,45.0
97,65.0,96,96,1.0,45.0
98,53.0,96,192,3.0,45.0
99,61.0,0,192,2.0,45.0
100,44.0,0,256,4.0,45.0
101,63.0,96,94,1.0,45.0
102,60.0,0,94,2.0,45.0
103,54.0,0,96,3.0,45.0
104,49.0,0,96,4.0,45.0
105,41.0,96,96,4.0,55.0
106,61.0,96,256,1.0,45.0
107,53.0,0,256,3.0,45.0
108,56.0,96,0,2.0,75.0
109,42.0,96,96,4.0,65.0
110,44.0,0,96,4.0,75.0
111,53.0,96,96,4.0,65.0
112,53.0,0,192,3.0,75.0
113,61.0,0,192,1.0,75.0
114,51.0,96,94,4.0,55.0
115,60.0,0,94,1.0,55.0
116,54.0,0,96,3.0,55.0
117,61.0,0,96,1.0,45.0
118,56.0,0,96,2.0,45.0
119,65.0,0,96,1.0,55.0
