,note,step,duration,channel,velocity
0,67.0,1,150,10.0,0.0
1,55.0,0,150,10.0,0.0
2,91.0,1,150,0.0,0.0
3,79.0,0,150,0.0,0.0
4,67.0,0,150,1.0,0.0
5,79.0,1,150,1.0,0.0
6,67.0,0,150,11.0,0.0
7,67.0,0,150,6.0,0.0
8,55.0,0,150,6.0,0.0
9,55.0,0,150,11.0,0.0
10,67.0,1,150,4.0,0.0
11,79.0,0,150,2.0,0.0
12,43.0,0,150,15.0,0.0
13,67.0,1,150,2.0,0.0
14,55.0,0,150,12.0,0.0
15,55.0,1,150,5.0,0.0
16,67.0,0,150,12.0,0.0
17,43.0,0,150,3.0,0.0
18,55.0,1,150,3.0,0.0
19,43.0,51,150,13.0,0.0
20,31.0,0,150,14.0,0.0
21,67.0,27,28,10.0,0.0
22,69.0,65,10,10.0,0.0
23,71.0,115,60,10.0,0.0
24,67.0,33,10,10.0,0.0
25,69.0,27,28,10.0,0.0
26,71.0,65,10,10.0,0.0
27,72.0,105,60,10.0,0.0
28,67.0,15,15,10.0,0.0
29,69.0,14,15,10.0,0.0
30,71.0,34,14,10.0,0.0
31,72.0,72,18,10.0,0.0
32,74.0,100,60,10.0,0.0
33,67.0,20,20,10.0,0.0
34,69.0,12,20,10.0,0.0
35,71.0,20,12,10.0,0.0
36,72.0,14,12,10.0,0.0
37,74.0,74,6,10.0,0.0
38,76.0,105,60,10.0,0.0
39,67.0,15,15,10.0,0.0
40,69.0,15,15,10.0,0.0
41,71.0,15,15,10.0,0.0
42,72.0,15,15,10.0,0.0
43,74.0,10,15,10.0,0.0
44,76.0,65,10,10.0,0.0
45,77.0,105,60,10.0,0.0
46,67.0,30,15,10.0,0.0
47,69.0,30,15,10.0,0.0
48,71.0,30,15,10.0,0.0
49,72.0,30,15,10.0,0.0
50,74.0,30,15,10.0,0.0
51,76.0,30,15,10.0,0.0
52,77.0,45,15,10.0,0.0
53,79.0,60,30,10.0,0.0
54,79.0,52,30,10.0,0.0
55,76.0,7,120,10.0,0.0
56,64.0,3,20,11.0,0.0
57,60.0,27,20,12.0,0.0
58,48.0,3,120,13.0,0.0
59,36.0,12,120,14.0,0.0
60,64.0,3,20,11.0,0.0
61,60.0,27,20,12.0,0.0
62,67.0,3,20,11.0,0.0
63,55.0,27,20,12.0,0.0
64,67.0,3,20,11.0,0.0
65,55.0,5,20,12.0,0.0
66,72.0,22,30,10.0,0.0
67,64.0,3,20,11.0,0.0
68,60.0,5,20,12.0,0.0
69,64.0,3,20,11.0,0.0
70,60.0,27,20,12.0,0.0
71,72.0,22,30,10.0,0.0
72,67.0,3,20,11.0,0.0
73,55.0,5,20,12.0,0.0
74,67.0,3,20,11.0,0.0
75,55.0,27,20,12.0,0.0
76,74.0,22,30,10.0,0.0
77,65.0,3,20,11.0,0.0
78,59.0,5,20,12.0,0.0
79,48.0,3,120,13.0,0.0
80,36.0,12,120,14.0,0.0
81,65.0,3,20,11.0,0.0
82,59.0,27,20,12.0,0.0
83,74.0,22,30,10.0,0.0
84,67.0,3,20,11.0,0.0
85,55.0,5,20,12.0,0.0
86,67.0,3,20,11.0,0.0
87,55.0,12,20,12.0,0.0
88,76.0,22,30,10.0,0.0
89,65.0,3,20,11.0,0.0
90,59.0,5,20,12.0,0.0
91,74.0,22,30,10.0,0.0
92,65.0,3,20,11.0,0.0
93,59.0,5,20,12.0,0.0
94,72.0,20,30,10.0,0.0
95,67.0,3,20,11.0,0.0
96,55.0,5,20,12.0,0.0
97,74.0,2,20,10.0,0.0
98,67.0,3,20,11.0,0.0
99,55.0,27,20,12.0,0.0
100,76.0,7,120,10.0,0.0
101,64.0,3,20,11.0,0.0
102,60.0,27,20,12.0,0.0
103,48.0,3,120,13.0,0.0
104,36.0,12,120,14.0,0.0
105,64.0,3,20,11.0,0.0
106,60.0,27,20,12.0,0.0
107,67.0,3,20,11.0,0.0
108,55.0,27,20,12.0,0.0
109,67.0,3,20,11.0,0.0
110,55.0,5,20,12.0,0.0
111,72.0,15,30,10.0,0.0
112,64.0,3,20,11.0,0.0
113,60.0,5,20,12.0,0.0
114,67.0,7,15,10.0,0.0
115,64.0,3,20,11.0,0.0
116,60.0,20,20,12.0,0.0
117,69.0,7,15,10.0,0.0
118,67.0,3,20,11.0,0.0
119,55.0,20,20,12.0,0.0
120,71.0,7,15,10.0,0.0
121,67.0,3,20,11.0,0.0
122,55.0,20,20,12.0,0.0
123,72.0,7,15,10.0,0.0
124,64.0,3,20,11.0,0.0
125,60.0,20,20,12.0,0.0
126,74.0,7,15,10.0,0.0
127,64.0,3,20,11.0,0.0
128,60.0,20,20,12.0,0.0
129,76.0,7,15,10.0,0.0
130,67.0,3,20,11.0,0.0
131,55.0,20,20,12.0,0.0
132,77.0,7,15,10.0,0.0
133,67.0,3,20,11.0,0.0
134,55.0,12,20,12.0,0.0
135,79.0,22,30,10.0,0.0
136,65.0,3,20,11.0,0.0
137,59.0,5,20,12.0,0.0
138,48.0,3,0,13.0,0.0
139,36.0,12,0,14.0,0.0
140,65.0,3,20,11.0,0.0
141,59.0,27,20,12.0,0.0
142,79.0,22,30,10.0,0.0
143,67.0,3,20,11.0,0.0
144,55.0,5,20,12.0,0.0
145,67.0,3,20,11.0,0.0
146,55.0,12,20,12.0,0.0
147,76.0,22,30,10.0,0.0
148,64.0,3,20,11.0,0.0
149,60.0,5,20,12.0,0.0
150,48.0,3,120,13.0,0.0
151,36.0,12,0,14.0,0.0
152,64.0,3,20,11.0,0.0
153,60.0,27,20,12.0,0.0
154,72.0,22,30,10.0,0.0
155,67.0,3,20,11.0,0.0
156,64.0,5,20,12.0,0.0
157,67.0,3,20,11.0,0.0
158,64.0,12,20,12.0,0.0
159,74.0,22,30,10.0,0.0
160,64.0,3,20,11.0,0.0
161,60.0,5,20,12.0,0.0
162,72.0,22,30,10.0,0.0
163,64.0,3,20,11.0,0.0
164,60.0,5,20,12.0,0.0
165,71.0,20,30,10.0,0.0
166,67.0,3,20,11.0,0.0
167,64.0,5,20,12.0,0.0
168,72.0,2,20,10.0,0.0
169,67.0,3,20,11.0,0.0
170,64.0,27,20,12.0,0.0
171,69.0,22,30,10.0,0.0
172,66.0,3,20,11.0,0.0
173,60.0,5,20,12.0,0.0
174,50.0,3,120,13.0,0.0
175,38.0,12,120,14.0,0.0
176,66.0,3,20,11.0,0.0
177,60.0,27,20,12.0,0.0
178,74.0,22,30,10.0,0.0
179,66.0,3,20,11.0,0.0
180,60.0,5,20,12.0,0.0
181,66.0,3,20,11.0,0.0
182,60.0,12,20,12.0,0.0
183,76.0,22,30,10.0,0.0
184,66.0,3,20,11.0,0.0
185,60.0,5,20,12.0,0.0
186,74.0,22,30,10.0,0.0
187,66.0,3,20,11.0,0.0
188,60.0,5,20,12.0,0.0
189,73.0,20,30,10.0,0.0
190,66.0,3,20,11.0,0.0
191,60.0,5,20,12.0,0.0
192,74.0,2,20,10.0,0.0
193,66.0,3,20,11.0,0.0
194,60.0,125,20,12.0,0.0
195,67.0,2,120,10.0,0.0
196,67.0,3,120,11.0,0.0
197,59.0,2,120,12.0,0.0
198,55.0,3,120,13.0,0.0
199,43.0,100,120,14.0,0.0
200,67.0,2,50,10.0,0.0
201,67.0,38,50,11.0,0.0
202,79.0,2,30,10.0,0.0
203,76.0,58,30,11.0,0.0
204,79.0,2,30,10.0,0.0
205,76.0,3,30,11.0,0.0
206,57.0,2,30,12.0,0.0
207,57.0,2,30,13.0,0.0
208,57.0,51,30,3.0,0.0
209,79.0,2,30,10.0,0.0
210,76.0,3,30,11.0,0.0
211,59.0,2,30,12.0,0.0
212,59.0,2,30,13.0,0.0
