,note,step,duration,channel,velocity
0,50.0,1,233,2.0,100.0
1,47.0,240,234,2.0,100.0
2,54.0,239,234,2.0,100.0
3,35.0,0,940,2.0,100.0
4,59.0,240,234,2.0,100.0
5,38.0,240,470,2.0,100.0
6,59.0,0,234,2.0,100.0
7,54.0,240,235,2.0,100.0
8,54.0,0,234,2.0,100.0
9,50.0,240,234,2.0,100.0
10,57.0,240,233,2.0,100.0
11,42.0,240,941,2.0,100.0
12,62.0,241,234,2.0,100.0
13,50.0,239,471,2.0,100.0
14,54.0,240,234,2.0,100.0
15,57.0,0,235,2.0,100.0
16,49.0,240,470,2.0,100.0
17,52.0,0,234,2.0,100.0
18,57.0,240,234,2.0,100.0
19,61.0,240,233,2.0,100.0
20,45.0,0,471,2.0,100.0
21,64.0,240,234,2.0,100.0
22,47.0,239,470,2.0,100.0
23,54.0,241,233,2.0,100.0
24,62.0,0,234,2.0,100.0
25,43.0,240,470,2.0,100.0
26,52.0,240,233,2.0,100.0
27,47.0,0,234,2.0,100.0
28,55.0,240,235,2.0,100.0
29,40.0,0,470,2.0,100.0
30,59.0,241,234,2.0,100.0
31,42.0,239,469,2.0,100.0
32,58.0,0,233,2.0,100.0
33,49.0,239,234,2.0,100.0
34,54.0,2,233,2.0,100.0
35,59.0,0,470,0.0,100.0
36,35.0,239,233,2.0,100.0
37,38.0,0,235,2.0,100.0
38,50.0,0,940,2.0,100.0
39,59.0,239,940,2.0,100.0
40,54.0,1,939,2.0,100.0
41,59.0,240,470,0.0,100.0
42,42.0,240,234,2.0,100.0
43,59.0,239,470,2.0,100.0
44,62.0,1,470,2.0,100.0
45,54.0,0,470,2.0,100.0
46,47.0,240,233,2.0,100.0
47,62.0,1,234,0.0,100.0
48,66.0,0,469,0.0,100.0
49,35.0,241,234,2.0,100.0
50,38.0,239,235,2.0,100.0
51,59.0,0,939,1.0,100.0
52,62.0,0,940,1.0,100.0
53,66.0,239,940,1.0,100.0
54,66.0,0,469,0.0,100.0
55,42.0,240,235,2.0,100.0
56,71.0,239,470,1.0,100.0
57,74.0,1,470,1.0,100.0
58,66.0,1,471,1.0,100.0
59,74.0,239,233,0.0,100.0
60,47.0,0,234,2.0,100.0
61,73.0,239,471,0.0,100.0
62,37.0,240,234,2.0,100.0
63,40.0,0,234,2.0,100.0
64,73.0,0,940,1.0,100.0
65,64.0,1,940,1.0,100.0
66,69.0,0,940,1.0,100.0
67,69.0,240,470,0.0,100.0
68,45.0,240,234,2.0,100.0
69,66.0,239,470,1.0,100.0
70,71.0,0,469,1.0,100.0
71,71.0,0,470,0.0,100.0
72,62.0,1,471,1.0,100.0
73,38.0,239,234,2.0,100.0
74,42.0,240,234,2.0,100.0
75,46.0,240,234,2.0,100.0
76,61.0,240,940,1.0,100.0
77,66.0,1,940,1.0,100.0
78,58.0,0,941,1.0,100.0
79,66.0,0,941,0.0,100.0
80,49.0,240,234,2.0,100.0
81,66.0,0,469,1.0,100.0
82,71.0,240,469,1.0,100.0
83,74.0,1,471,1.0,100.0
84,35.0,239,234,2.0,100.0
85,73.0,0,470,0.0,100.0
86,37.0,240,234,2.0,100.0
87,40.0,239,234,2.0,100.0
88,69.0,1,939,1.0,100.0
89,73.0,239,940,1.0,100.0
90,64.0,0,940,1.0,100.0
91,69.0,1,470,0.0,100.0
92,45.0,240,234,2.0,100.0
93,66.0,0,469,1.0,100.0
94,62.0,0,469,1.0,100.0
95,71.0,0,470,1.0,100.0
96,71.0,240,470,0.0,100.0
97,38.0,240,234,2.0,100.0
98,67.0,0,470,0.0,100.0
99,40.0,239,234,2.0,100.0
100,43.0,0,234,2.0,100.0
101,67.0,239,940,1.0,100.0
102,59.0,0,940,1.0,100.0
103,64.0,1,940,1.0,100.0
104,64.0,241,470,0.0,100.0
105,47.0,241,234,2.0,100.0
106,57.0,0,470,1.0,100.0
107,66.0,0,470,1.0,100.0
108,62.0,1,469,1.0,100.0
109,66.0,239,471,0.0,100.0
110,45.0,239,234,2.0,100.0
111,65.0,1,471,1.0,100.0
112,33.0,239,234,2.0,100.0
113,69.0,0,704,0.0,100.0
114,38.0,0,234,2.0,100.0
115,62.0,240,939,1.0,100.0
116,45.0,240,234,2.0,100.0
117,57.0,1,234,0.0,100.0
118,64.0,240,940,1.0,100.0
119,64.0,239,470,0.0,100.0
120,57.0,0,1431,1.0,100.0
121,45.0,240,234,2.0,100.0
122,62.0,239,470,0.0,100.0
123,62.0,2,471,1.0,100.0
124,38.0,238,234,2.0,100.0
125,41.0,1,234,2.0,100.0
126,45.0,239,234,2.0,100.0
127,57.0,0,1183,1.0,100.0
128,64.0,0,704,1.0,100.0
129,61.0,241,704,1.0,100.0
130,57.0,0,234,1.0,100.0
131,65.0,0,234,1.0,100.0
132,62.0,0,235,1.0,100.0
133,50.0,480,235,2.0,100.0
134,33.0,239,234,2.0,100.0
135,38.0,239,235,2.0,100.0
136,62.0,239,940,1.0,100.0
137,65.0,1,940,1.0,100.0
138,56.0,1,941,1.0,100.0
139,45.0,241,235,2.0,100.0
140,57.0,0,470,1.0,100.0
141,64.0,240,470,1.0,100.0
142,61.0,0,470,1.0,100.0
