,note,step,duration,channel,velocity
0,56.0,0,3840,0.0,79.0
1,44.0,0,3840,0.0,79.0
2,37.0,3840,160,0.0,75.0
3,49.0,0,160,0.0,75.0
4,56.0,160,160,0.0,60.0
5,61.0,160,160,0.0,64.0
6,64.0,160,160,0.0,65.0
7,61.0,160,160,0.0,62.0
8,56.0,160,160,0.0,61.0
9,49.0,160,160,0.0,57.0
10,56.0,160,160,0.0,58.0
11,61.0,160,160,0.0,60.0
12,64.0,160,160,0.0,60.0
13,61.0,160,160,0.0,58.0
14,56.0,160,160,0.0,57.0
15,49.0,160,160,0.0,53.0
16,56.0,160,160,0.0,54.0
17,61.0,160,160,0.0,55.0
18,64.0,160,160,0.0,54.0
19,61.0,160,160,0.0,52.0
20,56.0,160,160,0.0,50.0
21,49.0,160,160,0.0,45.0
22,56.0,160,160,0.0,47.0
23,61.0,160,160,0.0,49.0
24,64.0,160,160,0.0,46.0
25,61.0,160,160,0.0,43.0
26,56.0,160,160,0.0,38.0
27,49.0,160,160,0.0,27.0
28,68.0,120,120,0.0,37.0
29,56.0,40,160,0.0,30.0
30,69.0,80,120,0.0,41.0
31,61.0,80,160,0.0,33.0
32,68.0,40,120,0.0,38.0
33,67.0,0,120,0.0,39.0
34,64.0,120,160,0.0,36.0
35,68.0,120,120,0.0,40.0
36,61.0,40,160,0.0,34.0
37,73.0,80,120,0.0,42.0
38,76.0,40,120,0.0,43.0
39,56.0,80,160,0.0,32.0
40,75.0,120,120,0.0,45.0
41,52.0,0,160,0.0,31.0
42,73.0,120,120,0.0,43.0
43,56.0,40,160,0.0,33.0
44,75.0,80,120,0.0,45.0
45,73.0,40,120,0.0,43.0
46,61.0,80,160,0.0,36.0
47,72.0,120,120,0.0,44.0
48,64.0,0,160,0.0,37.0
49,73.0,120,120,0.0,46.0
50,61.0,40,160,0.0,34.0
51,76.0,80,120,0.0,49.0
52,56.0,80,160,0.0,32.0
53,80.0,40,120,0.0,47.0
54,49.0,120,160,0.0,32.0
55,68.0,120,120,0.0,45.0
56,56.0,40,160,0.0,36.0
57,69.0,80,120,0.0,49.0
58,68.0,40,120,0.0,45.0
59,61.0,80,160,0.0,40.0
60,67.0,0,120,0.0,46.0
61,64.0,120,160,0.0,43.0
62,68.0,120,120,0.0,48.0
63,61.0,40,160,0.0,41.0
64,73.0,80,120,0.0,50.0
65,56.0,80,160,0.0,39.0
66,76.0,40,120,0.0,51.0
67,75.0,120,120,0.0,54.0
68,52.0,0,160,0.0,37.0
69,73.0,120,120,0.0,51.0
70,56.0,40,160,0.0,39.0
71,75.0,80,120,0.0,53.0
72,73.0,40,120,0.0,51.0
73,61.0,80,160,0.0,43.0
74,72.0,120,120,0.0,52.0
75,64.0,0,160,0.0,44.0
76,73.0,120,120,0.0,54.0
77,61.0,40,160,0.0,41.0
78,76.0,80,120,0.0,57.0
79,80.0,40,120,0.0,55.0
80,56.0,80,160,0.0,38.0
81,51.0,120,160,0.0,37.0
82,69.0,120,120,0.0,55.0
83,57.0,40,160,0.0,42.0
84,73.0,80,120,0.0,55.0
85,75.0,40,120,0.0,58.0
86,61.0,80,160,0.0,47.0
87,78.0,120,120,0.0,61.0
88,66.0,0,160,0.0,53.0
89,81.0,120,120,0.0,64.0
90,61.0,40,160,0.0,47.0
91,85.0,80,120,0.0,67.0
92,87.0,40,120,0.0,70.0
93,57.0,80,160,0.0,44.0
94,95.0,120,120,0.0,74.0
95,54.0,0,160,0.0,44.0
