,note,step,duration,channel,velocity
0,74.0,57,94,0.0,0.0
1,74.0,36,47,0.0,0.0
2,47.0,15,32,0.0,0.0
3,76.0,48,41,0.0,0.0
4,74.0,12,58,0.0,0.0
5,73.0,33,117,0.0,0.0
6,54.0,87,30,0.0,0.0
7,62.0,4,25,0.0,0.0
8,71.0,24,136,0.0,0.0
9,54.0,85,50,0.0,0.0
10,62.0,16,33,0.0,0.0
11,70.0,17,73,0.0,0.0
12,42.0,39,31,0.0,0.0
13,79.0,19,35,0.0,0.0
14,67.0,24,9,0.0,0.0
15,78.0,14,118,0.0,0.0
16,66.0,15,136,0.0,0.0
17,64.0,1,9,0.0,0.0
18,58.0,97,14,0.0,0.0
19,54.0,6,8,0.0,0.0
20,54.0,62,43,0.0,0.0
21,58.0,2,40,0.0,0.0
22,64.0,9,14,0.0,0.0
23,74.0,47,35,0.0,0.0
24,74.0,1,27,0.0,0.0
25,47.0,33,27,0.0,0.0
26,76.0,53,31,0.0,0.0
27,74.0,9,62,0.0,0.0
28,73.0,14,133,0.0,0.0
29,62.0,111,20,0.0,0.0
30,54.0,2,18,0.0,0.0
31,54.0,77,51,0.0,0.0
32,62.0,29,21,0.0,0.0
33,71.0,31,126,0.0,0.0
34,42.0,61,32,0.0,0.0
35,69.0,34,92,0.0,0.0
36,68.0,3,44,0.0,0.0
37,61.0,134,21,0.0,0.0
38,54.0,1,20,0.0,0.0
39,66.0,1,152,0.0,0.0
40,57.0,6,10,0.0,0.0
41,54.0,123,51,0.0,0.0
42,61.0,11,29,0.0,0.0
43,57.0,9,36,0.0,0.0
44,71.0,40,52,0.0,0.0
45,43.0,7,40,0.0,0.0
46,73.0,36,47,0.0,0.0
47,71.0,16,49,0.0,0.0
48,69.0,25,122,0.0,0.0
49,50.0,94,22,0.0,0.0
50,59.0,0,18,0.0,0.0
51,59.0,14,28,0.0,0.0
52,50.0,97,41,0.0,0.0
53,67.0,15,138,0.0,0.0
54,66.0,31,63,0.0,0.0
55,38.0,39,24,0.0,0.0
56,76.0,1,16,0.0,0.0
57,64.0,40,11,0.0,0.0
58,50.0,97,19,0.0,0.0
59,57.0,5,14,0.0,0.0
60,74.0,22,113,0.0,0.0
61,62.0,12,140,0.0,0.0
62,57.0,7,30,0.0,0.0
63,50.0,107,49,0.0,0.0
64,40.0,33,28,0.0,0.0
65,67.0,31,59,0.0,0.0
66,69.0,41,39,0.0,0.0
67,67.0,22,51,0.0,0.0
68,55.0,6,34,0.0,0.0
69,47.0,2,40,0.0,0.0
70,49.0,82,42,0.0,0.0
71,66.0,27,124,0.0,0.0
72,42.0,68,45,0.0,0.0
73,64.0,96,113,0.0,0.0
74,46.0,0,41,0.0,0.0
75,52.0,12,29,0.0,0.0
76,62.0,30,98,0.0,0.0
77,35.0,4,239,0.0,0.0
78,61.0,74,46,0.0,0.0
79,42.0,101,121,0.0,0.0
80,59.0,37,77,0.0,0.0
81,50.0,2,111,0.0,0.0
82,74.0,59,37,0.0,0.0
83,74.0,9,32,0.0,0.0
84,47.0,27,33,0.0,0.0
85,76.0,50,38,0.0,0.0
86,74.0,8,64,0.0,0.0
87,73.0,23,125,0.0,0.0
88,54.0,97,20,0.0,0.0
89,62.0,4,13,0.0,0.0
90,71.0,23,125,0.0,0.0
91,54.0,75,50,0.0,0.0
92,62.0,23,23,0.0,0.0
93,70.0,27,83,0.0,0.0
94,42.0,54,25,0.0,0.0
95,79.0,18,26,0.0,0.0
96,54.0,9,8,0.0,0.0
97,78.0,22,120,0.0,0.0
98,58.0,104,14,0.0,0.0
99,66.0,1,139,0.0,0.0
100,54.0,18,35,0.0,0.0
101,58.0,55,50,0.0,0.0
102,64.0,9,21,0.0,0.0
103,74.0,47,24,0.0,0.0
104,74.0,3,25,0.0,0.0
105,47.0,35,26,0.0,0.0
106,76.0,67,35,0.0,0.0
107,74.0,7,76,0.0,0.0
108,54.0,105,22,0.0,0.0
109,62.0,3,14,0.0,0.0
110,73.0,9,121,0.0,0.0
111,62.0,31,21,0.0,0.0
112,71.0,34,121,0.0,0.0
113,54.0,69,52,0.0,0.0
114,69.0,20,108,0.0,0.0
115,42.0,72,36,0.0,0.0
116,68.0,10,39,0.0,0.0
117,54.0,99,27,0.0,0.0
118,66.0,11,124,0.0,0.0
119,57.0,9,11,0.0,0.0
120,61.0,15,21,0.0,0.0
121,54.0,58,36,0.0,0.0
122,57.0,2,13,0.0,0.0
123,71.0,55,24,0.0,0.0
124,71.0,15,22,0.0,0.0
125,43.0,24,34,0.0,0.0
126,73.0,84,34,0.0,0.0
127,71.0,18,97,0.0,0.0
128,69.0,29,116,0.0,0.0
129,50.0,9,25,0.0,0.0
130,59.0,73,32,0.0,0.0
131,67.0,37,127,0.0,0.0
132,50.0,80,41,0.0,0.0
133,59.0,16,25,0.0,0.0
134,66.0,31,64,0.0,0.0
135,38.0,23,36,0.0,0.0
136,76.0,4,8,0.0,0.0
137,64.0,59,8,0.0,0.0
138,74.0,31,100,0.0,0.0
139,62.0,43,156,0.0,0.0
140,50.0,3,28,0.0,0.0
141,57.0,68,31,0.0,0.0
142,50.0,14,34,0.0,0.0
143,57.0,12,22,0.0,0.0
144,67.0,46,21,0.0,0.0
145,67.0,32,23,0.0,0.0
