,note,step,duration,channel,velocity
0,56.0,0,640,2.0,52.0
1,56.0,0,640,4.0,48.0
2,68.0,0,640,1.0,48.0
3,53.0,548,528,2.0,49.0
4,65.0,0,528,1.0,47.0
5,53.0,0,528,4.0,48.0
6,51.0,492,252,2.0,48.0
7,51.0,0,252,4.0,48.0
8,63.0,0,252,1.0,46.0
9,53.0,236,280,2.0,51.0
10,65.0,0,280,1.0,48.0
11,53.0,0,280,4.0,49.0
12,50.0,0,584,4.0,57.0
13,62.0,0,584,1.0,55.0
14,50.0,284,584,2.0,58.0
15,82.0,0,552,5.0,84.0
16,70.0,0,552,5.0,77.0
17,71.0,520,456,5.0,83.0
18,83.0,0,456,5.0,100.0
19,62.0,0,1176,8.0,71.0
20,68.0,0,1320,7.0,75.0
21,77.0,0,272,6.0,63.0
22,71.0,0,456,5.0,83.0
23,67.0,264,260,7.0,69.0
24,83.0,528,564,5.0,77.0
25,61.0,0,564,8.0,66.0
26,72.0,0,456,5.0,83.0
27,84.0,0,564,5.0,84.0
28,67.0,0,564,7.0,75.0
29,60.0,268,564,8.0,71.0
30,76.0,0,564,6.0,68.0
31,48.0,544,572,4.0,51.0
32,60.0,0,572,1.0,49.0
33,48.0,0,572,2.0,52.0
34,58.0,0,564,1.0,41.0
35,46.0,556,564,4.0,43.0
36,46.0,0,564,2.0,43.0
37,60.0,0,324,1.0,45.0
38,48.0,516,332,2.0,46.0
39,48.0,0,340,4.0,46.0
40,49.0,0,324,2.0,51.0
41,61.0,0,328,1.0,49.0
42,49.0,260,332,4.0,50.0
43,51.0,272,568,4.0,46.0
44,51.0,0,608,2.0,46.0
45,63.0,0,624,1.0,44.0
46,63.0,548,260,8.0,64.0
47,73.0,0,268,6.0,61.0
48,79.0,0,268,5.0,75.0
49,70.0,0,268,7.0,67.0
50,68.0,0,320,7.0,81.0
51,65.0,0,320,8.0,77.0
52,80.0,260,320,5.0,90.0
53,72.0,0,320,6.0,73.0
54,58.0,280,556,8.0,70.0
55,82.0,0,556,5.0,83.0
56,73.0,0,556,7.0,74.0
57,77.0,0,556,6.0,67.0
58,84.0,0,316,5.0,81.0
59,75.0,0,316,6.0,66.0
60,82.0,288,356,5.0,81.0
61,73.0,0,356,6.0,66.0
62,63.0,0,700,8.0,69.0
63,67.0,528,700,7.0,73.0
64,72.0,332,1272,6.0,62.0
65,80.0,0,1272,5.0,76.0
66,68.0,0,1272,7.0,68.0
67,56.0,0,1272,8.0,65.0
68,51.0,1260,636,2.0,39.0
69,68.0,0,636,1.0,38.0
70,60.0,0,636,1.0,36.0
71,44.0,0,676,3.0,42.0
72,68.0,688,596,1.0,47.0
73,51.0,0,596,2.0,49.0
74,60.0,0,636,1.0,36.0
75,44.0,0,4,3.0,42.0
76,32.0,208,456,0.0,60.0
77,44.0,500,292,0.0,65.0
78,51.0,288,188,0.0,70.0
79,60.0,672,1444,1.0,36.0
80,51.0,0,1460,2.0,45.0
81,68.0,0,1460,1.0,43.0
82,56.0,0,1460,4.0,40.0
83,60.0,240,228,0.0,73.0
84,56.0,236,164,0.0,70.0
85,60.0,212,308,0.0,71.0
86,63.0,328,940,0.0,67.0
87,62.0,912,164,0.0,58.0
88,63.0,160,124,0.0,67.0
89,65.0,120,100,0.0,66.0
90,63.0,96,80,0.0,64.0
91,62.0,72,80,0.0,74.0
92,63.0,72,64,0.0,69.0
93,65.0,84,88,0.0,67.0
94,67.0,84,80,0.0,64.0
95,68.0,60,112,0.0,67.0
96,70.0,84,44,0.0,67.0
97,72.0,100,108,0.0,76.0
98,32.0,24,96,0.0,42.0
99,75.0,68,92,0.0,70.0
100,80.0,88,92,0.0,68.0
101,51.0,152,180,0.0,37.0
102,87.0,116,620,0.0,86.0
103,56.0,12,380,0.0,32.0
104,51.0,276,104,0.0,42.0
105,60.0,4,396,0.0,33.0
106,63.0,296,440,0.0,27.0
107,86.0,152,68,0.0,66.0
108,87.0,64,56,0.0,71.0
109,89.0,68,48,0.0,73.0
110,87.0,0,40,0.0,73.0
111,89.0,40,44,0.0,68.0
112,68.0,52,104,0.0,45.0
113,60.0,4,104,0.0,42.0
114,56.0,4,112,0.0,35.0
115,87.0,44,44,0.0,70.0
116,89.0,48,48,0.0,70.0
117,87.0,48,40,0.0,67.0
118,89.0,40,48,0.0,73.0
119,87.0,48,40,0.0,67.0
120,89.0,36,48,0.0,70.0
121,87.0,52,32,0.0,65.0
122,89.0,32,52,0.0,76.0
123,87.0,56,40,0.0,67.0
124,89.0,36,48,0.0,70.0
125,51.0,4,264,0.0,54.0
126,87.0,48,40,0.0,64.0
127,89.0,4,52,0.0,73.0
128,87.0,52,40,0.0,61.0
129,89.0,40,40,0.0,66.0
130,87.0,44,36,0.0,51.0
131,89.0,40,20,0.0,58.0
132,87.0,12,56,0.0,42.0
133,86.0,56,76,0.0,70.0
134,87.0,68,96,0.0,83.0
135,63.0,8,516,0.0,19.0
136,60.0,8,516,0.0,33.0
137,92.0,104,104,0.0,83.0
138,51.0,32,100,0.0,38.0
139,56.0,16,572,0.0,35.0
140,89.0,96,92,0.0,79.0
141,87.0,100,84,0.0,76.0
142,84.0,96,144,0.0,74.0
143,41.0,52,136,0.0,45.0
144,48.0,324,232,0.0,45.0
145,82.0,0,676,0.0,75.0
146,53.0,4,244,0.0,35.0
147,48.0,268,64,0.0,48.0
148,56.0,0,392,0.0,34.0
149,60.0,24,404,0.0,35.0
150,80.0,284,656,0.0,60.0
151,65.0,0,116,0.0,32.0
152,53.0,4,120,0.0,31.0
153,56.0,300,148,0.0,32.0
154,80.0,152,60,0.0,72.0
155,53.0,0,1536,2.0,44.0
156,80.0,96,100,0.0,63.0
157,82.0,96,80,0.0,63.0
158,48.0,20,252,0.0,58.0
159,80.0,84,104,0.0,79.0
160,60.0,0,1828,1.0,40.0
161,56.0,148,1828,1.0,40.0
162,41.0,0,1920,3.0,37.0
163,79.0,104,120,0.0,82.0
164,60.0,4,768,2.0,44.0
165,80.0,100,120,0.0,87.0
166,60.0,8,292,0.0,34.0
167,53.0,8,320,0.0,27.0
168,56.0,8,340,0.0,30.0
169,48.0,40,56,0.0,38.0
170,82.0,140,128,0.0,76.0
171,84.0,104,76,0.0,81.0
172,34.0,0,96,0.0,42.0
173,73.0,116,480,0.0,52.0
174,85.0,0,348,0.0,85.0
175,77.0,72,460,0.0,75.0
176,53.0,268,208,0.0,40.0
177,70.0,156,56,0.0,56.0
178,77.0,56,72,0.0,77.0
179,65.0,0,1828,1.0,37.0
180,85.0,20,204,0.0,90.0
181,58.0,0,768,2.0,38.0
182,65.0,32,264,0.0,34.0
183,58.0,4,280,0.0,33.0
184,53.0,236,32,0.0,51.0
185,61.0,8,292,0.0,33.0
186,85.0,96,60,0.0,80.0
187,69.0,96,56,0.0,51.0
188,61.0,0,1060,1.0,37.0
189,75.0,40,56,0.0,62.0
190,78.0,16,68,0.0,67.0
191,46.0,24,104,0.0,50.0
192,84.0,76,56,0.0,92.0
193,85.0,172,84,0.0,86.0
194,84.0,104,84,0.0,96.0
195,83.0,96,92,0.0,87.0
196,54.0,4,296,0.0,40.0
197,84.0,92,116,0.0,100.0
198,63.0,0,768,2.0,40.0
199,87.0,116,184,0.0,90.0
200,66.0,0,324,0.0,45.0
201,57.0,12,332,0.0,48.0
202,63.0,12,348,0.0,50.0
203,85.0,156,204,0.0,90.0
204,54.0,104,120,0.0,49.0
205,84.0,88,76,0.0,88.0
206,57.0,0,1060,1.0,36.0
207,66.0,0,1060,1.0,41.0
208,34.0,40,104,0.0,56.0
209,46.0,72,2688,3.0,37.0
210,53.0,288,228,0.0,54.0
211,65.0,4,316,0.0,34.0
212,53.0,252,100,0.0,48.0
213,61.0,4,352,0.0,48.0
214,58.0,272,372,0.0,27.0
215,82.0,8,108,0.0,75.0
216,84.0,0,980,0.0,84.0
217,65.0,0,1060,1.0,40.0
218,79.0,124,76,0.0,68.0
219,80.0,92,76,0.0,78.0
220,82.0,84,64,0.0,69.0
221,80.0,0,48,0.0,71.0
222,82.0,72,44,0.0,71.0
223,80.0,64,44,0.0,69.0
224,82.0,48,44,0.0,71.0
225,80.0,56,40,0.0,71.0
226,82.0,16,44,0.0,55.0
227,52.0,24,88,0.0,57.0
228,80.0,44,40,0.0,70.0
229,82.0,48,44,0.0,70.0
230,80.0,40,44,0.0,70.0
231,82.0,44,48,0.0,70.0
232,80.0,52,52,0.0,70.0
233,82.0,12,44,0.0,65.0
234,68.0,16,104,0.0,55.0
235,80.0,56,24,0.0,69.0
236,82.0,32,56,0.0,69.0
237,80.0,44,64,0.0,68.0
238,79.0,60,64,0.0,70.0
239,80.0,64,72,0.0,73.0
240,58.0,0,2212,1.0,36.0
241,61.0,4,440,0.0,47.0
242,58.0,12,464,0.0,34.0
243,52.0,8,108,0.0,41.0
244,61.0,216,2304,2.0,38.0
245,68.0,0,1060,1.0,45.0
246,40.0,88,1060,0.0,50.0
247,84.0,84,224,0.0,79.0
248,40.0,0,1152,3.0,44.0
249,82.0,260,92,0.0,71.0
250,39.0,28,128,0.0,36.0
251,51.0,300,100,0.0,47.0
252,80.0,0,460,0.0,69.0
253,79.0,108,112,0.0,71.0
254,79.0,16,60,0.0,68.0
255,67.0,152,96,0.0,48.0
256,80.0,68,52,0.0,70.0
257,79.0,56,40,0.0,55.0
258,80.0,40,40,0.0,64.0
259,79.0,52,36,0.0,66.0
260,58.0,4,320,0.0,30.0
261,61.0,4,316,0.0,33.0
262,80.0,40,68,0.0,61.0
263,51.0,0,84,0.0,46.0
264,79.0,52,68,0.0,68.0
265,77.0,80,48,0.0,71.0
266,67.0,100,1060,1.0,42.0
267,58.0,0,1060,1.0,42.0
268,79.0,68,56,0.0,78.0
269,82.0,68,76,0.0,65.0
270,80.0,60,80,0.0,75.0
271,39.0,48,84,0.0,39.0
272,51.0,248,128,0.0,48.0
273,79.0,0,436,0.0,78.0
274,77.0,120,76,0.0,71.0
275,77.0,0,48,0.0,73.0
276,79.0,64,40,0.0,68.0
277,65.0,136,148,0.0,41.0
278,77.0,44,40,0.0,68.0
279,79.0,44,40,0.0,68.0
280,60.0,0,768,2.0,38.0
281,77.0,36,40,0.0,74.0
282,79.0,56,36,0.0,63.0
283,60.0,4,356,0.0,42.0
284,77.0,28,56,0.0,64.0
285,56.0,8,404,0.0,32.0
286,51.0,60,108,0.0,44.0
287,76.0,64,48,0.0,70.0
288,56.0,88,1060,1.0,42.0
289,65.0,0,1060,1.0,42.0
290,77.0,64,52,0.0,69.0
291,80.0,60,84,0.0,71.0
292,79.0,84,84,0.0,70.0
293,39.0,4,92,0.0,46.0
294,77.0,0,404,0.0,78.0
295,75.0,84,80,0.0,71.0
296,55.0,280,212,0.0,47.0
297,39.0,0,3072,3.0,38.0
298,75.0,156,48,0.0,69.0
299,77.0,52,44,0.0,68.0
300,75.0,44,44,0.0,65.0
301,77.0,56,32,0.0,62.0
302,75.0,32,36,0.0,54.0
303,58.0,92,768,2.0,37.0
304,77.0,48,56,0.0,70.0
305,55.0,28,44,0.0,38.0
306,75.0,16,64,0.0,57.0
307,63.0,8,348,0.0,39.0
308,58.0,0,380,0.0,34.0
309,74.0,64,76,0.0,80.0
310,75.0,80,68,0.0,78.0
311,63.0,0,1060,1.0,42.0
312,55.0,0,1060,1.0,42.0
313,79.0,88,68,0.0,77.0
314,77.0,84,108,0.0,80.0
315,41.0,4,68,0.0,47.0
316,75.0,104,124,0.0,78.0
317,73.0,108,84,0.0,75.0
318,75.0,88,88,0.0,77.0
319,73.0,96,120,0.0,75.0
320,61.0,24,108,0.0,36.0
321,56.0,0,444,1.0,42.0
322,56.0,8,120,0.0,37.0
323,72.0,84,104,0.0,79.0
324,73.0,112,136,0.0,82.0
325,41.0,0,768,3.0,41.0
326,43.0,32,92,0.0,48.0
327,72.0,0,140,0.0,80.0
328,73.0,112,112,0.0,80.0
329,61.0,0,996,1.0,42.0
330,77.0,116,264,0.0,82.0
331,63.0,4,164,0.0,29.0
332,58.0,0,192,0.0,36.0
333,51.0,112,200,0.0,47.0
334,75.0,144,148,0.0,76.0
