,note,step,duration,channel,velocity
0,69.0,80,96,0.0,100.0
1,65.0,112,32,0.0,100.0
2,70.0,80,96,0.0,100.0
3,67.0,208,32,0.0,100.0
4,57.0,0,192,1.0,100.0
5,53.0,96,256,1.0,100.0
6,72.0,64,192,0.0,100.0
7,60.0,0,64,1.0,100.0
8,69.0,160,64,0.0,100.0
9,53.0,0,128,1.0,100.0
10,65.0,352,128,0.0,100.0
11,57.0,0,128,1.0,100.0
12,74.0,80,96,0.0,100.0
13,70.0,112,32,0.0,100.0
14,76.0,80,96,0.0,100.0
15,72.0,208,32,0.0,100.0
16,57.0,96,256,1.0,100.0
17,77.0,64,192,0.0,100.0
18,60.0,0,192,1.0,100.0
19,65.0,0,64,1.0,100.0
20,72.0,160,64,0.0,100.0
21,69.0,352,128,0.0,100.0
22,60.0,0,128,1.0,100.0
23,57.0,0,128,1.0,100.0
24,77.0,80,96,0.0,100.0
25,72.0,112,32,0.0,100.0
26,79.0,80,96,0.0,100.0
27,76.0,112,32,0.0,100.0
28,81.0,80,96,0.0,100.0
29,79.0,112,32,0.0,100.0
30,77.0,80,96,0.0,100.0
31,76.0,112,32,0.0,100.0
32,77.0,80,96,0.0,100.0
33,72.0,128,32,0.0,100.0
34,57.0,0,128,1.0,100.0
35,53.0,48,128,1.0,100.0
36,74.0,16,96,0.0,100.0
37,69.0,144,32,0.0,100.0
38,72.0,0,128,0.0,100.0
39,55.0,84,128,1.0,100.0
40,62.0,0,128,0.0,100.0
41,48.0,0,128,1.0,100.0
42,70.0,24,20,0.0,0.0
43,64.0,12,128,0.0,100.0
44,72.0,24,20,0.0,0.0
45,70.0,24,20,0.0,0.0
46,72.0,24,20,0.0,0.0
47,70.0,12,20,0.0,0.0
48,72.0,24,20,0.0,0.0
49,69.0,24,20,0.0,0.0
50,70.0,132,20,0.0,0.0
51,65.0,288,188,0.0,0.0
52,53.0,60,128,1.0,100.0
53,69.0,0,188,0.0,0.0
54,69.0,96,92,0.0,0.0
55,70.0,96,92,0.0,0.0
56,71.0,96,92,0.0,0.0
57,72.0,196,92,0.0,0.0
