,note,step,duration,channel,velocity
0,50.0,50,430,8.0,0.0
1,62.0,0,1650,6.0,0.0
2,38.0,0,430,10.0,0.0
3,66.0,0,1870,0.0,0.0
4,69.0,0,1870,0.0,0.0
5,50.0,0,430,2.0,0.0
6,50.0,60,60,4.0,0.0
7,62.0,0,430,3.0,0.0
8,50.0,0,430,1.0,0.0
9,62.0,0,1650,5.0,0.0
10,74.0,0,1650,5.0,0.0
11,74.0,220,1650,6.0,0.0
12,62.0,0,430,7.0,0.0
13,52.0,60,60,4.0,0.0
14,50.0,60,60,4.0,0.0
15,52.0,60,60,4.0,0.0
16,50.0,60,60,4.0,0.0
17,52.0,60,60,4.0,0.0
18,50.0,10,60,4.0,0.0
19,52.0,60,60,4.0,0.0
20,54.0,50,430,2.0,0.0
21,50.0,60,60,4.0,0.0
22,66.0,0,430,3.0,0.0
23,54.0,0,430,1.0,0.0
24,54.0,0,430,8.0,0.0
25,66.0,0,430,7.0,0.0
26,42.0,0,430,10.0,0.0
27,52.0,60,60,4.0,0.0
28,50.0,60,60,4.0,0.0
29,52.0,60,60,4.0,0.0
30,50.0,60,60,4.0,0.0
31,52.0,60,60,4.0,0.0
32,50.0,10,60,4.0,0.0
33,52.0,60,60,4.0,0.0
34,57.0,0,430,8.0,0.0
35,57.0,0,430,1.0,0.0
36,50.0,60,60,4.0,0.0
37,45.0,0,430,10.0,0.0
38,57.0,50,430,2.0,0.0
39,69.0,0,430,7.0,0.0
40,69.0,0,430,3.0,0.0
41,52.0,60,60,4.0,0.0
42,50.0,60,60,4.0,0.0
43,52.0,60,60,4.0,0.0
44,50.0,60,60,4.0,0.0
45,52.0,60,60,4.0,0.0
46,50.0,10,60,4.0,0.0
47,52.0,210,60,4.0,0.0
48,50.0,20,430,4.0,0.0
49,62.0,0,430,2.0,0.0
50,62.0,0,430,1.0,0.0
51,74.0,0,430,3.0,0.0
52,74.0,0,430,7.0,0.0
53,62.0,0,430,8.0,0.0
54,50.0,0,430,10.0,0.0
55,62.0,0,210,6.0,0.0
56,62.0,240,210,5.0,0.0
57,66.0,240,210,5.0,0.0
58,66.0,0,210,6.0,0.0
59,69.0,0,210,6.0,0.0
60,69.0,240,210,5.0,0.0
61,74.0,240,210,5.0,0.0
62,74.0,0,210,6.0,0.0
63,78.0,460,210,5.0,0.0
64,78.0,0,210,6.0,0.0
65,81.0,0,430,6.0,0.0
66,81.0,480,430,5.0,0.0
67,66.0,480,430,2.0,0.0
68,50.0,0,430,8.0,0.0
69,62.0,0,430,7.0,0.0
70,62.0,0,430,2.0,0.0
71,86.0,0,430,6.0,0.0
72,78.0,0,430,0.0,0.0
73,74.0,0,430,0.0,0.0
74,50.0,0,430,4.0,0.0
75,50.0,0,430,1.0,0.0
76,38.0,0,430,10.0,0.0
77,69.0,0,430,6.0,0.0
78,78.0,0,430,6.0,0.0
79,62.0,0,430,3.0,0.0
80,86.0,0,430,5.0,0.0
81,78.0,0,430,5.0,0.0
82,69.0,0,430,5.0,0.0
83,66.0,0,430,2.0,0.0
84,86.0,0,430,6.0,0.0
85,50.0,0,430,4.0,0.0
86,42.0,0,430,10.0,0.0
87,66.0,0,430,3.0,0.0
88,62.0,0,430,2.0,0.0
89,54.0,0,430,8.0,0.0
90,69.0,0,430,6.0,0.0
91,78.0,0,430,0.0,0.0
92,54.0,0,430,1.0,0.0
93,86.0,480,430,5.0,0.0
94,78.0,0,430,5.0,0.0
95,69.0,0,430,5.0,0.0
96,66.0,0,430,7.0,0.0
97,74.0,0,430,0.0,0.0
98,78.0,0,430,6.0,0.0
99,57.0,0,430,2.0,0.0
100,64.0,0,430,2.0,0.0
101,45.0,0,430,10.0,0.0
102,57.0,0,430,1.0,0.0
103,69.0,0,430,7.0,0.0
104,45.0,0,430,4.0,0.0
105,76.0,0,430,5.0,0.0
106,85.0,0,430,5.0,0.0
107,73.0,0,430,0.0,0.0
108,69.0,1110,430,3.0,0.0
109,57.0,0,430,8.0,0.0
110,85.0,0,430,6.0,0.0
111,76.0,0,430,6.0,0.0
112,76.0,0,430,0.0,0.0
113,69.0,0,430,6.0,0.0
114,69.0,0,430,5.0,0.0
115,71.0,860,100,5.0,0.0
116,71.0,0,1870,6.0,0.0
117,55.0,0,1870,1.0,0.0
118,55.0,50,1870,8.0,0.0
119,43.0,0,1870,10.0,0.0
120,83.0,0,1750,5.0,0.0
121,62.0,480,480,7.0,0.0
122,63.0,430,480,7.0,0.0
123,64.0,120,480,7.0,0.0
124,69.0,0,120,6.0,0.0
125,81.0,360,120,5.0,0.0
126,67.0,120,360,6.0,0.0
127,79.0,0,360,5.0,0.0
128,78.0,0,120,5.0,0.0
129,66.0,360,120,6.0,0.0
130,76.0,0,360,5.0,0.0
131,64.0,120,360,6.0,0.0
132,74.0,0,120,5.0,0.0
133,57.0,0,430,8.0,0.0
134,45.0,0,430,10.0,0.0
135,62.0,310,120,6.0,0.0
136,67.0,0,430,7.0,0.0
137,64.0,50,430,7.0,0.0
138,57.0,0,430,1.0,0.0
139,73.0,0,360,5.0,0.0
140,61.0,120,360,6.0,0.0
141,57.0,0,430,1.0,0.0
142,57.0,0,430,8.0,0.0
143,71.0,0,120,5.0,0.0
144,67.0,0,430,7.0,0.0
145,64.0,0,430,7.0,0.0
146,59.0,310,120,6.0,0.0
147,45.0,50,430,10.0,0.0
148,69.0,0,360,5.0,0.0
149,57.0,120,360,6.0,0.0
150,71.0,310,120,5.0,0.0
151,57.0,0,430,8.0,0.0
152,45.0,0,430,10.0,0.0
153,67.0,0,430,7.0,0.0
154,64.0,0,430,7.0,0.0
155,59.0,0,120,6.0,0.0
156,57.0,50,430,1.0,0.0
157,61.0,430,360,6.0,0.0
158,73.0,0,360,5.0,0.0
159,62.0,0,430,8.0,0.0
160,74.0,0,430,5.0,0.0
161,62.0,0,430,1.0,0.0
162,62.0,480,430,6.0,0.0
163,66.0,0,430,7.0,0.0
164,62.0,0,430,7.0,0.0
165,50.0,0,430,10.0,0.0
166,45.0,480,430,10.0,0.0
167,57.0,0,430,8.0,0.0
168,57.0,0,430,1.0,0.0
169,38.0,0,430,10.0,0.0
