,note,step,duration,channel,velocity
0,62.0,0,1020,1.0,0.0
1,55.0,1024,1020,3.0,0.0
2,59.0,0,1020,2.0,0.0
3,55.0,512,510,4.0,0.0
4,54.0,0,510,4.0,0.0
5,64.0,0,1020,1.0,0.0
6,52.0,0,1020,4.0,0.0
7,52.0,512,1020,3.0,0.0
8,59.0,0,1020,2.0,0.0
9,67.0,0,15,0.0,0.0
10,47.0,1024,1020,4.0,0.0
11,66.0,0,1020,0.0,0.0
12,59.0,512,510,2.0,0.0
13,62.0,0,1020,1.0,0.0
14,47.0,0,1020,3.0,0.0
15,57.0,0,510,2.0,0.0
16,64.0,0,1020,0.0,0.0
17,48.0,0,1020,3.0,0.0
18,55.0,0,1020,2.0,0.0
19,48.0,1024,1020,4.0,0.0
20,60.0,0,15,1.0,0.0
21,50.0,0,1020,4.0,0.0
22,50.0,0,1020,3.0,0.0
23,62.0,1024,1020,0.0,0.0
24,54.0,0,1020,2.0,0.0
25,52.0,0,1020,3.0,0.0
26,52.0,0,1020,4.0,0.0
27,55.0,0,1020,2.0,0.0
28,67.0,1024,1020,0.0,0.0
29,59.0,0,1020,1.0,0.0
30,50.0,0,1020,4.0,0.0
31,62.0,0,1020,1.0,0.0
32,50.0,0,1020,3.0,0.0
33,69.0,0,1020,0.0,0.0
34,54.0,1024,1020,2.0,0.0
35,43.0,0,1020,3.0,0.0
36,43.0,0,1020,4.0,0.0
37,71.0,0,1020,0.0,0.0
38,55.0,0,1020,2.0,0.0
39,62.0,512,1020,1.0,0.0
40,50.0,512,510,4.0,0.0
41,54.0,0,1020,2.0,0.0
42,50.0,0,510,3.0,0.0
43,69.0,512,1020,0.0,0.0
44,62.0,0,1020,1.0,0.0
45,48.0,0,510,3.0,0.0
46,48.0,0,510,4.0,0.0
47,47.0,0,1020,4.0,0.0
48,62.0,512,1020,1.0,0.0
49,71.0,256,510,0.0,0.0
50,54.0,0,1020,2.0,0.0
51,47.0,0,1020,3.0,0.0
52,72.0,256,270,0.0,0.0
53,74.0,0,270,0.0,0.0
54,40.0,512,510,4.0,0.0
55,72.0,0,1020,0.0,0.0
56,40.0,0,510,3.0,0.0
57,52.0,0,1020,2.0,0.0
58,55.0,0,510,1.0,0.0
59,42.0,0,510,4.0,0.0
60,42.0,0,510,3.0,0.0
61,57.0,512,510,1.0,0.0
62,50.0,512,510,2.0,0.0
63,43.0,0,1020,4.0,0.0
64,59.0,0,510,1.0,0.0
65,43.0,512,1020,3.0,0.0
66,71.0,0,1020,0.0,0.0
67,60.0,0,510,1.0,0.0
68,52.0,0,510,2.0,0.0
69,54.0,0,1020,2.0,0.0
70,62.0,0,1020,1.0,0.0
71,42.0,512,1020,4.0,0.0
72,69.0,512,510,0.0,0.0
73,42.0,0,1020,3.0,0.0
74,71.0,0,510,0.0,0.0
75,40.0,512,1020,4.0,0.0
76,55.0,0,3060,2.0,0.0
77,40.0,0,510,3.0,0.0
78,60.0,512,510,1.0,0.0
79,72.0,0,1020,0.0,0.0
80,52.0,0,510,3.0,0.0
81,62.0,0,510,1.0,0.0
82,50.0,0,510,3.0,0.0
83,71.0,512,1020,0.0,0.0
84,38.0,512,510,4.0,0.0
85,64.0,0,1020,1.0,0.0
86,48.0,0,510,3.0,0.0
87,36.0,0,510,4.0,0.0
88,50.0,0,2040,3.0,0.0
89,57.0,512,510,1.0,0.0
90,38.0,0,2040,4.0,0.0
91,69.0,0,2040,0.0,0.0
92,59.0,1024,510,1.0,0.0
93,54.0,0,1020,2.0,0.0
94,60.0,3072,1020,1.0,0.0
95,31.0,0,3060,4.0,0.0
96,43.0,0,3060,3.0,0.0
97,67.0,512,3060,0.0,0.0
98,50.0,0,3060,2.0,0.0
99,59.0,0,3060,1.0,0.0
100,55.0,512,510,4.0,0.0
101,55.0,0,1020,3.0,0.0
