,note,step,duration,channel,velocity
0,69.0,0,480,4.0,0.0
1,74.0,0,360,4.0,0.0
2,57.0,0,300,4.0,0.0
3,50.0,30,300,4.0,0.0
4,50.0,0,300,3.0,0.0
5,66.0,0,480,4.0,0.0
6,62.0,60,60,2.0,0.0
7,57.0,60,60,2.0,0.0
8,59.0,60,60,2.0,0.0
9,60.0,0,60,2.0,0.0
10,69.0,5,30,2.0,0.0
11,54.0,0,0,4.0,0.0
12,38.0,0,35,4.0,0.0
13,38.0,25,35,3.0,0.0
14,67.0,0,30,2.0,0.0
15,72.0,0,120,4.0,0.0
16,40.0,25,35,4.0,0.0
17,66.0,5,30,2.0,0.0
18,40.0,0,35,3.0,0.0
19,55.0,0,60,4.0,0.0
20,64.0,30,30,2.0,0.0
21,57.0,0,60,4.0,0.0
22,42.0,25,35,4.0,0.0
23,42.0,0,35,3.0,0.0
24,62.0,5,30,2.0,0.0
25,60.0,30,30,2.0,0.0
26,43.0,13,35,4.0,0.0
27,59.0,5,30,2.0,0.0
28,71.0,0,60,4.0,0.0
29,69.0,30,60,4.0,0.0
30,43.0,0,35,3.0,0.0
31,57.0,0,240,4.0,0.0
32,62.0,12,18,2.0,0.0
33,74.0,30,60,4.0,0.0
34,67.0,0,60,4.0,0.0
35,40.0,0,35,3.0,0.0
36,40.0,13,35,4.0,0.0
37,67.0,5,30,2.0,0.0
38,64.0,12,18,2.0,0.0
39,45.0,13,35,3.0,0.0
40,69.0,0,120,4.0,0.0
41,45.0,0,35,4.0,0.0
42,74.0,35,60,4.0,0.0
43,62.0,5,30,2.0,0.0
44,61.0,12,18,2.0,0.0
45,73.0,60,60,4.0,0.0
46,45.0,25,35,3.0,0.0
47,45.0,0,35,4.0,0.0
48,67.0,30,120,2.0,0.0
49,38.0,0,120,3.0,0.0
50,67.0,0,60,4.0,0.0
51,74.0,0,120,4.0,0.0
52,38.0,0,120,4.0,0.0
53,66.0,30,30,2.0,0.0
54,66.0,30,60,4.0,0.0
55,64.0,0,30,2.0,0.0
56,62.0,30,30,2.0,0.0
57,61.0,30,30,2.0,0.0
58,50.0,0,95,4.0,0.0
59,50.0,13,95,3.0,0.0
60,69.0,30,60,4.0,0.0
61,71.0,0,60,4.0,0.0
62,59.0,30,30,2.0,0.0
63,57.0,0,30,2.0,0.0
64,64.0,0,120,4.0,0.0
65,56.0,5,30,2.0,0.0
66,68.0,0,120,4.0,0.0
67,71.0,30,120,4.0,0.0
68,59.0,42,18,2.0,0.0
69,49.0,0,35,4.0,0.0
70,49.0,13,35,3.0,0.0
71,64.0,5,30,2.0,0.0
72,61.0,12,18,2.0,0.0
73,58.0,0,120,4.0,0.0
74,54.0,0,35,4.0,0.0
75,73.0,30,120,4.0,0.0
76,59.0,5,30,2.0,0.0
77,54.0,13,35,3.0,0.0
78,58.0,47,18,2.0,0.0
79,42.0,25,35,4.0,0.0
80,64.0,30,90,2.0,0.0
81,42.0,0,35,3.0,0.0
82,47.0,0,120,3.0,0.0
83,47.0,0,120,4.0,0.0
84,71.0,0,120,4.0,0.0
85,64.0,30,60,4.0,0.0
86,62.0,0,30,2.0,0.0
87,62.0,30,60,4.0,0.0
88,64.0,30,30,2.0,0.0
89,66.0,0,30,2.0,0.0
90,67.0,30,30,2.0,0.0
91,69.0,30,30,2.0,0.0
92,71.0,30,30,2.0,0.0
93,55.0,25,95,4.0,0.0
94,55.0,0,95,3.0,0.0
95,74.0,0,60,4.0,0.0
96,71.0,0,60,4.0,0.0
97,67.0,30,30,2.0,0.0
98,73.0,0,60,4.0,0.0
99,76.0,0,60,4.0,0.0
100,69.0,5,30,2.0,0.0
101,73.0,30,30,2.0,0.0
102,76.0,5,30,2.0,0.0
103,49.0,25,35,3.0,0.0
