,note,step,duration,channel,velocity
0,64.0,0,1020,4.0,0.0
1,64.0,512,1020,3.0,0.0
2,64.0,0,510,2.0,0.0
3,68.0,512,510,1.0,0.0
4,69.0,0,510,1.0,0.0
5,66.0,0,510,2.0,0.0
6,68.0,512,510,1.0,0.0
7,71.0,0,15,0.0,0.0
8,64.0,0,510,2.0,0.0
9,52.0,0,1020,3.0,0.0
10,52.0,0,1020,4.0,0.0
11,63.0,512,510,2.0,0.0
12,66.0,0,510,1.0,0.0
13,57.0,512,510,4.0,0.0
14,57.0,0,510,3.0,0.0
15,64.0,512,1020,1.0,0.0
16,73.0,0,1020,0.0,0.0
17,61.0,0,1020,2.0,0.0
18,59.0,0,510,4.0,0.0
19,59.0,0,510,3.0,0.0
20,66.0,512,510,1.0,0.0
21,57.0,0,510,4.0,0.0
22,73.0,0,1020,0.0,0.0
23,63.0,0,510,2.0,0.0
24,57.0,0,510,3.0,0.0
25,56.0,0,510,4.0,0.0
26,64.0,0,510,2.0,0.0
27,68.0,0,510,1.0,0.0
28,56.0,512,510,3.0,0.0
29,69.0,512,510,1.0,0.0
30,54.0,512,1020,4.0,0.0
31,66.0,0,510,2.0,0.0
32,54.0,0,1020,3.0,0.0
33,73.0,0,510,1.0,0.0
34,69.0,0,510,2.0,0.0
35,75.0,0,15,0.0,0.0
36,47.0,2048,1020,3.0,0.0
37,71.0,512,510,1.0,0.0
38,68.0,0,510,2.0,0.0
39,47.0,0,1020,4.0,0.0
40,66.0,0,510,2.0,0.0
41,69.0,0,510,1.0,0.0
42,68.0,0,2040,1.0,0.0
43,52.0,0,2040,3.0,0.0
44,52.0,512,2040,4.0,0.0
45,64.0,0,2040,2.0,0.0
46,76.0,0,2040,0.0,0.0
47,71.0,0,1020,1.0,0.0
48,59.0,0,510,3.0,0.0
49,78.0,0,1020,0.0,0.0
50,59.0,0,510,4.0,0.0
51,63.0,512,510,2.0,0.0
52,61.0,0,510,3.0,0.0
53,64.0,512,510,2.0,0.0
54,61.0,0,510,4.0,0.0
55,63.0,0,510,3.0,0.0
56,78.0,0,1020,0.0,0.0
57,71.0,0,510,1.0,0.0
58,66.0,512,510,2.0,0.0
59,63.0,0,510,4.0,0.0
60,59.0,0,510,4.0,0.0
61,70.0,512,510,1.0,0.0
62,63.0,0,510,2.0,0.0
63,59.0,0,510,3.0,0.0
64,61.0,512,510,4.0,0.0
65,61.0,0,510,3.0,0.0
66,64.0,0,510,2.0,0.0
67,68.0,0,1020,1.0,0.0
68,59.0,0,510,3.0,0.0
69,63.0,0,510,2.0,0.0
70,59.0,0,510,4.0,0.0
