,note,step,duration,channel,velocity
0,58.0,0,1024,2.0,0.0
1,55.0,0,1024,3.0,0.0
2,67.0,0,1024,0.0,0.0
3,62.0,512,1024,1.0,0.0
4,63.0,512,1024,1.0,0.0
5,60.0,512,512,2.0,0.0
6,55.0,0,1024,3.0,0.0
7,58.0,0,512,2.0,0.0
8,54.0,0,1024,3.0,0.0
9,57.0,512,1024,2.0,0.0
10,69.0,0,0,0.0,0.0
11,62.0,0,1024,1.0,0.0
12,70.0,256,256,0.0,0.0
13,72.0,0,256,0.0,0.0
14,55.0,512,1536,2.0,0.0
15,55.0,0,1536,3.0,0.0
16,70.0,512,512,0.0,0.0
17,67.0,512,512,0.0,0.0
18,74.0,256,1536,0.0,0.0
19,62.0,0,0,1.0,0.0
20,57.0,512,512,2.0,0.0
21,53.0,0,512,3.0,0.0
22,67.0,512,1024,1.0,0.0
23,51.0,0,512,3.0,0.0
24,58.0,0,1024,2.0,0.0
25,50.0,0,512,3.0,0.0
26,72.0,256,256,0.0,0.0
27,70.0,0,256,0.0,0.0
28,69.0,0,512,0.0,0.0
29,60.0,0,512,2.0,0.0
30,51.0,0,512,3.0,0.0
31,66.0,512,512,1.0,0.0
32,58.0,0,512,2.0,0.0
33,48.0,0,512,3.0,0.0
34,67.0,0,512,1.0,0.0
35,67.0,1024,512,0.0,0.0
36,50.0,0,1024,3.0,0.0
37,62.0,1024,1024,1.0,0.0
38,57.0,0,1024,2.0,0.0
39,66.0,0,1024,0.0,0.0
40,69.0,0,1024,0.0,0.0
41,50.0,0,1024,3.0,0.0
42,66.0,0,1024,1.0,0.0
43,55.0,0,1024,3.0,0.0
44,62.0,1024,0,2.0,0.0
45,67.0,512,1024,1.0,0.0
46,70.0,0,1024,0.0,0.0
47,60.0,0,1024,2.0,0.0
48,72.0,256,512,0.0,0.0
49,57.0,0,1024,3.0,0.0
50,65.0,0,1024,1.0,0.0
51,74.0,256,256,0.0,0.0
52,75.0,512,256,0.0,0.0
53,65.0,0,1536,1.0,0.0
54,58.0,512,1536,3.0,0.0
55,74.0,512,512,0.0,0.0
56,58.0,0,1536,2.0,0.0
57,70.0,512,512,0.0,0.0
58,77.0,0,1536,0.0,0.0
59,60.0,0,512,2.0,0.0
60,65.0,512,512,1.0,0.0
61,57.0,0,512,3.0,0.0
62,70.0,512,1024,1.0,0.0
63,62.0,0,1024,2.0,0.0
64,55.0,256,512,3.0,0.0
65,76.0,256,256,0.0,0.0
66,53.0,0,512,3.0,0.0
67,74.0,0,256,0.0,0.0
68,55.0,0,512,2.0,0.0
69,52.0,0,512,3.0,0.0
70,72.0,0,512,1.0,0.0
71,72.0,512,512,0.0,0.0
72,64.0,1024,512,1.0,0.0
73,60.0,0,512,2.0,0.0
74,70.0,0,512,0.0,0.0
75,48.0,0,512,3.0,0.0
76,69.0,1024,1024,0.0,0.0
77,53.0,0,1024,3.0,0.0
78,60.0,0,1024,2.0,0.0
79,65.0,0,1024,1.0,0.0
80,58.0,1024,1024,2.0,0.0
81,58.0,0,1024,3.0,0.0
82,65.0,0,1024,1.0,0.0
83,74.0,0,1024,0.0,0.0
84,73.0,0,1024,0.0,0.0
85,58.0,1024,1024,3.0,0.0
86,67.0,0,1024,1.0,0.0
87,58.0,0,1024,2.0,0.0
88,74.0,0,1024,0.0,0.0
89,65.0,512,1024,1.0,0.0
90,57.0,0,1024,2.0,0.0
91,57.0,0,1024,3.0,0.0
92,76.0,256,512,0.0,0.0
93,64.0,0,1024,1.0,0.0
94,57.0,0,1024,3.0,0.0
95,77.0,256,256,0.0,0.0
96,79.0,0,256,0.0,0.0
97,62.0,0,1024,1.0,0.0
98,77.0,0,512,0.0,0.0
99,57.0,512,0,2.0,0.0
100,57.0,0,512,3.0,0.0
101,76.0,512,512,0.0,0.0
102,62.0,0,512,3.0,0.0
103,62.0,0,512,2.0,0.0
104,64.0,0,512,1.0,0.0
105,62.0,256,512,2.0,0.0
106,62.0,0,512,3.0,0.0
107,76.0,1024,2048,0.0,0.0
108,61.0,0,256,3.0,0.0
109,65.0,0,512,1.0,0.0
110,61.0,256,256,2.0,0.0
111,59.0,0,256,2.0,0.0
112,59.0,1024,256,3.0,0.0
113,61.0,0,1024,3.0,0.0
114,67.0,0,1024,1.0,0.0
115,61.0,0,1024,2.0,0.0
116,66.0,1024,1024,1.0,0.0
117,57.0,0,1024,3.0,0.0
118,74.0,0,1024,0.0,0.0
119,57.0,0,1024,2.0,0.0
120,55.0,0,1024,3.0,0.0
121,58.0,512,1024,2.0,0.0
122,62.0,0,1024,1.0,0.0
123,67.0,0,1024,0.0,0.0
124,63.0,0,1024,1.0,0.0
125,55.0,512,1024,3.0,0.0
126,69.0,0,1024,0.0,0.0
127,60.0,512,512,2.0,0.0
128,58.0,0,512,2.0,0.0
129,69.0,256,512,0.0,0.0
130,57.0,512,1024,2.0,0.0
131,54.0,0,1024,3.0,0.0
132,70.0,256,256,0.0,0.0
133,72.0,0,256,0.0,0.0
134,70.0,512,512,0.0,0.0
135,55.0,0,1536,2.0,0.0
136,62.0,0,0,1.0,0.0
137,55.0,512,1536,3.0,0.0
138,67.0,512,512,0.0,0.0
139,74.0,256,1536,0.0,0.0
140,53.0,512,512,3.0,0.0
141,57.0,0,512,2.0,0.0
142,62.0,0,512,1.0,0.0
143,67.0,512,1024,1.0,0.0
144,58.0,0,1024,2.0,0.0
145,51.0,0,512,3.0,0.0
146,50.0,0,512,3.0,0.0
147,72.0,256,256,0.0,0.0
148,70.0,0,256,0.0,0.0
149,60.0,0,512,2.0,0.0
150,51.0,512,512,3.0,0.0
151,66.0,0,512,1.0,0.0
152,69.0,0,512,0.0,0.0
153,67.0,0,512,1.0,0.0
154,58.0,0,512,2.0,0.0
155,67.0,0,512,0.0,0.0
156,48.0,1024,512,3.0,0.0
157,66.0,1024,1024,0.0,0.0
158,62.0,0,1024,1.0,0.0
159,50.0,0,1024,3.0,0.0
160,57.0,0,1024,2.0,0.0
161,66.0,1024,1024,1.0,0.0
162,50.0,0,1024,3.0,0.0
163,69.0,0,1024,0.0,0.0
164,70.0,512,1024,0.0,0.0
165,67.0,0,1024,1.0,0.0
166,62.0,0,0,2.0,0.0
167,55.0,0,1024,3.0,0.0
168,57.0,0,1024,3.0,0.0
169,72.0,256,512,0.0,0.0
170,60.0,0,1024,2.0,0.0
171,74.0,256,256,0.0,0.0
172,75.0,512,256,0.0,0.0
173,58.0,0,1536,2.0,0.0
174,65.0,0,0,1.0,0.0
175,58.0,512,1536,3.0,0.0
176,74.0,512,512,0.0,0.0
177,70.0,512,512,0.0,0.0
178,77.0,0,1536,0.0,0.0
179,60.0,0,512,2.0,0.0
180,65.0,0,0,1.0,0.0
181,57.0,512,512,3.0,0.0
182,62.0,0,1024,2.0,0.0
183,55.0,256,512,3.0,0.0
184,70.0,512,1024,1.0,0.0
185,76.0,256,256,0.0,0.0
186,53.0,0,512,3.0,0.0
187,74.0,0,256,0.0,0.0
188,72.0,0,512,1.0,0.0
189,55.0,512,512,2.0,0.0
190,72.0,0,512,0.0,0.0
191,52.0,0,512,3.0,0.0
192,48.0,0,512,3.0,0.0
193,64.0,1024,512,1.0,0.0
194,70.0,0,512,0.0,0.0
195,69.0,1024,1024,0.0,0.0
196,53.0,0,1024,3.0,0.0
197,60.0,0,0,2.0,0.0
198,65.0,0,0,1.0,0.0
199,74.0,0,1024,0.0,0.0
200,58.0,0,1024,3.0,0.0
201,58.0,0,0,2.0,0.0
202,73.0,0,1024,0.0,0.0
203,58.0,0,1024,3.0,0.0
204,67.0,1024,1024,1.0,0.0
205,65.0,0,1024,1.0,0.0
206,74.0,512,1024,0.0,0.0
207,64.0,0,1024,1.0,0.0
208,57.0,0,0,3.0,0.0
209,57.0,0,0,2.0,0.0
210,76.0,256,512,0.0,0.0
211,77.0,256,256,0.0,0.0
212,79.0,0,256,0.0,0.0
213,57.0,0,512,2.0,0.0
214,62.0,0,1024,1.0,0.0
215,57.0,0,512,3.0,0.0
216,77.0,512,512,0.0,0.0
217,76.0,0,512,0.0,0.0
218,62.0,0,0,2.0,0.0
219,62.0,512,0,3.0,0.0
220,64.0,0,512,1.0,0.0
221,76.0,0,2048,0.0,0.0
222,61.0,0,256,3.0,0.0
223,61.0,256,256,2.0,0.0
224,65.0,0,512,1.0,0.0
225,59.0,0,256,3.0,0.0
226,59.0,1024,256,2.0,0.0
227,61.0,0,1024,3.0,0.0
228,61.0,0,1024,2.0,0.0
229,67.0,1024,1024,1.0,0.0
230,66.0,0,1024,1.0,0.0
231,57.0,0,1024,3.0,0.0
