,note,step,duration,channel,velocity
0,53.0,0,1020,4.0,0.0
1,57.0,0,1020,2.0,0.0
2,65.0,0,1020,6.0,0.0
3,65.0,0,1020,5.0,0.0
4,65.0,512,1020,0.0,0.0
5,53.0,0,1020,3.0,0.0
6,60.0,0,15,1.0,0.0
7,55.0,0,1020,2.0,0.0
8,52.0,0,1020,4.0,0.0
9,72.0,0,1020,5.0,0.0
10,67.0,512,510,6.0,0.0
11,72.0,512,1020,0.0,0.0
12,52.0,0,1020,3.0,0.0
13,60.0,0,510,6.0,0.0
14,57.0,0,1020,2.0,0.0
15,60.0,0,15,1.0,0.0
16,53.0,0,1020,4.0,0.0
17,69.0,0,1020,0.0,0.0
18,69.0,512,1020,5.0,0.0
19,53.0,0,1020,3.0,0.0
20,65.0,512,510,6.0,0.0
21,53.0,0,510,6.0,0.0
22,65.0,512,1020,5.0,0.0
23,50.0,0,1020,3.0,0.0
24,65.0,0,1020,0.0,0.0
25,57.0,0,1020,2.0,0.0
26,62.0,0,1020,1.0,0.0
27,57.0,512,510,6.0,0.0
28,50.0,0,1020,4.0,0.0
29,53.0,0,510,6.0,0.0
30,45.0,0,1020,4.0,0.0
31,57.0,0,1020,2.0,0.0
32,72.0,256,1020,0.0,0.0
33,72.0,0,1020,5.0,0.0
34,45.0,0,1020,3.0,0.0
35,57.0,512,510,6.0,0.0
36,65.0,0,1020,1.0,0.0
37,60.0,0,510,6.0,0.0
38,65.0,256,270,6.0,0.0
39,46.0,256,510,4.0,0.0
40,74.0,0,1020,0.0,0.0
41,53.0,0,1020,2.0,0.0
42,46.0,0,510,3.0,0.0
43,70.0,0,270,6.0,0.0
44,69.0,256,270,6.0,0.0
45,48.0,0,510,4.0,0.0
46,48.0,0,510,3.0,0.0
47,67.0,0,270,6.0,0.0
48,50.0,0,510,3.0,0.0
49,74.0,0,15,5.0,0.0
50,50.0,512,510,4.0,0.0
51,74.0,0,1020,0.0,0.0
52,65.0,0,1020,2.0,0.0
53,65.0,0,510,6.0,0.0
54,70.0,512,15,1.0,0.0
55,52.0,0,510,3.0,0.0
56,52.0,0,510,4.0,0.0
57,67.0,1024,510,6.0,0.0
58,72.0,0,1020,0.0,0.0
59,53.0,1024,1020,3.0,0.0
60,65.0,0,1020,2.0,0.0
61,72.0,512,1020,0.0,0.0
62,69.0,0,15,6.0,0.0
63,72.0,0,15,5.0,0.0
64,69.0,0,15,1.0,0.0
65,65.0,0,1020,2.0,0.0
66,53.0,0,15,4.0,0.0
67,53.0,0,1020,3.0,0.0
68,65.0,256,510,6.0,0.0
69,65.0,0,1020,2.0,0.0
70,70.0,512,1020,1.0,0.0
71,74.0,0,1020,5.0,0.0
72,58.0,0,1020,4.0,0.0
73,58.0,0,1020,3.0,0.0
74,74.0,0,1020,0.0,0.0
75,67.0,256,270,6.0,0.0
76,69.0,0,270,6.0,0.0
77,67.0,0,1020,2.0,0.0
78,57.0,0,510,3.0,0.0
79,70.0,256,510,6.0,0.0
80,76.0,0,1020,0.0,0.0
81,57.0,0,510,4.0,0.0
82,76.0,0,1020,5.0,0.0
83,70.0,0,1020,1.0,0.0
84,55.0,0,510,3.0,0.0
85,55.0,512,510,4.0,0.0
86,72.0,256,270,6.0,0.0
87,70.0,0,270,6.0,0.0
88,57.0,0,510,4.0,0.0
89,72.0,512,510,1.0,0.0
