,note,step,duration,channel,velocity
0,41.0,120,240,0.0,64.0
1,72.0,60,60,0.0,64.0
2,69.0,0,60,0.0,64.0
3,74.0,110,120,0.0,64.0
4,53.0,0,480,0.0,64.0
5,72.0,30,110,0.0,64.0
6,72.0,20,20,0.0,64.0
7,70.0,20,20,0.0,64.0
8,72.0,60,20,0.0,64.0
9,70.0,60,60,0.0,64.0
10,69.0,60,60,0.0,64.0
11,67.0,60,60,0.0,64.0
12,52.0,60,240,0.0,64.0
13,72.0,60,60,0.0,64.0
14,74.0,60,60,0.0,64.0
15,70.0,60,60,0.0,64.0
16,72.0,0,60,0.0,64.0
17,69.0,60,60,0.0,64.0
18,53.0,0,120,0.0,64.0
19,70.0,60,60,0.0,64.0
20,57.0,60,60,0.0,64.0
21,72.0,0,600,0.0,64.0
22,77.0,0,60,0.0,64.0
23,76.0,120,60,0.0,64.0
24,55.0,0,60,0.0,64.0
25,53.0,111,120,0.0,64.0
26,81.0,0,120,0.0,64.0
27,79.0,9,111,0.0,64.0
28,52.0,20,120,0.0,64.0
29,79.0,20,20,0.0,64.0
30,50.0,60,120,0.0,64.0
31,77.0,20,20,0.0,64.0
32,79.0,60,20,0.0,64.0
33,77.0,0,60,0.0,64.0
34,76.0,60,60,0.0,64.0
35,55.0,0,60,0.0,64.0
36,74.0,60,60,0.0,64.0
37,53.0,0,60,0.0,64.0
38,79.0,60,60,0.0,64.0
39,71.0,0,240,0.0,64.0
40,55.0,60,120,0.0,64.0
41,81.0,0,60,0.0,64.0
42,77.0,60,60,0.0,64.0
43,43.0,60,120,0.0,64.0
44,79.0,0,60,0.0,64.0
45,48.0,0,120,0.0,64.0
46,76.0,60,60,0.0,64.0
47,72.0,0,120,0.0,64.0
48,77.0,60,60,0.0,64.0
49,70.0,60,120,0.0,64.0
50,60.0,0,60,0.0,64.0
51,74.0,60,60,0.0,64.0
52,57.0,0,60,0.0,64.0
53,76.0,0,60,0.0,64.0
54,62.0,0,120,0.0,64.0
55,77.0,60,480,0.0,64.0
56,69.0,60,60,0.0,64.0
57,70.0,60,60,0.0,64.0
58,72.0,60,60,0.0,64.0
59,60.0,0,120,0.0,64.0
60,74.0,20,60,0.0,64.0
61,60.0,20,20,0.0,64.0
62,67.0,120,480,0.0,64.0
63,58.0,20,20,0.0,64.0
64,60.0,60,20,0.0,64.0
65,58.0,60,60,0.0,64.0
66,57.0,60,60,0.0,64.0
67,55.0,0,60,0.0,64.0
68,76.0,0,240,0.0,64.0
69,60.0,60,60,0.0,64.0
70,62.0,60,60,0.0,64.0
71,58.0,60,60,0.0,64.0
72,60.0,0,60,0.0,64.0
73,77.0,0,120,0.0,64.0
74,65.0,0,240,0.0,64.0
75,57.0,60,120,0.0,64.0
76,72.0,60,60,0.0,64.0
77,55.0,60,120,0.0,64.0
78,69.0,0,60,0.0,64.0
79,53.0,60,60,0.0,64.0
80,74.0,0,240,0.0,64.0
81,52.0,60,60,0.0,64.0
82,53.0,60,60,0.0,64.0
83,69.0,0,60,0.0,64.0
84,65.0,120,60,0.0,64.0
85,50.0,0,60,0.0,64.0
86,55.0,60,120,0.0,64.0
87,74.0,60,60,0.0,64.0
88,43.0,60,120,0.0,64.0
89,71.0,0,60,0.0,64.0
90,76.0,0,240,0.0,64.0
91,55.0,60,60,0.0,64.0
92,53.0,60,60,0.0,64.0
93,71.0,60,60,0.0,64.0
94,55.0,0,60,0.0,64.0
95,52.0,120,60,0.0,64.0
96,67.0,0,60,0.0,64.0
97,57.0,60,120,0.0,64.0
98,45.0,0,120,0.0,64.0
99,76.0,60,60,0.0,64.0
100,72.0,0,60,0.0,64.0
101,77.0,70,290,0.0,64.0
102,57.0,60,60,0.0,64.0
103,55.0,60,60,0.0,64.0
104,72.0,0,60,0.0,64.0
105,57.0,60,60,0.0,64.0
106,53.0,0,60,0.0,64.0
107,69.0,50,60,0.0,64.0
108,74.0,60,300,0.0,64.0
109,59.0,60,120,0.0,64.0
110,76.0,0,60,0.0,64.0
111,77.0,0,60,0.0,64.0
112,55.0,60,60,0.0,64.0
113,79.0,0,60,0.0,64.0
114,52.0,60,60,0.0,64.0
115,76.0,50,180,0.0,64.0
116,57.0,0,120,0.0,64.0
117,71.0,60,60,0.0,64.0
118,72.0,10,410,0.0,64.0
119,55.0,10,110,0.0,64.0
120,76.0,20,60,0.0,64.0
121,81.0,2,60,0.0,64.0
122,55.0,22,20,0.0,64.0
123,53.0,18,22,0.0,64.0
124,55.0,58,22,0.0,64.0
125,77.0,6,60,0.0,64.0
126,53.0,54,66,0.0,64.0
127,79.0,60,60,0.0,64.0
128,52.0,0,60,0.0,64.0
129,81.0,50,60,0.0,64.0
130,50.0,0,60,0.0,64.0
131,55.0,60,60,0.0,64.0
132,57.0,0,60,0.0,64.0
133,69.0,60,60,0.0,64.0
134,53.0,60,60,0.0,64.0
135,71.0,0,60,0.0,64.0
136,74.0,60,60,0.0,64.0
137,55.0,0,60,0.0,64.0
138,52.0,0,120,0.0,64.0
139,67.0,60,60,0.0,64.0
140,65.0,0,60,0.0,64.0
141,67.0,0,60,0.0,64.0
142,72.0,0,60,0.0,64.0
143,57.0,60,60,0.0,64.0
144,64.0,0,60,0.0,64.0
145,55.0,0,60,0.0,64.0
146,71.0,120,60,0.0,64.0
147,72.0,0,480,0.0,64.0
148,69.0,0,120,0.0,64.0
149,53.0,110,120,0.0,64.0
150,67.0,10,110,0.0,64.0
151,52.0,20,120,0.0,64.0
152,67.0,20,20,0.0,64.0
153,50.0,60,120,0.0,64.0
154,65.0,20,20,0.0,64.0
155,67.0,60,20,0.0,64.0
156,65.0,0,60,0.0,64.0
157,64.0,60,60,0.0,64.0
158,55.0,0,60,0.0,64.0
