,note,step,duration,channel,velocity
0,45.0,60,60,1.0,0.0
1,49.0,60,60,1.0,0.0
2,52.0,60,60,1.0,0.0
3,57.0,60,60,1.0,0.0
4,56.0,60,60,1.0,0.0
5,54.0,60,60,1.0,0.0
6,52.0,60,60,1.0,0.0
7,56.0,60,60,1.0,0.0
8,59.0,60,60,1.0,0.0
9,62.0,60,60,1.0,0.0
10,61.0,60,60,1.0,0.0
11,59.0,60,60,1.0,0.0
12,57.0,60,60,1.0,0.0
13,61.0,60,60,1.0,0.0
14,64.0,60,60,1.0,0.0
15,69.0,60,60,1.0,0.0
16,68.0,60,60,1.0,0.0
17,66.0,60,60,1.0,0.0
18,64.0,60,60,1.0,0.0
19,68.0,60,60,1.0,0.0
20,71.0,60,60,1.0,0.0
21,74.0,60,60,1.0,0.0
22,73.0,60,60,1.0,0.0
23,71.0,60,60,1.0,0.0
24,69.0,60,60,1.0,0.0
25,71.0,60,60,1.0,0.0
26,73.0,60,60,1.0,0.0
27,74.0,60,60,1.0,0.0
28,76.0,60,60,1.0,0.0
29,78.0,60,60,1.0,0.0
30,80.0,60,60,1.0,0.0
31,81.0,60,60,1.0,0.0
32,83.0,60,60,1.0,0.0
33,80.0,60,60,1.0,0.0
34,76.0,60,60,1.0,0.0
35,80.0,108,60,1.0,0.0
36,81.0,96,810,0.0,0.0
37,81.0,72,90,1.0,0.0
38,80.0,60,60,1.0,0.0
39,78.0,60,60,1.0,0.0
40,76.0,60,60,1.0,0.0
41,76.0,24,660,0.0,0.0
42,74.0,120,60,1.0,0.0
43,73.0,0,540,0.0,0.0
44,71.0,60,60,1.0,0.0
45,69.0,60,60,1.0,0.0
46,68.0,69,60,1.0,0.0
47,69.0,51,60,1.0,0.0
48,64.0,108,60,1.0,0.0
49,57.0,0,180,1.0,0.0
50,64.0,0,180,1.0,0.0
51,69.0,0,180,0.0,0.0
52,80.0,120,90,0.0,0.0
53,78.0,120,90,0.0,0.0
54,76.0,120,90,0.0,0.0
55,78.0,120,90,0.0,0.0
56,74.0,120,90,0.0,0.0
57,73.0,24,540,0.0,0.0
58,69.0,120,90,0.0,0.0
59,68.0,120,90,0.0,0.0
60,66.0,120,90,0.0,0.0
61,64.0,96,90,0.0,0.0
62,66.0,120,90,0.0,0.0
63,74.0,0,90,0.0,0.0
64,62.0,120,90,0.0,0.0
65,76.0,120,90,0.0,0.0
66,61.0,24,540,0.0,0.0
67,74.0,120,90,0.0,0.0
68,73.0,120,90,0.0,0.0
69,71.0,96,90,0.0,0.0
70,73.0,120,90,0.0,0.0
71,69.0,120,90,0.0,0.0
72,62.0,0,90,0.0,0.0
73,68.0,24,540,0.0,0.0
74,64.0,24,900,0.0,0.0
75,64.0,120,90,1.0,0.0
76,62.0,120,90,1.0,0.0
77,61.0,120,90,1.0,0.0
78,59.0,96,90,1.0,0.0
79,61.0,120,90,1.0,0.0
80,57.0,0,90,1.0,0.0
81,69.0,120,90,0.0,0.0
82,56.0,24,540,1.0,0.0
83,71.0,96,90,0.0,0.0
84,73.0,120,90,0.0,0.0
85,59.0,120,90,0.0,0.0
86,74.0,0,90,0.0,0.0
87,73.0,96,90,0.0,0.0
88,64.0,24,540,0.0,0.0
89,74.0,120,90,0.0,0.0
90,71.0,120,90,0.0,0.0
91,52.0,0,90,1.0,0.0
92,57.0,96,90,1.0,0.0
93,73.0,24,540,0.0,0.0
94,69.0,0,2010,0.0,0.0
95,56.0,120,90,1.0,0.0
96,54.0,120,90,1.0,0.0
97,52.0,96,90,1.0,0.0
98,54.0,120,90,1.0,0.0
99,74.0,0,90,0.0,0.0
100,50.0,120,90,1.0,0.0
101,76.0,120,90,0.0,0.0
102,49.0,24,540,1.0,0.0
103,78.0,120,90,0.0,0.0
104,52.0,0,90,1.0,0.0
105,79.0,120,90,0.0,0.0
106,78.0,96,90,0.0,0.0
107,57.0,96,450,1.0,0.0
108,79.0,120,90,0.0,0.0
109,76.0,0,90,0.0,0.0
110,45.0,120,90,1.0,0.0
111,78.0,24,180,0.0,0.0
112,50.0,48,300,1.0,0.0
113,57.0,72,90,1.0,0.0
114,55.0,120,90,1.0,0.0
115,76.0,0,90,0.0,0.0
