,note,step,duration,channel,velocity
0,71.0,120,120,0.0,0.0
1,66.0,120,120,0.0,0.0
2,69.0,120,120,0.0,0.0
3,67.0,120,120,0.0,0.0
4,69.0,120,120,0.0,0.0
5,71.0,120,120,0.0,0.0
6,66.0,120,120,0.0,0.0
7,67.0,120,120,0.0,0.0
8,63.0,120,120,0.0,0.0
9,64.0,120,120,0.0,0.0
10,59.0,120,120,0.0,0.0
11,60.0,120,120,0.0,0.0
12,62.0,120,120,0.0,0.0
13,64.0,120,120,0.0,0.0
14,59.0,120,120,0.0,0.0
15,60.0,120,120,0.0,0.0
16,56.0,120,120,0.0,0.0
17,57.0,120,120,0.0,0.0
18,52.0,120,120,0.0,0.0
19,54.0,120,120,0.0,0.0
20,55.0,120,120,0.0,0.0
21,57.0,120,120,0.0,0.0
22,52.0,120,120,0.0,0.0
23,54.0,120,120,0.0,0.0
24,49.0,120,120,0.0,0.0
25,51.0,120,120,0.0,0.0
26,52.0,120,120,0.0,0.0
27,51.0,120,120,0.0,0.0
28,45.0,120,120,0.0,0.0
29,47.0,120,120,0.0,0.0
30,42.0,120,120,0.0,0.0
31,43.0,120,120,0.0,0.0
32,45.0,120,120,0.0,0.0
33,47.0,120,120,0.0,0.0
34,42.0,120,120,0.0,0.0
35,43.0,120,120,0.0,0.0
36,47.0,120,120,0.0,0.0
37,52.0,120,120,0.0,0.0
38,51.0,120,120,0.0,0.0
39,52.0,120,120,0.0,0.0
40,43.0,120,120,0.0,0.0
41,42.0,120,120,0.0,0.0
42,40.0,120,120,0.0,0.0
43,39.0,120,120,0.0,0.0
44,42.0,120,120,0.0,0.0
45,47.0,120,120,0.0,0.0
46,45.0,120,120,0.0,0.0
47,43.0,120,120,0.0,0.0
48,59.0,120,120,0.0,0.0
49,54.0,120,120,0.0,0.0
50,57.0,120,120,0.0,0.0
51,55.0,120,120,0.0,0.0
52,57.0,120,120,0.0,0.0
53,59.0,120,120,0.0,0.0
54,54.0,120,120,0.0,0.0
55,55.0,120,120,0.0,0.0
56,51.0,120,120,0.0,0.0
57,52.0,120,120,0.0,0.0
58,45.0,40,120,0.0,0.0
59,47.0,40,40,0.0,0.0
60,45.0,40,40,0.0,0.0
61,47.0,40,40,0.0,0.0
62,45.0,40,40,0.0,0.0
63,47.0,40,40,0.0,0.0
64,45.0,40,40,0.0,0.0
65,47.0,40,40,0.0,0.0
66,45.0,40,40,0.0,0.0
67,47.0,120,40,0.0,0.0
68,47.0,240,120,0.0,0.0
69,40.0,360,240,0.0,0.0
70,60.0,60,60,0.0,0.0
71,59.0,60,60,0.0,0.0
72,57.0,60,60,0.0,0.0
73,55.0,60,60,0.0,0.0
74,54.0,60,60,0.0,0.0
75,52.0,20,60,0.0,0.0
76,54.0,40,40,0.0,0.0
77,51.0,60,40,0.0,0.0
78,40.0,0,480,0.0,0.0
79,43.0,0,480,0.0,0.0
80,47.0,240,480,0.0,0.0
81,52.0,60,60,0.0,0.0
82,51.0,360,60,0.0,0.0
83,52.0,0,360,0.0,0.0
84,67.0,40,120,0.0,0.0
85,66.0,40,40,0.0,0.0
86,67.0,40,40,0.0,0.0
87,66.0,60,40,0.0,0.0
88,67.0,60,60,0.0,0.0
89,69.0,360,60,0.0,0.0
90,63.0,120,360,0.0,0.0
91,63.0,0,120,0.0,0.0
92,54.0,0,120,0.0,0.0
93,57.0,360,120,0.0,0.0
94,54.0,120,360,0.0,0.0
95,63.0,0,360,0.0,0.0
96,57.0,0,360,0.0,0.0
97,63.0,0,120,0.0,0.0
98,54.0,480,120,0.0,0.0
99,57.0,0,120,0.0,0.0
100,40.0,0,480,0.0,0.0
101,47.0,0,480,0.0,0.0
102,52.0,0,480,0.0,0.0
103,55.0,240,480,0.0,0.0
104,59.0,0,480,0.0,0.0
105,64.0,0,480,0.0,0.0
106,66.0,120,120,0.0,0.0
107,64.0,120,120,0.0,0.0
108,62.0,120,120,0.0,0.0
109,61.0,120,120,0.0,0.0
110,62.0,120,120,0.0,0.0
111,64.0,120,120,0.0,0.0
112,62.0,120,120,0.0,0.0
113,61.0,120,120,0.0,0.0
114,59.0,120,120,0.0,0.0
115,58.0,120,120,0.0,0.0
116,59.0,360,120,0.0,0.0
117,58.0,120,360,0.0,0.0
118,40.0,0,120,0.0,0.0
119,49.0,0,120,0.0,0.0
120,54.0,360,120,0.0,0.0
121,58.0,0,120,0.0,0.0
122,40.0,0,360,0.0,0.0
123,58.0,0,360,0.0,0.0
124,49.0,0,360,0.0,0.0
125,54.0,120,360,0.0,0.0
126,40.0,0,120,0.0,0.0
127,49.0,0,120,0.0,0.0
128,54.0,480,120,0.0,0.0
129,58.0,0,120,0.0,0.0
130,47.0,0,480,0.0,0.0
131,50.0,0,480,0.0,0.0
132,54.0,240,480,0.0,0.0
133,59.0,0,480,0.0,0.0
134,38.0,0,480,0.0,0.0
135,66.0,120,120,0.0,0.0
136,61.0,120,120,0.0,0.0
137,64.0,120,120,0.0,0.0
138,62.0,120,120,0.0,0.0
139,64.0,120,120,0.0,0.0
140,66.0,120,120,0.0,0.0
141,61.0,120,120,0.0,0.0
142,62.0,120,120,0.0,0.0
143,58.0,120,120,0.0,0.0
144,59.0,60,120,0.0,0.0
145,61.0,60,60,0.0,0.0
146,62.0,360,60,0.0,0.0
147,56.0,120,360,0.0,0.0
148,40.0,0,120,0.0,0.0
149,47.0,0,120,0.0,0.0
150,52.0,360,120,0.0,0.0
151,56.0,0,120,0.0,0.0
152,40.0,0,360,0.0,0.0
153,47.0,0,360,0.0,0.0
154,50.0,120,360,0.0,0.0
155,56.0,0,360,0.0,0.0
156,47.0,0,120,0.0,0.0
157,50.0,480,120,0.0,0.0
158,56.0,0,120,0.0,0.0
159,40.0,0,120,0.0,0.0
160,52.0,60,480,0.0,0.0
161,36.0,0,480,0.0,0.0
162,57.0,0,480,0.0,0.0
163,48.0,0,480,0.0,0.0
164,69.0,60,60,0.0,0.0
165,67.0,60,60,0.0,0.0
166,65.0,60,60,0.0,0.0
167,64.0,60,60,0.0,0.0
168,62.0,60,60,0.0,0.0
169,60.0,60,60,0.0,0.0
170,59.0,60,60,0.0,0.0
171,57.0,360,60,0.0,0.0
172,62.0,120,360,0.0,0.0
173,44.0,360,120,0.0,0.0
174,52.0,0,120,0.0,0.0
175,59.0,0,120,0.0,0.0
176,62.0,0,120,0.0,0.0
177,62.0,0,360,0.0,0.0
178,59.0,0,360,0.0,0.0
179,52.0,120,360,0.0,0.0
180,44.0,0,360,0.0,0.0
181,44.0,0,120,0.0,0.0
182,52.0,0,120,0.0,0.0
183,59.0,40,120,0.0,0.0
184,62.0,0,120,0.0,0.0
185,61.0,40,40,0.0,0.0
186,45.0,0,480,0.0,0.0
187,52.0,0,480,0.0,0.0
188,57.0,0,480,0.0,0.0
189,62.0,40,40,0.0,0.0
190,61.0,40,40,0.0,0.0
191,62.0,80,40,0.0,0.0
192,61.0,40,40,0.0,0.0
193,62.0,200,40,0.0,0.0
194,61.0,60,180,0.0,0.0
195,52.0,60,60,0.0,0.0
196,54.0,60,60,0.0,0.0
197,56.0,60,60,0.0,0.0
198,57.0,60,60,0.0,0.0
199,59.0,60,60,0.0,0.0
200,60.0,60,60,0.0,0.0
201,62.0,20,60,0.0,0.0
202,64.0,40,40,0.0,0.0
203,59.0,360,40,0.0,0.0
204,60.0,0,360,0.0,0.0
205,45.0,120,360,0.0,0.0
206,52.0,0,360,0.0,0.0
207,57.0,0,360,0.0,0.0
208,45.0,0,120,0.0,0.0
209,52.0,0,120,0.0,0.0
210,57.0,360,120,0.0,0.0
211,60.0,0,120,0.0,0.0
212,45.0,120,360,0.0,0.0
213,57.0,0,360,0.0,0.0
214,60.0,0,360,0.0,0.0
215,65.0,0,360,0.0,0.0
216,55.0,480,120,0.0,0.0
217,60.0,0,120,0.0,0.0
218,64.0,0,120,0.0,0.0
219,45.0,0,120,0.0,0.0
220,59.0,240,480,0.0,0.0
221,63.0,0,480,0.0,0.0
