,note,step,duration,channel,velocity
0,60.0,84,870,1.0,0.0
1,60.0,0,870,10.0,0.0
2,60.0,0,870,5.0,0.0
3,48.0,0,870,10.0,0.0
4,60.0,0,120,2.0,0.0
5,60.0,120,120,7.0,0.0
6,59.0,120,120,7.0,0.0
7,59.0,0,120,2.0,0.0
8,60.0,0,120,7.0,0.0
9,60.0,120,120,2.0,0.0
10,62.0,0,120,7.0,0.0
11,62.0,120,120,2.0,0.0
12,64.0,0,120,7.0,0.0
13,64.0,36,120,2.0,0.0
14,65.0,120,120,7.0,0.0
15,65.0,0,120,2.0,0.0
16,47.0,0,870,10.0,0.0
17,67.0,0,120,2.0,0.0
18,67.0,120,120,7.0,0.0
19,59.0,72,870,10.0,0.0
20,59.0,0,870,1.0,0.0
21,59.0,0,870,5.0,0.0
22,66.0,0,120,7.0,0.0
23,66.0,120,120,2.0,0.0
24,67.0,108,120,2.0,0.0
25,67.0,0,120,7.0,0.0
26,62.0,0,210,8.0,0.0
27,62.0,12,210,4.0,0.0
28,69.0,0,120,7.0,0.0
29,69.0,120,120,2.0,0.0
30,71.0,108,120,7.0,0.0
31,71.0,0,120,2.0,0.0
32,67.0,0,210,8.0,0.0
33,67.0,12,210,4.0,0.0
34,69.0,0,120,7.0,0.0
35,69.0,120,120,2.0,0.0
36,71.0,36,120,2.0,0.0
37,67.0,0,210,8.0,0.0
38,71.0,0,120,7.0,0.0
39,67.0,12,210,4.0,0.0
40,67.0,120,120,7.0,0.0
41,67.0,0,120,2.0,0.0
42,67.0,0,210,8.0,0.0
43,57.0,0,870,1.0,0.0
44,57.0,84,870,10.0,0.0
45,72.0,0,120,2.0,0.0
46,67.0,12,210,4.0,0.0
47,45.0,0,870,10.0,0.0
48,72.0,108,120,7.0,0.0
49,57.0,0,870,5.0,0.0
50,71.0,0,120,2.0,0.0
51,71.0,120,120,7.0,0.0
52,72.0,0,120,2.0,0.0
53,66.0,0,120,8.0,0.0
54,72.0,0,120,7.0,0.0
55,66.0,120,120,4.0,0.0
56,74.0,0,120,2.0,0.0
57,64.0,0,120,4.0,0.0
58,74.0,0,120,7.0,0.0
59,64.0,120,120,8.0,0.0
60,66.0,120,120,4.0,0.0
61,72.0,0,120,7.0,0.0
62,72.0,0,120,2.0,0.0
63,66.0,0,120,8.0,0.0
64,67.0,0,120,8.0,0.0
65,76.0,0,120,7.0,0.0
66,67.0,120,120,4.0,0.0
67,76.0,0,120,2.0,0.0
68,64.0,36,120,8.0,0.0
69,74.0,0,120,7.0,0.0
70,74.0,0,120,2.0,0.0
71,64.0,0,120,4.0,0.0
72,66.0,120,120,4.0,0.0
73,66.0,0,120,8.0,0.0
74,72.0,0,120,2.0,0.0
75,72.0,0,120,7.0,0.0
76,67.0,0,120,4.0,0.0
77,55.0,0,120,5.0,0.0
78,43.0,12,210,10.0,0.0
79,55.0,0,120,1.0,0.0
80,55.0,0,210,10.0,0.0
81,71.0,0,120,2.0,0.0
82,67.0,0,120,8.0,0.0
83,71.0,108,120,7.0,0.0
84,62.0,120,120,1.0,0.0
85,71.0,0,120,8.0,0.0
86,74.0,0,120,7.0,0.0
87,74.0,0,120,2.0,0.0
88,71.0,0,120,4.0,0.0
89,65.0,0,120,5.0,0.0
90,64.0,0,120,5.0,0.0
91,67.0,0,120,7.0,0.0
92,55.0,0,120,3.0,0.0
93,72.0,0,120,4.0,0.0
94,67.0,0,120,2.0,0.0
95,72.0,120,120,8.0,0.0
96,64.0,0,120,1.0,0.0
97,55.0,0,120,10.0,0.0
98,43.0,0,120,10.0,0.0
99,65.0,0,120,1.0,0.0
100,71.0,0,120,2.0,0.0
101,62.0,0,120,5.0,0.0
102,74.0,0,120,8.0,0.0
103,41.0,0,120,10.0,0.0
104,53.0,0,120,10.0,0.0
105,74.0,0,120,4.0,0.0
106,53.0,0,120,3.0,0.0
107,71.0,0,120,7.0,0.0
108,76.0,0,210,4.0,0.0
109,52.0,0,210,10.0,0.0
110,79.0,0,600,6.0,0.0
111,72.0,0,120,7.0,0.0
112,67.0,0,120,1.0,0.0
113,72.0,108,120,2.0,0.0
114,52.0,0,210,3.0,0.0
115,40.0,0,210,10.0,0.0
116,76.0,0,210,8.0,0.0
117,60.0,0,690,5.0,0.0
118,79.0,108,600,0.0,0.0
119,76.0,120,120,7.0,0.0
120,76.0,0,120,2.0,0.0
121,72.0,0,120,1.0,0.0
122,76.0,0,210,4.0,0.0
123,48.0,0,210,3.0,0.0
124,64.0,108,120,1.0,0.0
125,67.0,0,120,2.0,0.0
126,76.0,0,210,8.0,0.0
127,67.0,0,120,7.0,0.0
128,48.0,0,210,10.0,0.0
129,36.0,0,210,10.0,0.0
130,71.0,120,120,7.0,0.0
131,67.0,0,120,1.0,0.0
132,71.0,0,120,2.0,0.0
133,53.0,0,210,10.0,0.0
134,76.0,0,210,4.0,0.0
135,69.0,0,120,7.0,0.0
136,53.0,0,210,3.0,0.0
137,65.0,0,600,1.0,0.0
138,76.0,0,210,8.0,0.0
139,41.0,12,210,10.0,0.0
140,69.0,0,120,2.0,0.0
141,72.0,0,120,2.0,0.0
142,72.0,0,120,0.0,0.0
143,72.0,120,120,6.0,0.0
144,72.0,0,120,7.0,0.0
145,69.0,0,120,0.0,0.0
146,74.0,0,120,4.0,0.0
147,74.0,0,120,8.0,0.0
148,52.0,0,210,3.0,0.0
149,40.0,0,210,10.0,0.0
150,69.0,0,120,6.0,0.0
151,62.0,108,120,5.0,0.0
152,52.0,12,210,10.0,0.0
153,65.0,0,120,2.0,0.0
154,65.0,0,120,7.0,0.0
155,72.0,0,120,8.0,0.0
156,72.0,120,120,0.0,0.0
157,64.0,0,120,5.0,0.0
158,72.0,0,120,6.0,0.0
159,69.0,0,120,2.0,0.0
160,72.0,0,120,4.0,0.0
161,69.0,0,120,7.0,0.0
162,74.0,0,210,8.0,0.0
163,50.0,12,210,10.0,0.0
164,65.0,0,210,5.0,0.0
165,74.0,0,210,4.0,0.0
166,50.0,0,210,3.0,0.0
167,71.0,0,120,7.0,0.0
168,77.0,0,600,6.0,0.0
169,71.0,108,120,2.0,0.0
170,38.0,0,210,10.0,0.0
171,77.0,108,600,0.0,0.0
172,74.0,0,120,7.0,0.0
173,71.0,120,120,1.0,0.0
174,74.0,0,120,2.0,0.0
175,35.0,0,210,10.0,0.0
176,74.0,12,210,8.0,0.0
177,74.0,0,210,4.0,0.0
178,67.0,0,210,5.0,0.0
179,62.0,0,120,1.0,0.0
180,65.0,0,120,7.0,0.0
181,65.0,108,120,2.0,0.0
182,47.0,0,210,10.0,0.0
183,47.0,0,210,3.0,0.0
184,65.0,0,120,1.0,0.0
185,69.0,0,120,7.0,0.0
186,69.0,120,120,2.0,0.0
187,67.0,0,120,2.0,0.0
188,74.0,0,210,8.0,0.0
189,64.0,0,600,1.0,0.0
190,59.0,0,210,5.0,0.0
191,67.0,0,120,7.0,0.0
192,74.0,12,210,4.0,0.0
193,71.0,120,120,6.0,0.0
194,71.0,0,120,2.0,0.0
195,71.0,0,120,7.0,0.0
196,71.0,0,120,0.0,0.0
197,64.0,0,120,7.0,0.0
198,52.0,0,120,3.0,0.0
199,60.0,0,120,5.0,0.0
200,64.0,0,120,2.0,0.0
201,52.0,0,120,10.0,0.0
202,72.0,0,120,8.0,0.0
203,72.0,0,120,4.0,0.0
204,67.0,120,120,0.0,0.0
205,67.0,0,120,6.0,0.0
206,40.0,0,120,10.0,0.0
207,62.0,0,120,5.0,0.0
208,71.0,120,120,0.0,0.0
209,50.0,0,120,3.0,0.0
210,38.0,0,120,10.0,0.0
211,50.0,0,120,10.0,0.0
212,67.0,0,120,7.0,0.0
213,71.0,0,120,4.0,0.0
214,67.0,0,120,2.0,0.0
215,71.0,0,120,8.0,0.0
216,71.0,0,120,6.0,0.0
217,48.0,0,210,10.0,0.0
218,76.0,0,600,0.0,0.0
219,72.0,0,690,4.0,0.0
220,76.0,0,600,6.0,0.0
221,69.0,108,120,2.0,0.0
222,64.0,0,210,5.0,0.0
223,72.0,0,690,8.0,0.0
224,36.0,0,210,10.0,0.0
225,69.0,0,120,7.0,0.0
226,48.0,12,210,3.0,0.0
227,69.0,0,120,1.0,0.0
228,72.0,120,120,7.0,0.0
229,72.0,0,120,2.0,0.0
230,33.0,12,210,10.0,0.0
231,60.0,0,120,1.0,0.0
232,64.0,0,120,2.0,0.0
233,64.0,108,120,7.0,0.0
234,45.0,0,210,10.0,0.0
235,69.0,0,210,5.0,0.0
236,45.0,0,210,3.0,0.0
237,67.0,120,120,7.0,0.0
238,67.0,0,120,2.0,0.0
239,64.0,0,120,1.0,0.0
240,50.0,0,210,10.0,0.0
241,62.0,0,600,1.0,0.0
242,65.0,0,120,7.0,0.0
243,65.0,108,120,2.0,0.0
244,57.0,12,210,5.0,0.0
245,50.0,0,210,3.0,0.0
246,38.0,0,210,10.0,0.0
247,69.0,120,120,0.0,0.0
248,69.0,0,120,2.0,0.0
249,69.0,0,120,7.0,0.0
250,69.0,0,120,6.0,0.0
251,65.0,0,120,6.0,0.0
252,62.0,0,120,2.0,0.0
253,65.0,108,120,0.0,0.0
254,48.0,0,210,10.0,0.0
255,71.0,0,120,8.0,0.0
256,48.0,0,210,3.0,0.0
257,59.0,0,120,5.0,0.0
258,71.0,0,120,4.0,0.0
259,36.0,12,210,10.0,0.0
260,62.0,0,120,7.0,0.0
261,65.0,0,120,7.0,0.0
262,65.0,0,120,2.0,0.0
263,69.0,120,120,0.0,0.0
264,60.0,0,120,5.0,0.0
265,69.0,0,120,6.0,0.0
266,69.0,0,120,4.0,0.0
267,69.0,0,120,8.0,0.0
268,47.0,12,210,10.0,0.0
269,35.0,0,210,10.0,0.0
270,71.0,108,120,4.0,0.0
271,74.0,0,600,0.0,0.0
272,74.0,108,600,6.0,0.0
273,67.0,0,120,2.0,0.0
274,67.0,0,690,8.0,0.0
275,62.0,0,120,5.0,0.0
276,47.0,0,210,3.0,0.0
277,67.0,0,120,7.0,0.0
278,71.0,0,120,7.0,0.0
279,55.0,0,120,5.0,0.0
280,74.0,0,120,4.0,0.0
281,67.0,0,120,1.0,0.0
282,71.0,120,120,2.0,0.0
283,62.0,0,120,2.0,0.0
284,59.0,0,120,1.0,0.0
285,79.0,0,360,4.0,0.0
286,43.0,12,210,3.0,0.0
287,62.0,108,120,7.0,0.0
288,43.0,0,210,10.0,0.0
289,31.0,0,210,10.0,0.0
290,59.0,0,120,5.0,0.0
291,62.0,120,120,1.0,0.0
292,55.0,0,120,5.0,0.0
293,65.0,0,120,7.0,0.0
294,65.0,0,120,2.0,0.0
295,60.0,0,210,5.0,0.0
296,60.0,0,600,1.0,0.0
297,64.0,0,120,7.0,0.0
298,48.0,0,210,3.0,0.0
299,48.0,0,210,10.0,0.0
300,64.0,0,120,2.0,0.0
301,36.0,12,210,10.0,0.0
302,76.0,0,120,4.0,0.0
303,67.0,0,120,2.0,0.0
304,67.0,120,120,7.0,0.0
305,67.0,0,120,0.0,0.0
306,67.0,0,120,6.0,0.0
307,64.0,0,120,6.0,0.0
