,note,step,duration,channel,velocity
0,48.0,0,60,6.0,64.0
1,72.0,6,40,4.0,64.0
2,64.0,3,60,2.0,64.0
3,72.0,2,40,0.0,64.0
4,67.0,184,60,1.0,64.0
5,48.0,9,60,3.0,64.0
6,72.0,2,40,5.0,64.0
7,72.0,3,150,0.0,64.0
8,48.0,112,540,6.0,64.0
9,72.0,16,120,4.0,64.0
10,64.0,5,120,2.0,64.0
11,67.0,80,360,1.0,64.0
12,72.0,96,150,5.0,64.0
13,48.0,25,480,3.0,64.0
14,62.0,8,120,2.0,64.0
15,71.0,4,120,4.0,64.0
16,71.0,8,150,0.0,64.0
17,71.0,88,150,5.0,64.0
18,72.0,7,120,4.0,64.0
19,64.0,5,120,2.0,64.0
20,72.0,4,120,5.0,64.0
21,72.0,13,120,0.0,64.0
22,65.0,3,120,2.0,64.0
23,74.0,6,120,4.0,64.0
24,74.0,27,120,5.0,64.0
25,74.0,10,120,0.0,64.0
26,67.0,8,180,2.0,64.0
27,76.0,11,180,4.0,64.0
28,76.0,17,180,0.0,64.0
29,76.0,91,210,5.0,64.0
30,72.0,39,300,1.0,64.0
31,60.0,11,90,3.0,64.0
32,60.0,60,90,6.0,64.0
33,69.0,5,60,2.0,64.0
34,77.0,8,60,0.0,64.0
35,77.0,7,60,4.0,64.0
36,77.0,106,60,5.0,64.0
37,55.0,5,90,3.0,64.0
38,72.0,11,60,1.0,64.0
39,67.0,8,60,2.0,64.0
40,76.0,3,60,0.0,64.0
41,55.0,8,90,6.0,64.0
42,76.0,7,60,4.0,64.0
43,76.0,5,60,5.0,64.0
44,71.0,7,60,1.0,64.0
45,65.0,2,40,2.0,64.0
46,74.0,6,60,0.0,64.0
47,74.0,9,60,4.0,64.0
48,74.0,41,40,5.0,64.0
49,72.0,6,90,1.0,64.0
50,67.0,8,60,2.0,64.0
51,76.0,2,60,0.0,64.0
52,76.0,3,60,4.0,64.0
53,76.0,42,60,5.0,64.0
54,71.0,12,90,1.0,64.0
55,65.0,6,90,2.0,64.0
56,74.0,0,60,0.0,64.0
57,74.0,7,60,4.0,64.0
58,74.0,61,60,5.0,64.0
59,57.0,2,90,3.0,64.0
60,57.0,100,60,6.0,64.0
61,72.0,5,60,1.0,64.0
62,64.0,9,60,2.0,64.0
63,72.0,10,60,0.0,64.0
64,72.0,7,60,5.0,64.0
65,72.0,157,60,4.0,64.0
66,64.0,74,150,2.0,64.0
67,52.0,2,120,3.0,64.0
68,72.0,7,120,1.0,64.0
69,52.0,19,120,6.0,64.0
70,79.0,9,630,5.0,64.0
71,79.0,11,660,0.0,64.0
72,79.0,29,600,4.0,64.0
73,53.0,9,120,3.0,64.0
74,62.0,75,150,2.0,64.0
75,53.0,18,120,6.0,64.0
76,71.0,9,120,1.0,64.0
77,52.0,10,120,6.0,64.0
78,52.0,10,90,3.0,64.0
79,72.0,15,120,1.0,64.0
80,64.0,78,120,2.0,64.0
81,65.0,115,150,2.0,64.0
82,50.0,34,120,3.0,64.0
83,74.0,4,90,1.0,64.0
84,50.0,2,90,6.0,64.0
85,76.0,135,210,1.0,64.0
86,67.0,4,120,2.0,64.0
87,48.0,16,120,3.0,64.0
88,48.0,4,120,6.0,64.0
89,67.0,0,120,2.0,64.0
90,74.0,2,90,1.0,64.0
91,58.0,73,90,6.0,64.0
92,58.0,2,90,3.0,64.0
93,77.0,7,90,5.0,64.0
94,77.0,1,90,4.0,64.0
95,77.0,3,90,0.0,64.0
96,72.0,16,90,1.0,64.0
97,76.0,3,90,5.0,64.0
98,76.0,122,90,0.0,64.0
99,76.0,6,90,4.0,64.0
100,69.0,13,90,2.0,64.0
101,74.0,4,240,1.0,64.0
102,57.0,126,90,3.0,64.0
103,77.0,11,240,5.0,64.0
104,57.0,9,90,6.0,64.0
105,77.0,11,240,0.0,64.0
