,note,step,duration,channel,velocity
0,72.0,30,24,0.0,0.0
1,71.0,30,24,0.0,0.0
2,72.0,30,24,0.0,0.0
3,74.0,30,24,0.0,0.0
4,75.0,30,24,0.0,0.0
5,67.0,30,24,0.0,0.0
6,68.0,30,24,0.0,0.0
7,70.0,30,24,0.0,0.0
8,68.0,30,24,0.0,0.0
9,65.0,30,24,0.0,0.0
10,77.0,30,24,0.0,0.0
11,75.0,30,24,0.0,0.0
12,74.0,30,24,0.0,0.0
13,72.0,30,24,0.0,0.0
14,71.0,30,24,0.0,0.0
15,80.0,30,24,0.0,0.0
16,79.0,30,24,0.0,0.0
17,77.0,30,24,0.0,0.0
18,75.0,30,24,0.0,0.0
19,74.0,30,24,0.0,0.0
20,72.0,30,24,0.0,0.0
21,71.0,30,24,0.0,0.0
22,72.0,30,24,0.0,0.0
23,74.0,30,24,0.0,0.0
24,72.0,30,24,0.0,0.0
25,74.0,18,24,0.0,0.0
26,75.0,15,12,0.0,0.0
27,74.0,15,12,0.0,0.0
28,75.0,15,12,0.0,0.0
29,74.0,15,12,0.0,0.0
30,75.0,15,12,0.0,0.0
31,74.0,15,12,0.0,0.0
32,72.0,15,12,0.0,0.0
33,74.0,27,12,0.0,0.0
34,75.0,30,24,0.0,0.0
35,74.0,30,24,0.0,0.0
36,48.0,0,24,2.0,0.0
37,72.0,30,24,0.0,0.0
38,74.0,0,24,0.0,0.0
39,47.0,30,24,2.0,0.0
40,75.0,30,24,0.0,0.0
41,48.0,0,24,2.0,0.0
42,77.0,0,24,0.0,0.0
43,50.0,30,24,2.0,0.0
44,79.0,3,51,0.0,0.0
45,51.0,27,24,2.0,0.0
46,43.0,18,24,2.0,0.0
47,79.0,12,12,0.0,0.0
48,44.0,3,24,2.0,0.0
49,80.0,27,12,0.0,0.0
50,79.0,0,24,0.0,0.0
51,46.0,30,24,2.0,0.0
52,77.0,6,48,0.0,0.0
53,44.0,24,24,2.0,0.0
54,41.0,30,24,2.0,0.0
55,53.0,30,24,2.0,0.0
56,51.0,30,24,2.0,0.0
57,77.0,3,51,0.0,0.0
58,50.0,27,24,2.0,0.0
59,48.0,18,24,2.0,0.0
60,77.0,12,12,0.0,0.0
61,47.0,3,24,2.0,0.0
62,79.0,27,12,0.0,0.0
63,56.0,30,24,2.0,0.0
64,77.0,0,24,0.0,0.0
65,55.0,24,24,2.0,0.0
66,75.0,6,48,0.0,0.0
67,53.0,30,24,2.0,0.0
68,51.0,30,24,2.0,0.0
69,50.0,30,24,2.0,0.0
70,48.0,24,24,2.0,0.0
71,74.0,6,48,0.0,0.0
72,47.0,30,24,2.0,0.0
73,75.0,6,48,0.0,0.0
74,48.0,24,24,2.0,0.0
75,50.0,30,24,2.0,0.0
76,68.0,3,84,0.0,0.0
77,48.0,30,24,2.0,0.0
78,50.0,18,24,2.0,0.0
79,51.0,12,12,2.0,0.0
80,50.0,15,12,2.0,0.0
81,51.0,12,12,2.0,0.0
82,65.0,3,24,0.0,0.0
83,50.0,15,12,2.0,0.0
84,70.0,3,24,0.0,0.0
85,51.0,12,12,2.0,0.0
86,50.0,15,12,2.0,0.0
87,65.0,3,24,0.0,0.0
88,48.0,12,12,2.0,0.0
89,50.0,27,12,2.0,0.0
90,67.0,6,48,0.0,0.0
91,51.0,24,24,2.0,0.0
92,50.0,30,24,2.0,0.0
93,75.0,30,84,0.0,0.0
94,48.0,30,24,2.0,0.0
95,50.0,30,24,2.0,0.0
96,51.0,0,24,2.0,0.0
97,53.0,30,24,2.0,0.0
98,74.0,0,24,0.0,0.0
99,75.0,27,24,0.0,0.0
100,55.0,3,51,2.0,0.0
101,70.0,18,24,0.0,0.0
102,55.0,12,12,2.0,0.0
103,72.0,3,24,0.0,0.0
104,56.0,27,12,2.0,0.0
105,75.0,0,24,0.0,0.0
106,55.0,30,24,2.0,0.0
107,53.0,6,48,2.0,0.0
108,80.0,24,24,0.0,0.0
109,79.0,30,24,0.0,0.0
110,77.0,30,24,0.0,0.0
111,75.0,30,24,0.0,0.0
112,53.0,3,51,2.0,0.0
113,74.0,27,24,0.0,0.0
114,72.0,18,24,0.0,0.0
115,70.0,3,24,0.0,0.0
116,53.0,12,12,2.0,0.0
117,55.0,27,12,2.0,0.0
