,note,step,duration,channel,velocity
0,57.0,384,192,0.0,0.0
1,50.0,192,384,0.0,0.0
2,53.0,192,192,0.0,0.0
3,53.0,384,192,0.0,0.0
4,57.0,192,384,0.0,0.0
5,58.0,192,192,0.0,0.0
6,58.0,384,192,0.0,0.0
7,57.0,192,384,0.0,0.0
8,55.0,192,192,0.0,0.0
9,55.0,288,192,0.0,0.0
10,53.0,48,288,0.0,0.0
11,53.0,48,48,0.0,0.0
12,52.0,144,48,0.0,0.0
13,53.0,48,144,0.0,0.0
14,55.0,64,48,0.0,0.0
15,57.0,64,64,0.0,0.0
16,72.0,64,192,0.0,0.0
17,55.0,64,64,0.0,0.0
18,57.0,0,64,0.0,0.0
19,58.0,64,64,0.0,0.0
20,65.0,64,384,0.0,0.0
21,57.0,64,64,0.0,0.0
22,55.0,64,64,0.0,0.0
23,53.0,64,64,0.0,0.0
24,55.0,64,64,0.0,0.0
25,52.0,0,64,0.0,0.0
26,50.0,64,64,0.0,0.0
27,52.0,64,64,0.0,0.0
28,49.0,0,64,0.0,0.0
29,69.0,64,0,0.0,0.0
30,50.0,64,64,0.0,0.0
31,57.0,64,64,0.0,0.0
32,62.0,64,64,0.0,0.0
33,72.0,64,384,0.0,0.0
34,60.0,64,64,0.0,0.0
35,62.0,64,64,0.0,0.0
36,58.0,64,64,0.0,0.0
37,57.0,64,64,0.0,0.0
38,58.0,64,64,0.0,0.0
39,55.0,0,64,0.0,0.0
40,74.0,64,192,0.0,0.0
41,53.0,64,64,0.0,0.0
42,55.0,64,64,0.0,0.0
43,52.0,0,64,0.0,0.0
44,53.0,64,64,0.0,0.0
45,74.0,0,192,0.0,0.0
46,50.0,64,64,0.0,0.0
47,52.0,64,64,0.0,0.0
48,53.0,64,64,0.0,0.0
49,72.0,0,384,0.0,0.0
50,57.0,64,64,0.0,0.0
51,55.0,64,64,0.0,0.0
52,57.0,64,64,0.0,0.0
53,58.0,64,64,0.0,0.0
54,60.0,64,64,0.0,0.0
55,62.0,64,64,0.0,0.0
56,64.0,64,64,0.0,0.0
57,61.0,64,64,0.0,0.0
58,70.0,0,0,0.0,0.0
59,62.0,64,64,0.0,0.0
60,50.0,64,64,0.0,0.0
61,62.0,64,128,0.0,0.0
62,61.0,64,64,0.0,0.0
63,64.0,64,64,0.0,0.0
