,note,step,duration,channel,velocity
0,60.0,240,240,0.0,64.0
1,55.0,240,240,0.0,64.0
2,51.0,480,240,0.0,64.0
3,48.0,240,960,0.0,64.0
4,67.0,0,1440,0.0,64.0
5,72.0,240,240,0.0,64.0
6,74.0,240,240,0.0,64.0
7,75.0,0,240,0.0,64.0
8,77.0,0,240,0.0,64.0
9,50.0,240,240,0.0,64.0
10,79.0,240,240,0.0,64.0
11,51.0,0,240,0.0,64.0
12,72.0,0,15,0.0,64.0
13,68.0,0,480,0.0,64.0
14,80.0,240,240,0.0,64.0
15,53.0,240,960,0.0,64.0
16,77.0,0,240,0.0,64.0
17,72.0,240,15,0.0,64.0
18,68.0,240,240,0.0,64.0
19,74.0,0,240,0.0,64.0
20,74.0,0,15,0.0,64.0
21,72.0,240,480,0.0,64.0
22,55.0,0,240,0.0,64.0
23,71.0,240,240,0.0,64.0
24,53.0,0,240,0.0,64.0
25,51.0,240,240,0.0,64.0
26,79.0,0,15,0.0,64.0
27,67.0,0,15,0.0,64.0
28,50.0,0,240,0.0,64.0
29,72.0,0,15,0.0,64.0
30,79.0,240,15,0.0,64.0
31,48.0,240,240,0.0,64.0
32,75.0,0,240,0.0,64.0
33,79.0,0,240,0.0,64.0
34,79.0,0,15,0.0,64.0
35,69.0,0,480,0.0,64.0
36,74.0,240,480,0.0,64.0
37,79.0,0,480,0.0,64.0
38,50.0,240,240,0.0,64.0
39,57.0,0,240,0.0,64.0
40,60.0,0,240,0.0,64.0
41,69.0,240,240,0.0,64.0
42,74.0,0,240,0.0,64.0
43,78.0,0,240,0.0,64.0
44,74.0,0,480,0.0,64.0
45,59.0,240,240,0.0,64.0
46,57.0,0,240,0.0,64.0
47,55.0,0,240,0.0,64.0
48,77.0,0,15,0.0,64.0
49,71.0,240,240,0.0,64.0
50,67.0,240,15,0.0,64.0
51,77.0,0,15,0.0,64.0
52,48.0,240,240,0.0,64.0
53,67.0,0,480,0.0,64.0
54,77.0,0,480,0.0,64.0
55,55.0,0,240,0.0,64.0
56,58.0,0,240,0.0,64.0
57,72.0,240,15,0.0,64.0
58,67.0,0,240,0.0,64.0
59,76.0,0,240,0.0,64.0
60,57.0,240,240,0.0,64.0
61,72.0,0,480,0.0,64.0
62,55.0,0,240,0.0,64.0
63,75.0,240,15,0.0,64.0
64,53.0,0,240,0.0,64.0
65,65.0,0,15,0.0,64.0
66,69.0,240,240,0.0,64.0
67,46.0,0,480,0.0,64.0
68,75.0,0,15,0.0,64.0
69,70.0,0,240,0.0,64.0
70,65.0,0,240,0.0,64.0
71,74.0,0,240,0.0,64.0
72,70.0,240,240,0.0,64.0
73,65.0,0,240,0.0,64.0
74,51.0,0,240,0.0,64.0
75,63.0,240,240,0.0,64.0
76,67.0,0,240,0.0,64.0
77,73.0,0,15,0.0,64.0
78,44.0,0,480,0.0,64.0
79,63.0,240,240,0.0,64.0
80,72.0,0,240,0.0,64.0
81,68.0,0,15,0.0,64.0
82,63.0,0,240,0.0,64.0
83,56.0,0,240,0.0,64.0
84,71.0,0,240,0.0,64.0
85,65.0,0,15,0.0,64.0
86,62.0,240,15,0.0,64.0
87,71.0,240,240,0.0,64.0
88,50.0,0,480,0.0,64.0
89,69.0,0,240,0.0,64.0
90,53.0,0,240,0.0,64.0
91,71.0,240,15,0.0,64.0
92,62.0,0,15,0.0,64.0
93,67.0,0,15,0.0,64.0
94,51.0,0,480,0.0,64.0
95,72.0,0,480,0.0,64.0
96,60.0,240,480,0.0,64.0
97,50.0,0,240,0.0,64.0
98,67.0,0,15,0.0,64.0
99,65.0,0,240,0.0,64.0
100,71.0,240,240,0.0,64.0
101,77.0,0,240,0.0,64.0
102,75.0,240,240,0.0,64.0
103,67.0,0,15,0.0,64.0
104,63.0,0,720,0.0,64.0
105,48.0,0,480,0.0,64.0
106,80.0,240,240,0.0,64.0
107,79.0,0,240,0.0,64.0
108,51.0,240,240,0.0,64.0
109,77.0,240,240,0.0,64.0
110,72.0,0,15,0.0,64.0
111,68.0,0,480,0.0,64.0
112,53.0,0,480,0.0,64.0
113,75.0,240,240,0.0,64.0
114,62.0,0,15,0.0,64.0
115,71.0,0,240,0.0,64.0
116,74.0,0,240,0.0,64.0
117,55.0,0,240,0.0,64.0
118,48.0,240,480,0.0,64.0
119,72.0,240,240,0.0,64.0
120,67.0,0,15,0.0,64.0
121,63.0,0,1200,0.0,64.0
122,75.0,0,240,0.0,64.0
123,74.0,0,240,0.0,64.0
124,51.0,240,240,0.0,64.0
125,72.0,240,240,0.0,64.0
126,53.0,0,480,0.0,64.0
127,70.0,0,240,0.0,64.0
128,67.0,0,240,0.0,64.0
129,42.0,0,240,0.0,64.0
130,72.0,240,15,0.0,64.0
131,69.0,0,240,0.0,64.0
132,43.0,0,240,0.0,64.0
133,70.0,0,240,0.0,64.0
134,67.0,240,240,0.0,64.0
135,62.0,0,15,0.0,64.0
136,78.0,0,240,0.0,64.0
137,72.0,240,240,0.0,64.0
138,45.0,0,240,0.0,64.0
139,46.0,0,240,0.0,64.0
140,67.0,0,240,0.0,64.0
141,74.0,0,240,0.0,64.0
142,79.0,0,240,0.0,64.0
143,62.0,0,240,0.0,64.0
144,63.0,0,480,0.0,64.0
145,67.0,0,480,0.0,64.0
146,48.0,0,720,0.0,64.0
147,75.0,240,240,0.0,64.0
148,72.0,0,240,0.0,64.0
149,75.0,120,360,0.0,64.0
150,67.0,0,240,0.0,64.0
151,69.0,0,240,0.0,64.0
152,63.0,0,15,0.0,64.0
153,69.0,120,15,0.0,64.0
154,50.0,0,480,0.0,64.0
155,67.0,0,480,0.0,64.0
156,74.0,120,120,0.0,64.0
157,72.0,120,120,0.0,64.0
158,70.0,0,120,0.0,64.0
159,69.0,0,15,0.0,64.0
160,62.0,0,240,0.0,64.0
161,69.0,120,120,0.0,64.0
162,38.0,0,240,0.0,64.0
163,67.0,0,120,0.0,64.0
164,69.0,0,15,0.0,64.0
165,50.0,40,90,0.0,64.0
166,66.0,0,15,0.0,64.0
167,51.0,80,90,0.0,64.0
168,64.0,80,120,0.0,64.0
169,50.0,0,90,0.0,64.0
170,62.0,0,240,0.0,64.0
171,51.0,80,90,0.0,64.0
172,50.0,80,90,0.0,64.0
173,51.0,0,90,0.0,64.0
174,50.0,80,90,0.0,64.0
175,74.0,0,15,0.0,64.0
176,82.0,0,480,0.0,64.0
177,66.0,80,15,0.0,64.0
178,51.0,80,90,0.0,64.0
179,50.0,0,90,0.0,64.0
180,67.0,0,480,0.0,64.0
181,70.0,80,15,0.0,64.0
182,74.0,0,15,0.0,64.0
183,52.0,80,90,0.0,64.0
184,74.0,0,480,0.0,64.0
185,53.0,80,90,0.0,64.0
186,52.0,80,90,0.0,64.0
187,79.0,0,240,0.0,64.0
188,53.0,80,90,0.0,64.0
189,52.0,80,90,0.0,64.0
190,53.0,0,90,0.0,64.0
191,76.0,0,240,0.0,64.0
192,64.0,80,240,0.0,64.0
193,73.0,0,240,0.0,64.0
194,67.0,0,240,0.0,64.0
195,52.0,80,90,0.0,64.0
196,53.0,80,90,0.0,64.0
197,52.0,0,90,0.0,64.0
198,54.0,40,90,0.0,64.0
199,62.0,0,1200,0.0,64.0
200,69.0,40,120,0.0,64.0
201,55.0,80,90,0.0,64.0
202,70.0,0,120,0.0,64.0
203,54.0,80,90,0.0,64.0
204,55.0,80,90,0.0,64.0
205,54.0,80,90,0.0,64.0
206,55.0,0,90,0.0,64.0
207,54.0,80,90,0.0,64.0
208,81.0,240,480,0.0,64.0
209,72.0,80,15,0.0,64.0
210,55.0,80,90,0.0,64.0
211,54.0,240,90,0.0,64.0
212,55.0,240,480,0.0,64.0
213,72.0,0,480,0.0,64.0
214,78.0,0,240,0.0,64.0
215,62.0,0,240,0.0,64.0
216,71.0,0,240,0.0,64.0
