,note,step,duration,channel,velocity
0,51.0,15,15,2.0,0.0
1,50.0,60,15,2.0,0.0
2,51.0,30,90,2.0,0.0
3,55.0,0,30,1.0,0.0
4,63.0,30,30,0.0,0.0
5,62.0,0,30,0.0,0.0
6,53.0,0,30,1.0,0.0
7,63.0,30,30,0.0,0.0
8,55.0,30,60,1.0,0.0
9,39.0,0,120,2.0,0.0
10,65.0,30,30,0.0,0.0
11,56.0,15,60,1.0,0.0
12,67.0,15,15,0.0,0.0
13,58.0,30,30,1.0,0.0
14,65.0,0,15,0.0,0.0
15,67.0,0,30,1.0,0.0
16,51.0,30,30,2.0,0.0
17,67.0,0,90,0.0,0.0
18,65.0,30,30,1.0,0.0
19,50.0,0,30,2.0,0.0
20,51.0,30,30,2.0,0.0
21,67.0,0,30,1.0,0.0
22,68.0,1,120,0.0,0.0
23,63.0,0,30,1.0,0.0
24,48.0,30,30,2.0,0.0
25,65.0,30,30,1.0,0.0
26,50.0,0,30,2.0,0.0
27,62.0,29,30,1.0,0.0
28,46.0,0,30,2.0,0.0
29,48.0,30,30,2.0,0.0
30,63.0,0,30,1.0,0.0
31,60.0,0,30,1.0,0.0
32,44.0,30,30,2.0,0.0
33,63.0,0,30,1.0,0.0
34,48.0,30,30,2.0,0.0
35,62.0,30,30,1.0,0.0
36,46.0,0,30,2.0,0.0
37,65.0,0,30,0.0,0.0
38,63.0,0,30,0.0,0.0
39,63.0,0,30,1.0,0.0
40,48.0,30,30,2.0,0.0
41,65.0,0,30,0.0,0.0
42,60.0,0,30,1.0,0.0
43,44.0,30,30,2.0,0.0
44,62.0,0,30,1.0,0.0
45,46.0,30,30,2.0,0.0
46,67.0,30,30,0.0,0.0
47,58.0,0,30,1.0,0.0
48,43.0,0,30,2.0,0.0
49,44.0,0,30,2.0,0.0
50,60.0,15,30,1.0,0.0
51,41.0,0,30,2.0,0.0
52,56.0,30,30,1.0,0.0
53,68.0,15,15,0.0,0.0
54,67.0,0,15,0.0,0.0
55,68.0,0,90,0.0,0.0
56,51.0,30,30,2.0,0.0
57,67.0,0,30,1.0,0.0
58,65.0,30,30,1.0,0.0
59,50.0,0,30,2.0,0.0
60,63.0,0,30,1.0,0.0
61,48.0,30,30,2.0,0.0
62,65.0,30,30,1.0,0.0
63,70.0,0,120,0.0,0.0
64,50.0,0,30,2.0,0.0
65,51.0,30,30,2.0,0.0
66,67.0,0,30,1.0,0.0
67,63.0,0,30,1.0,0.0
68,48.0,30,30,2.0,0.0
69,65.0,0,30,1.0,0.0
70,50.0,30,30,2.0,0.0
71,63.0,0,30,1.0,0.0
72,39.0,30,30,2.0,0.0
73,67.0,0,60,0.0,0.0
74,67.0,30,30,1.0,0.0
75,51.0,0,30,2.0,0.0
76,72.0,0,60,0.0,0.0
77,50.0,0,30,2.0,0.0
78,65.0,30,30,1.0,0.0
79,48.0,15,30,2.0,0.0
80,63.0,0,30,1.0,0.0
81,65.0,0,30,1.0,0.0
82,70.0,15,15,0.0,0.0
83,50.0,0,30,2.0,0.0
84,72.0,30,15,0.0,0.0
85,67.0,0,30,1.0,0.0
86,51.0,0,30,2.0,0.0
87,70.0,30,30,0.0,0.0
88,48.0,30,30,2.0,0.0
89,63.0,0,30,1.0,0.0
90,68.0,0,60,0.0,0.0
91,50.0,30,30,2.0,0.0
92,65.0,30,120,1.0,0.0
93,67.0,0,30,0.0,0.0
94,46.0,30,30,2.0,0.0
95,68.0,0,30,0.0,0.0
96,51.0,30,30,2.0,0.0
97,70.0,0,30,0.0,0.0
98,50.0,0,30,2.0,0.0
99,48.0,0,30,2.0,0.0
100,63.0,30,30,1.0,0.0
101,68.0,0,30,0.0,0.0
102,62.0,0,30,1.0,0.0
103,46.0,30,30,2.0,0.0
104,67.0,29,60,0.0,0.0
105,48.0,0,30,2.0,0.0
106,63.0,1,30,1.0,0.0
107,44.0,0,30,2.0,0.0
108,60.0,30,30,1.0,0.0
109,65.0,30,60,0.0,0.0
110,46.0,0,30,2.0,0.0
111,62.0,0,30,1.0,0.0
112,43.0,30,30,2.0,0.0
113,58.0,0,30,1.0,0.0
114,63.0,0,60,0.0,0.0
115,48.0,30,30,2.0,0.0
116,56.0,0,30,1.0,0.0
117,55.0,0,30,1.0,0.0
118,67.0,0,60,0.0,0.0
119,46.0,30,30,2.0,0.0
120,44.0,0,30,2.0,0.0
121,53.0,30,30,1.0,0.0
122,70.0,0,60,0.0,0.0
123,51.0,0,30,1.0,0.0
124,43.0,30,30,2.0,0.0
125,44.0,0,30,2.0,0.0
126,53.0,30,30,1.0,0.0
127,50.0,30,30,1.0,0.0
128,41.0,0,30,2.0,0.0
129,75.0,0,90,0.0,0.0
130,43.0,30,30,2.0,0.0
131,51.0,0,30,1.0,0.0
132,36.0,30,30,2.0,0.0
133,55.0,0,60,1.0,0.0
134,46.0,30,30,2.0,0.0
135,72.0,0,30,0.0,0.0
136,74.0,30,30,0.0,0.0
137,53.0,30,120,1.0,0.0
138,45.0,0,30,2.0,0.0
139,43.0,30,30,2.0,0.0
140,75.0,0,30,0.0,0.0
141,45.0,30,30,2.0,0.0
142,77.0,0,60,0.0,0.0
143,46.0,0,30,2.0,0.0
144,75.0,0,60,0.0,0.0
145,65.0,0,210,1.0,0.0
146,43.0,30,30,2.0,0.0
147,45.0,30,30,2.0,0.0
148,74.0,30,30,0.0,0.0
149,46.0,0,60,2.0,0.0
150,75.0,30,30,0.0,0.0
151,46.0,30,30,2.0,0.0
152,74.0,0,30,0.0,0.0
153,72.0,0,30,0.0,0.0
154,45.0,30,30,2.0,0.0
155,74.0,0,30,0.0,0.0
156,46.0,30,30,2.0,0.0
157,67.0,30,30,1.0,0.0
158,75.0,0,30,0.0,0.0
159,48.0,0,30,2.0,0.0
160,72.0,30,30,0.0,0.0
161,63.0,0,30,1.0,0.0
162,65.0,15,30,1.0,0.0
163,74.0,0,30,0.0,0.0
164,62.0,30,60,1.0,0.0
165,70.0,30,30,0.0,0.0
166,50.0,15,15,2.0,0.0
167,49.0,0,15,2.0,0.0
168,50.0,0,90,2.0,0.0
169,82.0,0,30,0.0,0.0
170,81.0,0,30,0.0,0.0
171,60.0,30,30,1.0,0.0
172,82.0,0,30,0.0,0.0
173,62.0,30,30,1.0,0.0
174,51.0,30,120,2.0,0.0
175,58.0,0,30,1.0,0.0
176,79.0,30,30,0.0,0.0
177,60.0,30,30,1.0,0.0
178,81.0,0,30,0.0,0.0
179,57.0,30,30,1.0,0.0
180,77.0,0,30,0.0,0.0
181,79.0,0,30,0.0,0.0
182,58.0,0,30,1.0,0.0
183,55.0,30,60,1.0,0.0
184,75.0,30,30,0.0,0.0
185,79.0,0,30,0.0,0.0
186,48.0,0,30,2.0,0.0
187,77.0,30,30,0.0,0.0
188,67.0,0,90,1.0,0.0
189,46.0,30,30,2.0,0.0
190,79.0,0,30,0.0,0.0
191,75.0,0,30,0.0,0.0
192,48.0,30,30,2.0,0.0
193,77.0,30,30,0.0,0.0
194,69.0,0,30,1.0,0.0
195,50.0,30,30,2.0,0.0
196,65.0,0,30,1.0,0.0
197,74.0,0,30,0.0,0.0
198,67.0,30,90,1.0,0.0
199,75.0,15,30,0.0,0.0
200,72.0,30,30,0.0,0.0
201,51.0,15,15,2.0,0.0
202,50.0,0,15,2.0,0.0
203,51.0,0,90,2.0,0.0
204,82.0,0,30,0.0,0.0
205,81.0,30,30,0.0,0.0
206,60.0,0,90,1.0,0.0
207,79.0,30,30,0.0,0.0
208,81.0,30,30,0.0,0.0
