,note,step,duration,channel,velocity
0,43.0,120,240,1.0,0.0
1,67.0,120,120,0.0,0.0
2,66.0,0,120,0.0,0.0
3,67.0,120,360,0.0,0.0
4,59.0,120,120,1.0,0.0
5,57.0,120,120,1.0,0.0
6,59.0,0,240,1.0,0.0
7,62.0,120,120,0.0,0.0
8,64.0,120,120,0.0,0.0
9,55.0,120,240,1.0,0.0
10,66.0,0,120,0.0,0.0
11,43.0,0,240,1.0,0.0
12,67.0,120,120,0.0,0.0
13,69.0,120,120,0.0,0.0
14,55.0,0,240,1.0,0.0
15,71.0,120,120,0.0,0.0
16,73.0,120,120,0.0,0.0
17,42.0,120,240,1.0,0.0
18,74.0,120,120,0.0,0.0
19,73.0,0,120,0.0,0.0
20,74.0,120,360,0.0,0.0
21,54.0,120,120,1.0,0.0
22,52.0,120,120,1.0,0.0
23,54.0,0,240,1.0,0.0
24,69.0,120,120,0.0,0.0
25,50.0,0,240,1.0,0.0
26,71.0,120,120,0.0,0.0
27,73.0,120,120,0.0,0.0
28,42.0,120,240,1.0,0.0
29,74.0,120,120,0.0,0.0
30,76.0,0,120,0.0,0.0
31,78.0,120,120,0.0,0.0
32,50.0,120,240,1.0,0.0
33,74.0,0,120,0.0,0.0
34,79.0,120,120,0.0,0.0
35,40.0,0,240,1.0,0.0
36,78.0,120,120,0.0,0.0
37,52.0,120,120,1.0,0.0
38,79.0,120,360,0.0,0.0
39,50.0,120,120,1.0,0.0
40,52.0,120,240,1.0,0.0
41,78.0,0,120,0.0,0.0
42,76.0,120,120,0.0,0.0
43,55.0,120,240,1.0,0.0
44,74.0,0,120,0.0,0.0
45,73.0,120,120,0.0,0.0
46,45.0,120,240,1.0,0.0
47,76.0,0,120,0.0,0.0
48,69.0,120,120,0.0,0.0
49,61.0,120,240,1.0,0.0
50,67.0,0,120,0.0,0.0
51,50.0,120,240,1.0,0.0
52,66.0,120,120,0.0,0.0
53,64.0,0,120,0.0,0.0
54,54.0,0,120,1.0,0.0
55,62.0,120,120,0.0,0.0
56,52.0,0,120,1.0,0.0
57,61.0,120,120,0.0,0.0
58,54.0,0,240,1.0,0.0
59,62.0,120,120,0.0,0.0
60,66.0,120,120,0.0,0.0
61,50.0,0,240,1.0,0.0
62,57.0,120,120,0.0,0.0
63,55.0,120,120,0.0,0.0
64,54.0,120,120,0.0,0.0
65,38.0,240,240,1.0,0.0
66,57.0,0,120,0.0,0.0
67,50.0,120,240,0.0,0.0
68,48.0,0,120,1.0,0.0
69,47.0,120,120,1.0,0.0
70,45.0,120,120,1.0,0.0
71,74.0,120,120,0.0,0.0
72,47.0,120,360,1.0,0.0
73,72.0,120,120,0.0,0.0
74,74.0,120,240,0.0,0.0
75,50.0,0,120,1.0,0.0
76,67.0,120,240,0.0,0.0
77,52.0,120,120,1.0,0.0
78,54.0,0,120,1.0,0.0
79,59.0,0,240,0.0,0.0
80,55.0,120,120,1.0,0.0
81,57.0,120,120,1.0,0.0
82,74.0,120,240,0.0,0.0
83,59.0,120,120,1.0,0.0
84,55.0,0,120,1.0,0.0
85,48.0,120,120,1.0,0.0
86,47.0,120,120,1.0,0.0
87,76.0,120,120,0.0,0.0
88,48.0,120,360,1.0,0.0
89,74.0,120,120,0.0,0.0
90,76.0,0,240,0.0,0.0
91,52.0,120,120,1.0,0.0
92,54.0,120,120,1.0,0.0
93,69.0,120,240,0.0,0.0
94,55.0,0,120,1.0,0.0
95,57.0,120,120,1.0,0.0
96,60.0,0,240,0.0,0.0
97,59.0,120,120,1.0,0.0
98,60.0,120,120,1.0,0.0
99,76.0,0,240,0.0,0.0
100,57.0,120,120,1.0,0.0
101,50.0,120,120,1.0,0.0
102,49.0,120,120,1.0,0.0
103,78.0,120,120,0.0,0.0
104,50.0,120,360,1.0,0.0
105,76.0,120,120,0.0,0.0
106,78.0,0,240,0.0,0.0
107,57.0,120,120,1.0,0.0
108,59.0,120,120,1.0,0.0
109,74.0,120,240,0.0,0.0
110,60.0,0,120,1.0,0.0
111,62.0,120,120,1.0,0.0
112,81.0,0,240,0.0,0.0
113,64.0,120,120,1.0,0.0
114,72.0,0,480,0.0,0.0
115,66.0,120,120,1.0,0.0
116,62.0,120,120,1.0,0.0
117,67.0,120,120,1.0,0.0
118,66.0,120,120,1.0,0.0
119,71.0,0,240,0.0,0.0
120,67.0,120,120,1.0,0.0
121,62.0,120,120,1.0,0.0
122,59.0,120,120,1.0,0.0
123,67.0,120,120,0.0,0.0
124,62.0,0,120,1.0,0.0
125,55.0,0,120,1.0,0.0
126,71.0,120,120,0.0,0.0
127,74.0,0,120,0.0,0.0
128,59.0,120,120,1.0,0.0
129,50.0,120,120,1.0,0.0
130,79.0,0,120,0.0,0.0
131,74.0,120,120,0.0,0.0
132,55.0,0,120,1.0,0.0
133,47.0,120,120,1.0,0.0
134,79.0,0,120,0.0,0.0
135,81.0,120,120,0.0,0.0
136,50.0,0,120,1.0,0.0
137,43.0,0,240,1.0,0.0
138,83.0,120,120,0.0,0.0
139,79.0,120,120,0.0,0.0
140,55.0,120,240,1.0,0.0
141,74.0,120,120,0.0,0.0
142,71.0,0,120,0.0,0.0
143,67.0,120,120,0.0,0.0
144,59.0,0,240,1.0,0.0
145,71.0,120,120,0.0,0.0
146,74.0,120,120,0.0,0.0
147,55.0,120,240,1.0,0.0
148,79.0,0,120,0.0,0.0
149,43.0,120,240,1.0,0.0
150,83.0,120,120,0.0,0.0
151,79.0,0,120,0.0,0.0
152,55.0,0,240,1.0,0.0
153,78.0,120,120,0.0,0.0
154,76.0,120,120,0.0,0.0
155,42.0,0,240,1.0,0.0
156,81.0,120,120,0.0,0.0
157,76.0,120,120,0.0,0.0
158,54.0,120,240,1.0,0.0
159,73.0,120,120,0.0,0.0
160,69.0,0,120,0.0,0.0
161,66.0,120,120,0.0,0.0
162,57.0,120,240,1.0,0.0
163,69.0,0,120,0.0,0.0
164,73.0,120,120,0.0,0.0
165,54.0,0,240,1.0,0.0
166,76.0,120,120,0.0,0.0
167,42.0,0,240,1.0,0.0
168,81.0,120,120,0.0,0.0
169,78.0,120,120,0.0,0.0
170,76.0,120,120,0.0,0.0
171,54.0,0,240,1.0,0.0
172,74.0,120,120,0.0,0.0
173,79.0,120,120,0.0,0.0
174,40.0,120,240,1.0,0.0
175,74.0,0,120,0.0,0.0
176,71.0,120,120,0.0,0.0
177,52.0,0,240,1.0,0.0
178,67.0,120,120,0.0,0.0
179,64.0,120,120,0.0,0.0
180,55.0,0,240,1.0,0.0
181,67.0,120,120,0.0,0.0
182,52.0,120,240,1.0,0.0
183,71.0,120,120,0.0,0.0
184,74.0,0,120,0.0,0.0
185,79.0,120,120,0.0,0.0
186,40.0,120,240,1.0,0.0
187,78.0,0,120,0.0,0.0
188,76.0,120,120,0.0,0.0
189,55.0,0,240,1.0,0.0
190,74.0,120,120,0.0,0.0
191,73.0,120,120,0.0,0.0
192,45.0,0,240,1.0,0.0
193,67.0,120,120,0.0,0.0
194,52.0,0,240,1.0,0.0
195,64.0,120,120,0.0,0.0
196,61.0,120,120,0.0,0.0
197,57.0,120,120,0.0,0.0
198,55.0,0,240,1.0,0.0
199,61.0,120,120,0.0,0.0
200,52.0,0,240,1.0,0.0
201,64.0,120,120,0.0,0.0
202,67.0,120,120,0.0,0.0
203,45.0,120,240,1.0,0.0
204,73.0,120,120,0.0,0.0
