,note,step,duration,channel,velocity
0,63.0,360,240,1.0,0.0
1,70.0,120,360,1.0,0.0
2,71.0,120,120,1.0,0.0
3,70.0,120,120,1.0,0.0
4,68.0,120,120,1.0,0.0
5,66.0,120,120,1.0,0.0
6,68.0,240,120,1.0,0.0
7,70.0,240,240,1.0,0.0
8,63.0,360,240,1.0,0.0
9,68.0,120,360,1.0,0.0
10,66.0,240,120,1.0,0.0
11,65.0,240,240,1.0,0.0
12,63.0,120,360,1.0,0.0
13,70.0,120,240,0.0,0.0
14,75.0,120,360,0.0,0.0
15,65.0,120,120,1.0,0.0
16,66.0,0,240,1.0,0.0
17,78.0,120,120,0.0,0.0
18,68.0,120,240,1.0,0.0
19,77.0,120,120,0.0,0.0
20,75.0,0,120,0.0,0.0
21,70.0,120,360,1.0,0.0
22,73.0,120,120,0.0,0.0
23,75.0,120,120,0.0,0.0
24,77.0,120,240,0.0,0.0
25,68.0,0,120,1.0,0.0
26,66.0,120,120,1.0,0.0
27,70.0,0,240,0.0,0.0
28,65.0,120,120,1.0,0.0
29,66.0,60,120,1.0,0.0
30,75.0,0,360,0.0,0.0
31,65.0,60,60,1.0,0.0
32,63.0,120,60,1.0,0.0
33,65.0,120,120,1.0,0.0
34,70.0,120,240,1.0,0.0
35,73.0,120,120,0.0,0.0
36,72.0,0,240,0.0,0.0
37,69.0,240,120,1.0,0.0
38,70.0,120,360,1.0,0.0
39,72.0,120,120,0.0,0.0
40,73.0,120,600,0.0,0.0
41,68.0,120,120,1.0,0.0
42,67.0,120,120,1.0,0.0
43,63.0,120,120,1.0,0.0
44,68.0,120,360,1.0,0.0
45,71.0,120,120,0.0,0.0
46,70.0,120,240,0.0,0.0
47,66.0,0,120,1.0,0.0
48,65.0,120,120,1.0,0.0
49,75.0,120,360,0.0,0.0
50,63.0,120,120,1.0,0.0
51,65.0,0,240,1.0,0.0
52,74.0,120,120,0.0,0.0
53,75.0,0,120,0.0,0.0
54,66.0,120,120,1.0,0.0
55,77.0,0,120,0.0,0.0
56,68.0,120,120,1.0,0.0
57,51.0,0,240,2.0,0.0
58,70.0,120,120,1.0,0.0
59,78.0,120,240,0.0,0.0
60,72.0,0,120,1.0,0.0
61,74.0,120,120,1.0,0.0
62,77.0,0,120,0.0,0.0
63,58.0,0,360,2.0,0.0
64,78.0,0,120,0.0,0.0
65,75.0,120,120,1.0,0.0
66,80.0,120,120,0.0,0.0
67,77.0,0,120,1.0,0.0
68,74.0,0,120,1.0,0.0
69,59.0,120,120,2.0,0.0
70,77.0,0,120,0.0,0.0
71,58.0,0,120,2.0,0.0
72,78.0,120,120,0.0,0.0
73,75.0,0,120,1.0,0.0
74,77.0,0,120,1.0,0.0
75,80.0,120,120,0.0,0.0
76,56.0,0,120,2.0,0.0
77,54.0,120,120,2.0,0.0
78,82.0,0,120,0.0,0.0
79,78.0,0,120,1.0,0.0
80,80.0,0,120,0.0,0.0
81,77.0,0,120,1.0,0.0
82,56.0,120,120,2.0,0.0
83,78.0,0,120,0.0,0.0
84,75.0,120,120,1.0,0.0
85,58.0,0,240,2.0,0.0
86,77.0,120,120,0.0,0.0
87,74.0,0,120,1.0,0.0
88,75.0,120,120,1.0,0.0
89,78.0,0,240,0.0,0.0
90,51.0,0,240,2.0,0.0
91,73.0,120,120,1.0,0.0
92,56.0,120,360,2.0,0.0
93,77.0,120,120,0.0,0.0
94,71.0,120,240,1.0,0.0
95,75.0,0,120,0.0,0.0
96,74.0,0,120,0.0,0.0
97,70.0,0,240,1.0,0.0
98,75.0,120,240,0.0,0.0
99,54.0,120,120,2.0,0.0
100,53.0,0,240,2.0,0.0
101,68.0,120,240,1.0,0.0
102,74.0,0,120,0.0,0.0
103,75.0,120,120,0.0,0.0
104,51.0,120,240,2.0,0.0
105,66.0,0,240,1.0,0.0
106,73.0,0,120,0.0,0.0
107,63.0,0,240,2.0,0.0
108,71.0,60,360,0.0,0.0
109,68.0,120,120,1.0,0.0
110,66.0,120,120,1.0,0.0
111,65.0,0,360,1.0,0.0
112,62.0,0,240,2.0,0.0
113,70.0,60,60,0.0,0.0
114,68.0,120,60,0.0,0.0
115,61.0,0,240,2.0,0.0
116,70.0,60,120,0.0,0.0
