,note,step,duration,channel,velocity
0,62.0,120,120,1.0,0.0
1,63.0,120,120,1.0,0.0
2,55.0,240,120,1.0,0.0
3,54.0,240,240,1.0,0.0
4,55.0,180,240,1.0,0.0
5,57.0,60,60,1.0,0.0
6,58.0,120,60,1.0,0.0
7,60.0,60,120,1.0,0.0
8,58.0,60,60,1.0,0.0
9,57.0,240,60,1.0,0.0
10,58.0,0,240,1.0,0.0
11,67.0,120,120,0.0,0.0
12,55.0,180,240,1.0,0.0
13,70.0,120,120,0.0,0.0
14,62.0,0,120,0.0,0.0
15,61.0,0,240,0.0,0.0
16,57.0,60,60,1.0,0.0
17,55.0,120,60,1.0,0.0
18,62.0,0,240,0.0,0.0
19,53.0,60,120,1.0,0.0
20,55.0,60,60,1.0,0.0
21,57.0,120,60,1.0,0.0
22,58.0,60,120,1.0,0.0
23,55.0,120,120,1.0,0.0
24,64.0,60,60,0.0,0.0
25,65.0,0,60,0.0,0.0
26,67.0,60,120,0.0,0.0
27,52.0,0,120,1.0,0.0
28,61.0,0,120,1.0,0.0
29,65.0,60,60,0.0,0.0
30,64.0,120,60,0.0,0.0
31,65.0,60,120,0.0,0.0
32,62.0,60,360,1.0,0.0
33,67.0,60,60,0.0,0.0
34,69.0,120,60,0.0,0.0
35,70.0,0,120,0.0,0.0
36,69.0,60,60,0.0,0.0
37,64.0,120,120,1.0,0.0
38,67.0,0,60,0.0,0.0
39,69.0,60,120,0.0,0.0
40,65.0,0,120,1.0,0.0
41,70.0,60,60,0.0,0.0
42,64.0,120,120,1.0,0.0
43,72.0,0,60,0.0,0.0
44,65.0,0,120,1.0,0.0
45,74.0,60,120,0.0,0.0
46,67.0,0,120,1.0,0.0
47,72.0,60,60,0.0,0.0
48,70.0,120,60,0.0,0.0
49,69.0,60,120,1.0,0.0
50,72.0,120,240,0.0,0.0
51,50.0,0,120,0.0,0.0
52,67.0,60,60,1.0,0.0
53,66.0,0,60,1.0,0.0
54,51.0,0,120,0.0,0.0
55,67.0,120,120,1.0,0.0
56,70.0,0,240,0.0,0.0
57,43.0,0,120,0.0,0.0
58,61.0,120,120,1.0,0.0
59,42.0,0,240,0.0,0.0
60,62.0,0,120,1.0,0.0
61,69.0,60,120,0.0,0.0
62,74.0,60,60,0.0,0.0
63,69.0,60,240,1.0,0.0
64,72.0,120,60,0.0,0.0
65,43.0,120,240,0.0,0.0
66,70.0,0,120,0.0,0.0
67,67.0,0,60,1.0,0.0
68,72.0,60,60,0.0,0.0
69,66.0,0,60,1.0,0.0
70,74.0,0,60,0.0,0.0
71,75.0,60,120,0.0,0.0
72,67.0,120,240,1.0,0.0
73,72.0,0,120,0.0,0.0
74,45.0,60,60,0.0,0.0
75,46.0,0,60,0.0,0.0
76,48.0,0,120,0.0,0.0
77,69.0,60,120,0.0,0.0
78,66.0,0,120,1.0,0.0
79,78.0,0,120,0.0,0.0
80,69.0,0,120,1.0,0.0
81,46.0,60,60,0.0,0.0
82,45.0,240,60,0.0,0.0
83,46.0,0,240,0.0,0.0
84,74.0,0,240,1.0,0.0
85,79.0,0,240,0.0,0.0
86,57.0,120,120,2.0,0.0
87,43.0,0,240,0.0,0.0
88,58.0,120,120,2.0,0.0
89,50.0,180,120,2.0,0.0
90,49.0,0,240,2.0,0.0
91,45.0,60,60,0.0,0.0
92,64.0,0,120,0.0,0.0
93,43.0,120,60,0.0,0.0
94,50.0,0,240,2.0,0.0
95,69.0,0,120,0.0,0.0
96,41.0,60,120,0.0,0.0
97,65.0,0,120,0.0,0.0
98,43.0,60,60,0.0,0.0
99,45.0,120,60,0.0,0.0
100,62.0,0,240,0.0,0.0
101,46.0,60,120,0.0,0.0
102,43.0,0,120,0.0,0.0
103,52.0,60,60,2.0,0.0
104,53.0,120,60,2.0,0.0
105,40.0,0,120,0.0,0.0
106,61.0,0,120,0.0,0.0
107,55.0,60,120,2.0,0.0
108,49.0,120,120,0.0,0.0
109,64.0,60,240,0.0,0.0
110,53.0,60,60,2.0,0.0
111,52.0,0,60,2.0,0.0
112,50.0,0,960,0.0,0.0
113,53.0,0,120,2.0,0.0
114,55.0,60,60,2.0,0.0
115,62.0,120,120,0.0,0.0
116,57.0,0,60,2.0,0.0
117,58.0,60,120,2.0,0.0
118,67.0,60,300,0.0,0.0
119,57.0,60,60,2.0,0.0
120,55.0,60,60,2.0,0.0
121,57.0,60,120,2.0,0.0
122,66.0,0,60,0.0,0.0
123,67.0,60,60,0.0,0.0
124,58.0,0,60,2.0,0.0
125,69.0,120,60,0.0,0.0
126,60.0,0,60,2.0,0.0
127,70.0,120,480,0.0,0.0
128,62.0,60,120,2.0,0.0
129,60.0,60,60,2.0,0.0
130,58.0,120,60,2.0,0.0
131,52.0,60,120,0.0,0.0
132,60.0,120,720,2.0,0.0
133,57.0,60,60,0.0,0.0
134,55.0,0,60,0.0,0.0
135,54.0,60,120,0.0,0.0
136,69.0,60,300,0.0,0.0
137,55.0,60,60,0.0,0.0
138,57.0,60,60,0.0,0.0
139,46.0,0,120,0.0,0.0
140,62.0,60,60,0.0,0.0
141,64.0,0,60,0.0,0.0
142,48.0,60,60,0.0,0.0
143,66.0,0,60,0.0,0.0
144,50.0,0,60,0.0,0.0
145,58.0,0,120,2.0,0.0
146,51.0,60,120,0.0,0.0
147,67.0,60,360,0.0,0.0
148,63.0,60,120,2.0,0.0
149,50.0,60,60,0.0,0.0
150,48.0,0,60,0.0,0.0
151,50.0,0,480,0.0,0.0
152,57.0,60,60,2.0,0.0
153,58.0,0,60,2.0,0.0
154,57.0,60,60,2.0,0.0
155,66.0,0,60,0.0,0.0
156,67.0,120,60,0.0,0.0
157,58.0,0,60,2.0,0.0
158,60.0,60,120,2.0,0.0
159,69.0,0,120,0.0,0.0
160,67.0,0,60,0.0,0.0
161,58.0,60,60,2.0,0.0
162,66.0,0,60,0.0,0.0
163,57.0,120,60,2.0,0.0
164,67.0,0,360,0.0,0.0
165,43.0,120,360,0.0,0.0
166,58.0,60,120,2.0,0.0
167,60.0,60,60,2.0,0.0
168,62.0,120,60,2.0,0.0
169,63.0,0,480,2.0,0.0
170,45.0,0,120,0.0,0.0
171,72.0,120,120,0.0,0.0
172,65.0,0,120,0.0,0.0
173,46.0,60,120,0.0,0.0
174,53.0,120,120,0.0,0.0
175,67.0,60,60,0.0,0.0
176,69.0,0,60,0.0,0.0
177,62.0,120,240,2.0,0.0
178,55.0,120,120,0.0,0.0
179,70.0,0,480,0.0,0.0
180,50.0,0,120,0.0,0.0
181,51.0,60,120,0.0,0.0
182,60.0,0,480,2.0,0.0
183,50.0,60,60,0.0,0.0
184,51.0,120,60,0.0,0.0
185,69.0,240,240,0.0,0.0
186,53.0,120,120,0.0,0.0
187,41.0,0,120,0.0,0.0
188,62.0,0,240,2.0,0.0
189,46.0,120,240,0.0,0.0
190,70.0,0,240,0.0,0.0
191,65.0,0,120,1.0,0.0
192,67.0,120,120,1.0,0.0
193,58.0,180,120,1.0,0.0
194,57.0,120,240,1.0,0.0
195,53.0,60,60,2.0,0.0
196,51.0,0,60,2.0,0.0
197,50.0,60,120,2.0,0.0
198,58.0,120,240,1.0,0.0
199,51.0,60,60,2.0,0.0
200,53.0,0,60,2.0,0.0
201,55.0,60,120,2.0,0.0
202,51.0,0,120,2.0,0.0
203,60.0,60,60,1.0,0.0
204,62.0,120,60,1.0,0.0
205,63.0,0,120,1.0,0.0
206,48.0,60,120,2.0,0.0
207,57.0,60,120,2.0,0.0
208,62.0,60,60,1.0,0.0
209,60.0,0,60,1.0,0.0
210,62.0,60,60,1.0,0.0
211,58.0,60,600,2.0,0.0
212,64.0,60,60,1.0,0.0
213,62.0,60,60,1.0,0.0
214,46.0,0,120,0.0,0.0
215,64.0,120,60,1.0,0.0
216,50.0,0,120,0.0,0.0
217,65.0,60,120,1.0,0.0
