,note,step,duration,channel,velocity
0,60.0,41,90,1.0,0.0
1,48.0,0,90,0.0,0.0
2,79.0,60,60,1.0,0.0
3,67.0,0,60,0.0,0.0
4,65.0,0,60,0.0,0.0
5,60.0,33,90,0.0,0.0
6,72.0,0,90,1.0,0.0
7,77.0,27,60,1.0,0.0
8,79.0,0,60,1.0,0.0
9,67.0,60,60,0.0,0.0
10,65.0,0,90,1.0,0.0
11,53.0,41,90,0.0,0.0
12,80.0,19,60,1.0,0.0
13,68.0,0,60,0.0,0.0
14,65.0,60,60,0.0,0.0
15,77.0,0,60,1.0,0.0
16,75.0,0,60,1.0,0.0
17,72.0,0,90,1.0,0.0
18,60.0,33,90,0.0,0.0
19,63.0,27,60,0.0,0.0
20,65.0,60,60,0.0,0.0
21,77.0,0,60,1.0,0.0
22,51.0,0,90,0.0,0.0
23,67.0,0,60,0.0,0.0
24,79.0,27,60,1.0,0.0
25,63.0,33,90,1.0,0.0
26,63.0,60,60,0.0,0.0
27,75.0,0,60,1.0,0.0
28,72.0,33,90,1.0,0.0
29,60.0,0,90,0.0,0.0
30,62.0,27,60,0.0,0.0
31,74.0,0,60,1.0,0.0
32,75.0,60,60,1.0,0.0
33,63.0,0,60,0.0,0.0
34,50.0,33,90,0.0,0.0
35,62.0,0,90,1.0,0.0
36,65.0,27,60,0.0,0.0
37,77.0,0,60,1.0,0.0
38,74.0,0,60,1.0,0.0
39,62.0,60,60,0.0,0.0
40,71.0,0,60,1.0,0.0
41,59.0,49,60,0.0,0.0
42,60.0,0,60,0.0,0.0
43,72.0,11,60,1.0,0.0
44,62.0,0,60,0.0,0.0
45,74.0,60,60,1.0,0.0
46,75.0,41,90,1.0,0.0
47,63.0,0,90,0.0,0.0
48,48.0,0,60,0.0,0.0
49,60.0,19,60,1.0,0.0
50,55.0,0,60,0.0,0.0
51,67.0,60,60,1.0,0.0
52,84.0,49,60,1.0,0.0
53,53.0,0,60,0.0,0.0
54,72.0,0,60,0.0,0.0
55,65.0,11,60,1.0,0.0
56,55.0,60,60,0.0,0.0
57,67.0,0,60,1.0,0.0
58,56.0,0,60,0.0,0.0
59,65.0,0,60,0.0,0.0
60,77.0,49,60,1.0,0.0
61,68.0,11,60,1.0,0.0
62,53.0,0,60,0.0,0.0
63,65.0,60,60,1.0,0.0
64,72.0,49,60,0.0,0.0
65,63.0,0,60,1.0,0.0
66,51.0,11,60,0.0,0.0
67,84.0,0,60,1.0,0.0
68,53.0,60,60,0.0,0.0
69,65.0,0,60,1.0,0.0
70,67.0,11,60,1.0,0.0
71,75.0,49,60,1.0,0.0
72,63.0,0,60,0.0,0.0
73,55.0,0,60,0.0,0.0
74,51.0,0,60,0.0,0.0
75,63.0,60,60,1.0,0.0
76,72.0,0,90,0.0,0.0
77,62.0,0,60,1.0,0.0
78,84.0,41,90,1.0,0.0
79,50.0,19,60,0.0,0.0
80,51.0,0,60,0.0,0.0
81,63.0,60,60,1.0,0.0
82,53.0,0,60,0.0,0.0
83,62.0,57,60,0.0,0.0
84,65.0,3,60,1.0,0.0
85,74.0,0,60,1.0,0.0
86,50.0,0,60,0.0,0.0
87,62.0,60,60,1.0,0.0
88,83.0,57,60,1.0,0.0
89,60.0,3,60,1.0,0.0
90,48.0,0,60,0.0,0.0
91,71.0,0,60,0.0,0.0
92,50.0,0,60,0.0,0.0
93,62.0,60,60,1.0,0.0
94,60.0,19,60,0.0,0.0
95,63.0,0,90,1.0,0.0
96,72.0,0,60,1.0,0.0
97,51.0,41,90,0.0,0.0
98,75.0,0,60,1.0,0.0
99,63.0,60,60,0.0,0.0
100,60.0,0,90,1.0,0.0
101,67.0,27,60,0.0,0.0
102,79.0,0,60,1.0,0.0
103,48.0,33,90,0.0,0.0
104,84.0,60,60,1.0,0.0
105,72.0,0,60,0.0,0.0
106,65.0,41,90,1.0,0.0
107,62.0,0,60,0.0,0.0
108,53.0,0,90,0.0,0.0
109,74.0,19,60,1.0,0.0
110,72.0,0,60,0.0,0.0
111,84.0,60,60,1.0,0.0
112,83.0,0,60,1.0,0.0
113,62.0,41,90,1.0,0.0
114,50.0,0,90,0.0,0.0
115,71.0,19,60,0.0,0.0
116,81.0,60,60,1.0,0.0
117,69.0,0,60,0.0,0.0
118,67.0,60,120,1.0,0.0
119,74.0,0,60,1.0,0.0
120,55.0,0,120,0.0,0.0
121,62.0,60,60,0.0,0.0
122,79.0,0,60,1.0,0.0
123,67.0,0,60,0.0,0.0
124,53.0,60,120,0.0,0.0
125,71.0,60,60,0.0,0.0
126,83.0,0,60,1.0,0.0
127,65.0,0,120,1.0,0.0
128,86.0,0,60,1.0,0.0
129,74.0,0,60,0.0,0.0
130,75.0,0,60,1.0,0.0
131,67.0,41,90,1.0,0.0
132,55.0,0,90,0.0,0.0
133,63.0,19,60,0.0,0.0
134,86.0,0,60,1.0,0.0
135,74.0,60,60,0.0,0.0
136,84.0,0,60,1.0,0.0
137,72.0,19,60,0.0,0.0
138,63.0,41,90,1.0,0.0
139,51.0,0,90,0.0,0.0
140,71.0,0,60,0.0,0.0
141,83.0,60,60,1.0,0.0
142,75.0,60,60,1.0,0.0
143,56.0,60,120,0.0,0.0
144,63.0,0,60,0.0,0.0
145,68.0,0,120,1.0,0.0
146,68.0,0,60,0.0,0.0
147,80.0,0,60,1.0,0.0
148,67.0,0,120,1.0,0.0
149,84.0,0,60,1.0,0.0
150,72.0,60,60,0.0,0.0
151,55.0,60,120,0.0,0.0
152,87.0,0,60,1.0,0.0
153,75.0,0,60,0.0,0.0
154,69.0,41,90,1.0,0.0
155,57.0,0,90,0.0,0.0
156,77.0,19,60,1.0,0.0
157,65.0,0,60,0.0,0.0
158,87.0,60,60,1.0,0.0
159,75.0,0,60,0.0,0.0
160,65.0,0,90,1.0,0.0
161,74.0,19,60,0.0,0.0
162,86.0,0,60,1.0,0.0
163,53.0,41,90,0.0,0.0
164,84.0,0,60,1.0,0.0
165,72.0,60,60,0.0,0.0
166,77.0,60,60,1.0,0.0
167,70.0,0,120,1.0,0.0
168,58.0,0,120,0.0,0.0
169,65.0,0,60,0.0,0.0
170,70.0,60,60,0.0,0.0
171,82.0,0,60,1.0,0.0
172,86.0,0,60,1.0,0.0
173,69.0,0,120,1.0,0.0
174,57.0,60,120,0.0,0.0
175,74.0,60,60,0.0,0.0
176,77.0,0,60,0.0,0.0
177,89.0,0,60,1.0,0.0
178,79.0,27,60,1.0,0.0
179,67.0,0,60,0.0,0.0
180,71.0,33,90,1.0,0.0
181,59.0,0,90,0.0,0.0
182,89.0,60,60,1.0,0.0
183,77.0,0,60,0.0,0.0
184,75.0,0,60,0.0,0.0
185,55.0,49,60,0.0,0.0
186,87.0,11,60,1.0,0.0
187,67.0,0,60,1.0,0.0
188,86.0,0,60,1.0,0.0
189,74.0,60,60,0.0,0.0
190,87.0,0,60,1.0,0.0
191,72.0,60,60,1.0,0.0
192,60.0,0,60,0.0,0.0
193,75.0,0,60,0.0,0.0
194,68.0,0,60,0.0,0.0
195,80.0,60,60,1.0,0.0
196,84.0,0,60,1.0,0.0
197,72.0,0,60,0.0,0.0
198,79.0,60,60,1.0,0.0
199,82.0,0,60,1.0,0.0
200,70.0,0,60,0.0,0.0
201,67.0,0,60,0.0,0.0
202,68.0,60,60,0.0,0.0
203,72.0,0,60,0.0,0.0
204,80.0,0,60,1.0,0.0
205,84.0,0,60,1.0,0.0
206,58.0,0,60,0.0,0.0
207,74.0,0,60,0.0,0.0
208,86.0,0,60,1.0,0.0
209,70.0,60,60,1.0,0.0
210,67.0,0,60,0.0,0.0
211,70.0,60,60,0.0,0.0
212,79.0,0,60,1.0,0.0
213,82.0,0,60,1.0,0.0
214,68.0,0,60,0.0,0.0
215,80.0,0,60,1.0,0.0
216,77.0,60,60,1.0,0.0
217,65.0,0,60,0.0,0.0
218,70.0,0,60,0.0,0.0
219,67.0,60,60,0.0,0.0
220,79.0,0,60,1.0,0.0
221,82.0,0,60,1.0,0.0
222,68.0,0,120,1.0,0.0
223,84.0,60,60,1.0,0.0
224,72.0,0,60,0.0,0.0
225,56.0,60,120,0.0,0.0
226,82.0,0,60,1.0,0.0
227,70.0,0,60,0.0,0.0
228,80.0,60,60,1.0,0.0
229,68.0,0,60,0.0,0.0
230,67.0,0,60,0.0,0.0
231,79.0,60,60,1.0,0.0
232,65.0,60,60,0.0,0.0
233,77.0,0,60,1.0,0.0
234,75.0,0,60,1.0,0.0
235,63.0,60,60,0.0,0.0
236,74.0,0,60,1.0,0.0
