,note,step,duration,channel,velocity
0,75.0,60,52,1.0,0.0
1,72.0,60,52,1.0,0.0
2,77.0,60,52,1.0,0.0
3,70.0,34,52,1.0,0.0
4,72.0,30,26,1.0,0.0
5,73.0,56,26,1.0,0.0
6,75.0,60,52,1.0,0.0
7,63.0,60,52,1.0,0.0
8,68.0,34,52,1.0,0.0
9,70.0,30,26,1.0,0.0
10,72.0,150,26,1.0,0.0
11,73.0,30,146,1.0,0.0
12,75.0,30,26,1.0,0.0
13,72.0,30,26,1.0,0.0
14,73.0,30,26,1.0,0.0
15,70.0,30,26,1.0,0.0
16,72.0,30,26,1.0,0.0
17,73.0,30,26,1.0,0.0
18,75.0,30,26,1.0,0.0
19,72.0,30,26,1.0,0.0
20,70.0,30,26,1.0,0.0
21,80.0,4,52,0.0,0.0
22,72.0,26,26,1.0,0.0
23,74.0,56,26,1.0,0.0
24,79.0,53,52,0.0,0.0
25,75.0,7,105,1.0,0.0
26,84.0,60,52,0.0,0.0
27,74.0,11,105,1.0,0.0
28,77.0,34,52,0.0,0.0
29,79.0,19,26,0.0,0.0
30,80.0,56,26,0.0,0.0
31,82.0,53,52,0.0,0.0
32,73.0,7,105,1.0,0.0
33,70.0,60,52,0.0,0.0
34,75.0,34,52,0.0,0.0
35,72.0,11,105,1.0,0.0
36,77.0,19,26,0.0,0.0
37,79.0,109,26,0.0,0.0
38,80.0,26,146,0.0,0.0
39,71.0,41,105,1.0,0.0
40,70.0,4,52,1.0,0.0
41,82.0,30,26,0.0,0.0
42,75.0,11,105,1.0,0.0
43,79.0,30,26,0.0,0.0
44,80.0,30,26,0.0,0.0
45,77.0,19,26,0.0,0.0
46,79.0,30,26,0.0,0.0
47,80.0,26,26,0.0,0.0
48,74.0,4,52,1.0,0.0
49,82.0,30,26,0.0,0.0
50,75.0,4,52,1.0,0.0
51,79.0,26,26,0.0,0.0
52,77.0,30,26,0.0,0.0
53,79.0,26,26,0.0,0.0
54,70.0,4,52,1.0,0.0
55,80.0,30,26,0.0,0.0
56,67.0,4,52,1.0,0.0
57,82.0,26,26,0.0,0.0
58,80.0,30,26,0.0,0.0
59,79.0,26,26,0.0,0.0
60,72.0,4,52,1.0,0.0
61,82.0,30,26,0.0,0.0
62,80.0,26,26,0.0,0.0
63,65.0,4,52,1.0,0.0
64,79.0,30,26,0.0,0.0
65,67.0,0,26,1.0,0.0
66,77.0,30,26,0.0,0.0
67,68.0,0,26,1.0,0.0
68,75.0,30,26,0.0,0.0
69,70.0,26,146,1.0,0.0
70,73.0,30,26,0.0,0.0
71,72.0,30,26,0.0,0.0
72,73.0,30,26,0.0,0.0
73,75.0,30,26,0.0,0.0
74,72.0,4,52,0.0,0.0
75,70.0,30,26,1.0,0.0
76,63.0,0,52,2.0,0.0
77,75.0,4,52,0.0,0.0
78,68.0,26,26,1.0,0.0
79,67.0,30,26,1.0,0.0
80,80.0,7,105,0.0,0.0
81,68.0,26,26,1.0,0.0
82,60.0,4,52,2.0,0.0
83,75.0,30,26,1.0,0.0
84,73.0,19,26,1.0,0.0
85,65.0,4,52,2.0,0.0
86,72.0,30,26,1.0,0.0
87,79.0,11,105,0.0,0.0
88,58.0,4,52,2.0,0.0
89,73.0,26,26,1.0,0.0
90,75.0,30,26,1.0,0.0
91,60.0,0,26,2.0,0.0
92,73.0,19,26,1.0,0.0
93,72.0,30,26,1.0,0.0
94,61.0,0,26,2.0,0.0
95,78.0,7,105,0.0,0.0
96,63.0,4,52,2.0,0.0
97,70.0,26,26,1.0,0.0
98,73.0,30,26,1.0,0.0
99,72.0,19,26,1.0,0.0
100,51.0,4,52,2.0,0.0
101,70.0,30,26,1.0,0.0
102,72.0,26,26,1.0,0.0
103,77.0,11,105,0.0,0.0
104,56.0,4,52,2.0,0.0
105,73.0,30,26,1.0,0.0
106,58.0,19,26,2.0,0.0
107,72.0,0,26,1.0,0.0
108,60.0,0,26,2.0,0.0
109,70.0,30,26,1.0,0.0
110,61.0,26,146,2.0,0.0
111,76.0,11,105,0.0,0.0
112,68.0,30,26,1.0,0.0
113,71.0,30,26,1.0,0.0
114,70.0,19,26,1.0,0.0
115,68.0,30,26,1.0,0.0
116,75.0,0,52,0.0,0.0
117,67.0,4,52,1.0,0.0
118,63.0,30,26,2.0,0.0
119,60.0,26,26,2.0,0.0
120,80.0,7,105,0.0,0.0
121,75.0,4,52,1.0,0.0
122,61.0,30,26,2.0,0.0
123,73.0,4,52,1.0,0.0
124,58.0,19,26,2.0,0.0
125,60.0,30,26,2.0,0.0
126,61.0,26,26,2.0,0.0
127,70.0,4,52,1.0,0.0
128,79.0,0,52,0.0,0.0
129,63.0,30,26,2.0,0.0
130,60.0,0,26,2.0,0.0
131,80.0,4,52,0.0,0.0
132,75.0,26,26,1.0,0.0
133,58.0,30,26,2.0,0.0
134,77.0,0,26,1.0,0.0
135,60.0,26,26,2.0,0.0
136,75.0,0,26,1.0,0.0
137,56.0,4,52,3.0,0.0
138,61.0,30,26,2.0,0.0
139,73.0,0,26,1.0,0.0
140,55.0,4,52,3.0,0.0
141,72.0,26,26,1.0,0.0
142,63.0,7,105,2.0,0.0
143,70.0,30,26,1.0,0.0
144,60.0,4,52,3.0,0.0
145,68.0,19,26,1.0,0.0
146,67.0,30,26,1.0,0.0
147,53.0,4,52,3.0,0.0
148,62.0,11,105,2.0,0.0
149,68.0,26,26,1.0,0.0
150,70.0,30,26,1.0,0.0
151,68.0,19,26,1.0,0.0
152,55.0,0,26,3.0,0.0
153,56.0,0,26,3.0,0.0
154,67.0,30,26,1.0,0.0
155,65.0,26,26,1.0,0.0
156,61.0,7,105,2.0,0.0
157,58.0,4,52,3.0,0.0
158,67.0,30,26,1.0,0.0
159,63.0,19,26,1.0,0.0
160,46.0,4,52,3.0,0.0
161,65.0,30,26,1.0,0.0
162,60.0,11,105,2.0,0.0
163,67.0,26,26,1.0,0.0
164,51.0,4,52,3.0,0.0
165,68.0,30,26,1.0,0.0
166,53.0,19,26,3.0,0.0
167,67.0,0,26,1.0,0.0
168,65.0,30,26,1.0,0.0
169,55.0,0,26,3.0,0.0
170,63.0,30,26,1.0,0.0
171,56.0,26,146,3.0,0.0
172,59.0,11,105,2.0,0.0
173,66.0,30,26,1.0,0.0
174,65.0,19,26,1.0,0.0
175,63.0,30,26,1.0,0.0
176,58.0,0,52,2.0,0.0
177,62.0,4,52,1.0,0.0
178,58.0,30,26,3.0,0.0
179,63.0,7,105,2.0,0.0
180,55.0,26,26,3.0,0.0
181,70.0,4,52,1.0,0.0
182,56.0,30,26,3.0,0.0
183,53.0,19,26,3.0,0.0
184,68.0,4,52,1.0,0.0
185,55.0,30,26,3.0,0.0
186,56.0,26,26,3.0,0.0
187,65.0,0,52,1.0,0.0
188,62.0,4,52,2.0,0.0
189,58.0,30,26,3.0,0.0
190,63.0,7,105,2.0,0.0
191,67.0,4,52,1.0,0.0
192,51.0,26,26,3.0,0.0
193,50.0,30,26,3.0,0.0
194,51.0,19,26,3.0,0.0
195,70.0,4,52,1.0,0.0
196,53.0,30,26,3.0,0.0
197,75.0,7,225,1.0,0.0
198,55.0,30,26,3.0,0.0
199,53.0,30,26,3.0,0.0
200,67.0,4,52,2.0,0.0
201,51.0,26,26,3.0,0.0
202,55.0,30,26,3.0,0.0
203,53.0,26,26,3.0,0.0
204,68.0,4,52,2.0,0.0
205,51.0,30,26,3.0,0.0
206,53.0,19,26,3.0,0.0
207,72.0,4,52,2.0,0.0
208,55.0,30,26,3.0,0.0
209,65.0,0,52,2.0,0.0
210,74.0,4,52,1.0,0.0
211,56.0,26,26,3.0,0.0
212,55.0,30,26,3.0,0.0
213,70.0,4,52,2.0,0.0
214,53.0,26,26,3.0,0.0
215,73.0,4,112,1.0,0.0
216,56.0,30,26,3.0,0.0
217,55.0,26,26,3.0,0.0
218,63.0,11,105,2.0,0.0
219,53.0,30,26,3.0,0.0
220,82.0,0,26,1.0,0.0
221,55.0,19,26,3.0,0.0
222,80.0,0,26,1.0,0.0
223,56.0,30,26,3.0,0.0
224,79.0,0,26,1.0,0.0
225,58.0,30,26,3.0,0.0
226,56.0,30,26,3.0,0.0
227,77.0,0,26,1.0,0.0
228,75.0,0,26,1.0,0.0
229,55.0,30,26,3.0,0.0
230,73.0,0,26,1.0,0.0
231,58.0,30,26,3.0,0.0
232,56.0,30,26,3.0,0.0
233,72.0,7,105,1.0,0.0
234,55.0,30,26,3.0,0.0
235,56.0,19,26,3.0,0.0
236,63.0,4,52,2.0,0.0
237,58.0,30,26,3.0,0.0
238,60.0,30,26,3.0,0.0
239,68.0,7,225,2.0,0.0
240,58.0,30,26,3.0,0.0
241,56.0,26,26,3.0,0.0
242,72.0,4,52,1.0,0.0
243,60.0,30,26,3.0,0.0
244,73.0,4,52,1.0,0.0
245,58.0,26,26,3.0,0.0
246,56.0,30,26,3.0,0.0
247,58.0,19,26,3.0,0.0
248,77.0,4,52,1.0,0.0
249,60.0,30,26,3.0,0.0
250,67.0,4,52,2.0,0.0
251,70.0,0,52,1.0,0.0
252,61.0,26,26,3.0,0.0
253,60.0,30,26,3.0,0.0
254,75.0,4,52,1.0,0.0
255,66.0,0,112,2.0,0.0
256,58.0,26,26,3.0,0.0
257,61.0,30,26,3.0,0.0
258,60.0,26,26,3.0,0.0
259,68.0,4,52,1.0,0.0
260,58.0,30,26,3.0,0.0
261,60.0,0,26,3.0,0.0
262,75.0,30,26,2.0,0.0
263,61.0,0,26,3.0,0.0
264,73.0,30,26,2.0,0.0
265,63.0,0,26,3.0,0.0
266,72.0,30,26,2.0,0.0
267,70.0,0,26,2.0,0.0
268,61.0,30,26,3.0,0.0
269,68.0,30,26,2.0,0.0
270,60.0,0,26,3.0,0.0
271,66.0,30,26,2.0,0.0
272,63.0,0,26,3.0,0.0
273,61.0,30,26,3.0,0.0
274,65.0,11,105,2.0,0.0
275,60.0,30,26,3.0,0.0
276,77.0,19,26,1.0,0.0
277,61.0,0,26,3.0,0.0
278,75.0,30,26,1.0,0.0
279,63.0,0,26,3.0,0.0
280,65.0,0,26,3.0,0.0
281,73.0,30,26,1.0,0.0
282,63.0,0,26,3.0,0.0
283,72.0,30,26,1.0,0.0
284,61.0,0,26,3.0,0.0
285,70.0,30,26,1.0,0.0
